Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,0,8.0,2,0,CHN,1.0,GRAHAM K,0 - 0,241,CAN,4:01,Saved,0
5m shot,0,11.0,2,0,CHN,1.0,ZHANG C,0 - 0,212,CHN,3:32,Post,0
Extra player shot,1,2.0,2,0,CHN,1.0,KUDABA C,0 - 1,138,CAN,2:18,Goal,1
5m shot,1,3.0,2,0,CHN,1.0,HU Z,0 - 1,114,CHN,1:54,Blocked,0
5m shot,2,12.0,2,0,CHN,1.0,MCELROY J,0 - 2,97,CAN,1:37,Goal,1
5m shot,2,4.0,2,0,CHN,1.0,DONG T,0 - 2,73,CHN,1:13,Blocked,0
Action shot,3,12.0,2,0,CHN,1.0,MCELROY J,0 - 3,42,CAN,0:42,Goal,1
5m shot,3,2.0,2,0,CHN,1.0,TAN F,0 - 3,17,CHN,0:17,Saved,0
5m shot,3,8.0,2,0,CHN,2.0,GRAHAM K,0 - 3,456,CAN,7:36,Saved,0
Action shot,4,4.0,2,0,CHN,2.0,CONSTANTIN-BICARI,0 - 4,441,CAN,7:21,Goal,1
Action shot,4,12.0,2,0,CHN,2.0,LIANG N,0 - 4,420,CHN,7:00,Saved,0
5m shot,4,6.0,2,0,CHN,2.0,LI L,0 - 4,383,CHN,6:23,Saved,0
5m shot,4,5.0,2,0,CHN,2.0,BOYD J,0 - 4,360,CAN,6:00,Saved,0
Action shot,4,7.0,2,0,CHN,2.0,TASCHEREAU A,0 - 4,344,CAN,5:44,Saved,0
Penalty shot,5,12.0,2,0,CHN,2.0,MCELROY J,0 - 5,322,CAN,5:22,Goal,1
Action shot,5,10.0,2,0,CHN,2.0,CONWAY J,0 - 5,293,CAN,4:53,Saved,0
5m shot,5,5.0,2,0,CHN,2.0,BOYD J,0 - 5,246,CAN,4:06,Post,0
5m shot,6,5.0,2,0,CHN,2.0,BOYD J,0 - 6,205,CAN,3:25,Goal,1
Action shot,6,3.0,2,0,CHN,2.0,HU Z,0 - 6,184,CHN,3:04,Saved,0
5m shot,6,11.0,2,0,CHN,2.0,ZHANG C,0 - 6,138,CHN,2:18,Saved,0
Action shot,6,6.0,2,0,CHN,2.0,LI L,0 - 6,61,CHN,1:01,Blocked,0
Action shot,6,8.0,2,0,CHN,2.0,GRAHAM K,0 - 6,5,CAN,0:05,Saved,0
Action shot,6,10.0,2,0,CHN,2.0,CONWAY J,0 - 6,1,CAN,0:01,Saved,0
Action shot,6,12.0,2,0,CHN,3.0,MCELROY J,0 - 6,447,CAN,7:27,Saved,0
5m shot,6,3.0,2,0,CHN,3.0,HU Z,0 - 6,426,CHN,7:06,Missed,0
Action shot,6,4.0,2,0,CHN,3.0,CONSTANTIN-BICARI,0 - 6,411,CAN,6:51,Saved,0
Extra player shot,6,2.0,2,1,CHN,3.0,TAN F,1 - 6,372,CHN,6:12,Goal,1
5m shot,6,2.0,2,1,CHN,3.0,TAN F,1 - 6,326,CHN,5:26,Missed,0
Extra player shot,6,10.0,2,1,CHN,3.0,CONWAY J,1 - 6,285,CAN,4:45,Saved,0
Action shot,6,12.0,2,1,CHN,3.0,MCELROY J,1 - 6,276,CAN,4:36,Saved,0
Extra player shot,6,11.0,2,1,CHN,3.0,ZHANG C,1 - 6,255,CHN,4:15,Saved,0
Action shot,7,3.0,2,1,CHN,3.0,VIKALO O,1 - 7,231,CAN,3:51,Goal,1
5m shot,7,3.0,2,1,CHN,3.0,HU Z,1 - 7,209,CHN,3:29,Saved,0
5m shot,7,6.0,2,1,CHN,3.0,LI L,1 - 7,185,CHN,3:05,Saved,0
5m shot,7,5.0,2,1,CHN,3.0,BOYD J,1 - 7,128,CAN,2:08,Saved,0
5m shot,7,12.0,2,1,CHN,3.0,LIANG N,1 - 7,90,CHN,1:30,Saved,0
5m shot,7,3.0,2,1,CHN,3.0,HU Z,1 - 7,38,CHN,0:38,Post,0
Extra player shot,7,11.0,2,1,CHN,4.0,ZHANG C,1 - 7,443,CHN,7:23,Saved,0
5m shot,7,2.0,2,1,CHN,4.0,TAN F,1 - 7,400,CHN,6:40,Saved,0
5m shot,7,10.0,2,1,CHN,4.0,CHEN J,1 - 7,342,CHN,5:42,Saved,0
5m shot,7,12.0,2,1,CHN,4.0,LIANG N,1 - 7,285,CHN,4:45,Saved,0
Action shot,7,9.0,2,1,CHN,4.0,HALAJIAN M,1 - 7,230,CAN,3:50,Saved,0
Extra player shot,7,2.0,2,1,CHN,4.0,TAN F,1 - 7,191,CHN,3:11,Missed,0
Extra player shot,7,12.0,2,1,CHN,4.0,MCELROY J,1 - 7,119,CAN,1:59,Post,0
Action shot,8,2.0,2,1,CHN,4.0,KUDABA C,1 - 8,113,CAN,1:53,Goal,1
Action shot,8,2.0,2,2,CHN,4.0,TAN F,2 - 8,95,CHN,1:35,Goal,1
Action shot,8,8.0,2,2,CHN,4.0,GRAHAM K,2 - 8,67,CAN,1:07,Saved,0
5m shot,8,2.0,2,2,CHN,4.0,TAN F,2 - 8,11,CHN,0:11,Saved,0
5m shot,0,6.0,3,0,BRA,1.0,GOMES B,0 - 0,424,BRA,7:04,Saved,0
Action shot,0,2.0,3,0,BRA,1.0,CRIVELLA J,0 - 0,376,BRA,6:16,Blocked,0
Extra player shot,0,12.0,3,0,BRA,1.0,MCELROY J,0 - 0,341,CAN,5:41,Blocked,0
Action shot,1,2.0,3,0,BRA,1.0,KUDABA C,0 - 1,304,CAN,5:04,Goal,1
Action shot,1,7.0,3,0,BRA,1.0,DELGADO A,0 - 1,274,BRA,4:34,Saved,0
Extra player shot,1,5.0,3,0,BRA,1.0,BOYD J,0 - 1,235,CAN,3:55,Missed,0
Action shot,1,7.0,3,0,BRA,1.0,DELGADO A,0 - 1,209,BRA,3:29,Blocked,0
Counter attack,1,5.0,3,0,BRA,1.0,BOYD J,0 - 1,175,CAN,2:55,Saved,0
Action shot,1,10.0,3,0,BRA,1.0,PERRONE F,0 - 1,150,BRA,2:30,Blocked,0
Centre shot,2,4.0,3,0,BRA,1.0,CONSTANTIN-BICARI,0 - 2,130,CAN,2:10,Goal,1
5m shot,2,10.0,3,0,BRA,1.0,PERRONE F,0 - 2,104,BRA,1:44,Saved,0
5m shot,3,12.0,3,0,BRA,1.0,MCELROY J,0 - 3,84,CAN,1:24,Goal,1
Extra player shot,3,10.0,3,0,BRA,1.0,PERRONE F,0 - 3,7,BRA,0:07,Blocked,0
Action shot,3,10.0,3,0,BRA,1.0,PERRONE F,0 - 3,1,BRA,0:01,Post,0
Extra player shot,3,6.0,3,0,BRA,2.0,GOMES B,0 - 3,413,BRA,6:53,Post,0
