Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,0,1.0,1,0,CRO,1.0,PAVIC J,0 - 0,480,CRO,8:00
Starting goalkeeper,0,13.0,1,0,CRO,1.0,ALEKSIC D,0 - 0,480,CAN,8:00
Sprint won possession,0,8.0,1,0,CRO,1.0,GRAHAM K,0 - 0,480,CAN,8:00
Turnover foul,0,3.0,1,0,CRO,1.0,VIKALO O,0 - 0,453,CAN,7:33
Turnover foul,0,2.0,1,0,CRO,1.0,BURIC D,0 - 0,434,CRO,7:14
Steal,0,13.0,1,0,CRO,1.0,ALEKSIC D,0 - 0,434,CAN,7:14
Turnover foul,0,3.0,1,0,CRO,1.0,VIKALO O,0 - 0,403,CAN,6:43
Steal,0,7.0,1,0,CRO,1.0,MUSLIM P,0 - 0,403,CRO,6:43
Penalty foul,0,2.0,1,0,CRO,1.0,KUDABA C,0 - 0,387,CAN,6:27
Penalty shot - Goal,0,9.0,1,1,CRO,1.0,SUKNO S,1 - 0,387,CRO,6:27
5m shot - Missed,0,2.0,1,1,CRO,1.0,KUDABA C,1 - 0,365,CAN,6:05
Penalty foul,0,4.0,1,1,CRO,1.0,CONSTANTIN-BICARI,1 - 0,342,CAN,5:42
Penalty shot - Saved,0,5.0,1,1,CRO,1.0,JOKOVIC M,1 - 0,342,CRO,5:42
Turnover foul,0,5.0,1,1,CRO,1.0,JOKOVIC M,1 - 0,338,CRO,5:38
5m shot - Goal,1,8.0,1,1,CRO,1.0,GRAHAM K,1 - 1,313,CAN,5:13
Centre shot - Goal,1,4.0,1,2,CRO,1.0,LONCAR L,2 - 1,289,CRO,4:49
Time-Out,1,,1,2,CRO,1.0,,2 - 1,289,CAN,4:49
Centre shot - Saved,1,2.0,1,2,CRO,1.0,KUDABA C,2 - 1,268,CAN,4:28
Turnover foul,1,10.0,1,2,CRO,1.0,CONWAY J,2 - 1,235,CAN,3:55
Steal,1,8.0,1,2,CRO,1.0,BUSLJE A,2 - 1,235,CRO,3:55
20 sec. exclusion in centre,1,8.0,1,2,CRO,1.0,GRAHAM K,2 - 1,230,CAN,3:50
Time-Out,1,,1,2,CRO,1.0,,2 - 1,230,CRO,3:50
Action shot - Goal,1,12.0,1,3,CRO,1.0,OBRADOVIC P,3 - 1,208,CRO,3:28
Action shot - Missed,1,2.0,1,3,CRO,1.0,KUDABA C,3 - 1,178,CAN,2:58
20 sec. exclusion in field,1,3.0,1,3,CRO,1.0,PETKOVIC A,3 - 1,139,CRO,2:19
Extra player shot - Goal,2,10.0,1,3,CRO,1.0,CONWAY J,3 - 2,118,CAN,1:58
Turnover foul,2,3.0,1,3,CRO,1.0,PETKOVIC A,3 - 2,90,CRO,1:30
Turnover foul,2,11.0,1,3,CRO,1.0,TORAKIS G,3 - 2,67,CAN,1:07
Steal,2,8.0,1,3,CRO,1.0,BUSLJE A,3 - 2,67,CRO,1:07
Turnover foul,2,10.0,1,3,CRO,1.0,PASKVALIN F,3 - 2,40,CRO,0:40
Steal,2,13.0,1,3,CRO,1.0,ALEKSIC D,3 - 2,40,CAN,0:40
Turnover foul,2,5.0,1,3,CRO,1.0,BOYD J,3 - 2,19,CAN,0:19
Action shot - Goal,2,6.0,1,4,CRO,1.0,BUKIC L,4 - 2,8,CRO,0:08
5m shot - Blocked,2,11.0,1,4,CRO,1.0,TORAKIS G,4 - 2,0,CAN,0:00
Starting goalkeeper,2,1.0,1,4,CRO,2.0,PAVIC J,4 - 2,480,CRO,8:00
Starting goalkeeper,2,13.0,1,4,CRO,2.0,ALEKSIC D,4 - 2,480,CAN,8:00
Sprint won possession,2,6.0,1,4,CRO,2.0,BUKIC L,4 - 2,480,CRO,8:00
Turnover foul,2,12.0,1,4,CRO,2.0,OBRADOVIC P,4 - 2,451,CRO,7:31
Steal,2,13.0,1,4,CRO,2.0,ALEKSIC D,4 - 2,451,CAN,7:31
Centre shot - Saved,2,3.0,1,4,CRO,2.0,VIKALO O,4 - 2,394,CAN,6:34
Action shot - Goal,3,3.0,1,4,CRO,2.0,VIKALO O,4 - 3,390,CAN,6:30
Action shot - Goal,3,2.0,1,5,CRO,2.0,BURIC D,5 - 3,363,CRO,6:03
5m shot - Saved,3,8.0,1,5,CRO,2.0,GRAHAM K,5 - 3,331,CAN,5:31
Centre shot - Goal,3,7.0,1,6,CRO,2.0,MUSLIM P,6 - 3,320,CRO,5:20
20 sec. exclusion in centre,3,2.0,1,6,CRO,2.0,BURIC D,6 - 3,303,CRO,5:03
Extra player shot - Goal,4,10.0,1,6,CRO,2.0,CONWAY J,6 - 4,283,CAN,4:43
Centre shot - Goal,4,4.0,1,7,CRO,2.0,LONCAR L,7 - 4,253,CRO,4:13
Turnover foul,4,4.0,1,7,CRO,2.0,CONSTANTIN-BICARI,7 - 4,228,CAN,3:48
Steal,4,6.0,1,7,CRO,2.0,BUKIC L,7 - 4,228,CRO,3:48
Centre shot - Goal,4,6.0,1,8,CRO,2.0,BUKIC L,8 - 4,214,CRO,3:34
5m shot - Saved,4,11.0,1,8,CRO,2.0,TORAKIS G,8 - 4,183,CAN,3:03
Centre shot - Goal,4,10.0,1,9,CRO,2.0,PASKVALIN F,9 - 4,161,CRO,2:41
Time-Out,4,,1,9,CRO,2.0,,9 - 4,161,CAN,2:41
5m shot - Saved,4,8.0,1,9,CRO,2.0,GRAHAM K,9 - 4,134,CAN,2:14
5m shot - Goal,4,3.0,1,10,CRO,2.0,PETKOVIC A,10 - 4,114,CRO,1:54
Goalkeeper substitution,4,1.0,1,10,CRO,2.0,RANDALL R,10 - 4,114,CAN,1:54
Action shot - Saved,4,5.0,1,10,CRO,2.0,BOYD J,10 - 4,93,CAN,1:33
Turnover foul,4,5.0,1,10,CRO,2.0,BOYD J,10 - 4,74,CAN,1:14
Steal,4,1.0,1,10,CRO,2.0,PAVIC J,10 - 4,74,CRO,1:14
5m shot - Post,4,9.0,1,10,CRO,2.0,SUKNO S,10 - 4,60,CRO,1:00
5m shot - Saved,4,11.0,1,10,CRO,2.0,TORAKIS G,10 - 4,37,CAN,0:37
Action shot - Post,4,3.0,1,10,CRO,2.0,VIKALO O,10 - 4,6,CAN,0:06
Time-Out,4,,1,10,CRO,2.0,,10 - 4,6,CRO,0:06
Starting goalkeeper,4,1.0,1,10,CRO,3.0,PAVIC J,10 - 4,480,CRO,8:00
Starting goalkeeper,4,1.0,1,10,CRO,3.0,RANDALL R,10 - 4,480,CAN,8:00
Sprint won possession,4,8.0,1,10,CRO,3.0,GRAHAM K,10 - 4,480,CAN,8:00
Turnover foul,4,5.0,1,10,CRO,3.0,BOYD J,10 - 4,451,CAN,7:31
Steal,4,9.0,1,10,CRO,3.0,SUKNO S,10 - 4,451,CRO,7:31
Action shot - Post,4,12.0,1,10,CRO,3.0,OBRADOVIC P,10 - 4,432,CRO,7:12
5m shot - Saved,4,8.0,1,10,CRO,3.0,GRAHAM K,10 - 4,403,CAN,6:43
Centre shot - Saved,4,4.0,1,10,CRO,3.0,CONSTANTIN-BICARI,10 - 4,375,CAN,6:15
Turnover foul,4,12.0,1,10,CRO,3.0,OBRADOVIC P,10 - 4,349,CRO,5:49
Centre shot - Saved,4,11.0,1,10,CRO,3.0,SETKA A,10 - 4,302,CRO,5:02
Turnover foul,4,7.0,1,10,CRO,3.0,TASCHEREAU A,10 - 4,284,CAN,4:44
Steal,4,9.0,1,10,CRO,3.0,SUKNO S,10 - 4,284,CRO,4:44
Action shot - Goal,4,7.0,1,11,CRO,3.0,MUSLIM P,11 - 4,264,CRO,4:24
Turnover foul,4,2.0,1,11,CRO,3.0,KUDABA C,11 - 4,238,CAN,3:58
Steal,4,8.0,1,11,CRO,3.0,BUSLJE A,11 - 4,238,CRO,3:58
Centre shot - Post,4,11.0,1,11,CRO,3.0,SETKA A,11 - 4,227,CRO,3:47
20 sec. exclusion in centre,4,6.0,1,11,CRO,3.0,BUKIC L,11 - 4,201,CRO,3:21
Extra player shot - Saved,4,5.0,1,11,CRO,3.0,BOYD J,11 - 4,192,CAN,3:12
Centre shot - Saved,4,3.0,1,11,CRO,3.0,VIKALO O,11 - 4,165,CAN,2:45
20 sec. exclusion in centre,4,8.0,1,11,CRO,3.0,GRAHAM K,11 - 4,150,CAN,2:30
Time-Out,4,,1,11,CRO,3.0,,11 - 4,150,CRO,2:30
Extra player shot - Saved,4,6.0,1,11,CRO,3.0,BUKIC L,11 - 4,142,CRO,2:22
5m shot - Missed,4,5.0,1,11,CRO,3.0,BOYD J,11 - 4,103,CAN,1:43
5m shot - Saved,4,5.0,1,11,CRO,3.0,JOKOVIC M,11 - 4,69,CRO,1:09
5m shot - Saved,4,5.0,1,11,CRO,3.0,BOYD J,11 - 4,42,CAN,0:42
Action shot - Blocked,4,8.0,1,11,CRO,3.0,BUSLJE A,11 - 4,16,CRO,0:16
Time-Out,4,,1,11,CRO,3.0,,11 - 4,16,CAN,0:16
Turnover foul,4,4.0,1,11,CRO,3.0,CONSTANTIN-BICARI,11 - 4,5,CAN,0:05
Steal,4,6.0,1,11,CRO,3.0,BUKIC L,11 - 4,5,CRO,0:05
5m shot - Saved,4,6.0,1,11,CRO,3.0,BUKIC L,11 - 4,0,CRO,0:00
Starting goalkeeper,4,1.0,1,11,CRO,4.0,PAVIC J,11 - 4,480,CRO,8:00
Starting goalkeeper,4,1.0,1,11,CRO,4.0,RANDALL R,11 - 4,480,CAN,8:00
Sprint won possession,4,8.0,1,11,CRO,4.0,GRAHAM K,11 - 4,480,CAN,8:00
Turnover foul,4,8.0,1,11,CRO,4.0,GRAHAM K,11 - 4,443,CAN,7:23
Turnover foul,4,7.0,1,11,CRO,4.0,MUSLIM P,11 - 4,430,CRO,7:10
Action shot - Missed,4,4.0,1,11,CRO,4.0,CONSTANTIN-BICARI,11 - 4,425,CAN,7:05
Turnover foul,4,7.0,1,11,CRO,4.0,MUSLIM P,11 - 4,408,CRO,6:48
Steal,4,1.0,1,11,CRO,4.0,RANDALL R,11 - 4,408,CAN,6:48
