Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,10.0,9,5,10,CHN,4.0,TARRAGO R,9 - 10,9,ESP,0:09,Saved,0
Action shot,7.0,0,6,0,RUS,1.0,LISUNOVA E,0 - 0,452,RUS,7:32,Post,0
Action shot,11.0,0,6,0,RUS,1.0,GARCIA M,0 - 0,437,ESP,7:17,Post,0
Counter attack,5.0,1,6,0,RUS,1.0,ORTIZ M,1 - 0,399,ESP,6:39,Goal,1
5m shot,11.0,1,6,0,RUS,1.0,IVANOVA E,1 - 0,374,RUS,6:14,Saved,0
Extra player shot,6.0,2,6,0,RUS,1.0,PAREJA J,2 - 0,333,ESP,5:33,Goal,1
Extra player shot,7.0,2,6,1,RUS,1.0,LISUNOVA E,2 - 1,303,RUS,5:03,Goal,1
Action shot,12.0,2,6,1,RUS,1.0,LOPEZ L,2 - 1,277,ESP,4:37,Post,0
Centre shot,8.0,2,6,2,RUS,1.0,ABDRIZIAKOVA E,2 - 2,240,RUS,4:00,Goal,1
5m shot,9.0,3,6,2,RUS,1.0,FORCA J,3 - 2,214,ESP,3:34,Goal,1
Extra player shot,6.0,3,6,3,RUS,1.0,SIMANOVICH A,3 - 3,180,RUS,3:00,Goal,1
Action shot,10.0,4,6,3,RUS,1.0,TARRAGO R,4 - 3,160,ESP,2:40,Goal,1
5m shot,11.0,4,6,3,RUS,1.0,IVANOVA E,4 - 3,135,RUS,2:15,Blocked,0
Action shot,3.0,5,6,3,RUS,1.0,ESPAR A,5 - 3,119,ESP,1:59,Goal,1
5m shot,7.0,5,6,3,RUS,1.0,LISUNOVA E,5 - 3,56,RUS,0:56,Post,0
5m shot,6.0,5,6,3,RUS,1.0,PAREJA J,5 - 3,34,ESP,0:34,Missed,0
Action shot,7.0,5,6,3,RUS,1.0,LISUNOVA E,5 - 3,12,RUS,0:12,Post,0
Extra player shot,12.0,5,6,3,RUS,1.0,LOPEZ L,5 - 3,1,ESP,0:01,Post,0
Action shot,4.0,5,6,3,RUS,2.0,KARIMOVA E,5 - 3,456,RUS,7:36,Saved,0
Action shot,6.0,5,6,3,RUS,2.0,PAREJA J,5 - 3,366,ESP,6:06,Saved,0
5m shot,3.0,5,6,3,RUS,2.0,PROKOFYEVA E,5 - 3,337,RUS,5:37,Saved,0
Counter attack,9.0,6,6,3,RUS,2.0,FORCA J,6 - 3,324,ESP,5:24,Goal,1
Penalty shot,11.0,6,6,4,RUS,2.0,IVANOVA E,6 - 4,311,RUS,5:11,Goal,1
Action shot,6.0,6,6,4,RUS,2.0,PAREJA J,6 - 4,294,ESP,4:54,Saved,0
Action shot,9.0,6,6,4,RUS,2.0,TIMOFEEVA A,6 - 4,269,RUS,4:29,Saved,0
Action shot,12.0,7,6,4,RUS,2.0,LOPEZ L,7 - 4,253,ESP,4:13,Goal,1
Extra player shot,11.0,7,6,5,RUS,2.0,IVANOVA E,7 - 5,234,RUS,3:54,Goal,1
Action shot,11.0,7,6,5,RUS,2.0,GARCIA M,7 - 5,215,ESP,3:35,Saved,0
Action shot,4.0,7,6,6,RUS,2.0,KARIMOVA E,7 - 6,197,RUS,3:17,Goal,1
5m shot,2.0,7,6,6,RUS,2.0,BACH M,7 - 6,174,ESP,2:54,Saved,0
Action shot,11.0,7,6,7,RUS,2.0,IVANOVA E,7 - 7,129,RUS,2:09,Goal,1
Penalty shot,10.0,8,6,7,RUS,2.0,TARRAGO R,8 - 7,116,ESP,1:56,Goal,1
Action shot,5.0,8,6,7,RUS,2.0,ZUBACHEVA E,8 - 7,93,RUS,1:33,Saved,0
5m shot,10.0,8,6,7,RUS,2.0,TARRAGO R,8 - 7,70,ESP,1:10,Saved,0
5m shot,3.0,8,6,7,RUS,4.0,PROKOFYEVA E,8 - 7,134,RUS,2:14,Blocked,0
Extra player shot,7.0,14,6,10,RUS,4.0,LISUNOVA E,14 - 10,111,RUS,1:51,Goal,1
5m shot,3.0,14,6,10,RUS,2.0,PROKOFYEVA E,14 - 10,0,RUS,0:00,Missed,0
Centre shot,11.0,14,6,10,RUS,3.0,GARCIA M,14 - 10,451,ESP,7:31,Saved,0
Action shot,12.0,9,6,7,RUS,3.0,LOPEZ L,9 - 7,368,ESP,6:08,Goal,1
Extra player shot,4.0,9,6,7,RUS,3.0,KARIMOVA E,9 - 7,275,RUS,4:35,Post,0
Counter attack,8.0,10,6,7,RUS,3.0,PENA P,10 - 7,258,ESP,4:18,Goal,1
