Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,0,1,0,KAZ,1.0,ZHARKIMBAYEVA A,0 - 0,480,KAZ,8:00
Starting goalkeeper,1.0,0,1,0,KAZ,1.0,ESTER L,0 - 0,480,ESP,8:00
Sprint won possession,6.0,0,1,0,KAZ,1.0,PAREJA J,0 - 0,480,ESP,8:00
Action shot - Goal,3.0,1,1,0,KAZ,1.0,ESPAR A,0 - 1,459,ESP,7:39
Turnover foul,11.0,1,1,0,KAZ,1.0,MIRSHINA A,0 - 1,443,KAZ,7:23
Action shot - Saved,6.0,1,1,0,KAZ,1.0,PAREJA J,0 - 1,428,ESP,7:08
20 sec. exclusion in field,7.0,1,1,0,KAZ,1.0,MYRZABEKOVA Z,0 - 1,423,KAZ,7:03
Extra player shot - Post,11.0,1,1,0,KAZ,1.0,GARCIA M,0 - 1,412,ESP,6:52
Turnover foul,12.0,1,1,0,KAZ,1.0,MUSSAROVA A,0 - 1,384,KAZ,6:24
Turnover foul,3.0,1,1,0,KAZ,1.0,ESPAR A,0 - 1,363,ESP,6:03
Steal,11.0,1,1,0,KAZ,1.0,MIRSHINA A,0 - 1,363,KAZ,6:03
20 sec. exclusion in field,3.0,1,1,0,KAZ,1.0,ESPAR A,0 - 1,363,ESP,6:03
Time-Out,,1,1,0,KAZ,1.0,,0 - 1,363,KAZ,6:03
Turnover foul,5.0,1,1,0,KAZ,1.0,ZAKIROVA K,0 - 1,331,KAZ,5:31
5m shot - Blocked,5.0,1,1,0,KAZ,1.0,ORTIZ M,0 - 1,316,ESP,5:16
Turnover foul,11.0,1,1,0,KAZ,1.0,MIRSHINA A,0 - 1,304,KAZ,5:04
Centre shot - Saved,11.0,1,1,0,KAZ,1.0,GARCIA M,0 - 1,303,ESP,5:03
20 sec. exclusion in centre,5.0,1,1,0,KAZ,1.0,ORTIZ M,0 - 1,281,ESP,4:41
Turnover foul,11.0,1,1,0,KAZ,1.0,MIRSHINA A,0 - 1,268,KAZ,4:28
Steal,10.0,1,1,0,KAZ,1.0,TARRAGO R,0 - 1,268,ESP,4:28
Penalty foul,8.0,1,1,0,KAZ,1.0,SAICHUK O,0 - 1,263,KAZ,4:23
