Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time
5m shot - Goal,5.0,1,8,JPN,4.0,YOSHIDA T,13,8 - 13,151,JPN,2:31
Centre shot - Saved,4.0,1,8,JPN,4.0,DEREVIANKIN N,13,8 - 13,134,RUS,2:14
Action shot - Goal,2.0,1,8,JPN,4.0,LAZAREV N,14,8 - 14,120,RUS,2:00
Turnover foul,5.0,1,8,JPN,4.0,BUGAYCHUK A,14,8 - 14,98,RUS,1:38
Action shot - Goal,4.0,1,8,JPN,4.0,DEREVIANKIN N,15,8 - 15,82,RUS,1:22
Extra player shot - Goal,3.0,1,3,JPN,2.0,VASILYEV E,8,3 - 8,123,RUS,2:03
Turnover foul,2.0,1,3,JPN,2.0,ADACHI S,8,3 - 8,99,JPN,1:39
Steal,10.0,1,3,JPN,2.0,KHOLOD D,8,3 - 8,99,RUS,1:39
Action shot - Saved,2.0,1,3,JPN,2.0,LAZAREV N,8,3 - 8,69,RUS,1:09
20 sec. exclusion in centre,11.0,1,3,JPN,2.0,OKAWA K,8,3 - 8,54,JPN,0:54
Extra player shot - Saved,2.0,1,3,JPN,2.0,LAZAREV N,8,3 - 8,41,RUS,0:41
Action shot - Saved,2.0,1,3,JPN,2.0,ADACHI S,8,3 - 8,33,JPN,0:33
Action shot - Missed,11.0,1,3,JPN,2.0,OKAWA K,8,3 - 8,9,JPN,0:09
Starting goalkeeper,1.0,1,3,JPN,3.0,TANAMURA K,8,3 - 8,480,JPN,8:00
Starting goalkeeper,13.0,1,3,JPN,3.0,STATSENKO V,8,3 - 8,480,RUS,8:00
Sprint won possession,4.0,1,3,JPN,3.0,SHIGA M,8,3 - 8,480,JPN,8:00
Turnover foul,10.0,1,3,JPN,3.0,INABA K,8,3 - 8,452,JPN,7:32
Steal,3.0,1,3,JPN,3.0,VASILYEV E,8,3 - 8,452,RUS,7:32
Action shot - Saved,8.0,1,3,JPN,3.0,NAGAEV I,8,3 - 8,427,RUS,7:07
Action shot - Saved,9.0,1,3,JPN,3.0,ARAI A,8,3 - 8,409,JPN,6:49
20 sec. exclusion in centre,8.0,1,3,JPN,3.0,NAGAEV I,8,3 - 8,400,RUS,6:40
Extra player shot - Saved,10.0,1,3,JPN,3.0,INABA K,8,3 - 8,382,JPN,6:22
Turnover foul,3.0,1,3,JPN,3.0,VASILYEV E,8,3 - 8,354,RUS,5:54
Steal,1.0,1,3,JPN,3.0,TANAMURA K,8,3 - 8,354,JPN,5:54
Action shot - Saved,4.0,1,3,JPN,3.0,SHIGA M,8,3 - 8,329,JPN,5:29
Counter attack - Goal,11.0,1,3,JPN,3.0,LISUNOV S,9,3 - 9,298,RUS,4:58
20 sec. exclusion in centre,4.0,1,3,JPN,3.0,DEREVIANKIN N,9,3 - 9,280,RUS,4:40
Extra player shot - Saved,8.0,1,3,JPN,3.0,TAKATA M,9,3 - 9,269,JPN,4:29
20 sec. exclusion in centre,8.0,1,3,JPN,3.0,TAKATA M,9,3 - 9,260,JPN,4:20
Exclusion with substitution,8.0,1,3,JPN,3.0,TAKATA M,9,3 - 9,260,JPN,4:20
Extra player shot - Goal,7.0,1,3,JPN,3.0,MERKULOV D,10,3 - 10,241,RUS,4:01
Turnover foul,12.0,1,3,JPN,3.0,ARAKI K,10,3 - 10,213,JPN,3:33
Steal,3.0,1,3,JPN,3.0,VASILYEV E,10,3 - 10,213,RUS,3:33
Turnover foul,6.0,1,3,JPN,3.0,ASHAEV A,10,3 - 10,196,RUS,3:16
Steal,1.0,1,3,JPN,3.0,TANAMURA K,10,3 - 10,196,JPN,3:16
5m shot - Goal,11.0,1,4,JPN,3.0,OKAWA K,10,4 - 10,184,JPN,3:04
Turnover foul,5.0,1,4,JPN,3.0,BUGAYCHUK A,10,4 - 10,156,RUS,2:36
Steal,1.0,1,4,JPN,3.0,TANAMURA K,10,4 - 10,156,JPN,2:36
Centre shot - Missed,11.0,1,4,JPN,3.0,OKAWA K,10,4 - 10,148,JPN,2:28
Time-Out,,1,4,JPN,3.0,,10,4 - 10,148,RUS,2:28
Action shot - Goal,4.0,1,4,JPN,3.0,DEREVIANKIN N,11,4 - 11,138,RUS,2:18
Turnover foul,2.0,1,4,JPN,3.0,ADACHI S,11,4 - 11,115,JPN,1:55
Steal,12.0,1,4,JPN,3.0,SHEPELEV R,11,4 - 11,115,RUS,1:55
5m shot - Saved,10.0,1,4,JPN,3.0,INABA K,11,4 - 11,65,JPN,1:05
5m shot - Goal,11.0,1,5,JPN,3.0,OKAWA K,11,5 - 11,40,JPN,0:40
Centre shot - Post,12.0,1,5,JPN,3.0,SHEPELEV R,11,5 - 11,17,RUS,0:17
Action shot - Missed,9.0,1,5,JPN,3.0,ARAI A,11,5 - 11,7,JPN,0:07
Starting goalkeeper,1.0,1,5,JPN,4.0,TANAMURA K,11,5 - 11,480,JPN,8:00
Starting goalkeeper,13.0,1,5,JPN,4.0,STATSENKO V,11,5 - 11,480,RUS,8:00
Sprint won possession,10.0,1,5,JPN,4.0,KHOLOD D,11,5 - 11,480,RUS,8:00
5m shot - Missed,12.0,1,5,JPN,4.0,SHEPELEV R,11,5 - 11,454,RUS,7:34
20 sec. exclusion in centre,7.0,1,5,JPN,4.0,MERKULOV D,11,5 - 11,444,RUS,7:24
Extra player shot - Goal,9.0,1,6,JPN,4.0,ARAI A,11,6 - 11,427,JPN,7:07
Turnover foul,12.0,1,6,JPN,4.0,SHEPELEV R,11,6 - 11,406,RUS,6:46
Steal,4.0,1,6,JPN,4.0,SHIGA M,11,6 - 11,406,JPN,6:46
20 sec. exclusion in field,12.0,1,6,JPN,4.0,SHEPELEV R,11,6 - 11,401,RUS,6:41
Extra player shot - Saved,4.0,1,6,JPN,4.0,SHIGA M,11,6 - 11,387,JPN,6:27
Counter attack - Goal,3.0,1,6,JPN,4.0,VASILYEV E,12,6 - 12,366,RUS,6:06
Turnover foul,11.0,1,6,JPN,4.0,OKAWA K,12,6 - 12,340,JPN,5:40
Steal,7.0,1,6,JPN,4.0,MERKULOV D,12,6 - 12,340,RUS,5:40
Action shot - Saved,5.0,1,6,JPN,4.0,YOSHIDA T,12,6 - 12,296,JPN,4:56
20 sec. exclusion in centre,11.0,1,6,JPN,4.0,OKAWA K,12,6 - 12,282,JPN,4:42
Action shot - Saved,6.0,1,6,JPN,4.0,ASHAEV A,12,6 - 12,257,RUS,4:17
Centre shot - Goal,2.0,1,7,JPN,4.0,ADACHI S,12,7 - 12,244,JPN,4:04
Turnover foul,4.0,1,7,JPN,4.0,DEREVIANKIN N,12,7 - 12,221,RUS,3:41
Steal,11.0,1,7,JPN,4.0,OKAWA K,12,7 - 12,221,JPN,3:41
Centre shot - Saved,12.0,1,7,JPN,4.0,ARAKI K,12,7 - 12,54,JPN,0:54
Turnover foul,5.0,1,7,JPN,4.0,BUGAYCHUK A,12,7 - 12,23,RUS,0:23
Steal,5.0,1,7,JPN,4.0,YOSHIDA T,12,7 - 12,23,JPN,0:23
Turnover foul,4.0,1,7,JPN,4.0,SHIGA M,12,7 - 12,9,JPN,0:09
Steal,7.0,1,7,JPN,4.0,MERKULOV D,12,7 - 12,9,RUS,0:09
5m shot - Saved,9.0,1,7,JPN,4.0,SUCHKOV I,12,7 - 12,1,RUS,0:01
Starting goalkeeper,13.0,2,0,CRO,1.0,STATSENKO V,0,0 - 0,480,RUS,8:00
Starting goalkeeper,1.0,2,0,CRO,1.0,BIJAC M,0,0 - 0,480,CRO,8:00
Sprint won possession,10.0,2,0,CRO,1.0,KHOLOD D,0,0 - 0,480,RUS,8:00
5m shot - Saved,8.0,2,0,CRO,1.0,NAGAEV I,0,0 - 0,452,RUS,7:32
20 sec. exclusion in centre,3.0,2,0,CRO,1.0,VASILYEV E,0,0 - 0,428,RUS,7:08
Action shot - Missed,12.0,2,0,CRO,1.0,GARCIA GADEA J,0,0 - 0,405,CRO,6:45
Turnover foul,7.0,2,0,CRO,1.0,MERKULOV D,0,0 - 0,356,RUS,5:56
Steal,8.0,2,0,CRO,1.0,BUSLJE A,0,0 - 0,356,CRO,5:56
Action shot - Saved,12.0,2,0,CRO,1.0,GARCIA GADEA J,0,0 - 0,338,CRO,5:38
Turnover foul,4.0,2,0,CRO,1.0,LONCAR L,0,0 - 0,314,CRO,5:14
Steal,9.0,2,0,CRO,1.0,SUCHKOV I,0,0 - 0,314,RUS,5:14
Turnover foul,2.0,2,0,CRO,1.0,LAZAREV N,0,0 - 0,282,RUS,4:42
Steal,5.0,2,0,CRO,1.0,JOKOVIC M,0,0 - 0,282,CRO,4:42
Counter attack - Saved,11.0,2,0,CRO,1.0,SETKA A,0,0 - 0,271,CRO,4:31
5m shot - Goal,2.0,2,0,CRO,1.0,LAZAREV N,1,1 - 0,249,RUS,4:09
20 sec. exclusion in centre,9.0,2,0,CRO,1.0,SUCHKOV I,1,1 - 0,220,RUS,3:40
Extra player shot - Post,5.0,2,0,CRO,1.0,JOKOVIC M,1,1 - 0,198,CRO,3:18
20 sec. exclusion in centre,6.0,2,0,CRO,1.0,BULJUBASIC I,1,1 - 0,177,CRO,2:57
5m shot - Goal,6.0,2,0,CRO,1.0,ASHAEV A,2,2 - 0,153,RUS,2:33
Time-Out,,2,0,CRO,1.0,,2,2 - 0,153,CRO,2:33
20 sec. exclusion in centre,6.0,2,0,CRO,1.0,ASHAEV A,2,2 - 0,130,RUS,2:10
Extra player shot - Post,5.0,2,0,CRO,1.0,JOKOVIC M,2,2 - 0,109,CRO,1:49
20 sec. exclusion in centre,12.0,2,0,CRO,1.0,SHEPELEV R,2,2 - 0,96,RUS,1:36
Extra player shot - Goal,9.0,2,1,CRO,1.0,SUKNO S,2,2 - 1,88,CRO,1:28
Time-Out,,2,1,CRO,1.0,,2,2 - 1,88,RUS,1:28
5m shot - Goal,9.0,2,1,CRO,1.0,SUCHKOV I,3,3 - 1,64,RUS,1:04
Turnover foul,12.0,2,1,CRO,1.0,GARCIA GADEA J,3,3 - 1,36,CRO,0:36
Steal,6.0,2,1,CRO,1.0,ASHAEV A,3,3 - 1,36,RUS,0:36
5m shot - Saved,12.0,2,1,CRO,1.0,GARCIA GADEA J,3,3 - 1,1,CRO,0:01
Starting goalkeeper,13.0,2,1,CRO,2.0,STATSENKO V,3,3 - 1,480,RUS,8:00
Starting goalkeeper,13.0,2,1,CRO,2.0,MARCELIC I,3,3 - 1,480,CRO,8:00
Sprint won possession,10.0,2,1,CRO,2.0,KHOLOD D,3,3 - 1,480,RUS,8:00
Centre shot - Missed,11.0,2,1,CRO,2.0,LISUNOV S,3,3 - 1,452,RUS,7:32
Action shot - Missed,9.0,2,1,CRO,2.0,SUKNO S,3,3 - 1,422,CRO,7:02
5m shot - Post,2.0,2,1,CRO,2.0,LAZAREV N,3,3 - 1,402,RUS,6:42
Action shot - Saved,9.0,2,1,CRO,2.0,SUKNO S,3,3 - 1,380,CRO,6:20
Time-Out,,2,1,CRO,2.0,,3,3 - 1,374,RUS,6:14
Turnover foul,8.0,2,1,CRO,2.0,NAGAEV I,3,3 - 1,355,RUS,5:55
Steal,9.0,2,1,CRO,2.0,SUKNO S,3,3 - 1,355,CRO,5:55
