Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time,Result,Goal
Counter attack,11.0,2,0,CRO,1.0,SETKA A,0,0 - 0,271,CRO,4:31,Saved,0
5m shot,2.0,2,0,CRO,1.0,LAZAREV N,1,1 - 0,249,RUS,4:09,Goal,1
Extra player shot,5.0,2,0,CRO,1.0,JOKOVIC M,1,1 - 0,198,CRO,3:18,Post,0
5m shot,6.0,2,0,CRO,1.0,ASHAEV A,2,2 - 0,153,RUS,2:33,Goal,1
Extra player shot,5.0,2,0,CRO,1.0,JOKOVIC M,2,2 - 0,109,CRO,1:49,Post,0
Extra player shot,9.0,2,1,CRO,1.0,SUKNO S,2,2 - 1,88,CRO,1:28,Goal,1
5m shot,9.0,2,1,CRO,1.0,SUCHKOV I,3,3 - 1,64,RUS,1:04,Goal,1
5m shot,12.0,2,1,CRO,1.0,GARCIA GADEA J,3,3 - 1,1,CRO,0:01,Saved,0
Centre shot,11.0,2,1,CRO,2.0,LISUNOV S,3,3 - 1,452,RUS,7:32,Missed,0
Action shot,9.0,2,1,CRO,2.0,SUKNO S,3,3 - 1,422,CRO,7:02,Missed,0
5m shot,2.0,2,1,CRO,2.0,LAZAREV N,3,3 - 1,402,RUS,6:42,Post,0
Action shot,9.0,2,1,CRO,2.0,SUKNO S,3,3 - 1,380,CRO,6:20,Saved,0
Action shot,12.0,2,1,CRO,2.0,GARCIA GADEA J,3,3 - 1,330,CRO,5:30,Blocked,0
5m shot,2.0,2,1,CRO,2.0,LAZAREV N,3,3 - 1,302,RUS,5:02,Blocked,0
Extra player shot,5.0,2,2,CRO,2.0,JOKOVIC M,3,3 - 2,240,CRO,4:00,Goal,1
Extra player shot,4.0,2,2,CRO,2.0,DEREVIANKIN N,3,3 - 2,202,RUS,3:22,Saved,0
Action shot,8.0,2,2,CRO,2.0,NAGAEV I,4,4 - 2,164,RUS,2:44,Goal,1
Centre shot,4.0,2,2,CRO,2.0,LONCAR L,4,4 - 2,142,CRO,2:22,Blocked,0
Counter attack,11.0,2,3,CRO,2.0,SETKA A,4,4 - 3,124,CRO,2:04,Goal,1
Action shot,5.0,2,3,CRO,2.0,BUGAYCHUK A,5,5 - 3,85,RUS,1:25,Goal,1
Centre shot,11.0,2,3,CRO,2.0,LISUNOV S,6,6 - 3,37,RUS,0:37,Goal,1
Action shot,2.0,2,3,CRO,4.0,LAZAREV N,6,6 - 3,36,RUS,0:36,Missed,0
Extra player shot,9.0,2,4,CRO,2.0,SUKNO S,6,6 - 4,10,CRO,0:10,Goal,1
5m shot,11.0,2,4,CRO,3.0,SETKA A,6,6 - 4,423,CRO,7:03,Saved,0
Action shot,2.0,2,4,CRO,3.0,LAZAREV N,6,6 - 4,402,RUS,6:42,Saved,0
Action shot,5.0,2,5,CRO,3.0,JOKOVIC M,6,6 - 5,373,CRO,6:13,Goal,1
5m shot,2.0,2,5,CRO,3.0,LAZAREV N,6,6 - 5,340,RUS,5:40,Missed,0
Extra player shot,5.0,2,6,CRO,3.0,JOKOVIC M,6,6 - 6,278,CRO,4:38,Goal,1
Extra player shot,2.0,2,6,CRO,3.0,LAZAREV N,6,6 - 6,244,RUS,4:04,Blocked,0
Counter attack,3.0,2,6,CRO,3.0,FATOVIC L,6,6 - 6,231,CRO,3:51,Saved,0
5m shot,7.0,2,6,CRO,3.0,MERKULOV D,6,6 - 6,206,RUS,3:26,Saved,0
Centre shot,11.0,2,6,CRO,3.0,LISUNOV S,6,6 - 6,158,RUS,2:38,Saved,0
5m shot,3.0,2,7,CRO,3.0,FATOVIC L,6,6 - 7,136,CRO,2:16,Goal,1
Extra player shot,11.0,2,7,CRO,3.0,LISUNOV S,7,7 - 7,89,RUS,1:29,Goal,1
Action shot,9.0,2,8,CRO,3.0,SUKNO S,7,7 - 8,35,CRO,0:35,Goal,1
Extra player shot,10.0,2,8,CRO,3.0,KHOLOD D,7,7 - 8,1,RUS,0:01,Saved,0
5m shot,10.0,2,8,CRO,4.0,KHOLOD D,7,7 - 8,451,RUS,7:31,Missed,0
Action shot,9.0,2,8,CRO,4.0,SUKNO S,7,7 - 8,422,CRO,7:02,Post,0
Extra player shot,11.0,2,8,CRO,4.0,SETKA A,7,7 - 8,350,CRO,5:50,Saved,0
5m shot,12.0,2,8,CRO,4.0,SHEPELEV R,7,7 - 8,326,RUS,5:26,Post,0
Extra player shot,5.0,2,9,CRO,4.0,JOKOVIC M,7,7 - 9,308,CRO,5:08,Goal,1
Extra player shot,7.0,2,9,CRO,4.0,MERKULOV D,7,7 - 9,271,RUS,4:31,Post,0
5m shot,7.0,2,9,CRO,4.0,MERKULOV D,7,7 - 9,201,RUS,3:21,Saved,0
Penalty shot,7.0,2,9,CRO,4.0,MERKULOV D,8,8 - 9,184,RUS,3:04,Goal,1
Extra player shot,9.0,2,9,CRO,4.0,SUCHKOV I,8,8 - 9,130,RUS,2:10,Saved,0
Action shot,4.0,2,10,CRO,4.0,LONCAR L,8,8 - 10,82,CRO,1:22,Goal,1
5m shot,6.0,3,0,USA,1.0,CUPIDO L,0,0 - 0,457,USA,7:37,Post,0
5m shot,2.0,3,0,USA,1.0,LAZAREV N,0,0 - 0,391,RUS,6:31,Saved,0
Action shot,2.0,3,0,USA,1.0,LAZAREV N,0,0 - 0,366,RUS,6:06,Saved,0
5m shot,11.0,3,1,USA,1.0,ROELSE A,0,1 - 0,347,USA,5:47,Goal,1
5m shot,10.0,3,1,USA,1.0,KHOLOD D,1,1 - 1,318,RUS,5:18,Goal,1
5m shot,9.0,3,2,USA,1.0,BOWEN A,1,2 - 1,289,USA,4:49,Goal,1
5m shot,10.0,3,2,USA,1.0,KHOLOD D,1,2 - 1,259,RUS,4:19,Post,0
Extra player shot,9.0,3,3,USA,1.0,BOWEN A,1,3 - 1,231,USA,3:51,Goal,1
5m shot,8.0,3,3,USA,1.0,NAGAEV I,1,3 - 1,205,RUS,3:25,Saved,0
5m shot,10.0,3,3,USA,1.0,RAMIREZ C,1,3 - 1,186,USA,3:06,Post,0
5m shot,9.0,3,3,USA,1.0,BOWEN A,1,3 - 1,155,USA,2:35,Saved,0
5m shot,9.0,3,4,USA,1.0,BOWEN A,1,4 - 1,132,USA,2:12,Goal,1
Action shot,2.0,3,4,USA,1.0,LAZAREV N,1,4 - 1,110,RUS,1:50,Saved,0
Action shot,6.0,3,5,USA,1.0,CUPIDO L,1,5 - 1,79,USA,1:19,Goal,1
Extra player shot,11.0,3,5,USA,1.0,LISUNOV S,1,5 - 1,16,RUS,0:16,Missed,0
5m shot,6.0,3,6,USA,1.0,CUPIDO L,1,6 - 1,3,USA,0:03,Goal,1
5m shot,7.0,3,6,USA,1.0,MERKULOV D,1,6 - 1,1,RUS,0:01,Post,0
5m shot,3.0,3,6,USA,2.0,VASILYEV E,1,6 - 1,452,RUS,7:32,Saved,0
Extra player shot,9.0,3,7,USA,2.0,BOWEN A,1,7 - 1,398,USA,6:38,Goal,1
5m shot,9.0,3,7,USA,2.0,SUCHKOV I,1,7 - 1,370,RUS,6:10,Post,0
Extra player shot,6.0,3,7,USA,2.0,ASHAEV A,1,7 - 1,347,RUS,5:47,Saved,0
Action shot,8.0,3,7,USA,2.0,CARNIGLIA N,1,7 - 1,302,USA,5:02,Saved,0
Extra player shot,8.0,3,7,USA,2.0,NAGAEV I,1,7 - 1,264,RUS,4:24,Saved,0
Extra player shot,6.0,3,7,USA,2.0,ASHAEV A,1,7 - 1,264,RUS,4:24,Saved,0
Extra player shot,9.0,3,7,USA,4.0,BOWEN A,1,7 - 1,296,USA,4:56,Missed,0
Action shot,7.0,3,7,USA,4.0,MERKULOV D,1,7 - 1,219,RUS,3:39,Saved,0
Action shot,11.0,3,13,USA,4.0,LISUNOV S,9,13 - 9,219,RUS,3:39,Goal,1
Counter attack,2.0,3,14,USA,4.0,HOOPER J,9,14 - 9,178,USA,2:58,Goal,1
Action shot,12.0,3,8,USA,2.0,IRVING M,1,8 - 1,242,USA,4:02,Goal,1
5m shot,7.0,3,8,USA,2.0,MERKULOV D,2,8 - 2,215,RUS,3:35,Goal,1
5m shot,6.0,3,8,USA,2.0,CUPIDO L,2,8 - 2,203,USA,3:23,Blocked,0
Extra player shot,8.0,3,8,USA,2.0,NAGAEV I,3,8 - 3,178,RUS,2:58,Goal,1
5m shot,9.0,3,8,USA,2.0,BOWEN A,3,8 - 3,149,USA,2:29,Post,0
Action shot,5.0,3,8,USA,2.0,BUGAYCHUK A,4,8 - 4,112,RUS,1:52,Goal,1
Extra player shot,2.0,3,9,USA,2.0,HOOPER J,4,9 - 4,82,USA,1:22,Goal,1
Extra player shot,7.0,3,9,USA,2.0,MERKULOV D,5,9 - 5,45,RUS,0:45,Goal,1
5m shot,7.0,3,9,USA,2.0,DUNSTAN T,5,9 - 5,18,USA,0:18,Blocked,0
5m shot,8.0,3,9,USA,2.0,NAGAEV I,6,9 - 6,3,RUS,0:03,Goal,1
5m shot,6.0,3,9,USA,2.0,CUPIDO L,6,9 - 6,1,USA,0:01,Missed,0
5m shot,2.0,3,9,USA,3.0,LAZAREV N,6,9 - 6,456,RUS,7:36,Post,0
5m shot,9.0,3,9,USA,3.0,BOWEN A,6,9 - 6,427,USA,7:07,Saved,0
Action shot,8.0,3,9,USA,3.0,NAGAEV I,6,9 - 6,403,RUS,6:43,Saved,0
Counter attack,6.0,3,10,USA,3.0,CUPIDO L,6,10 - 6,393,USA,6:33,Goal,1
5m shot,7.0,3,10,USA,3.0,MERKULOV D,6,10 - 6,362,RUS,6:02,Saved,0
Action shot,7.0,3,11,USA,3.0,DUNSTAN T,6,11 - 6,315,USA,5:15,Goal,1
Action shot,8.0,3,11,USA,3.0,NAGAEV I,6,11 - 6,205,RUS,3:25,Missed,0
Action shot,2.0,3,11,USA,3.0,HOOPER J,6,11 - 6,176,USA,2:56,Saved,0
5m shot,12.0,3,11,USA,3.0,SHEPELEV R,7,11 - 7,149,RUS,2:29,Goal,1
Action shot,12.0,3,11,USA,3.0,SHEPELEV R,7,11 - 7,112,RUS,1:52,Saved,0
Action shot,7.0,3,12,USA,3.0,DUNSTAN T,7,12 - 7,97,USA,1:37,Goal,1
5m shot,7.0,3,12,USA,3.0,MERKULOV D,7,12 - 7,68,RUS,1:08,Saved,0
5m shot,7.0,3,12,USA,3.0,MERKULOV D,7,12 - 7,7,RUS,0:07,Post,0
5m shot,8.0,3,12,USA,3.0,CARNIGLIA N,7,12 - 7,1,USA,0:01,Post,0
Extra player shot,10.0,3,12,USA,4.0,KHOLOD D,7,12 - 7,414,RUS,6:54,Blocked,0
Extra player shot,9.0,3,12,USA,4.0,BOWEN A,7,12 - 7,377,USA,6:17,Saved,0
Extra player shot,6.0,3,13,USA,4.0,CUPIDO L,7,13 - 7,371,USA,6:11,Goal,1
Extra player shot,4.0,3,13,USA,4.0,DEREVIANKIN N,8,13 - 8,333,RUS,5:33,Goal,1
Extra player shot,12.0,3,13,USA,4.0,SHEPELEV R,8,13 - 8,153,RUS,2:33,Post,0
Counter attack,12.0,3,14,USA,4.0,SHEPELEV R,10,14 - 10,115,RUS,1:55,Goal,1
Extra player shot,6.0,3,14,USA,4.0,CUPIDO L,10,14 - 10,82,USA,1:22,Missed,0
Counter attack,6.0,3,14,USA,4.0,ASHAEV A,10,14 - 10,71,RUS,1:11,Saved,0
Penalty shot,7.0,3,14,USA,4.0,MERKULOV D,10,14 - 10,45,RUS,0:45,Saved,0
Extra player shot,5.0,3,14,USA,4.0,BUGAYCHUK A,11,14 - 11,6,RUS,0:06,Goal,1
5m shot,9.0,3,14,USA,4.0,BOWEN A,11,14 - 11,1,USA,0:01,Saved,0
Extra player shot,7.0,4,0,ESP,1.0,MERKULOV D,0,0 - 0,433,RUS,7:13,Blocked,0
5m shot,8.0,4,0,ESP,1.0,NAGAEV I,0,0 - 0,384,RUS,6:24,Missed,0
Extra player shot,9.0,4,1,ESP,1.0,TAHULL COMPTE R,0,1 - 0,347,ESP,5:47,Goal,1
5m shot,7.0,4,1,ESP,1.0,MERKULOV D,1,1 - 1,321,RUS,5:21,Goal,1
Action shot,7.0,4,2,ESP,1.0,BARROSO MACARRO A,1,2 - 1,276,ESP,4:36,Goal,1
5m shot,11.0,4,2,ESP,1.0,MALLARACH GUELL B,1,2 - 1,227,ESP,3:47,Saved,0
5m shot,8.0,4,2,ESP,1.0,ESPANOL LIFANTE A,1,2 - 1,198,ESP,3:18,Post,0
Penalty shot,7.0,4,2,ESP,1.0,MERKULOV D,2,2 - 2,174,RUS,2:54,Goal,1
Extra player shot,6.0,4,2,ESP,1.0,MINGUELL ALFEREZ M,2,2 - 2,125,ESP,2:05,Saved,0
5m shot,12.0,4,2,ESP,1.0,SHEPELEV R,2,2 - 2,95,RUS,1:35,Saved,0
5m shot,3.0,4,2,ESP,1.0,GRANADOS ORTEGA A,2,2 - 2,35,ESP,0:35,Blocked,0
