Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time,Result,Goal
Extra player shot,9.0,1,0,ARG,1.0,CARABANTES I,0,0 - 0,388,ARG,6:28,Post,0
Penalty shot,10.0,1,0,ARG,1.0,LE ROUX P,1,1 - 0,375,RSA,6:15,Goal,1
5m shot,6.0,1,0,ARG,1.0,BULGHERONI T,1,1 - 0,343,ARG,5:43,Saved,0
Extra player shot,2.0,1,0,ARG,1.0,LE ROUX E,2,2 - 0,304,RSA,5:04,Goal,1
5m shot,2.0,1,0,ARG,1.0,VEICH R,2,2 - 0,292,ARG,4:52,Post,0
Extra player shot,6.0,1,0,ARG,1.0,DE CARVALHO J,3,3 - 0,252,RSA,4:12,Goal,1
Centre shot,11.0,1,0,ARG,1.0,MOLYNEUX N,3,3 - 0,221,RSA,3:41,Saved,0
Action shot,3.0,1,0,ARG,1.0,CARD D,4,4 - 0,221,RSA,3:41,Goal,1
Extra player shot,12.0,1,1,ARG,1.0,YANEZ G,4,4 - 1,207,ARG,3:27,Goal,1
Extra player shot,4.0,1,1,ARG,1.0,BADENHORST I,5,5 - 1,170,RSA,2:50,Goal,1
Centre shot,10.0,1,1,ARG,1.0,LE ROUX P,5,5 - 1,129,RSA,2:09,Saved,0
Centre shot,11.0,1,1,ARG,1.0,MOLYNEUX N,5,5 - 1,71,RSA,1:11,Post,0
Penalty shot,2.0,1,1,ARG,1.0,LE ROUX E,6,6 - 1,71,RSA,1:11,Goal,1
5m shot,2.0,1,2,ARG,1.0,VEICH R,6,6 - 2,51,ARG,0:51,Goal,1
5m shot,9.0,1,2,ARG,1.0,CARABANTES I,6,6 - 2,13,ARG,0:13,Blocked,0
Action shot,12.0,1,3,ARG,2.0,YANEZ G,6,6 - 3,433,ARG,7:13,Goal,1
5m shot,10.0,1,3,ARG,2.0,LE ROUX P,6,6 - 3,409,RSA,6:49,Missed,0
Action shot,12.0,1,3,ARG,2.0,YANEZ G,6,6 - 3,381,ARG,6:21,Saved,0
Action shot,11.0,1,3,ARG,2.0,MOLYNEUX N,6,6 - 3,325,RSA,5:25,Saved,0
Extra player shot,5.0,1,3,ARG,2.0,HOCK N,7,7 - 3,198,RSA,3:18,Goal,1
5m shot,12.0,1,3,ARG,2.0,YANEZ G,7,7 - 3,179,ARG,2:59,Post,0
Extra player shot,2.0,1,4,ARG,2.0,VEICH R,7,7 - 4,111,ARG,1:51,Goal,1
Action shot,5.0,1,4,ARG,2.0,HOCK N,7,7 - 4,86,RSA,1:26,Blocked,0
5m shot,12.0,1,4,ARG,2.0,YANEZ G,7,7 - 4,58,ARG,0:58,Blocked,0
5m shot,2.0,1,4,ARG,2.0,LE ROUX E,7,7 - 4,17,RSA,0:17,Post,0
5m shot,9.0,1,4,ARG,2.0,CARABANTES I,7,7 - 4,7,ARG,0:07,Saved,0
5m shot,10.0,1,4,ARG,2.0,LE ROUX P,7,7 - 4,0,RSA,0:00,Missed,0
Extra player shot,12.0,1,4,ARG,3.0,YANEZ G,7,7 - 4,416,ARG,6:56,Saved,0
5m shot,11.0,1,4,ARG,3.0,DEMARCHI F,7,7 - 4,364,ARG,6:04,Saved,0
Extra player shot,6.0,1,4,ARG,3.0,BULGHERONI T,7,7 - 4,314,ARG,5:14,Blocked,0
Centre shot,2.0,1,4,ARG,3.0,VEICH R,7,7 - 4,294,ARG,4:54,Saved,0
Penalty shot,10.0,1,4,ARG,3.0,LE ROUX P,8,8 - 4,265,RSA,4:25,Goal,1
Extra player shot,11.0,1,4,ARG,3.0,DEMARCHI F,8,8 - 4,241,ARG,4:01,Post,0
5m shot,8.0,1,4,ARG,3.0,WINGATE-PEARSE J,8,8 - 4,170,RSA,2:50,Saved,0
Action shot,4.0,1,4,ARG,3.0,BADENHORST I,8,8 - 4,105,RSA,1:45,Post,0
Action shot,6.0,1,5,ARG,3.0,BULGHERONI T,8,8 - 5,41,ARG,0:41,Goal,1
5m shot,2.0,1,5,ARG,3.0,LE ROUX E,8,8 - 5,13,RSA,0:13,Saved,0
5m shot,2.0,1,5,ARG,3.0,VEICH R,8,8 - 5,1,ARG,0:01,Missed,0
5m shot,12.0,1,6,ARG,4.0,YANEZ G,8,8 - 6,427,ARG,7:07,Goal,1
5m shot,12.0,1,6,ARG,4.0,YANEZ G,8,8 - 6,377,ARG,6:17,Saved,0
Centre shot,10.0,1,6,ARG,4.0,LE ROUX P,9,9 - 6,356,RSA,5:56,Goal,1
5m shot,2.0,1,6,ARG,4.0,VEICH R,9,9 - 6,326,ARG,5:26,Post,0
5m shot,6.0,1,6,ARG,4.0,BULGHERONI T,9,9 - 6,228,ARG,3:48,Blocked,0
Counter attack,11.0,1,6,ARG,4.0,DEMARCHI F,9,9 - 6,190,ARG,3:10,Saved,0
5m shot,9.0,1,6,ARG,4.0,CARABANTES I,9,9 - 6,138,ARG,2:18,Saved,0
Action shot,8.0,1,6,ARG,4.0,CORSI E,9,9 - 6,93,ARG,1:33,Saved,0
Action shot,6.0,1,6,ARG,4.0,BULGHERONI T,9,9 - 6,47,ARG,0:47,Saved,0
Counter attack,2.0,1,6,ARG,4.0,LE ROUX E,10,10 - 6,39,RSA,0:39,Goal,1
Extra player shot,2.0,2,0,HUN,1.0,GOR-NAGY M,0,0 - 0,451,HUN,7:31,Saved,0
Action shot,9.0,2,0,HUN,1.0,VARGA D,0,0 - 0,394,HUN,6:34,Post,0
5m shot,10.0,2,1,HUN,1.0,VARGA D,0,0 - 1,349,HUN,5:49,Goal,1
5m shot,10.0,2,1,HUN,1.0,LE ROUX P,0,0 - 1,323,RSA,5:23,Saved,0
Counter attack,9.0,2,1,HUN,1.0,VARGA D,0,0 - 1,304,HUN,5:04,Saved,0
Counter attack,12.0,2,2,HUN,1.0,HARAI B,0,0 - 2,218,HUN,3:38,Goal,1
Penalty shot,4.0,2,3,HUN,1.0,ERDELYI B,0,0 - 3,191,HUN,3:11,Goal,1
Action shot,6.0,2,4,HUN,1.0,HOSNYANSZKY N,0,0 - 4,146,HUN,2:26,Goal,1
5m shot,12.0,2,4,HUN,1.0,BOHATA W,0,0 - 4,114,RSA,1:54,Saved,0
Action shot,7.0,2,4,HUN,1.0,ANGYAL D,0,0 - 4,95,HUN,1:35,Post,0
Counter attack,11.0,2,4,HUN,1.0,MOLYNEUX N,1,1 - 4,79,RSA,1:19,Goal,1
Action shot,8.0,2,5,HUN,1.0,SZIVOS M,1,1 - 5,56,HUN,0:56,Goal,1
Action shot,12.0,2,6,HUN,2.0,HARAI B,1,1 - 6,466,HUN,7:46,Goal,1
Action shot,6.0,2,6,HUN,2.0,HOSNYANSZKY N,1,1 - 6,425,HUN,7:05,Saved,0
Extra player shot,5.0,2,6,HUN,2.0,VAMOS M,1,1 - 6,400,HUN,6:40,Post,0
Centre shot,10.0,2,7,HUN,2.0,VARGA D,1,1 - 7,352,HUN,5:52,Goal,1
Counter attack,11.0,2,7,HUN,2.0,MOLYNEUX N,1,1 - 7,295,RSA,4:55,Missed,0
Action shot,10.0,2,8,HUN,2.0,VARGA D,1,1 - 8,278,HUN,4:38,Goal,1
5m shot,3.0,2,8,HUN,2.0,MADARAS N,1,1 - 8,223,HUN,3:43,Saved,0
Action shot,11.0,2,8,HUN,2.0,MOLYNEUX N,1,1 - 8,195,RSA,3:15,Saved,0
5m shot,2.0,2,8,HUN,2.0,LE ROUX E,1,1 - 8,185,RSA,3:05,Blocked,0
5m shot,6.0,2,8,HUN,2.0,DE CARVALHO J,1,1 - 8,104,RSA,1:44,Saved,0
5m shot,6.0,2,8,HUN,4.0,HOSNYANSZKY N,1,1 - 8,110,HUN,1:50,Missed,0
Action shot,2.0,2,8,HUN,4.0,LE ROUX E,1,1 - 8,80,RSA,1:20,Blocked,0
5m shot,7.0,2,8,HUN,2.0,JAGGA D,1,1 - 8,10,RSA,0:10,Saved,0
5m shot,3.0,2,8,HUN,2.0,MADARAS N,1,1 - 8,0,HUN,0:00,Missed,0
Action shot,12.0,2,9,HUN,3.0,HARAI B,1,1 - 9,453,HUN,7:33,Goal,1
Action shot,5.0,2,9,HUN,3.0,HOCK N,2,2 - 9,427,RSA,7:07,Goal,1
Extra player shot,10.0,2,9,HUN,3.0,LE ROUX P,2,2 - 9,363,RSA,6:03,Missed,0
Penalty shot,5.0,2,10,HUN,3.0,VAMOS M,2,2 - 10,349,HUN,5:49,Goal,1
Action shot,12.0,2,10,HUN,3.0,HARAI B,2,2 - 10,290,HUN,4:50,Saved,0
5m shot,5.0,2,10,HUN,3.0,VAMOS M,2,2 - 10,245,HUN,4:05,Saved,0
5m shot,6.0,2,10,HUN,3.0,HOSNYANSZKY N,2,2 - 10,239,HUN,3:59,Post,0
Extra player shot,3.0,2,10,HUN,3.0,MADARAS N,2,2 - 10,203,HUN,3:23,Post,0
Action shot,10.0,2,10,HUN,3.0,VARGA D,2,2 - 10,196,HUN,3:16,Post,0
5m shot,2.0,2,10,HUN,3.0,LE ROUX E,2,2 - 10,170,RSA,2:50,Saved,0
Penalty shot,11.0,2,10,HUN,3.0,MOLYNEUX N,3,3 - 10,157,RSA,2:37,Goal,1
Centre shot,11.0,2,11,HUN,3.0,BEDO K,3,3 - 11,138,HUN,2:18,Goal,1
Extra player shot,10.0,2,12,HUN,3.0,VARGA D,3,3 - 12,98,HUN,1:38,Goal,1
5m shot,6.0,2,12,HUN,3.0,HOSNYANSZKY N,3,3 - 12,37,HUN,0:37,Saved,0
5m shot,5.0,2,12,HUN,4.0,VAMOS M,3,3 - 12,428,HUN,7:08,Saved,0
Action shot,5.0,2,12,HUN,4.0,VAMOS M,3,3 - 12,423,HUN,7:03,Saved,0
Extra player shot,5.0,2,13,HUN,4.0,VAMOS M,3,3 - 13,356,HUN,5:56,Goal,1
Action shot,7.0,2,13,HUN,4.0,JAGGA D,4,4 - 13,337,RSA,5:37,Goal,1
Action shot,10.0,2,13,HUN,4.0,VARGA D,4,4 - 13,318,HUN,5:18,Saved,0
Extra player shot,7.0,2,14,HUN,4.0,ANGYAL D,4,4 - 14,265,HUN,4:25,Goal,1
5m shot,3.0,2,14,HUN,4.0,MADARAS N,4,4 - 14,212,HUN,3:32,Saved,0
Action shot,10.0,2,15,HUN,4.0,VARGA D,4,4 - 15,164,HUN,2:44,Goal,1
Counter attack,4.0,2,16,HUN,4.0,ERDELYI B,4,4 - 16,79,HUN,1:19,Goal,1
Action shot,4.0,2,17,HUN,4.0,ERDELYI B,4,4 - 17,37,HUN,0:37,Goal,1
5m shot,8.0,2,17,HUN,4.0,SZIVOS M,4,4 - 17,0,HUN,0:00,Saved,0
Counter attack,2.0,3,1,KAZ,1.0,GUBAREV S,0,0 - 1,455,KAZ,7:35,Goal,1
Centre shot,12.0,3,2,KAZ,1.0,PEKOVICH B,0,0 - 2,398,KAZ,6:38,Goal,1
Extra player shot,3.0,3,3,KAZ,1.0,AXENOV A,0,0 - 3,351,KAZ,5:51,Goal,1
5m shot,10.0,3,3,KAZ,1.0,LE ROUX P,0,0 - 3,314,RSA,5:14,Saved,0
5m shot,3.0,3,4,KAZ,1.0,AXENOV A,0,0 - 4,292,KAZ,4:52,Goal,1
Extra player shot,6.0,3,4,KAZ,1.0,DE CARVALHO J,0,0 - 4,244,RSA,4:04,Post,0
Extra player shot,8.0,3,4,KAZ,1.0,WINGATE-PEARSE J,0,0 - 4,233,RSA,3:53,Saved,0
Action shot,5.0,3,4,KAZ,1.0,USHAKOV V,0,0 - 4,204,KAZ,3:24,Blocked,0
Action shot,10.0,3,4,KAZ,1.0,LE ROUX P,0,0 - 4,123,RSA,2:03,Saved,0
Action shot,2.0,3,4,KAZ,1.0,GUBAREV S,0,0 - 4,96,KAZ,1:36,Missed,0
Action shot,8.0,3,4,KAZ,1.0,WINGATE-PEARSE J,0,0 - 4,56,RSA,0:56,Missed,0
Extra player shot,7.0,3,4,KAZ,2.0,SHAKENOV M,0,0 - 4,408,KAZ,6:48,Saved,0
Extra player shot,10.0,3,4,KAZ,2.0,LE ROUX P,0,0 - 4,385,RSA,6:25,Blocked,0
Action shot,10.0,3,4,KAZ,2.0,LE ROUX P,0,0 - 4,338,RSA,5:38,Saved,0
Action shot,12.0,3,4,KAZ,2.0,PEKOVICH B,0,0 - 4,254,KAZ,4:14,Saved,0
Centre shot,12.0,3,5,KAZ,2.0,PEKOVICH B,0,0 - 5,242,KAZ,4:02,Goal,1
Centre shot,11.0,3,5,KAZ,2.0,MANAFOV R,0,0 - 5,192,KAZ,3:12,Saved,0
