Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time
20 sec. exclusion in centre,2.0,2,0,HUN,1.0,LE ROUX E,0,0 - 0,405,RSA,6:45
Action shot - Post,9.0,2,0,HUN,1.0,VARGA D,0,0 - 0,394,HUN,6:34
Turnover foul,2.0,2,0,HUN,1.0,LE ROUX E,0,0 - 0,369,RSA,6:09
Steal,8.0,2,0,HUN,1.0,SZIVOS M,0,0 - 0,369,HUN,6:09
5m shot - Goal,10.0,2,1,HUN,1.0,VARGA D,0,0 - 1,349,HUN,5:49
5m shot - Saved,10.0,2,1,HUN,1.0,LE ROUX P,0,0 - 1,323,RSA,5:23
Counter attack - Saved,9.0,2,1,HUN,1.0,VARGA D,0,0 - 1,304,HUN,5:04
Turnover foul,4.0,2,1,HUN,1.0,BADENHORST I,0,0 - 1,275,RSA,4:35
Steal,9.0,2,1,HUN,1.0,VARGA D,0,0 - 1,275,HUN,4:35
Turnover foul,9.0,2,1,HUN,1.0,VARGA D,0,0 - 1,257,HUN,4:17
Steal,10.0,2,1,HUN,1.0,LE ROUX P,0,0 - 1,257,RSA,4:17
Turnover foul,11.0,2,1,HUN,1.0,MOLYNEUX N,0,0 - 1,231,RSA,3:51
Steal,12.0,2,1,HUN,1.0,HARAI B,0,0 - 1,231,HUN,3:51
Counter attack - Goal,12.0,2,2,HUN,1.0,HARAI B,0,0 - 2,218,HUN,3:38
Turnover foul,6.0,2,2,HUN,1.0,DE CARVALHO J,0,0 - 2,196,RSA,3:16
Steal,4.0,2,2,HUN,1.0,ERDELYI B,0,0 - 2,192,HUN,3:12
Penalty foul,6.0,2,2,HUN,1.0,DE CARVALHO J,0,0 - 2,191,RSA,3:11
Penalty shot - Goal,4.0,2,3,HUN,1.0,ERDELYI B,0,0 - 3,191,HUN,3:11
Time-Out,,2,3,HUN,1.0,,0,0 - 3,191,RSA,3:11
Turnover foul,5.0,2,3,HUN,1.0,HOCK N,0,0 - 3,172,RSA,2:52
Steal,6.0,2,3,HUN,1.0,HOSNYANSZKY N,0,0 - 3,172,HUN,2:52
Action shot - Goal,6.0,2,4,HUN,1.0,HOSNYANSZKY N,0,0 - 4,146,HUN,2:26
5m shot - Saved,12.0,2,4,HUN,1.0,BOHATA W,0,0 - 4,114,RSA,1:54
Action shot - Post,7.0,2,4,HUN,1.0,ANGYAL D,0,0 - 4,95,HUN,1:35
Counter attack - Goal,11.0,2,4,HUN,1.0,MOLYNEUX N,1,1 - 4,79,RSA,1:19
Action shot - Goal,8.0,2,5,HUN,1.0,SZIVOS M,1,1 - 5,56,HUN,0:56
20 sec. exclusion in centre,9.0,2,5,HUN,1.0,VARGA D,1,1 - 5,44,HUN,0:44
Turnover foul,2.0,2,5,HUN,1.0,LE ROUX E,1,1 - 5,17,RSA,0:17
Steal,5.0,2,5,HUN,1.0,VAMOS M,1,1 - 5,17,HUN,0:17
Starting goalkeeper,1.0,2,5,HUN,2.0,FLATSCHER D,1,1 - 5,480,RSA,8:00
Starting goalkeeper,13.0,2,5,HUN,2.0,DECKER A,1,1 - 5,480,HUN,8:00
Sprint won possession,4.0,2,5,HUN,2.0,ERDELYI B,1,1 - 5,480,HUN,8:00
Action shot - Goal,12.0,2,6,HUN,2.0,HARAI B,1,1 - 6,466,HUN,7:46
20 sec. exclusion in field,4.0,2,6,HUN,2.0,BADENHORST I,1,1 - 6,447,RSA,7:27
Time-Out,,2,6,HUN,2.0,,1,1 - 6,447,HUN,7:27
Action shot - Saved,6.0,2,6,HUN,2.0,HOSNYANSZKY N,1,1 - 6,425,HUN,7:05
20 sec. exclusion in centre,10.0,2,6,HUN,2.0,LE ROUX P,1,1 - 6,415,RSA,6:55
Extra player shot - Post,5.0,2,6,HUN,2.0,VAMOS M,1,1 - 6,400,HUN,6:40
Goalkeeper substitution,13.0,2,6,HUN,2.0,LEWIS J,1,1 - 6,380,RSA,6:20
Turnover foul,2.0,2,6,HUN,2.0,LE ROUX E,1,1 - 6,376,RSA,6:16
Steal,10.0,2,6,HUN,2.0,VARGA D,1,1 - 6,376,HUN,6:16
Centre shot - Goal,10.0,2,7,HUN,2.0,VARGA D,1,1 - 7,352,HUN,5:52
Turnover foul,3.0,2,7,HUN,2.0,CARD D,1,1 - 7,336,RSA,5:36
Turnover foul,11.0,2,7,HUN,2.0,BEDO K,1,1 - 7,309,HUN,5:09
Counter attack - Missed,11.0,2,7,HUN,2.0,MOLYNEUX N,1,1 - 7,295,RSA,4:55
Action shot - Goal,10.0,2,8,HUN,2.0,VARGA D,1,1 - 8,278,HUN,4:38
Turnover foul,11.0,2,8,HUN,2.0,MOLYNEUX N,1,1 - 8,249,RSA,4:09
Steal,9.0,2,8,HUN,2.0,VARGA D,1,1 - 8,249,HUN,4:09
5m shot - Saved,3.0,2,8,HUN,2.0,MADARAS N,1,1 - 8,223,HUN,3:43
Time-Out,,2,8,HUN,2.0,,1,1 - 8,221,RSA,3:41
Action shot - Saved,11.0,2,8,HUN,2.0,MOLYNEUX N,1,1 - 8,195,RSA,3:15
5m shot - Blocked,2.0,2,8,HUN,2.0,LE ROUX E,1,1 - 8,185,RSA,3:05
20 sec. exclusion in centre,11.0,2,8,HUN,2.0,MOLYNEUX N,1,1 - 8,148,RSA,2:28
5m shot - Saved,6.0,2,8,HUN,2.0,DE CARVALHO J,1,1 - 8,104,RSA,1:44
Turnover foul,10.0,2,8,HUN,2.0,VARGA D,1,1 - 8,85,HUN,1:25
Steal,2.0,2,8,HUN,2.0,LE ROUX E,1,1 - 8,85,RSA,1:25
Turnover foul,7.0,2,8,HUN,2.0,JAGGA D,1,1 - 8,64,RSA,1:04
5m shot - Missed,6.0,2,8,HUN,4.0,HOSNYANSZKY N,1,1 - 8,110,HUN,1:50
Action shot - Blocked,2.0,2,8,HUN,4.0,LE ROUX E,1,1 - 8,80,RSA,1:20
Turnover foul,2.0,2,8,HUN,4.0,LE ROUX E,1,1 - 8,79,RSA,1:19
Steal,3.0,2,8,HUN,2.0,MADARAS N,1,1 - 8,64,HUN,1:04
Turnover foul,4.0,2,8,HUN,2.0,ERDELYI B,1,1 - 8,39,HUN,0:39
5m shot - Saved,7.0,2,8,HUN,2.0,JAGGA D,1,1 - 8,10,RSA,0:10
5m shot - Missed,3.0,2,8,HUN,2.0,MADARAS N,1,1 - 8,0,HUN,0:00
Starting goalkeeper,13.0,2,8,HUN,3.0,LEWIS J,1,1 - 8,480,RSA,8:00
Starting goalkeeper,13.0,2,8,HUN,3.0,DECKER A,1,1 - 8,480,HUN,8:00
Sprint won possession,4.0,2,8,HUN,3.0,ERDELYI B,1,1 - 8,480,HUN,8:00
Action shot - Goal,12.0,2,9,HUN,3.0,HARAI B,1,1 - 9,453,HUN,7:33
Action shot - Goal,5.0,2,9,HUN,3.0,HOCK N,2,2 - 9,427,RSA,7:07
Turnover foul,12.0,2,9,HUN,3.0,HARAI B,2,2 - 9,406,HUN,6:46
20 sec. exclusion in centre,2.0,2,9,HUN,3.0,GOR-NAGY M,2,2 - 9,384,HUN,6:24
Extra player shot - Missed,10.0,2,9,HUN,3.0,LE ROUX P,2,2 - 9,363,RSA,6:03
Penalty foul,8.0,2,9,HUN,3.0,WINGATE-PEARSE J,2,2 - 9,349,RSA,5:49
Penalty shot - Goal,5.0,2,10,HUN,3.0,VAMOS M,2,2 - 10,349,HUN,5:49
Action shot - Saved,12.0,2,10,HUN,3.0,HARAI B,2,2 - 10,290,HUN,4:50
Turnover foul,5.0,2,10,HUN,3.0,HOCK N,2,2 - 10,266,RSA,4:26
Steal,5.0,2,10,HUN,3.0,VAMOS M,2,2 - 10,266,HUN,4:26
5m shot - Saved,5.0,2,10,HUN,3.0,VAMOS M,2,2 - 10,245,HUN,4:05
5m shot - Post,6.0,2,10,HUN,3.0,HOSNYANSZKY N,2,2 - 10,239,HUN,3:59
Time-Out,,2,10,HUN,3.0,,2,2 - 10,234,RSA,3:54
Turnover foul,2.0,2,10,HUN,3.0,LE ROUX E,2,2 - 10,223,RSA,3:43
Steal,3.0,2,10,HUN,3.0,MADARAS N,2,2 - 10,223,HUN,3:43
20 sec. exclusion in field,9.0,2,10,HUN,3.0,WHYTE D,2,2 - 10,221,RSA,3:41
Time-Out,,2,10,HUN,3.0,,2,2 - 10,221,HUN,3:41
Extra player shot - Post,3.0,2,10,HUN,3.0,MADARAS N,2,2 - 10,203,HUN,3:23
Action shot - Post,10.0,2,10,HUN,3.0,VARGA D,2,2 - 10,196,HUN,3:16
5m shot - Saved,2.0,2,10,HUN,3.0,LE ROUX E,2,2 - 10,170,RSA,2:50
Penalty foul,9.0,2,10,HUN,3.0,VARGA D,2,2 - 10,157,HUN,2:37
Penalty shot - Goal,11.0,2,10,HUN,3.0,MOLYNEUX N,3,3 - 10,157,RSA,2:37
Centre shot - Goal,11.0,2,11,HUN,3.0,BEDO K,3,3 - 11,138,HUN,2:18
Turnover foul,2.0,2,11,HUN,3.0,LE ROUX E,3,3 - 11,120,RSA,2:00
Steal,10.0,2,11,HUN,3.0,VARGA D,3,3 - 11,120,HUN,2:00
20 sec. exclusion in field,2.0,2,11,HUN,3.0,LE ROUX E,3,3 - 11,115,RSA,1:55
Extra player shot - Goal,10.0,2,12,HUN,3.0,VARGA D,3,3 - 12,98,HUN,1:38
20 sec. exclusion in centre,2.0,2,12,HUN,3.0,GOR-NAGY M,3,3 - 12,77,HUN,1:17
Turnover foul,2.0,2,12,HUN,3.0,LE ROUX E,3,3 - 12,43,RSA,0:43
Steal,5.0,2,12,HUN,3.0,VAMOS M,3,3 - 12,43,HUN,0:43
5m shot - Saved,6.0,2,12,HUN,3.0,HOSNYANSZKY N,3,3 - 12,37,HUN,0:37
Starting goalkeeper,13.0,2,12,HUN,4.0,LEWIS J,3,3 - 12,480,RSA,8:00
Starting goalkeeper,13.0,2,12,HUN,4.0,DECKER A,3,3 - 12,480,HUN,8:00
Sprint won possession,11.0,2,12,HUN,4.0,MOLYNEUX N,3,3 - 12,480,RSA,8:00
Turnover foul,10.0,2,12,HUN,4.0,LE ROUX P,3,3 - 12,451,RSA,7:31
Steal,7.0,2,12,HUN,4.0,ANGYAL D,3,3 - 12,451,HUN,7:31
5m shot - Saved,5.0,2,12,HUN,4.0,VAMOS M,3,3 - 12,428,HUN,7:08
Action shot - Saved,5.0,2,12,HUN,4.0,VAMOS M,3,3 - 12,423,HUN,7:03
20 sec. exclusion in centre,5.0,2,12,HUN,4.0,HOCK N,3,3 - 12,402,RSA,6:42
Turnover foul,4.0,2,12,HUN,4.0,ERDELYI B,3,3 - 12,373,HUN,6:13
Turnover foul,5.0,2,12,HUN,4.0,HOCK N,3,3 - 12,365,RSA,6:05
Steal,6.0,2,12,HUN,4.0,HOSNYANSZKY N,3,3 - 12,365,HUN,6:05
20 sec. exclusion in field,5.0,2,12,HUN,4.0,HOCK N,3,3 - 12,365,RSA,6:05
Extra player shot - Goal,5.0,2,13,HUN,4.0,VAMOS M,3,3 - 13,356,HUN,5:56
Action shot - Goal,7.0,2,13,HUN,4.0,JAGGA D,4,4 - 13,337,RSA,5:37
Action shot - Saved,10.0,2,13,HUN,4.0,VARGA D,4,4 - 13,318,HUN,5:18
Turnover foul,10.0,2,13,HUN,4.0,LE ROUX P,4,4 - 13,300,RSA,5:00
Steal,4.0,2,13,HUN,4.0,ERDELYI B,4,4 - 13,300,HUN,5:00
20 sec. exclusion in centre,6.0,2,13,HUN,4.0,DE CARVALHO J,4,4 - 13,284,RSA,4:44
Exclusion with substitution,6.0,2,13,HUN,4.0,DE CARVALHO J,4,4 - 13,284,RSA,4:44
Extra player shot - Goal,7.0,2,14,HUN,4.0,ANGYAL D,4,4 - 14,265,HUN,4:25
Turnover foul,2.0,2,14,HUN,4.0,LE ROUX E,4,4 - 14,239,RSA,3:59
Steal,4.0,2,14,HUN,4.0,ERDELYI B,4,4 - 14,239,HUN,3:59
5m shot - Saved,3.0,2,14,HUN,4.0,MADARAS N,4,4 - 14,212,HUN,3:32
