Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,10.0,2,2,1,SRB,1.0,FILIPOVIC F,1 - 2,289,SRB,4:49,Goal,1
Extra player shot,10.0,2,2,1,SRB,1.0,VARGA D,1 - 2,260,HUN,4:20,Saved,0
5m shot,10.0,2,2,1,SRB,1.0,FILIPOVIC F,1 - 2,233,SRB,3:53,Saved,0
Action shot,11.0,2,2,2,SRB,1.0,PRLAINOVIC A,2 - 2,181,SRB,3:01,Goal,1
Centre shot,12.0,2,2,2,SRB,1.0,HARAI B,2 - 2,153,HUN,2:33,Post,0
Extra player shot,8.0,2,2,2,SRB,1.0,ALEKSIC M,2 - 2,122,SRB,2:02,Saved,0
Action shot,12.0,2,2,2,SRB,1.0,MITROVIC S,2 - 2,112,SRB,1:52,Saved,0
5m shot,4.0,2,2,2,SRB,1.0,BATORI B,2 - 2,95,HUN,1:35,Blocked,0
Extra player shot,8.0,2,2,2,SRB,1.0,ALEKSIC M,2 - 2,67,SRB,1:07,Blocked,0
Action shot,5.0,2,2,2,SRB,1.0,CUK M,2 - 2,49,SRB,0:49,Post,0
Extra player shot,5.0,2,3,2,SRB,1.0,VAMOS M,2 - 3,20,HUN,0:20,Goal,1
5m shot,3.0,2,3,2,SRB,1.0,MADARAS N,2 - 3,1,HUN,0:01,Saved,0
Action shot,10.0,2,3,3,SRB,2.0,FILIPOVIC F,3 - 3,453,SRB,7:33,Goal,1
Centre shot,12.0,2,3,3,SRB,2.0,HARAI B,3 - 3,431,HUN,7:11,Missed,0
Centre shot,6.0,2,3,4,SRB,2.0,PIJETLOVIC D,4 - 3,415,SRB,6:55,Goal,1
Extra player shot,3.0,2,4,4,SRB,2.0,MADARAS N,4 - 4,381,HUN,6:21,Goal,1
Action shot,2.0,2,4,4,SRB,2.0,MANDIC D,4 - 4,335,SRB,5:35,Missed,0
Extra player shot,12.0,2,4,4,SRB,2.0,HARAI B,4 - 4,301,HUN,5:01,Saved,0
Counter attack,4.0,2,4,5,SRB,2.0,UDOVICIC V,5 - 4,287,SRB,4:47,Goal,1
Extra player shot,7.0,2,4,6,SRB,2.0,NIKIC S,6 - 4,225,SRB,3:45,Goal,1
5m shot,3.0,2,4,6,SRB,2.0,MADARAS N,6 - 4,158,HUN,2:38,Blocked,0
Extra player shot,11.0,2,5,6,SRB,2.0,BEDO K,6 - 5,123,HUN,2:03,Goal,1
Action shot,11.0,2,5,6,SRB,2.0,PRLAINOVIC A,6 - 5,87,SRB,1:27,Missed,0
Extra player shot,3.0,2,5,6,SRB,2.0,MADARAS N,6 - 5,51,HUN,0:51,Missed,0
Extra player shot,11.0,2,5,7,SRB,2.0,PRLAINOVIC A,7 - 5,19,SRB,0:19,Goal,1
Extra player shot,12.0,2,10,12,SRB,4.0,MITROVIC S,12 - 10,185,SRB,3:05,Goal,1
5m shot,9.0,2,10,12,SRB,4.0,VARGA D,12 - 10,159,HUN,2:39,Blocked,0
Action shot,11.0,2,10,12,SRB,4.0,PRLAINOVIC A,12 - 10,135,SRB,2:15,Post,0
Action shot,3.0,2,10,12,SRB,4.0,MADARAS N,12 - 10,102,HUN,1:42,Blocked,0
5m shot,9.0,2,10,12,SRB,3.0,VARGA D,12 - 10,425,HUN,7:05,Saved,0
Action shot,8.0,2,10,12,SRB,3.0,ALEKSIC M,12 - 10,396,SRB,6:36,Saved,0
5m shot,10.0,2,10,12,SRB,3.0,VARGA D,12 - 10,369,HUN,6:09,Saved,0
Action shot,3.0,2,10,12,SRB,3.0,MADARAS N,12 - 10,313,HUN,5:13,Saved,0
Action shot,2.0,2,10,12,SRB,3.0,MANDIC D,12 - 10,285,SRB,4:45,Missed,0
Action shot,2.0,2,5,8,SRB,3.0,MANDIC D,8 - 5,232,SRB,3:52,Goal,1
Action shot,3.0,2,5,8,SRB,3.0,MADARAS N,8 - 5,220,HUN,3:40,Post,0
Action shot,6.0,2,5,8,SRB,3.0,HOSNYANSZKY N,8 - 5,173,HUN,2:53,Saved,0
Extra player shot,4.0,2,5,8,SRB,3.0,UDOVICIC V,8 - 5,130,SRB,2:10,Blocked,0
Action shot,3.0,2,5,8,SRB,3.0,GOCIC Z,8 - 5,126,SRB,2:06,Blocked,0
5m shot,10.0,2,6,8,SRB,3.0,VARGA D,8 - 6,108,HUN,1:48,Goal,1
Extra player shot,5.0,2,7,8,SRB,3.0,VAMOS M,8 - 7,56,HUN,0:56,Goal,1
Extra player shot,5.0,2,7,9,SRB,3.0,CUK M,9 - 7,30,SRB,0:30,Goal,1
5m shot,8.0,2,7,9,SRB,3.0,SZIVOS M,9 - 7,1,HUN,0:01,Blocked,0
Extra player shot,7.0,2,7,10,SRB,4.0,NIKIC S,10 - 7,446,SRB,7:26,Goal,1
Penalty shot,11.0,2,7,11,SRB,4.0,PRLAINOVIC A,11 - 7,412,SRB,6:52,Goal,1
Extra player shot,3.0,2,7,11,SRB,4.0,MADARAS N,11 - 7,377,HUN,6:17,Blocked,0
Centre shot,8.0,2,7,11,SRB,4.0,SZIVOS M,11 - 7,367,HUN,6:07,Saved,0
Action shot,4.0,2,7,11,SRB,4.0,UDOVICIC V,11 - 7,345,SRB,5:45,Blocked,0
5m shot,10.0,2,7,11,SRB,4.0,VARGA D,11 - 7,315,HUN,5:15,Post,0
Action shot,3.0,2,8,11,SRB,4.0,MADARAS N,11 - 8,303,HUN,5:03,Goal,1
5m shot,10.0,2,8,11,SRB,4.0,FILIPOVIC F,11 - 8,287,SRB,4:47,Post,0
Extra player shot,10.0,2,9,11,SRB,4.0,VARGA D,11 - 9,262,HUN,4:22,Goal,1
Action shot,12.0,2,10,11,SRB,4.0,HARAI B,11 - 10,217,HUN,3:37,Goal,1
Extra player shot,7.0,2,10,13,SRB,4.0,NIKIC S,13 - 10,64,SRB,1:04,Goal,1
5m shot,9.0,2,10,13,SRB,4.0,VARGA D,13 - 10,34,HUN,0:34,Saved,0
5m shot,8.0,2,10,13,SRB,4.0,SZIVOS M,13 - 10,1,HUN,0:01,Missed,0
Action shot,11.0,3,0,0,AUS,1.0,HOWDEN R,0 - 0,455,AUS,7:35,Saved,0
Action shot,3.0,3,0,0,AUS,1.0,MADARAS N,0 - 0,403,HUN,6:43,Blocked,0
Action shot,2.0,3,0,0,AUS,1.0,CAMPBELL R,0 - 0,348,AUS,5:48,Saved,0
Extra player shot,12.0,3,1,0,AUS,1.0,HARAI B,1 - 0,301,HUN,5:01,Goal,1
Action shot,11.0,3,1,0,AUS,1.0,HOWDEN R,1 - 0,257,AUS,4:17,Post,0
Centre shot,8.0,3,1,1,AUS,1.0,YOUNGER A,1 - 1,238,AUS,3:58,Goal,1
Extra player shot,5.0,3,2,1,AUS,1.0,VAMOS M,2 - 1,209,HUN,3:29,Goal,1
Action shot,5.0,3,2,1,AUS,1.0,VAMOS M,2 - 1,153,HUN,2:33,Blocked,0
Extra player shot,2.0,3,2,2,AUS,1.0,CAMPBELL R,2 - 2,117,AUS,1:57,Goal,1
Centre shot,6.0,3,2,3,AUS,1.0,GILCHRIST J,2 - 3,46,AUS,0:46,Goal,1
5m shot,8.0,3,3,3,AUS,1.0,SZIVOS M,3 - 3,19,HUN,0:19,Goal,1
Action shot,2.0,3,3,3,AUS,1.0,CAMPBELL R,3 - 3,1,AUS,0:01,Saved,0
Centre shot,9.0,3,3,4,AUS,2.0,SWIFT J,3 - 4,461,AUS,7:41,Goal,1
Extra player shot,12.0,3,4,4,AUS,2.0,HARAI B,4 - 4,424,HUN,7:04,Goal,1
5m shot,6.0,3,4,4,AUS,2.0,HOSNYANSZKY N,4 - 4,382,HUN,6:22,Missed,0
Action shot,7.0,3,4,4,AUS,2.0,ROACH A,4 - 4,356,AUS,5:56,Saved,0
Counter attack,7.0,3,4,4,AUS,2.0,ROACH A,4 - 4,327,AUS,5:27,Saved,0
5m shot,10.0,3,4,4,AUS,2.0,VARGA D,4 - 4,297,HUN,4:57,Post,0
Penalty shot,11.0,3,4,4,AUS,2.0,HOWDEN R,4 - 4,278,AUS,4:38,Saved,0
Centre shot,10.0,3,4,4,AUS,2.0,VARGA D,4 - 4,257,HUN,4:17,Missed,0
Action shot,4.0,3,4,4,AUS,2.0,COTTERILL J,4 - 4,234,AUS,3:54,Missed,0
Centre shot,12.0,3,4,4,AUS,2.0,HARAI B,4 - 4,209,HUN,3:29,Saved,0
5m shot,5.0,3,4,4,AUS,2.0,POWER N,4 - 4,180,AUS,3:00,Post,0
Action shot,5.0,3,4,4,AUS,2.0,POWER N,4 - 4,150,AUS,2:30,Missed,0
Action shot,2.0,3,4,4,AUS,2.0,GOR-NAGY M,4 - 4,123,HUN,2:03,Saved,0
Action shot,8.0,3,4,4,AUS,2.0,YOUNGER A,4 - 4,96,AUS,1:36,Saved,0
5m shot,2.0,3,4,4,AUS,2.0,CAMPBELL R,4 - 4,1,AUS,0:01,Missed,0
5m shot,3.0,3,4,4,AUS,3.0,MADARAS N,4 - 4,421,HUN,7:01,Saved,0
Action shot,8.0,3,4,5,AUS,3.0,YOUNGER A,4 - 5,385,AUS,6:25,Goal,1
Action shot,7.0,3,4,5,AUS,3.0,ROACH A,4 - 5,342,AUS,5:42,Saved,0
Extra player shot,5.0,3,5,5,AUS,3.0,VAMOS M,5 - 5,319,HUN,5:19,Goal,1
Action shot,2.0,3,5,5,AUS,3.0,CAMPBELL R,5 - 5,289,AUS,4:49,Blocked,0
Centre shot,4.0,3,5,5,AUS,3.0,COTTERILL J,5 - 5,207,AUS,3:27,Saved,0
Extra player shot,9.0,3,6,5,AUS,3.0,VARGA D,6 - 5,122,HUN,2:02,Goal,1
Action shot,5.0,3,6,5,AUS,3.0,POWER N,6 - 5,92,AUS,1:32,Saved,0
Extra player shot,2.0,3,6,6,AUS,3.0,CAMPBELL R,6 - 6,61,AUS,1:01,Goal,1
Action shot,10.0,3,7,6,AUS,3.0,VARGA D,7 - 6,32,HUN,0:32,Goal,1
5m shot,2.0,3,7,7,AUS,3.0,CAMPBELL R,7 - 7,7,AUS,0:07,Goal,1
5m shot,8.0,3,7,7,AUS,3.0,SZIVOS M,7 - 7,2,HUN,0:02,Saved,0
Action shot,8.0,3,7,7,AUS,4.0,SZIVOS M,7 - 7,432,HUN,7:12,Post,0
Action shot,2.0,3,7,7,AUS,4.0,CAMPBELL R,7 - 7,382,AUS,6:22,Post,0
5m shot,3.0,3,7,7,AUS,4.0,MADARAS N,7 - 7,358,HUN,5:58,Saved,0
Centre shot,10.0,3,8,7,AUS,4.0,VARGA D,8 - 7,340,HUN,5:40,Goal,1
Action shot,2.0,3,8,7,AUS,4.0,CAMPBELL R,8 - 7,313,AUS,5:13,Saved,0
Extra player shot,2.0,3,8,8,AUS,4.0,CAMPBELL R,8 - 8,286,AUS,4:46,Goal,1
Action shot,9.0,3,8,8,AUS,4.0,VARGA D,8 - 8,257,HUN,4:17,Saved,0
Action shot,12.0,3,8,8,AUS,4.0,MILLER W,8 - 8,228,AUS,3:48,Blocked,0
Action shot,12.0,3,8,8,AUS,4.0,MILLER W,8 - 8,206,AUS,3:26,Blocked,0
Action shot,5.0,3,9,8,AUS,4.0,VAMOS M,9 - 8,139,HUN,2:19,Goal,1
5m shot,2.0,3,9,9,AUS,4.0,CAMPBELL R,9 - 9,117,AUS,1:57,Goal,1
Extra player shot,5.0,3,9,9,AUS,4.0,VAMOS M,9 - 9,66,HUN,1:06,Missed,0
Extra player shot,9.0,3,9,9,AUS,4.0,VARGA D,9 - 9,4,HUN,0:04,Blocked,0
5m shot,7.0,3,9,9,AUS,4.0,ROACH A,9 - 9,1,AUS,0:01,Missed,0
5m shot,8.0,4,1,0,KAZ,1.0,SZIVOS M,1 - 0,455,HUN,7:35,Goal,1
Action shot,2.0,4,1,1,KAZ,1.0,GUBAREV S,1 - 1,379,KAZ,6:19,Goal,1
Extra player shot,9.0,4,2,1,KAZ,1.0,VARGA D,2 - 1,336,HUN,5:36,Goal,1
5m shot,7.0,4,2,2,KAZ,1.0,USHAKOV V,2 - 2,313,KAZ,5:13,Goal,1
Extra player shot,10.0,4,2,2,KAZ,1.0,VARGA D,2 - 2,196,HUN,3:16,Missed,0
Action shot,2.0,4,2,3,KAZ,1.0,GUBAREV S,2 - 3,116,KAZ,1:56,Goal,1
Extra player shot,7.0,4,2,4,KAZ,1.0,USHAKOV V,2 - 4,62,KAZ,1:02,Goal,1
Action shot,2.0,4,2,4,KAZ,1.0,GOR-NAGY M,2 - 4,35,HUN,0:35,Blocked,0
5m shot,4.0,4,2,4,KAZ,1.0,PILIPENKO R,2 - 4,5,KAZ,0:05,Blocked,0
5m shot,8.0,4,2,4,KAZ,1.0,SZIVOS M,2 - 4,1,HUN,0:01,Saved,0
5m shot,9.0,4,3,4,KAZ,2.0,VARGA D,3 - 4,456,HUN,7:36,Goal,1
Extra player shot,12.0,4,4,4,KAZ,2.0,HARAI B,4 - 4,401,HUN,6:41,Goal,1
Extra player shot,7.0,4,5,4,KAZ,2.0,DECKER A,5 - 4,349,HUN,5:49,Goal,1
Extra player shot,3.0,4,5,4,KAZ,2.0,MEDVEDEV Y,5 - 4,321,KAZ,5:21,Saved,0
