Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,0,CHN,1.0,GE W,0 - 0,480,CHN,8:00
Starting goalkeeper,1.0,1,0,0,CHN,1.0,NAGY V,0 - 0,480,HUN,8:00
Sprint won possession,8.0,1,0,0,CHN,1.0,WANG Y,0 - 0,480,CHN,8:00
Turnover foul,11.0,1,0,0,CHN,1.0,ZHANG C,0 - 0,462,CHN,7:42
Turnover foul,3.0,1,0,0,CHN,1.0,MADARAS N,0 - 0,443,HUN,7:23
Turnover foul,12.0,1,0,0,CHN,1.0,LIANG N,0 - 0,420,CHN,7:00
Steal,6.0,1,0,0,CHN,1.0,HOSNYANSZKY N,0 - 0,420,HUN,7:00
Turnover foul,12.0,1,0,0,CHN,1.0,HARAI B,0 - 0,400,HUN,6:40
Steal,1.0,1,0,0,CHN,1.0,GE W,0 - 0,400,CHN,6:40
Action shot - Goal,11.0,1,0,1,CHN,1.0,ZHANG C,0 - 1,377,CHN,6:17
Penalty foul,2.0,1,0,1,CHN,1.0,TAN F,0 - 1,363,CHN,6:03
Penalty shot - Goal,10.0,1,1,1,CHN,1.0,VARGA D,1 - 1,363,HUN,6:03
5m shot - Saved,3.0,1,1,1,CHN,1.0,LIANG Z,1 - 1,337,CHN,5:37
5m shot - Goal,8.0,1,2,1,CHN,1.0,SZIVOS M,2 - 1,311,HUN,5:11
5m shot - Blocked,7.0,1,2,1,CHN,1.0,LI B,2 - 1,285,CHN,4:45
Turnover foul,12.0,1,2,1,CHN,1.0,HARAI B,2 - 1,271,HUN,4:31
Turnover foul,12.0,1,2,1,CHN,1.0,LIANG N,2 - 1,258,CHN,4:18
Turnover foul,12.0,1,2,1,CHN,1.0,HARAI B,2 - 1,241,HUN,4:01
5m shot - Saved,3.0,1,2,1,CHN,1.0,LIANG Z,2 - 1,212,CHN,3:32
20 sec. exclusion in field,2.0,1,2,1,CHN,1.0,TAN F,2 - 1,212,CHN,3:32
5m shot - Goal,8.0,1,3,1,CHN,1.0,SZIVOS M,3 - 1,185,HUN,3:05
20 sec. exclusion in field,5.0,1,3,1,CHN,1.0,VAMOS M,3 - 1,170,HUN,2:50
Turnover foul,12.0,1,3,1,CHN,1.0,LIANG N,3 - 1,144,CHN,2:24
Steal,5.0,1,3,1,CHN,1.0,VAMOS M,3 - 1,144,HUN,2:24
