Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA
Starting goalkeeper,1.0,1,0,CRO,1.0,PAVIC J,0 - 0,480,CRO,8:00,0
Starting goalkeeper,1.0,1,0,CRO,1.0,MOSES M,0 - 0,480,USA,8:00,0
Sprint won possession,5.0,1,0,CRO,1.0,JOKOVIC M,0 - 0,480,CRO,8:00,0
Action shot - Saved,12.0,1,0,CRO,1.0,OBRADOVIC P,0 - 0,452,CRO,7:32,0
Turnover foul,1.0,1,0,CRO,1.0,MOSES M,0 - 0,448,USA,7:28,0
Counter attack - Goal,9.0,1,1,CRO,1.0,SUKNO S,1 - 0,445,CRO,7:25,0
Turnover foul,10.0,1,1,CRO,1.0,HUTTEN T,1 - 0,428,USA,7:08,0
Steal,8.0,1,1,CRO,1.0,BUSLJE A,1 - 0,428,CRO,7:08,0
Action shot - Post,12.0,1,1,CRO,1.0,OBRADOVIC P,1 - 0,401,CRO,6:41,0
Action shot - Post,2.0,1,1,CRO,1.0,WIGO J,1 - 0,373,USA,6:13,0
20 sec. exclusion in centre,11.0,1,1,CRO,1.0,ROSENTHAL M,1 - 0,356,USA,5:56,0
Turnover foul,7.0,1,1,CRO,1.0,MUSLIM P,1 - 0,334,CRO,5:34,0
20 sec. exclusion in field,12.0,1,1,CRO,1.0,OBRADOVIC P,1 - 0,325,CRO,5:25,0
Extra player shot - Post,8.0,1,1,CRO,1.0,AZEVEDO A,1 - 0,313,USA,5:13,0
Turnover foul,7.0,1,1,CRO,1.0,MUSLIM P,1 - 0,293,CRO,4:53,0
Steal,3.0,1,1,CRO,1.0,OBERT A,1 - 0,293,USA,4:53,0
20 sec. exclusion in field,7.0,1,1,CRO,1.0,MUSLIM P,1 - 0,276,CRO,4:36,0
Extra player shot - Saved,10.0,1,1,CRO,1.0,HUTTEN T,1 - 0,260,USA,4:20,0
Action shot - Post,5.0,1,1,CRO,1.0,JOKOVIC M,1 - 0,232,CRO,3:52,0
Action shot - Goal,10.0,1,1,CRO,1.0,HUTTEN T,1 - 1,206,USA,3:26,1
Action shot - Saved,5.0,1,1,CRO,1.0,JOKOVIC M,1 - 1,182,CRO,3:02,1
20 sec. exclusion in centre,3.0,1,1,CRO,1.0,MILAKOVIC I,1 - 1,163,CRO,2:43,1
Extra player shot - Post,4.0,1,1,CRO,1.0,BOWEN A,1 - 1,151,USA,2:31,1
Turnover foul,4.0,1,1,CRO,1.0,PASKVALIN F,1 - 1,129,CRO,2:09,1
Turnover foul,5.0,1,1,CRO,1.0,de TRANE M,1 - 1,119,USA,1:59,1
Turnover foul,6.0,1,1,CRO,1.0,BUKIC L,1 - 1,99,CRO,1:39,1
Steal,9.0,1,1,CRO,1.0,BUCKNER S,1 - 1,99,USA,1:39,1
Turnover foul,12.0,1,1,CRO,1.0,MANN J,1 - 1,72,USA,1:12,1
Steal,11.0,1,1,CRO,1.0,SETKA A,1 - 1,72,CRO,1:12,1
Action shot - Saved,11.0,1,1,CRO,1.0,SETKA A,1 - 1,51,CRO,0:51,1
Turnover foul,4.0,1,1,CRO,1.0,PASKVALIN F,1 - 1,23,CRO,0:23,1
Steal,1.0,1,1,CRO,1.0,MOSES M,1 - 1,23,USA,0:23,1
5m shot - Saved,5.0,1,1,CRO,1.0,JOKOVIC M,1 - 1,2,CRO,0:02,1
Starting goalkeeper,1.0,1,1,CRO,2.0,MOSES M,1 - 1,480,USA,8:00,1
Starting goalkeeper,1.0,1,1,CRO,2.0,PAVIC J,1 - 1,480,CRO,8:00,1
Sprint won possession,9.0,1,1,CRO,2.0,SUKNO S,1 - 1,480,CRO,8:00,1
Turnover foul,3.0,1,1,CRO,2.0,OBERT A,1 - 1,427,USA,7:07,1
Steal,9.0,1,1,CRO,2.0,SUKNO S,1 - 1,427,CRO,7:07,1
20 sec. exclusion in centre,5.0,1,1,CRO,2.0,de TRANE M,1 - 1,406,USA,6:46,1
Extra player shot - Goal,12.0,1,2,CRO,2.0,OBRADOVIC P,2 - 1,388,CRO,6:28,1
20 sec. exclusion in centre,2.0,1,2,CRO,2.0,LONCAR L,2 - 1,366,CRO,6:06,1
Extra player shot - Goal,12.0,1,2,CRO,2.0,MANN J,2 - 2,348,USA,5:48,2
20 sec. exclusion in centre,2.0,1,2,CRO,2.0,WIGO J,2 - 2,330,USA,5:30,2
Extra player shot - Missed,7.0,1,2,CRO,2.0,MUSLIM P,2 - 2,327,CRO,5:27,2
Turnover foul,8.0,1,2,CRO,2.0,AZEVEDO A,2 - 2,310,USA,5:10,2
5m shot - Saved,12.0,1,2,CRO,2.0,OBRADOVIC P,2 - 2,285,CRO,4:45,2
20 sec. exclusion in field,2.0,1,2,CRO,2.0,LONCAR L,2 - 2,271,CRO,4:31,2
Extra player shot - Blocked,2.0,1,2,CRO,2.0,WIGO J,2 - 2,249,USA,4:09,2
