Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA,Result,Goal
Action shot,12.0,1,0,CRO,1.0,OBRADOVIC P,0 - 0,452,CRO,7:32,0,Saved,0
Counter attack,9.0,1,1,CRO,1.0,SUKNO S,1 - 0,445,CRO,7:25,0,Goal,1
Action shot,12.0,1,1,CRO,1.0,OBRADOVIC P,1 - 0,401,CRO,6:41,0,Post,0
Action shot,2.0,1,1,CRO,1.0,WIGO J,1 - 0,373,USA,6:13,0,Post,0
Extra player shot,8.0,1,1,CRO,1.0,AZEVEDO A,1 - 0,313,USA,5:13,0,Post,0
Extra player shot,10.0,1,1,CRO,1.0,HUTTEN T,1 - 0,260,USA,4:20,0,Saved,0
Action shot,5.0,1,1,CRO,1.0,JOKOVIC M,1 - 0,232,CRO,3:52,0,Post,0
Action shot,10.0,1,1,CRO,1.0,HUTTEN T,1 - 1,206,USA,3:26,1,Goal,1
Action shot,5.0,1,1,CRO,1.0,JOKOVIC M,1 - 1,182,CRO,3:02,1,Saved,0
Extra player shot,4.0,1,1,CRO,1.0,BOWEN A,1 - 1,151,USA,2:31,1,Post,0
Action shot,11.0,1,1,CRO,1.0,SETKA A,1 - 1,51,CRO,0:51,1,Saved,0
5m shot,5.0,1,1,CRO,1.0,JOKOVIC M,1 - 1,2,CRO,0:02,1,Saved,0
Extra player shot,12.0,1,2,CRO,2.0,OBRADOVIC P,2 - 1,388,CRO,6:28,1,Goal,1
Extra player shot,12.0,1,2,CRO,2.0,MANN J,2 - 2,348,USA,5:48,2,Goal,1
Extra player shot,7.0,1,2,CRO,2.0,MUSLIM P,2 - 2,327,CRO,5:27,2,Missed,0
5m shot,12.0,1,2,CRO,2.0,OBRADOVIC P,2 - 2,285,CRO,4:45,2,Saved,0
Extra player shot,2.0,1,2,CRO,2.0,WIGO J,2 - 2,249,USA,4:09,2,Blocked,0
Action shot,2.0,1,2,CRO,2.0,WIGO J,2 - 2,202,USA,3:22,2,Saved,0
Action shot,11.0,1,2,CRO,2.0,SETKA A,2 - 2,142,CRO,2:22,2,Post,0
Action shot,7.0,1,2,CRO,2.0,MUSLIM P,2 - 2,123,CRO,2:03,2,Post,0
Action shot,5.0,1,2,CRO,2.0,de TRANE M,2 - 3,76,USA,1:16,3,Goal,1
Action shot,12.0,1,3,CRO,2.0,OBRADOVIC P,3 - 3,49,CRO,0:49,3,Goal,1
Extra player shot,9.0,1,3,CRO,2.0,SUKNO S,3 - 3,1,CRO,0:01,3,Post,0
Centre shot,12.0,1,9,CRO,4.0,MANN J,9 - 7,6,USA,0:06,7,Goal,1
Extra player shot,8.0,1,9,CRO,3.0,BUSLJE A,9 - 7,440,CRO,7:20,7,Blocked,0
Extra player shot,4.0,1,9,CRO,3.0,BOWEN A,9 - 7,386,USA,6:26,7,Saved,0
Action shot,2.0,1,9,CRO,3.0,WIGO J,9 - 7,375,USA,6:15,7,Saved,0
Action shot,5.0,1,4,CRO,3.0,JOKOVIC M,4 - 3,357,CRO,5:57,3,Goal,1
Action shot,8.0,1,4,CRO,3.0,AZEVEDO A,4 - 3,327,USA,5:27,3,Saved,0
Extra player shot,10.0,1,5,CRO,3.0,DOBUD N,5 - 3,265,CRO,4:25,3,Goal,1
Extra player shot,12.0,1,5,CRO,3.0,OBRADOVIC P,5 - 3,196,CRO,3:16,3,Blocked,0
Extra player shot,7.0,1,6,CRO,3.0,MUSLIM P,6 - 3,159,CRO,2:39,3,Goal,1
Extra player shot,8.0,1,6,CRO,3.0,AZEVEDO A,6 - 3,140,USA,2:20,3,Saved,0
Extra player shot,5.0,1,6,CRO,3.0,de TRANE M,6 - 4,78,USA,1:18,4,Goal,1
Extra player shot,8.0,1,6,CRO,3.0,BUSLJE A,6 - 4,40,CRO,0:40,4,Post,0
5m shot,12.0,1,6,CRO,4.0,MANN J,6 - 4,451,USA,7:31,4,Blocked,0
Centre shot,10.0,1,7,CRO,4.0,DOBUD N,7 - 4,388,CRO,6:28,4,Goal,1
Extra player shot,9.0,1,7,CRO,4.0,BUCKNER S,7 - 5,314,USA,5:14,5,Goal,1
Penalty shot,9.0,1,7,CRO,4.0,SUKNO S,7 - 5,290,CRO,4:50,5,Saved,0
Action shot,10.0,1,7,CRO,4.0,HUTTEN T,7 - 5,238,USA,3:58,5,Saved,0
5m shot,9.0,1,7,CRO,4.0,SUKNO S,7 - 5,202,CRO,3:22,5,Saved,0
Action shot,7.0,1,8,CRO,4.0,MUSLIM P,8 - 5,139,CRO,2:19,5,Goal,1
Action shot,4.0,1,8,CRO,4.0,BOWEN A,8 - 6,121,USA,2:01,6,Goal,1
Action shot,5.0,1,8,CRO,4.0,JOKOVIC M,8 - 6,83,CRO,1:23,6,Saved,0
Centre shot,4.0,1,9,CRO,4.0,PASKVALIN F,9 - 6,82,CRO,1:22,6,Goal,1
Centre shot,12.0,1,9,CRO,4.0,MANN J,9 - 6,48,USA,0:48,6,Saved,0
5m shot,12.0,1,9,CRO,4.0,OBRADOVIC P,9 - 6,1,CRO,0:01,6,Saved,0
5m shot,4.0,2,0,RSA,1.0,BOWEN A,0 - 1,454,USA,7:34,1,Goal,1
5m shot,8.0,2,0,RSA,1.0,BELL R,0 - 1,432,RSA,7:12,1,Post,0
5m shot,8.0,2,0,RSA,1.0,AZEVEDO A,0 - 1,404,USA,6:44,1,Post,0
Centre shot,12.0,2,0,RSA,1.0,MANN J,0 - 2,338,USA,5:38,2,Goal,1
Centre shot,12.0,2,0,RSA,1.0,MANN J,0 - 3,290,USA,4:50,3,Goal,1
Action shot,10.0,2,0,RSA,1.0,le ROUX P,0 - 3,237,RSA,3:57,3,Missed,0
Extra player shot,9.0,2,0,RSA,1.0,BUCKNER S,0 - 3,201,USA,3:21,3,Blocked,0
Extra player shot,2.0,2,0,RSA,1.0,WIGO J,0 - 4,141,USA,2:21,4,Goal,1
5m shot,2.0,2,0,RSA,1.0,le ROUX E,0 - 4,36,RSA,0:36,4,Blocked,0
Action shot,8.0,2,0,RSA,1.0,AZEVEDO A,0 - 4,5,USA,0:05,4,Blocked,0
Action shot,12.0,2,0,RSA,1.0,MANN J,0 - 4,1,USA,0:01,4,Blocked,0
Counter attack,12.0,2,0,RSA,2.0,MANN J,0 - 5,457,USA,7:37,5,Goal,1
5m shot,8.0,2,1,RSA,2.0,BELL R,1 - 5,398,RSA,6:38,5,Goal,1
Action shot,10.0,2,1,RSA,2.0,HUTTEN T,1 - 6,361,USA,6:01,6,Goal,1
Centre shot,3.0,2,1,RSA,2.0,CARD D,1 - 6,310,RSA,5:10,6,Saved,0
Action shot,7.0,2,1,RSA,2.0,DOWNES R,1 - 6,253,RSA,4:13,6,Saved,0
5m shot,2.0,2,1,RSA,2.0,WIGO J,1 - 6,229,USA,3:49,6,Missed,0
5m shot,2.0,2,1,RSA,2.0,le ROUX E,1 - 6,210,RSA,3:30,6,Missed,0
Centre shot,7.0,2,1,RSA,2.0,KRUMPHOLZ J,1 - 7,184,USA,3:04,7,Goal,1
Action shot,8.0,2,1,RSA,2.0,BELL R,1 - 7,159,RSA,2:39,7,Post,0
Centre shot,13.0,2,1,RSA,2.0,STEWART D,1 - 7,73,RSA,1:13,7,Saved,0
Counter attack,6.0,2,1,RSA,2.0,RAMIREZ C,1 - 8,54,USA,0:54,8,Goal,1
Extra player shot,5.0,2,1,RSA,2.0,RODDA N,1 - 8,22,RSA,0:22,8,Post,0
Counter attack,2.0,2,1,RSA,2.0,WIGO J,1 - 9,7,USA,0:07,9,Goal,1
5m shot,8.0,2,1,RSA,2.0,BELL R,1 - 9,1,RSA,0:01,9,Blocked,0
5m shot,2.0,2,1,RSA,3.0,le ROUX E,1 - 9,452,RSA,7:32,9,Missed,0
Centre shot,12.0,2,1,RSA,3.0,MANN J,1 - 10,433,USA,7:13,10,Goal,1
5m shot,8.0,2,1,RSA,3.0,BELL R,1 - 10,408,RSA,6:48,10,Saved,0
Action shot,11.0,2,1,RSA,3.0,ROSENTHAL M,1 - 10,365,USA,6:05,10,Saved,0
Action shot,8.0,2,1,RSA,3.0,AZEVEDO A,1 - 11,319,USA,5:19,11,Goal,1
Counter attack,8.0,2,1,RSA,3.0,AZEVEDO A,1 - 12,302,USA,5:02,12,Goal,1
Centre shot,10.0,2,1,RSA,3.0,le ROUX P,1 - 12,286,RSA,4:46,12,Blocked,0
5m shot,5.0,2,1,RSA,3.0,de TRANE M,1 - 12,261,USA,4:21,12,Post,0
Centre shot,3.0,2,1,RSA,3.0,CARD D,1 - 12,212,RSA,3:32,12,Saved,0
5m shot,6.0,2,1,RSA,3.0,KYTE J,1 - 12,191,RSA,3:11,12,Saved,0
5m shot,9.0,2,1,RSA,3.0,BUCKNER S,1 - 12,163,USA,2:43,12,Missed,0
Centre shot,11.0,2,2,RSA,3.0,MOLYNEUX N,2 - 12,147,RSA,2:27,12,Goal,1
5m shot,8.0,2,3,RSA,3.0,BELL R,3 - 12,83,RSA,1:23,12,Goal,1
Extra player shot,4.0,2,3,RSA,3.0,BOWEN A,3 - 12,47,USA,0:47,12,Saved,0
Action shot,6.0,2,3,RSA,3.0,RAMIREZ C,3 - 13,41,USA,0:41,13,Goal,1
Action shot,13.0,2,3,RSA,3.0,STEWART D,3 - 13,18,RSA,0:18,13,Missed,0
Counter attack,4.0,2,3,RSA,3.0,BOWEN A,3 - 14,7,USA,0:07,14,Goal,1
5m shot,8.0,2,3,RSA,3.0,BELL R,3 - 14,1,RSA,0:01,14,Missed,0
Counter attack,2.0,2,3,RSA,4.0,WIGO J,3 - 14,445,USA,7:25,14,Saved,0
5m shot,2.0,2,3,RSA,4.0,WIGO J,3 - 14,366,USA,6:06,14,Saved,0
Extra player shot,2.0,2,3,RSA,4.0,WIGO J,3 - 14,295,USA,4:55,14,Missed,0
Extra player shot,10.0,2,3,RSA,4.0,le ROUX P,3 - 14,260,RSA,4:20,14,Saved,0
Extra player shot,9.0,2,3,RSA,4.0,BUCKNER S,3 - 14,220,USA,3:40,14,Missed,0
5m shot,4.0,2,3,RSA,4.0,BADENHORST I,3 - 14,195,RSA,3:15,14,Saved,0
Counter attack,12.0,2,3,RSA,4.0,MANN J,3 - 14,182,USA,3:02,14,Saved,0
Action shot,5.0,2,3,RSA,4.0,de TRANE M,3 - 14,130,USA,2:10,14,Blocked,0
Centre shot,12.0,2,3,RSA,4.0,MANN J,3 - 15,115,USA,1:55,15,Goal,1
Extra player shot,7.0,2,3,RSA,4.0,KRUMPHOLZ J,3 - 15,78,USA,1:18,15,Saved,0
Extra player shot,4.0,2,3,RSA,4.0,BOWEN A,3 - 16,65,USA,1:05,16,Goal,1
Action shot,10.0,2,3,RSA,4.0,le ROUX P,3 - 16,41,RSA,0:41,16,Post,0
Action shot,4.0,2,3,RSA,4.0,BOWEN A,3 - 16,25,USA,0:25,16,Missed,0
5m shot,8.0,3,0,CAN,1.0,GRAHAM K,0 - 0,452,CAN,7:32,0,Post,0
Action shot,4.0,3,0,CAN,1.0,BOWEN A,0 - 1,324,USA,5:24,1,Goal,1
Action shot,9.0,3,0,CAN,1.0,DIGGLE D,0 - 1,297,CAN,4:57,1,Saved,0
Action shot,11.0,3,0,CAN,1.0,ROSENTHAL M,0 - 1,284,USA,4:44,1,Saved,0
Centre shot,4.0,3,0,CAN,1.0,CONSTANTIN-BICARI,0 - 1,266,CAN,4:26,1,Missed,0
Extra player shot,8.0,3,0,CAN,1.0,AZEVEDO A,0 - 1,243,USA,4:03,1,Missed,0
