Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,11.0,1,2,1,AUS,1.0,HOLLIS L,1 - 1,318,AUS,5:18,Goal,1
Extra player shot,11.0,1,2,2,AUS,1.0,HOLLIS L,1 - 2,263,AUS,4:23,Goal,1
Extra player shot,9.0,1,2,3,AUS,1.0,FORD A,1 - 3,200,AUS,3:20,Goal,1
Extra player shot,7.0,2,2,3,AUS,1.0,CROUSILLAT U,2 - 3,164,FRA,2:44,Goal,1
Action shot,12.0,2,2,4,AUS,1.0,BROOKS N,2 - 4,135,AUS,2:15,Goal,1
Extra player shot,8.0,3,2,4,AUS,1.0,IZDINSKY M,3 - 4,97,FRA,1:37,Goal,1
Action shot,6.0,3,2,4,AUS,1.0,SIMON T,3 - 4,88,FRA,1:28,Post,0
Action shot,6.0,4,2,4,AUS,1.0,SIMON T,4 - 4,64,FRA,1:04,Goal,1
5m shot,8.0,4,2,4,AUS,1.0,YOUNGER A,4 - 4,42,AUS,0:42,Blocked,0
Extra player shot,9.0,5,2,4,AUS,1.0,MARZOUKI M,5 - 4,6,FRA,0:06,Goal,1
Action shot,5.0,5,2,4,AUS,2.0,POWER N,5 - 4,451,AUS,7:31,Saved,0
5m shot,9.0,5,2,4,AUS,2.0,MARZOUKI M,5 - 4,419,FRA,6:59,Saved,0
Action shot,10.0,5,2,4,AUS,2.0,LAVERSANNE M,5 - 4,419,FRA,6:59,Saved,0
Action shot,4.0,5,2,5,AUS,2.0,KAYES J,5 - 5,354,AUS,5:54,Goal,1
5m shot,9.0,5,2,5,AUS,2.0,MARZOUKI M,5 - 5,334,FRA,5:34,Missed,0
Action shot,8.0,5,2,5,AUS,2.0,YOUNGER A,5 - 5,323,AUS,5:23,Saved,0
5m shot,9.0,5,2,5,AUS,2.0,MARZOUKI M,5 - 5,291,FRA,4:51,Post,0
5m shot,8.0,5,2,5,AUS,2.0,YOUNGER A,5 - 5,251,AUS,4:11,Blocked,0
5m shot,7.0,5,2,5,AUS,2.0,CROUSILLAT U,5 - 5,231,FRA,3:51,Post,0
Action shot,12.0,5,2,6,AUS,2.0,BROOKS N,5 - 6,133,AUS,2:13,Goal,1
5m shot,9.0,6,2,6,AUS,2.0,MARZOUKI M,6 - 6,40,FRA,0:40,Goal,1
Action shot,9.0,6,2,6,AUS,4.0,MARZOUKI M,6 - 6,116,FRA,1:56,Missed,0
5m shot,6.0,9,2,11,AUS,4.0,EDWARDS L,9 - 11,98,AUS,1:38,Goal,1
5m shot,10.0,9,2,11,AUS,2.0,LAVERSANNE M,9 - 11,1,FRA,0:01,Missed,0
5m shot,8.0,6,2,7,AUS,3.0,YOUNGER A,6 - 7,451,AUS,7:31,Goal,1
Action shot,7.0,6,2,7,AUS,3.0,CROUSILLAT U,6 - 7,375,FRA,6:15,Saved,0
Centre shot,8.0,6,2,7,AUS,3.0,YOUNGER A,6 - 7,356,AUS,5:56,Saved,0
5m shot,8.0,6,2,8,AUS,3.0,YOUNGER A,6 - 8,311,AUS,5:11,Goal,1
5m shot,8.0,6,2,9,AUS,3.0,YOUNGER A,6 - 9,261,AUS,4:21,Goal,1
Extra player shot,9.0,6,2,9,AUS,3.0,MARZOUKI M,6 - 9,217,FRA,3:37,Blocked,0
Extra player shot,11.0,6,2,9,AUS,3.0,HOLLIS L,6 - 9,169,AUS,2:49,Blocked,0
