Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Exclusion with substitution,5.0,5,1,8,ITA,4.0,GUILLAUME D,5 - 8,39,FRA,0:39
Time-Out,,5,1,8,ITA,4.0,,5 - 8,39,ITA,0:39
Time-Out,,5,1,8,ITA,2.0,,5 - 8,98,ITA,1:38
20 sec. exclusion in field,11.0,5,1,8,ITA,2.0,PEISSON M,5 - 8,87,FRA,1:27
Action shot - Saved,5.0,5,1,8,ITA,2.0,PRESCIUTTI N,5 - 8,64,ITA,1:04
Action shot - Saved,9.0,5,1,8,ITA,2.0,MARZOUKI M,5 - 8,39,FRA,0:39
20 sec. exclusion in centre,5.0,5,1,8,ITA,2.0,PRESCIUTTI N,5 - 8,21,ITA,0:21
Extra player shot - Goal,6.0,6,1,8,ITA,2.0,SIMON T,6 - 8,2,FRA,0:02
5m shot - Saved,4.0,6,1,8,ITA,2.0,FIGLIOLI P,6 - 8,1,ITA,0:01
Starting goalkeeper,1.0,6,1,8,ITA,3.0,GARSAU R,6 - 8,480,FRA,8:00
Starting goalkeeper,13.0,6,1,8,ITA,3.0,VOLAREVIC G,6 - 8,480,ITA,8:00
Sprint won possession,4.0,6,1,8,ITA,3.0,FIGLIOLI P,6 - 8,480,ITA,8:00
Action shot - Goal,8.0,6,1,9,ITA,3.0,FONDELLI A,6 - 9,453,ITA,7:33
5m shot - Saved,7.0,6,1,9,ITA,3.0,CROUSILLAT U,6 - 9,425,FRA,7:05
Turnover foul,2.0,6,1,9,ITA,3.0,SAUDADIER R,6 - 9,402,FRA,6:42
5m shot - Saved,8.0,6,1,9,ITA,3.0,FONDELLI A,6 - 9,374,ITA,6:14
5m shot - Saved,9.0,6,1,9,ITA,3.0,MARZOUKI M,6 - 9,343,FRA,5:43
Centre shot - Goal,2.0,6,1,10,ITA,3.0,di FULVIO F,6 - 10,325,ITA,5:25
5m shot - Goal,7.0,7,1,10,ITA,3.0,CROUSILLAT U,7 - 10,325,FRA,5:25
20 sec. exclusion in field,10.0,7,1,10,ITA,3.0,LAVERSANNE M,7 - 10,289,FRA,4:49
Extra player shot - Goal,11.0,7,1,11,ITA,3.0,AICARDI M,7 - 11,275,ITA,4:35
Turnover foul,12.0,7,1,11,ITA,3.0,CAMARASA A,7 - 11,250,FRA,4:10
5m shot - Saved,2.0,7,1,11,ITA,3.0,di FULVIO F,7 - 11,230,ITA,3:50
Time-Out,,7,1,11,ITA,3.0,,7 - 11,225,FRA,3:45
Action shot - Post,8.0,7,1,11,ITA,3.0,IZDINSKY M,7 - 11,197,FRA,3:17
Counter attack - Goal,2.0,7,1,12,ITA,3.0,di FULVIO F,7 - 12,188,ITA,3:08
Action shot - Saved,7.0,7,1,12,ITA,3.0,CROUSILLAT U,7 - 12,157,FRA,2:37
20 sec. exclusion in centre,7.0,7,1,12,ITA,3.0,CROUSILLAT U,7 - 12,141,FRA,2:21
Time-Out,,7,1,12,ITA,3.0,,7 - 12,141,ITA,2:21
Extra player shot - Goal,5.0,7,1,13,ITA,3.0,PRESCIUTTI N,7 - 13,122,ITA,2:02
Turnover foul,12.0,7,1,13,ITA,3.0,CAMARASA A,7 - 13,94,FRA,1:34
Steal,6.0,7,1,13,ITA,3.0,MIRARCHI C,7 - 13,94,ITA,1:34
Action shot - Goal,11.0,7,1,14,ITA,3.0,AICARDI M,7 - 14,75,ITA,1:15
Action shot - Missed,6.0,7,1,14,ITA,3.0,SIMON T,7 - 14,44,FRA,0:44
20 sec. exclusion in centre,6.0,7,1,14,ITA,3.0,SIMON T,7 - 14,28,FRA,0:28
Extra player shot - Goal,7.0,7,1,15,ITA,3.0,NORA A,7 - 15,11,ITA,0:11
5m shot - Saved,7.0,7,1,15,ITA,3.0,CROUSILLAT U,7 - 15,1,FRA,0:01
Starting goalkeeper,13.0,7,1,15,ITA,4.0,FONTANI H,7 - 15,480,FRA,8:00
Starting goalkeeper,13.0,7,1,15,ITA,4.0,VOLAREVIC G,7 - 15,480,ITA,8:00
Sprint won possession,2.0,7,1,15,ITA,4.0,di FULVIO F,7 - 15,480,ITA,8:00
5m shot - Saved,2.0,7,1,15,ITA,4.0,di FULVIO F,7 - 15,452,ITA,7:32
Centre shot - Saved,12.0,7,1,15,ITA,4.0,CAMARASA A,7 - 15,426,FRA,7:06
20 sec. exclusion in centre,3.0,7,1,15,ITA,4.0,KOVACEVIC I,7 - 15,398,FRA,6:38
Extra player shot - Saved,10.0,7,1,15,ITA,4.0,BODEGAS M,7 - 15,377,ITA,6:17
20 sec. exclusion in centre,5.0,7,1,15,ITA,4.0,GUILLAUME D,7 - 15,349,FRA,5:49
Extra player shot - Goal,10.0,7,1,16,ITA,4.0,BODEGAS M,7 - 16,347,ITA,5:47
Centre shot - Saved,2.0,7,1,16,ITA,4.0,di FULVIO F,7 - 16,303,ITA,5:03
Action shot - Saved,7.0,7,1,16,ITA,4.0,CROUSILLAT U,7 - 16,277,FRA,4:37
Counter attack - Goal,4.0,7,1,17,ITA,4.0,FIGLIOLI P,7 - 17,262,ITA,4:22
Goalkeeper substitution,1.0,7,1,17,ITA,4.0,TEMPESTI S,7 - 17,262,ITA,4:22
20 sec. exclusion in centre,3.0,7,1,17,ITA,4.0,GITTO N,7 - 17,246,ITA,4:06
Turnover foul,2.0,7,1,17,ITA,4.0,SAUDADIER R,7 - 17,216,FRA,3:36
Steal,9.0,7,1,17,ITA,4.0,RENZUTO IODICE V,7 - 17,216,ITA,3:36
Steal,13.0,7,1,17,ITA,4.0,FONTANI H,7 - 17,181,FRA,3:01
Turnover foul,11.0,7,1,17,ITA,4.0,PEISSON M,7 - 17,168,FRA,2:48
5m shot - Saved,11.0,7,1,17,ITA,4.0,AICARDI M,7 - 17,152,ITA,2:32
20 sec. exclusion in field,12.0,7,1,17,ITA,4.0,BERTOLI Z,7 - 17,137,ITA,2:17
Time-Out,,7,1,17,ITA,4.0,,7 - 17,136,FRA,2:16
Extra player shot - Goal,7.0,8,1,17,ITA,4.0,CROUSILLAT U,8 - 17,115,FRA,1:55
Action shot - Post,11.0,8,1,17,ITA,4.0,AICARDI M,8 - 17,92,ITA,1:32
20 sec. exclusion in field,8.0,8,1,17,ITA,4.0,FONDELLI A,8 - 17,74,ITA,1:14
Extra player shot - Goal,5.0,9,1,17,ITA,4.0,GUILLAUME D,9 - 17,52,FRA,0:52
20 sec. exclusion in field,5.0,9,1,17,ITA,4.0,GUILLAUME D,9 - 17,39,FRA,0:39
Extra player shot - Goal,10.0,9,1,18,ITA,4.0,BODEGAS M,9 - 18,20,ITA,0:20
Centre shot - Missed,2.0,9,1,18,ITA,4.0,SAUDADIER R,9 - 18,2,FRA,0:02
Starting goalkeeper,1.0,0,2,0,AUS,1.0,GARSAU R,0 - 0,480,FRA,8:00
Starting goalkeeper,13.0,0,2,0,AUS,1.0,HRYSANTHOS A,0 - 0,480,AUS,8:00
Sprint won possession,7.0,0,2,0,AUS,1.0,GILCHRIST J,0 - 0,480,AUS,8:00
Turnover foul,8.0,0,2,0,AUS,1.0,YOUNGER A,0 - 0,451,AUS,7:31
5m shot - Saved,6.0,0,2,0,AUS,1.0,SIMON T,0 - 0,422,FRA,7:02
Action shot - Saved,7.0,0,2,0,AUS,1.0,GILCHRIST J,0 - 0,398,AUS,6:38
20 sec. exclusion in centre,8.0,0,2,0,AUS,1.0,YOUNGER A,0 - 0,372,AUS,6:12
Extra player shot - Goal,7.0,1,2,0,AUS,1.0,CROUSILLAT U,1 - 0,357,FRA,5:57
20 sec. exclusion in centre,6.0,1,2,0,AUS,1.0,SIMON T,1 - 0,341,FRA,5:41
20 sec. exclusion in centre,4.0,1,2,0,AUS,1.0,PIOT L,1 - 0,321,FRA,5:21
Extra player shot - Goal,11.0,1,2,1,AUS,1.0,HOLLIS L,1 - 1,318,AUS,5:18
Turnover foul,11.0,1,2,1,AUS,1.0,PEISSON M,1 - 1,293,FRA,4:53
20 sec. exclusion in centre,2.0,1,2,1,AUS,1.0,SAUDADIER R,1 - 1,281,FRA,4:41
Extra player shot - Goal,11.0,1,2,2,AUS,1.0,HOLLIS L,1 - 2,263,AUS,4:23
Turnover foul,9.0,1,2,2,AUS,1.0,MARZOUKI M,1 - 2,231,FRA,3:51
Steal,7.0,1,2,2,AUS,1.0,GILCHRIST J,1 - 2,231,AUS,3:51
20 sec. exclusion in centre,4.0,1,2,2,AUS,1.0,PIOT L,1 - 2,214,FRA,3:34
Extra player shot - Goal,9.0,1,2,3,AUS,1.0,FORD A,1 - 3,200,AUS,3:20
20 sec. exclusion in centre,3.0,1,2,3,AUS,1.0,FORD G,1 - 3,186,AUS,3:06
Time-Out,,1,2,3,AUS,1.0,,1 - 3,186,FRA,3:06
20 sec. exclusion in centre,11.0,1,2,3,AUS,1.0,HOLLIS L,1 - 3,169,AUS,2:49
Extra player shot - Goal,7.0,2,2,3,AUS,1.0,CROUSILLAT U,2 - 3,164,FRA,2:44
Action shot - Goal,12.0,2,2,4,AUS,1.0,BROOKS N,2 - 4,135,AUS,2:15
20 sec. exclusion in centre,5.0,2,2,4,AUS,1.0,POWER N,2 - 4,114,AUS,1:54
Extra player shot - Goal,8.0,3,2,4,AUS,1.0,IZDINSKY M,3 - 4,97,FRA,1:37
Action shot - Post,6.0,3,2,4,AUS,1.0,SIMON T,3 - 4,88,FRA,1:28
Turnover foul,4.0,3,2,4,AUS,1.0,KAYES J,3 - 4,78,AUS,1:18
Action shot - Goal,6.0,4,2,4,AUS,1.0,SIMON T,4 - 4,64,FRA,1:04
5m shot - Blocked,8.0,4,2,4,AUS,1.0,YOUNGER A,4 - 4,42,AUS,0:42
20 sec. exclusion in centre,3.0,4,2,4,AUS,1.0,FORD G,4 - 4,21,AUS,0:21
