ARG,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
2,5m shot,9.0,3,6,HUN,2.0,CARABANTES I,6 - 2,320,ARG,5:20,Post,0
2,Action shot,7.0,3,6,HUN,2.0,ANGYAL D,6 - 2,272,HUN,4:32,Missed,0
2,5m shot,12.0,3,6,HUN,2.0,YANEZ G,6 - 2,264,ARG,4:24,Saved,0
2,Centre shot,8.0,3,7,HUN,2.0,SZIVOS M,7 - 2,248,HUN,4:08,Goal,1
2,5m shot,9.0,3,7,HUN,2.0,CARABANTES I,7 - 2,205,ARG,3:25,Blocked,0
2,Extra player shot,8.0,3,8,HUN,2.0,SZIVOS M,8 - 2,93,HUN,1:33,Goal,1
2,5m shot,9.0,3,8,HUN,2.0,CARABANTES I,8 - 2,61,ARG,1:01,Saved,0
2,Penalty shot,5.0,3,9,HUN,2.0,VAMOS M,9 - 2,42,HUN,0:42,Goal,1
3,Action shot,12.0,3,9,HUN,2.0,YANEZ G,9 - 3,20,ARG,0:20,Goal,1
3,5m shot,10.0,3,9,HUN,2.0,VARGA D,9 - 3,0,HUN,0:00,Saved,0
3,5m shot,8.0,3,9,HUN,2.0,SZIVOS M,9 - 3,0,HUN,0:00,Saved,0
3,Action shot,10.0,3,10,HUN,3.0,VARGA D,10 - 3,453,HUN,7:33,Goal,1
4,Action shot,5.0,3,10,HUN,3.0,LOPEZ E,10 - 4,382,ARG,6:22,Goal,1
4,Action shot,12.0,3,11,HUN,3.0,HARAI B,11 - 4,361,HUN,6:01,Goal,1
4,5m shot,11.0,3,11,HUN,3.0,DEMARCHI F,11 - 4,338,ARG,5:38,Saved,0
4,Action shot,10.0,3,11,HUN,3.0,VARGA D,11 - 4,317,HUN,5:17,Blocked,0
4,Extra player shot,5.0,3,12,HUN,3.0,VAMOS M,12 - 4,299,HUN,4:59,Goal,1
4,Extra player shot,9.0,3,13,HUN,3.0,VARGA D,13 - 4,247,HUN,4:07,Goal,1
4,5m shot,2.0,3,13,HUN,3.0,VEICH R,13 - 4,224,ARG,3:44,Saved,0
4,5m shot,9.0,3,13,HUN,3.0,CARABANTES I,13 - 4,159,ARG,2:39,Saved,0
4,5m shot,6.0,3,14,HUN,3.0,HOSNYANSZKY N,14 - 4,111,HUN,1:51,Goal,1
4,Action shot,11.0,3,14,HUN,3.0,BEDO K,14 - 4,67,HUN,1:07,Saved,0
4,5m shot,12.0,3,14,HUN,3.0,YANEZ G,14 - 4,36,ARG,0:36,Missed,0
4,Extra player shot,4.0,3,15,HUN,3.0,ERDELYI B,15 - 4,3,HUN,0:03,Goal,1
4,5m shot,2.0,3,15,HUN,3.0,VEICH R,15 - 4,1,ARG,0:01,Blocked,0
4,Action shot,12.0,3,15,HUN,4.0,HARAI B,15 - 4,463,HUN,7:43,Saved,0
4,Action shot,10.0,3,16,HUN,4.0,VARGA D,16 - 4,422,HUN,7:02,Goal,1
4,Action shot,5.0,3,17,HUN,4.0,VAMOS M,17 - 4,374,HUN,6:14,Goal,1
4,Action shot,8.0,3,17,HUN,4.0,SZIVOS M,17 - 4,333,HUN,5:33,Post,0
4,Action shot,12.0,3,17,HUN,4.0,YANEZ G,17 - 4,304,ARG,5:04,Saved,0
4,Action shot,3.0,3,17,HUN,4.0,MADARAS N,17 - 4,279,HUN,4:39,Saved,0
4,Action shot,2.0,3,17,HUN,4.0,VEICH R,17 - 4,202,ARG,3:22,Saved,0
4,Action shot,11.0,3,17,HUN,4.0,BEDO K,17 - 4,176,HUN,2:56,Saved,0
4,Action shot,2.0,3,17,HUN,4.0,VEICH R,17 - 4,157,ARG,2:37,Post,0
4,Action shot,5.0,3,18,HUN,4.0,VAMOS M,18 - 4,137,HUN,2:17,Goal,1
4,Action shot,10.0,3,19,HUN,4.0,VARGA D,19 - 4,89,HUN,1:29,Goal,1
4,Counter attack,10.0,3,20,HUN,4.0,VARGA D,20 - 4,41,HUN,0:41,Goal,1
4,Counter attack,10.0,3,21,HUN,4.0,VARGA D,21 - 4,14,HUN,0:14,Goal,1
0,Counter attack,9.0,4,0,JPN,1.0,TAKEI K,0 - 0,392,JPN,6:32,Post,0
0,Counter attack,9.0,4,1,JPN,1.0,TAKEI K,0 - 1,356,JPN,5:56,Goal,1
0,Action shot,4.0,4,2,JPN,1.0,SHIGA M,0 - 2,316,JPN,5:16,Goal,1
0,Counter attack,6.0,4,3,JPN,1.0,IIDA A,0 - 3,285,JPN,4:45,Goal,1
0,Extra player shot,2.0,4,3,JPN,1.0,ADACHI S,0 - 3,244,JPN,4:04,Saved,0
0,Action shot,11.0,4,3,JPN,1.0,OKAWA K,0 - 3,199,JPN,3:19,Blocked,0
0,Centre shot,2.0,4,3,JPN,1.0,ADACHI S,0 - 3,101,JPN,1:41,Post,0
0,Action shot,11.0,4,4,JPN,1.0,OKAWA K,0 - 4,98,JPN,1:38,Goal,1
0,5m shot,8.0,4,4,JPN,1.0,KADONO Y,0 - 4,43,JPN,0:43,Post,0
0,5m shot,10.0,4,4,JPN,1.0,DASZCZYK J,0 - 4,5,ARG,0:05,Post,0
0,Extra player shot,6.0,4,4,JPN,2.0,IIDA A,0 - 4,383,JPN,6:23,Saved,0
1,Action shot,9.0,4,4,JPN,2.0,CARABANTES I,1 - 4,316,ARG,5:16,Goal,1
2,Action shot,11.0,4,4,JPN,2.0,DEMARCHI F,2 - 4,271,ARG,4:31,Goal,1
2,5m shot,9.0,4,4,JPN,2.0,CARABANTES I,2 - 4,227,ARG,3:47,Blocked,0
2,Action shot,12.0,4,4,JPN,2.0,HAZUI S,2 - 4,213,JPN,3:33,Saved,0
2,Action shot,11.0,4,4,JPN,2.0,DEMARCHI F,2 - 4,185,ARG,3:05,Saved,0
2,5m shot,11.0,4,4,JPN,2.0,DEMARCHI F,2 - 4,114,ARG,1:54,Saved,0
2,Action shot,9.0,4,5,JPN,2.0,TAKEI K,2 - 5,99,JPN,1:39,Goal,1
2,Centre shot,8.0,4,5,JPN,2.0,CORSI E,2 - 5,53,ARG,0:53,Saved,0
2,Centre shot,2.0,4,6,JPN,2.0,ADACHI S,2 - 6,35,JPN,0:35,Goal,1
6,Extra player shot,5.0,4,14,JPN,4.0,YANASE A,6 - 14,83,JPN,1:23,Goal,1
6,Action shot,3.0,4,14,JPN,4.0,GALIMBERTI T,6 - 14,53,ARG,0:53,Missed,0
2,5m shot,12.0,4,7,JPN,3.0,HAZUI S,2 - 7,422,JPN,7:02,Goal,1
3,Action shot,9.0,4,7,JPN,3.0,CARABANTES I,3 - 7,397,ARG,6:37,Goal,1
3,Extra player shot,7.0,4,8,JPN,3.0,SHIMIZU Y,3 - 8,378,JPN,6:18,Goal,1
3,Centre shot,6.0,4,9,JPN,3.0,IIDA A,3 - 9,345,JPN,5:45,Goal,1
3,Action shot,9.0,4,9,JPN,3.0,CARABANTES I,3 - 9,251,ARG,4:11,Saved,0
3,Centre shot,9.0,4,9,JPN,3.0,CARABANTES I,3 - 9,122,ARG,2:02,Saved,0
3,Extra player shot,4.0,4,10,JPN,3.0,SHIGA M,3 - 10,103,JPN,1:43,Goal,1
4,Extra player shot,11.0,4,10,JPN,3.0,DEMARCHI F,4 - 10,69,ARG,1:09,Goal,1
4,5m shot,2.0,4,10,JPN,3.0,VEICH R,4 - 10,21,ARG,0:21,Saved,0
4,Extra player shot,8.0,4,10,JPN,3.0,KADONO Y,4 - 10,5,JPN,0:05,Post,0
