ARG,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
6,5m shot - Post,2.0,1,9,RSA,4.0,VEICH R,9 - 6,326,ARG,5:26
6,Turnover foul,10.0,1,9,RSA,4.0,LE ROUX P,9 - 6,302,RSA,5:02
6,Steal,11.0,1,9,RSA,4.0,DEMARCHI F,9 - 6,302,ARG,5:02
6,Turnover foul,2.0,1,9,RSA,4.0,VEICH R,9 - 6,279,ARG,4:39
6,Steal,10.0,1,9,RSA,4.0,LE ROUX P,9 - 6,279,RSA,4:39
6,5m shot - Blocked,6.0,1,9,RSA,4.0,BULGHERONI T,9 - 6,228,ARG,3:48
6,Time-Out,,1,9,RSA,4.0,,9 - 6,228,RSA,3:48
6,Turnover foul,10.0,1,9,RSA,4.0,LE ROUX P,9 - 6,199,RSA,3:19
6,Counter attack - Saved,11.0,1,9,RSA,4.0,DEMARCHI F,9 - 6,190,ARG,3:10
6,5m shot - Saved,9.0,1,9,RSA,4.0,CARABANTES I,9 - 6,138,ARG,2:18
6,Time-Out,,1,9,RSA,4.0,,9 - 6,137,ARG,2:17
6,20 sec. exclusion in field,10.0,1,9,RSA,4.0,LE ROUX P,9 - 6,118,RSA,1:58
6,Action shot - Saved,8.0,1,9,RSA,4.0,CORSI E,9 - 6,93,ARG,1:33
6,Action shot - Saved,6.0,1,9,RSA,4.0,BULGHERONI T,9 - 6,47,ARG,0:47
6,Counter attack - Goal,2.0,1,10,RSA,4.0,LE ROUX E,10 - 6,39,RSA,0:39
6,Turnover foul,2.0,1,10,RSA,4.0,VEICH R,10 - 6,16,ARG,0:16
6,Steal,11.0,1,10,RSA,4.0,MOLYNEUX N,10 - 6,16,RSA,0:16
0,Starting goalkeeper,13.0,2,0,KAZ,1.0,SHLEMOV V,0 - 0,480,KAZ,8:00
0,Starting goalkeeper,1.0,2,0,KAZ,1.0,MALNERO D,0 - 0,480,ARG,8:00
0,Sprint won possession,6.0,2,0,KAZ,1.0,BULGHERONI T,0 - 0,480,ARG,8:00
0,Turnover foul,6.0,2,0,KAZ,1.0,BULGHERONI T,0 - 0,451,ARG,7:31
0,20 sec. exclusion in centre,2.0,2,0,KAZ,1.0,VEICH R,0 - 0,439,ARG,7:19
0,20 sec. exclusion in centre,8.0,2,0,KAZ,1.0,KOLIADENKO A,0 - 0,398,KAZ,6:38
1,Extra player shot - Goal,6.0,2,0,KAZ,1.0,BULGHERONI T,0 - 1,380,ARG,6:20
1,Action shot - Goal,6.0,2,1,KAZ,1.0,SHMIDER A,1 - 1,355,KAZ,5:55
1,Turnover foul,6.0,2,1,KAZ,1.0,SHMIDER A,1 - 1,319,KAZ,5:19
