Action,Cap,Game,JPN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,6.0,1,0,0,ITA,1.0,TAKAHASHI A,0 - 0,443,JPN,7:23,Post,0
Extra player shot,3.0,1,0,1,ITA,1.0,GARIBOTTI A,0 - 1,412,ITA,6:52,Goal,1
Extra player shot,9.0,1,0,2,ITA,1.0,EMMOLO G,0 - 2,361,ITA,6:01,Goal,1
Extra player shot,7.0,1,0,2,ITA,1.0,NAKANO Y,0 - 2,292,JPN,4:52,Saved,0
Penalty shot,8.0,1,0,2,ITA,1.0,HASHIGUCHI M,0 - 2,213,JPN,3:33,Saved,0
Action shot,8.0,1,0,3,ITA,1.0,BIANCONI R,0 - 3,183,ITA,3:03,Goal,1
Centre shot,6.0,1,0,4,ITA,1.0,AIELLO R,0 - 4,92,ITA,1:32,Goal,1
Extra player shot,11.0,1,0,5,ITA,1.0,BARZON L,0 - 5,25,ITA,0:25,Goal,1
Action shot,3.0,1,0,5,ITA,2.0,KAZAMA Y,0 - 5,432,JPN,7:12,Saved,0
Action shot,10.0,1,0,5,ITA,2.0,MORI T,0 - 5,372,JPN,6:12,Blocked,0
Extra player shot,3.0,1,0,6,ITA,2.0,GARIBOTTI A,0 - 6,329,ITA,5:29,Goal,1
5m shot,10.0,1,0,6,ITA,2.0,MORI T,0 - 6,258,JPN,4:18,Post,0
Action shot,3.0,1,1,6,ITA,2.0,KAZAMA Y,1 - 6,230,JPN,3:50,Goal,1
Action shot,2.0,1,1,7,ITA,2.0,TABANI C,1 - 7,202,ITA,3:22,Goal,1
Action shot,9.0,1,1,7,ITA,2.0,EMMOLO G,1 - 7,156,ITA,2:36,Saved,0
Action shot,8.0,1,1,7,ITA,2.0,HASHIGUCHI M,1 - 7,131,JPN,2:11,Post,0
Action shot,4.0,1,1,7,ITA,2.0,QUEIROLO E,1 - 7,113,ITA,1:53,Saved,0
Action shot,11.0,1,1,8,ITA,2.0,BARZON L,1 - 8,68,ITA,1:08,Goal,1
Action shot,5.0,1,1,8,ITA,2.0,NAKATA M,1 - 8,36,JPN,0:36,Post,0
5m shot,2.0,1,1,8,ITA,2.0,SAKANOUE C,1 - 8,1,JPN,0:01,Saved,0
Action shot,3.0,1,1,8,ITA,3.0,KAZAMA Y,1 - 8,441,JPN,7:21,Saved,0
Action shot,12.0,1,1,8,ITA,3.0,FRASSINETTI T,1 - 8,416,ITA,6:56,Post,0
Action shot,2.0,1,1,8,ITA,3.0,SAKANOUE C,1 - 8,400,JPN,6:40,Post,0
Extra player shot,10.0,1,1,8,ITA,3.0,MORI T,1 - 8,366,JPN,6:06,Post,0
5m shot,7.0,1,1,9,ITA,3.0,DI MARIO T,1 - 9,341,ITA,5:41,Goal,1
Action shot,9.0,1,1,9,ITA,3.0,HOSOYA K,1 - 9,296,JPN,4:56,Post,0
Action shot,9.0,1,1,9,ITA,3.0,HOSOYA K,1 - 9,287,JPN,4:47,Saved,0
Action shot,10.0,1,2,9,ITA,3.0,MORI T,2 - 9,275,JPN,4:35,Goal,1
Action shot,2.0,1,3,9,ITA,3.0,SAKANOUE C,3 - 9,221,JPN,3:41,Goal,1
Action shot,4.0,1,3,10,ITA,3.0,QUEIROLO E,3 - 10,204,ITA,3:24,Goal,1
5m shot,7.0,1,3,10,ITA,3.0,NAKANO Y,3 - 10,175,JPN,2:55,Saved,0
Action shot,11.0,1,3,10,ITA,3.0,BARZON L,3 - 10,130,ITA,2:10,Saved,0
5m shot,7.0,1,3,10,ITA,3.0,NAKANO Y,3 - 10,102,JPN,1:42,Post,0
5m shot,9.0,1,3,10,ITA,3.0,EMMOLO G,3 - 10,1,ITA,0:01,Missed,0
Action shot,3.0,1,3,11,ITA,4.0,GARIBOTTI A,3 - 11,420,ITA,7:00,Goal,1
Extra player shot,7.0,1,3,11,ITA,4.0,NAKANO Y,3 - 11,382,JPN,6:22,Saved,0
5m shot,8.0,1,3,12,ITA,4.0,BIANCONI R,3 - 12,362,ITA,6:02,Goal,1
Action shot,10.0,1,3,12,ITA,4.0,MORI T,3 - 12,332,JPN,5:32,Saved,0
Penalty shot,4.0,1,3,13,ITA,4.0,QUEIROLO E,3 - 13,310,ITA,5:10,Goal,1
5m shot,8.0,1,3,13,ITA,4.0,HASHIGUCHI M,3 - 13,279,JPN,4:39,Saved,0
Penalty shot,8.0,1,3,13,ITA,4.0,HASHIGUCHI M,3 - 13,252,JPN,4:12,Saved,0
5m shot,10.0,1,3,13,ITA,4.0,MORI T,3 - 13,222,JPN,3:42,Blocked,0
5m shot,2.0,1,3,14,ITA,4.0,TABANI C,3 - 14,206,ITA,3:26,Goal,1
Action shot,6.0,1,3,14,ITA,4.0,AIELLO R,3 - 14,163,ITA,2:43,Saved,0
Extra player shot,4.0,1,3,14,ITA,4.0,MAGARIYAMA S,3 - 14,124,JPN,2:04,Saved,0
Action shot,2.0,1,3,15,ITA,4.0,TABANI C,3 - 15,58,ITA,0:58,Goal,1
Action shot,5.0,1,3,15,ITA,4.0,NAKATA M,3 - 15,29,JPN,0:29,Saved,0
Action shot,3.0,1,3,15,ITA,4.0,GARIBOTTI A,3 - 15,1,ITA,0:01,Saved,0
Extra player shot,6.0,2,0,0,BRA,1.0,CHIAPPINI I,0 - 0,451,BRA,7:31,Saved,0
Centre shot,6.0,2,0,1,BRA,1.0,CHIAPPINI I,1 - 0,436,BRA,7:16,Goal,1
Centre shot,9.0,2,0,2,BRA,1.0,DIAS M,2 - 0,403,BRA,6:43,Goal,1
Extra player shot,10.0,2,0,2,BRA,1.0,MORI T,2 - 0,326,JPN,5:26,Blocked,0
Action shot,7.0,2,0,2,BRA,1.0,NAKANO Y,2 - 0,312,JPN,5:12,Saved,0
Action shot,11.0,2,0,2,BRA,1.0,TOKUMOTO M,2 - 0,302,JPN,5:02,Saved,0
Action shot,7.0,2,0,2,BRA,1.0,NAKANO Y,2 - 0,265,JPN,4:25,Blocked,0
Counter attack,7.0,2,1,2,BRA,1.0,NAKANO Y,2 - 1,221,JPN,3:41,Goal,1
