Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,13.0,1,0,0,AUS,1.0,HRYSANTHOS A,0 - 0,480,AUS,8:00
Starting goalkeeper,1.0,1,0,0,AUS,1.0,NAGY V,0 - 0,480,HUN,8:00
Sprint won possession,9.0,1,0,0,AUS,1.0,ERDELYI B,0 - 0,480,HUN,8:00
Turnover foul,12.0,1,0,0,AUS,1.0,HARAI B,0 - 0,456,HUN,7:36
Steal,3.0,1,0,0,AUS,1.0,FORD G,0 - 0,456,AUS,7:36
Action shot - Missed,7.0,1,0,0,AUS,1.0,GILCHRIST J,0 - 0,432,AUS,7:12
Turnover foul,12.0,1,0,0,AUS,1.0,HARAI B,0 - 0,412,HUN,6:52
Steal,3.0,1,0,0,AUS,1.0,FORD G,0 - 0,412,AUS,6:52
Turnover foul,6.0,1,0,0,AUS,1.0,EDWARDS L,0 - 0,392,AUS,6:32
Steal,8.0,1,0,0,AUS,1.0,GOR-NAGY M,0 - 0,392,HUN,6:32
Action shot - Saved,9.0,1,0,0,AUS,1.0,ERDELYI B,0 - 0,375,HUN,6:15
Centre shot - Goal,6.0,1,0,1,AUS,1.0,EDWARDS L,1 - 0,348,AUS,5:48
Action shot - Saved,9.0,1,0,1,AUS,1.0,ERDELYI B,1 - 0,322,HUN,5:22
Turnover foul,4.0,1,0,1,AUS,1.0,KAYES J,1 - 0,301,AUS,5:01
Turnover foul,12.0,1,0,1,AUS,1.0,HARAI B,1 - 0,284,HUN,4:44
Steal,13.0,1,0,1,AUS,1.0,HRYSANTHOS A,1 - 0,284,AUS,4:44
Action shot - Saved,3.0,1,0,1,AUS,1.0,FORD G,1 - 0,259,AUS,4:19
Action shot - Saved,10.0,1,0,1,AUS,1.0,VARGA D,1 - 0,241,HUN,4:01
5m shot - Missed,9.0,1,0,1,AUS,1.0,FORD A,1 - 0,218,AUS,3:38
Time-Out,,1,0,1,AUS,1.0,,1 - 0,217,HUN,3:37
20 sec. exclusion in centre,5.0,1,0,1,AUS,1.0,POWER N,1 - 0,198,AUS,3:18
Extra player shot - Post,4.0,1,0,1,AUS,1.0,ZALANKI G,1 - 0,180,HUN,3:00
Action shot - Saved,9.0,1,0,1,AUS,1.0,FORD A,1 - 0,153,AUS,2:33
Action shot - Goal,5.0,1,1,1,AUS,1.0,VAMOS M,1 - 1,101,HUN,1:41
Action shot - Saved,12.0,1,1,1,AUS,1.0,BROOKS N,1 - 1,71,AUS,1:11
Turnover foul,9.0,1,1,1,AUS,1.0,ERDELYI B,1 - 1,51,HUN,0:51
Steal,13.0,1,1,1,AUS,1.0,HRYSANTHOS A,1 - 1,51,AUS,0:51
5m shot - Blocked,11.0,1,1,1,AUS,1.0,HOLLIS L,1 - 1,26,AUS,0:26
20 sec. exclusion in centre,2.0,1,1,1,AUS,1.0,TOROK B,1 - 1,4,HUN,0:04
20 sec. exclusion in field,9.0,1,1,1,AUS,1.0,ERDELYI B,1 - 1,4,HUN,0:04
Extra player shot - Saved,7.0,1,1,1,AUS,1.0,GILCHRIST J,1 - 1,3,AUS,0:03
Starting goalkeeper,13.0,1,1,1,AUS,2.0,HRYSANTHOS A,1 - 1,480,AUS,8:00
Starting goalkeeper,1.0,1,1,1,AUS,2.0,NAGY V,1 - 1,480,HUN,8:00
Sprint won possession,3.0,1,1,1,AUS,2.0,MANHERCZ K,1 - 1,480,HUN,8:00
Turnover foul,11.0,1,1,1,AUS,2.0,MEZEI T,1 - 1,451,HUN,7:31
5m shot - Missed,7.0,1,1,1,AUS,2.0,GILCHRIST J,1 - 1,424,AUS,7:04
Action shot - Goal,10.0,1,2,1,AUS,2.0,VARGA D,1 - 2,414,HUN,6:54
Turnover foul,9.0,1,2,1,AUS,2.0,FORD A,1 - 2,390,AUS,6:30
Steal,1.0,1,2,1,AUS,2.0,NAGY V,1 - 2,390,HUN,6:30
Action shot - Post,3.0,1,2,1,AUS,2.0,MANHERCZ K,1 - 2,370,HUN,6:10
5m shot - Saved,11.0,1,2,1,AUS,2.0,HOLLIS L,1 - 2,344,AUS,5:44
Action shot - Saved,7.0,1,2,1,AUS,2.0,GILCHRIST J,1 - 2,320,AUS,5:20
Turnover foul,5.0,1,2,1,AUS,2.0,VAMOS M,1 - 2,301,HUN,5:01
5m shot - Saved,11.0,1,2,1,AUS,2.0,HOLLIS L,1 - 2,274,AUS,4:34
Action shot - Goal,10.0,1,3,1,AUS,2.0,VARGA D,1 - 3,256,HUN,4:16
Turnover foul,6.0,1,3,1,AUS,2.0,EDWARDS L,1 - 3,222,AUS,3:42
Steal,5.0,1,3,1,AUS,2.0,VAMOS M,1 - 3,222,HUN,3:42
20 sec. exclusion in centre,2.0,1,3,1,AUS,2.0,PUTT T,1 - 3,211,AUS,3:31
Extra player shot - Blocked,5.0,1,3,1,AUS,2.0,VAMOS M,1 - 3,193,HUN,3:13
Action shot - Post,12.0,1,3,1,AUS,2.0,HARAI B,1 - 3,177,HUN,2:57
Turnover foul,6.0,1,3,1,AUS,2.0,EDWARDS L,1 - 3,155,AUS,2:35
Steal,2.0,1,3,1,AUS,2.0,TOROK B,1 - 3,155,HUN,2:35
5m shot - Post,2.0,1,3,1,AUS,2.0,TOROK B,1 - 3,143,HUN,2:23
Time-Out,,1,3,1,AUS,2.0,,1 - 3,140,AUS,2:20
Turnover foul,7.0,1,3,1,AUS,2.0,GILCHRIST J,1 - 3,122,AUS,2:02
Steal,9.0,1,3,1,AUS,2.0,ERDELYI B,1 - 3,122,HUN,2:02
Action shot - Goal,6.0,1,4,1,AUS,2.0,HOSNYANSZKY N,1 - 4,96,HUN,1:36
20 sec. exclusion in field,4.0,1,4,1,AUS,2.0,ZALANKI G,1 - 4,83,HUN,1:23
Action shot - Goal,8.0,1,4,2,AUS,2.0,YOUNGER A,2 - 4,61,AUS,1:01
Turnover foul,2.0,1,4,2,AUS,2.0,PUTT T,2 - 4,47,AUS,0:47
20 sec. exclusion in centre,2.0,1,4,2,AUS,2.0,PUTT T,2 - 4,47,AUS,0:47
Turnover foul,6.0,1,4,2,AUS,4.0,EDWARDS L,2 - 4,83,AUS,1:23
Steal,1.0,1,4,2,AUS,4.0,NAGY V,2 - 4,83,HUN,1:23
5m shot - Missed,9.0,1,4,2,AUS,4.0,ERDELYI B,2 - 4,60,HUN,1:00
Turnover foul,6.0,1,4,2,AUS,4.0,EDWARDS L,2 - 4,40,AUS,0:40
Time-Out,,1,4,2,AUS,2.0,,2 - 4,47,HUN,0:47
Extra player shot - Goal,10.0,1,5,2,AUS,2.0,VARGA D,2 - 5,30,HUN,0:30
20 sec. exclusion in centre,8.0,1,5,2,AUS,2.0,GOR-NAGY M,2 - 5,5,HUN,0:05
Extra player shot - Saved,9.0,1,5,2,AUS,2.0,FORD A,2 - 5,5,AUS,0:05
