Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,2.0,3,2,0,KAZ,1.0,GUBAREV S,2 - 0,227,KAZ,3:47
20 sec. exclusion in centre,12.0,3,2,0,KAZ,1.0,PEKOVICH B,2 - 0,212,KAZ,3:32
Extra player shot - Saved,12.0,3,2,0,KAZ,1.0,NAPOLITANO C,2 - 0,196,ITA,3:16
Turnover foul,11.0,3,2,0,KAZ,1.0,MANAFOV R,2 - 0,170,KAZ,2:50
Steal,9.0,3,2,0,KAZ,1.0,PRESCIUTTI C,2 - 0,170,ITA,2:50
20 sec. exclusion in centre,7.0,3,2,0,KAZ,1.0,USHAKOV V,2 - 0,148,KAZ,2:28
Extra player shot - Saved,12.0,3,2,0,KAZ,1.0,NAPOLITANO C,2 - 0,131,ITA,2:11
Centre shot - Saved,2.0,3,2,0,KAZ,1.0,PEREZ A,2 - 0,126,ITA,2:06
Turnover foul,11.0,3,2,0,KAZ,1.0,MANAFOV R,2 - 0,96,KAZ,1:36
Steal,9.0,3,2,0,KAZ,1.0,PRESCIUTTI C,2 - 0,96,ITA,1:36
Turnover foul,9.0,3,2,0,KAZ,1.0,PRESCIUTTI C,2 - 0,66,ITA,1:06
Steal,6.0,3,2,0,KAZ,1.0,SHMIDER A,2 - 0,66,KAZ,1:06
Action shot - Missed,4.0,3,2,0,KAZ,1.0,PILIPENKO R,2 - 0,40,KAZ,0:40
5m shot - Saved,5.0,3,2,0,KAZ,1.0,GIORGETTI A,2 - 0,16,ITA,0:16
Centre shot - Goal,11.0,3,3,0,KAZ,1.0,AICARDI M,3 - 0,5,ITA,0:05
20 sec. exclusion in field,9.0,3,3,0,KAZ,1.0,PRESCIUTTI C,3 - 0,4,ITA,0:04
Starting goalkeeper,1.0,3,3,0,KAZ,2.0,TEMPESTI S,3 - 0,480,ITA,8:00
Starting goalkeeper,1.0,3,3,0,KAZ,2.0,MAXIMOV N,3 - 0,480,KAZ,8:00
Sprint won possession,4.0,3,3,0,KAZ,2.0,FIGLIOLI P,3 - 0,480,ITA,8:00
Turnover foul,11.0,3,3,0,KAZ,2.0,AICARDI M,3 - 0,456,ITA,7:36
Steal,5.0,3,3,0,KAZ,2.0,SHAKENOV M,3 - 0,456,KAZ,7:36
Turnover foul,12.0,3,3,0,KAZ,2.0,PEKOVICH B,3 - 0,435,KAZ,7:15
