Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Centre shot,11.0,1,1,0,ROU,1.0,AICARDI M,1 - 0,462,ITA,7:42,Goal,1
Extra player shot,11.0,1,2,0,ROU,1.0,AICARDI M,2 - 0,412,ITA,6:52,Goal,1
Action shot,11.0,1,2,0,ROU,1.0,GHIBAN A,2 - 0,389,ROU,6:29,Missed,0
Extra player shot,6.0,1,3,0,ROU,1.0,FELUGO M,3 - 0,241,ITA,4:01,Goal,1
Action shot,8.0,1,3,0,ROU,1.0,GALLO V,3 - 0,188,ITA,3:08,Saved,0
5m shot,9.0,1,4,0,ROU,1.0,PRESCIUTTI C,4 - 0,142,ITA,2:22,Goal,1
5m shot,9.0,1,4,0,ROU,1.0,PRESCIUTTI C,4 - 0,88,ITA,1:28,Blocked,0
5m shot,3.0,1,4,1,ROU,1.0,NEGREAN T,4 - 1,61,ROU,1:01,Goal,1
Action shot,10.0,1,4,1,ROU,1.0,GEORGESCU R,4 - 1,18,ROU,0:18,Post,0
5m shot,7.0,1,4,1,ROU,1.0,FIGARI N,4 - 1,1,ITA,0:01,Saved,0
5m shot,11.0,1,4,1,ROU,2.0,GHIBAN A,4 - 1,432,ROU,7:12,Saved,0
Counter attack,8.0,1,5,1,ROU,2.0,GALLO V,5 - 1,421,ITA,7:01,Goal,1
5m shot,4.0,1,5,1,ROU,2.0,FIGLIOLI P,5 - 1,368,ITA,6:08,Blocked,0
Action shot,8.0,1,5,2,ROU,2.0,CHIOVEANU M,5 - 2,328,ROU,5:28,Goal,1
Extra player shot,4.0,1,5,2,ROU,2.0,FIGLIOLI P,5 - 2,307,ITA,5:07,Blocked,0
Action shot,10.0,1,5,2,ROU,2.0,GEORGESCU R,5 - 2,273,ROU,4:33,Saved,0
Action shot,9.0,1,5,2,ROU,2.0,GOANTA D,5 - 2,251,ROU,4:11,Saved,0
Action shot,4.0,1,5,2,ROU,2.0,FIGLIOLI P,5 - 2,226,ITA,3:46,Saved,0
5m shot,4.0,1,5,2,ROU,2.0,FIGLIOLI P,5 - 2,181,ITA,3:01,Missed,0
Centre shot,12.0,1,5,2,ROU,2.0,NAPOLITANO C,5 - 2,138,ITA,2:18,Saved,0
Extra player shot,11.0,1,5,2,ROU,2.0,AICARDI M,5 - 2,72,ITA,1:12,Saved,0
Extra player shot,3.0,1,5,2,ROU,2.0,NEGREAN T,5 - 2,34,ROU,0:34,Saved,0
Penalty shot,5.0,1,5,2,ROU,2.0,GIORGETTI A,5 - 2,1,ITA,0:01,Post,0
5m shot,4.0,1,5,2,ROU,3.0,FIGLIOLI P,5 - 2,450,ITA,7:30,Blocked,0
5m shot,9.0,1,5,2,ROU,3.0,PRESCIUTTI C,5 - 2,423,ITA,7:03,Saved,0
Action shot,4.0,1,5,2,ROU,3.0,DIACONU N,5 - 2,394,ROU,6:34,Blocked,0
Extra player shot,2.0,1,6,2,ROU,3.0,PEREZ A,6 - 2,365,ITA,6:05,Goal,1
5m shot,11.0,1,6,2,ROU,3.0,GHIBAN A,6 - 2,339,ROU,5:39,Saved,0
5m shot,6.0,1,6,2,ROU,3.0,BUSILA A,6 - 2,287,ROU,4:47,Saved,0
Action shot,12.0,1,6,2,ROU,3.0,NAPOLITANO C,6 - 2,233,ITA,3:53,Blocked,0
5m shot,7.0,1,6,3,ROU,3.0,MATEI A,6 - 3,211,ROU,3:31,Goal,1
5m shot,6.0,1,6,3,ROU,3.0,FELUGO M,6 - 3,179,ITA,2:59,Saved,0
Action shot,2.0,1,6,3,ROU,3.0,PEREZ A,6 - 3,149,ITA,2:29,Saved,0
Action shot,4.0,1,7,3,ROU,3.0,FIGLIOLI P,7 - 3,110,ITA,1:50,Goal,1
5m shot,4.0,1,7,4,ROU,3.0,DIACONU N,7 - 4,85,ROU,1:25,Goal,1
5m shot,6.0,1,7,4,ROU,3.0,FELUGO M,7 - 4,8,ITA,0:08,Saved,0
5m shot,8.0,1,7,4,ROU,4.0,GALLO V,7 - 4,452,ITA,7:32,Saved,0
5m shot,8.0,1,7,4,ROU,4.0,GALLO V,7 - 4,422,ITA,7:02,Blocked,0
5m shot,8.0,1,7,4,ROU,4.0,GALLO V,7 - 4,418,ITA,6:58,Missed,0
5m shot,4.0,1,7,4,ROU,4.0,DIACONU N,7 - 4,397,ROU,6:37,Saved,0
