Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
20 sec. exclusion in centre,6.0,2,3,8,HUN,3.0,TAKACS O,8 - 3,351,HUN,5:51
Extra player shot - Blocked,4.0,2,3,8,HUN,3.0,RADICCHI F,8 - 3,332,ITA,5:32
Turnover foul,9.0,2,3,8,HUN,3.0,TOTH I,8 - 3,311,HUN,5:11
Action shot - Saved,3.0,2,3,8,HUN,3.0,GARIBOTTI A,8 - 3,297,ITA,4:57
5m shot - Missed,3.0,2,3,8,HUN,3.0,ANTAL D,8 - 3,271,HUN,4:31
20 sec. exclusion in field,11.0,2,3,8,HUN,3.0,GARDA K,8 - 3,261,HUN,4:21
Extra player shot - Blocked,3.0,2,3,8,HUN,3.0,GARIBOTTI A,8 - 3,241,ITA,4:01
5m shot - Saved,11.0,2,3,8,HUN,3.0,GARDA K,8 - 3,214,HUN,3:34
Turnover foul,7.0,2,3,8,HUN,3.0,di MARIO T,8 - 3,210,ITA,3:30
Action shot - Post,9.0,2,3,8,HUN,3.0,TOTH I,8 - 3,187,HUN,3:07
20 sec. exclusion in field,4.0,2,3,8,HUN,3.0,RADICCHI F,8 - 3,164,ITA,2:44
Extra player shot - Goal,3.0,2,3,9,HUN,3.0,ANTAL D,9 - 3,149,HUN,2:29
20 sec. exclusion in centre,11.0,2,3,9,HUN,3.0,GARDA K,9 - 3,140,HUN,2:20
Extra player shot - Post,8.0,2,3,9,HUN,3.0,BIANCONI R,9 - 3,122,ITA,2:02
Turnover foul,10.0,2,3,9,HUN,3.0,PALMIERI V,9 - 3,110,ITA,1:50
5m shot - Blocked,8.0,2,3,9,HUN,3.0,KESZTHELYI R,9 - 3,88,HUN,1:28
5m shot - Saved,12.0,2,3,9,HUN,3.0,MENCZINGER K,9 - 3,61,HUN,1:01
5m shot - Post,8.0,2,3,9,HUN,3.0,BIANCONI R,9 - 3,40,ITA,0:40
5m shot - Saved,12.0,2,3,9,HUN,3.0,MENCZINGER K,9 - 3,10,HUN,0:10
5m shot - Missed,9.0,2,3,9,HUN,3.0,EMMOLO G,9 - 3,3,ITA,0:03
Starting goalkeeper,1.0,2,3,9,HUN,4.0,GIGLI E,9 - 3,480,ITA,8:00
Starting goalkeeper,1.0,2,3,9,HUN,4.0,BOLONYAI F,9 - 3,480,HUN,8:00
Sprint won possession,12.0,2,3,9,HUN,4.0,FRASSINETTI T,9 - 3,480,ITA,8:00
5m shot - Saved,7.0,2,3,9,HUN,4.0,di MARIO T,9 - 3,463,ITA,7:43
Action shot - Post,4.0,2,3,9,HUN,4.0,RADICCHI F,9 - 3,440,ITA,7:20
Penalty foul,11.0,2,3,9,HUN,4.0,COTTI A,9 - 3,428,ITA,7:08
Penalty shot - Goal,5.0,2,3,10,HUN,4.0,SZUCS G,10 - 3,428,HUN,7:08
5m shot - Saved,4.0,2,3,10,HUN,4.0,RADICCHI F,10 - 3,405,ITA,6:45
Centre shot - Saved,10.0,2,3,10,HUN,4.0,BUJKA B,10 - 3,381,HUN,6:21
5m shot - Missed,7.0,2,3,10,HUN,4.0,di MARIO T,10 - 3,362,ITA,6:02
Centre shot - Post,4.0,2,3,10,HUN,4.0,KISTELEKI D,10 - 3,352,HUN,5:52
5m shot - Saved,4.0,2,3,10,HUN,4.0,RADICCHI F,10 - 3,326,ITA,5:26
5m shot - Saved,9.0,2,3,10,HUN,4.0,EMMOLO G,10 - 3,311,ITA,5:11
Turnover foul,10.0,2,3,10,HUN,4.0,BUJKA B,10 - 3,291,HUN,4:51
Turnover foul,7.0,2,3,10,HUN,4.0,di MARIO T,10 - 3,277,ITA,4:37
Steal,4.0,2,3,10,HUN,4.0,KISTELEKI D,10 - 3,277,HUN,4:37
Centre shot - Saved,10.0,2,3,10,HUN,4.0,BUJKA B,10 - 3,246,HUN,4:06
5m shot - Goal,12.0,2,4,10,HUN,4.0,FRASSINETTI T,10 - 4,229,ITA,3:49
Action shot - Saved,12.0,2,4,10,HUN,4.0,MENCZINGER K,10 - 4,199,HUN,3:19
5m shot - Post,4.0,2,4,10,HUN,4.0,RADICCHI F,10 - 4,169,ITA,2:49
Action shot - Post,9.0,2,4,10,HUN,4.0,TOTH I,10 - 4,139,HUN,2:19
Turnover foul,10.0,2,4,10,HUN,4.0,PALMIERI V,10 - 4,109,ITA,1:49
Time-Out,,2,4,10,HUN,4.0,,10 - 4,95,HUN,1:35
Centre shot - Saved,6.0,2,4,10,HUN,4.0,TAKACS O,10 - 4,75,HUN,1:15
20 sec. exclusion in field,11.0,2,4,10,HUN,4.0,GARDA K,10 - 4,71,HUN,1:11
Exclusion with substitution,11.0,2,4,10,HUN,4.0,GARDA K,10 - 4,71,HUN,1:11
Time-Out,,2,4,10,HUN,4.0,,10 - 4,71,ITA,1:11
Extra player shot - Blocked,6.0,2,4,10,HUN,4.0,AIELLO R,10 - 4,52,ITA,0:52
Turnover foul,9.0,2,4,10,HUN,4.0,TOTH I,10 - 4,24,HUN,0:24
Steal,6.0,2,4,10,HUN,4.0,AIELLO R,10 - 4,24,ITA,0:24
Action shot - Post,11.0,2,4,10,HUN,4.0,COTTI A,10 - 4,3,ITA,0:03
Starting goalkeeper,1.0,3,0,0,BRA,1.0,GIGLI E,0 - 0,480,ITA,8:00
Starting goalkeeper,1.0,3,0,0,BRA,1.0,CANETTI M,0 - 0,480,BRA,8:00
Sprint won possession,7.0,3,0,0,BRA,1.0,di MARIO T,0 - 0,480,ITA,8:00
Turnover foul,11.0,3,0,0,BRA,1.0,COTTI A,0 - 0,460,ITA,7:40
Steal,8.0,3,0,0,BRA,1.0,CHIAPPINI I,0 - 0,460,BRA,7:40
Counter attack - Goal,3.0,3,0,1,BRA,1.0,ZABLITH M,0 - 1,448,BRA,7:28
Action shot - Goal,8.0,3,1,1,BRA,1.0,BIANCONI R,1 - 1,431,ITA,7:11
Action shot - Saved,7.0,3,1,1,BRA,1.0,DIAS M,1 - 1,405,BRA,6:45
Turnover foul,12.0,3,1,1,BRA,1.0,FRASSINETTI T,1 - 1,385,ITA,6:25
Steal,1.0,3,1,1,BRA,1.0,CANETTI M,1 - 1,385,BRA,6:25
Action shot - Missed,8.0,3,1,1,BRA,1.0,CHIAPPINI I,1 - 1,357,BRA,5:57
Turnover foul,11.0,3,1,1,BRA,1.0,COTTI A,1 - 1,345,ITA,5:45
Turnover foul,8.0,3,1,1,BRA,1.0,CHIAPPINI I,1 - 1,331,BRA,5:31
Steal,4.0,3,1,1,BRA,1.0,RADICCHI F,1 - 1,331,ITA,5:31
Penalty foul,3.0,3,1,1,BRA,1.0,ZABLITH M,1 - 1,307,BRA,5:07
Penalty shot - Goal,8.0,3,2,1,BRA,1.0,BIANCONI R,2 - 1,307,ITA,5:07
Turnover foul,11.0,3,2,1,BRA,1.0,COUTINHO M,2 - 1,290,BRA,4:50
Steal,9.0,3,2,1,BRA,1.0,EMMOLO G,2 - 1,290,ITA,4:50
Centre shot - Saved,12.0,3,2,1,BRA,1.0,FRASSINETTI T,2 - 1,264,ITA,4:24
20 sec. exclusion in centre,4.0,3,2,1,BRA,1.0,RADICCHI F,2 - 1,240,ITA,4:00
Extra player shot - Saved,11.0,3,2,1,BRA,1.0,COUTINHO M,2 - 1,220,BRA,3:40
Turnover foul,12.0,3,2,1,BRA,1.0,FRASSINETTI T,2 - 1,194,ITA,3:14
Action shot - Post,7.0,3,2,1,BRA,1.0,DIAS M,2 - 1,167,BRA,2:47
Action shot - Missed,9.0,3,2,1,BRA,1.0,EMMOLO G,2 - 1,153,ITA,2:33
5m shot - Blocked,8.0,3,2,1,BRA,1.0,CHIAPPINI I,2 - 1,133,BRA,2:13
Turnover foul,8.0,3,2,1,BRA,1.0,BIANCONI R,2 - 1,118,ITA,1:58
Action shot - Post,4.0,3,2,1,BRA,1.0,CANETTI M,2 - 1,90,BRA,1:30
Action shot - Missed,11.0,3,2,1,BRA,1.0,COTTI A,2 - 1,72,ITA,1:12
Turnover foul,10.0,3,2,1,BRA,1.0,VIGNA F,2 - 1,56,BRA,0:56
Action shot - Saved,11.0,3,2,1,BRA,1.0,COTTI A,2 - 1,27,ITA,0:27
Action shot - Saved,10.0,3,2,1,BRA,1.0,VIGNA F,2 - 1,1,BRA,0:01
Starting goalkeeper,1.0,3,2,1,BRA,2.0,GIGLI E,2 - 1,480,ITA,8:00
Starting goalkeeper,1.0,3,2,1,BRA,2.0,CANETTI M,2 - 1,480,BRA,8:00
Sprint won possession,3.0,3,2,1,BRA,2.0,ZABLITH M,2 - 1,480,BRA,8:00
Action shot - Post,8.0,3,2,1,BRA,2.0,CHIAPPINI I,2 - 1,451,BRA,7:31
Action shot - Blocked,7.0,3,2,1,BRA,2.0,di MARIO T,2 - 1,433,ITA,7:13
Action shot - Missed,11.0,3,2,1,BRA,2.0,COUTINHO M,2 - 1,416,BRA,6:56
Centre shot - Post,10.0,3,2,1,BRA,2.0,PALMIERI V,2 - 1,399,ITA,6:39
5m shot - Missed,8.0,3,2,1,BRA,2.0,CHIAPPINI I,2 - 1,370,BRA,6:10
5m shot - Post,7.0,3,2,1,BRA,2.0,di MARIO T,2 - 1,358,ITA,5:58
5m shot - Saved,8.0,3,2,1,BRA,2.0,CHIAPPINI I,2 - 1,330,BRA,5:30
Action shot - Goal,3.0,3,3,1,BRA,2.0,GARIBOTTI A,3 - 1,307,ITA,5:07
20 sec. exclusion in centre,6.0,3,3,1,BRA,2.0,AIELLO R,3 - 1,286,ITA,4:46
Turnover foul,3.0,3,3,1,BRA,2.0,ZABLITH M,3 - 1,269,BRA,4:29
Turnover foul,10.0,3,3,1,BRA,2.0,PALMIERI V,3 - 1,251,ITA,4:11
5m shot - Saved,7.0,3,3,1,BRA,2.0,DIAS M,3 - 1,222,BRA,3:42
20 sec. exclusion in field,7.0,3,3,1,BRA,2.0,DIAS M,3 - 1,216,BRA,3:36
Action shot - Goal,3.0,3,4,1,BRA,2.0,GARIBOTTI A,4 - 1,194,ITA,3:14
Turnover foul,3.0,3,4,1,BRA,2.0,ZABLITH M,4 - 1,172,BRA,2:52
Action shot - Goal,9.0,3,5,1,BRA,2.0,EMMOLO G,5 - 1,153,ITA,2:33
20 sec. exclusion in centre,12.0,3,5,1,BRA,2.0,BAHIA V,5 - 1,115,BRA,1:55
Extra player shot - Goal,9.0,3,6,1,BRA,2.0,EMMOLO G,6 - 1,101,ITA,1:41
Action shot - Missed,8.0,3,6,1,BRA,2.0,CHIAPPINI I,6 - 1,74,BRA,1:14
20 sec. exclusion in field,8.0,3,6,1,BRA,2.0,CHIAPPINI I,6 - 1,70,BRA,1:10
Extra player shot - Goal,10.0,3,7,1,BRA,2.0,PALMIERI V,7 - 1,51,ITA,0:51
Action shot - Missed,8.0,3,7,1,BRA,2.0,CHIAPPINI I,7 - 1,28,BRA,0:28
Action shot - Goal,3.0,3,8,1,BRA,2.0,GARIBOTTI A,8 - 1,7,ITA,0:07
5m shot - Missed,3.0,3,8,1,BRA,2.0,ZABLITH M,8 - 1,4,BRA,0:04
Starting goalkeeper,1.0,3,8,1,BRA,3.0,GIGLI E,8 - 1,480,ITA,8:00
Starting goalkeeper,13.0,3,8,1,BRA,3.0,CHAMORRO V,8 - 1,480,BRA,8:00
Sprint won possession,3.0,3,8,1,BRA,3.0,ZABLITH M,8 - 1,480,BRA,8:00
Action shot - Saved,3.0,3,8,1,BRA,3.0,ZABLITH M,8 - 1,451,BRA,7:31
20 sec. exclusion in centre,11.0,3,8,1,BRA,3.0,COUTINHO M,8 - 1,425,BRA,7:05
Extra player shot - Saved,7.0,3,8,1,BRA,3.0,di MARIO T,8 - 1,407,ITA,6:47
Turnover foul,12.0,3,8,1,BRA,3.0,FRASSINETTI T,8 - 1,356,ITA,5:56
Steal,13.0,3,8,1,BRA,3.0,CHAMORRO V,8 - 1,356,BRA,5:56
Action shot - Blocked,8.0,3,8,1,BRA,3.0,BIANCONI R,8 - 1,308,ITA,5:08
20 sec. exclusion in field,7.0,3,8,1,BRA,3.0,di MARIO T,8 - 1,305,ITA,5:05
Centre shot - Goal,10.0,3,8,2,BRA,3.0,VIGNA F,8 - 2,282,BRA,4:42
Penalty foul,12.0,3,8,2,BRA,3.0,BAHIA V,8 - 2,268,BRA,4:28
Penalty shot - Goal,5.0,3,9,2,BRA,3.0,QUEIROLO E,9 - 2,268,ITA,4:28
Turnover foul,11.0,3,9,2,BRA,3.0,COUTINHO M,9 - 2,256,BRA,4:16
Steal,5.0,3,9,2,BRA,3.0,QUEIROLO E,9 - 2,256,ITA,4:16
Action shot - Goal,5.0,3,10,2,BRA,3.0,QUEIROLO E,10 - 2,227,ITA,3:47
20 sec. exclusion in centre,4.0,3,10,2,BRA,3.0,RADICCHI F,10 - 2,207,ITA,3:27
Action shot - Saved,11.0,3,10,2,BRA,3.0,COUTINHO M,10 - 2,181,BRA,3:01
5m shot - Blocked,3.0,3,10,2,BRA,3.0,ZABLITH M,10 - 2,95,BRA,1:35
5m shot - Post,8.0,3,10,2,BRA,3.0,BIANCONI R,10 - 2,78,ITA,1:18
Turnover foul,9.0,3,10,2,BRA,3.0,EMMOLO G,10 - 2,27,ITA,0:27
Turnover foul,4.0,3,10,2,BRA,3.0,CANETTI M,10 - 2,6,BRA,0:06
5m shot - Saved,8.0,3,10,2,BRA,3.0,BIANCONI R,10 - 2,1,ITA,0:01
Starting goalkeeper,1.0,3,10,2,BRA,4.0,GIGLI E,10 - 2,480,ITA,8:00
Starting goalkeeper,13.0,3,10,2,BRA,4.0,CHAMORRO V,10 - 2,480,BRA,8:00
Sprint won possession,3.0,3,10,2,BRA,4.0,ZABLITH M,10 - 2,480,BRA,8:00
Action shot - Saved,7.0,3,10,2,BRA,4.0,DIAS M,10 - 2,451,BRA,7:31
Action shot - Blocked,7.0,3,10,2,BRA,4.0,di MARIO T,10 - 2,422,ITA,7:02
Turnover foul,4.0,3,10,2,BRA,4.0,CANETTI M,10 - 2,397,BRA,6:37
Steal,3.0,3,10,2,BRA,4.0,GARIBOTTI A,10 - 2,397,ITA,6:37
Centre shot - Post,10.0,3,10,2,BRA,4.0,PALMIERI V,10 - 2,372,ITA,6:12
5m shot - Missed,3.0,3,10,2,BRA,4.0,ZABLITH M,10 - 2,347,BRA,5:47
Action shot - Goal,7.0,3,11,2,BRA,4.0,di MARIO T,11 - 2,331,ITA,5:31
Action shot - Saved,10.0,3,11,2,BRA,4.0,VIGNA F,11 - 2,311,BRA,5:11
Action shot - Blocked,4.0,3,11,2,BRA,4.0,RADICCHI F,11 - 2,284,ITA,4:44
20 sec. exclusion in field,8.0,3,11,2,BRA,4.0,BIANCONI R,11 - 2,266,ITA,4:26
Time-Out,,3,11,2,BRA,4.0,,11 - 2,266,BRA,4:26
Goalkeeper substitution,13.0,3,11,2,BRA,4.0,SPARANO L,11 - 2,266,ITA,4:26
Action shot - Saved,2.0,3,11,2,BRA,4.0,ABLA D,11 - 2,252,BRA,4:12
Turnover foul,3.0,3,11,2,BRA,4.0,ZABLITH M,11 - 2,225,BRA,3:45
Turnover foul,7.0,3,11,2,BRA,4.0,di MARIO T,11 - 2,221,ITA,3:41
Action shot - Goal,8.0,3,11,3,BRA,4.0,CHIAPPINI I,11 - 3,207,BRA,3:27
Action shot - Saved,3.0,3,11,3,BRA,4.0,GARIBOTTI A,11 - 3,181,ITA,3:01
Turnover foul,7.0,3,11,3,BRA,4.0,DIAS M,11 - 3,158,BRA,2:38
Steal,8.0,3,11,3,BRA,4.0,BIANCONI R,11 - 3,158,ITA,2:38
20 sec. exclusion in field,3.0,3,11,3,BRA,4.0,ZABLITH M,11 - 3,137,BRA,2:17
Extra player shot - Goal,9.0,3,12,3,BRA,4.0,EMMOLO G,12 - 3,120,ITA,2:00
20 sec. exclusion in centre,11.0,3,12,3,BRA,4.0,COTTI A,12 - 3,93,ITA,1:33
Time-Out,,3,12,3,BRA,4.0,,12 - 3,92,BRA,1:32
5m shot - Goal,7.0,3,12,4,BRA,4.0,DIAS M,12 - 4,72,BRA,1:12
Turnover foul,12.0,3,12,4,BRA,4.0,FRASSINETTI T,12 - 4,45,ITA,0:45
Counter attack - Goal,3.0,3,12,5,BRA,4.0,ZABLITH M,12 - 5,37,BRA,0:37
Penalty foul,7.0,3,12,5,BRA,4.0,DIAS M,12 - 5,13,BRA,0:13
Penalty shot - Goal,8.0,3,13,5,BRA,4.0,BIANCONI R,13 - 5,13,ITA,0:13
5m shot - Missed,8.0,3,13,5,BRA,4.0,CHIAPPINI I,13 - 5,3,BRA,0:03
5m shot - Saved,13.0,3,13,5,BRA,4.0,SPARANO L,13 - 5,1,ITA,0:01
Starting goalkeeper,1.0,4,0,0,GRE,1.0,GIGLI E,0 - 0,480,ITA,8:00
Starting goalkeeper,1.0,4,0,0,GRE,1.0,KOUVDOU E,0 - 0,480,GRE,8:00
Sprint won possession,7.0,4,0,0,GRE,1.0,di MARIO T,0 - 0,480,ITA,8:00
Turnover foul,12.0,4,0,0,GRE,1.0,FRASSINETTI T,0 - 0,462,ITA,7:42
Steal,6.0,4,0,0,GRE,1.0,AVRAMIDOU A,0 - 0,462,GRE,7:42
Action shot - Blocked,8.0,4,0,0,GRE,1.0,ROUMPESI A,0 - 0,438,GRE,7:18
Penalty foul,4.0,4,0,0,GRE,1.0,PSOUNI I,0 - 0,417,GRE,6:57
Penalty shot - Saved,7.0,4,0,0,GRE,1.0,di MARIO T,0 - 0,417,ITA,6:57
Turnover foul,7.0,4,0,0,GRE,1.0,ASIMAKI A,0 - 0,401,GRE,6:41
Steal,1.0,4,0,0,GRE,1.0,GIGLI E,0 - 0,401,ITA,6:41
Turnover foul,4.0,4,0,0,GRE,1.0,RADICCHI F,0 - 0,373,ITA,6:13
Steal,10.0,4,0,0,GRE,1.0,MANOLIOUDAKI T,0 - 0,373,GRE,6:13
Action shot - Post,10.0,4,0,0,GRE,1.0,MANOLIOUDAKI T,0 - 0,347,GRE,5:47
Action shot - Goal,8.0,4,1,0,GRE,1.0,BIANCONI R,1 - 0,326,ITA,5:26
Turnover foul,2.0,4,1,0,GRE,1.0,TSOUKALA C,1 - 0,297,GRE,4:57
Counter attack - Missed,9.0,4,1,0,GRE,1.0,EMMOLO G,1 - 0,288,ITA,4:48
Turnover foul,7.0,4,1,0,GRE,1.0,ASIMAKI A,1 - 0,267,GRE,4:27
Turnover foul,12.0,4,1,0,GRE,1.0,FRASSINETTI T,1 - 0,244,ITA,4:04
Action shot - Blocked,4.0,4,1,0,GRE,1.0,PSOUNI I,1 - 0,222,GRE,3:42
Counter attack - Missed,12.0,4,1,0,GRE,1.0,FRASSINETTI T,1 - 0,210,ITA,3:30
20 sec. exclusion in centre,4.0,4,1,0,GRE,1.0,RADICCHI F,1 - 0,203,ITA,3:23
Extra player shot - Goal,7.0,4,1,1,GRE,1.0,ASIMAKI A,1 - 1,200,GRE,3:20
5m shot - Goal,7.0,4,2,1,GRE,1.0,di MARIO T,2 - 1,179,ITA,2:59
Action shot - Post,8.0,4,2,1,GRE,1.0,ROUMPESI A,2 - 1,152,GRE,2:32
20 sec. exclusion in centre,10.0,4,2,1,GRE,1.0,MANOLIOUDAKI T,2 - 1,125,GRE,2:05
Extra player shot - Blocked,8.0,4,2,1,GRE,1.0,BIANCONI R,2 - 1,107,ITA,1:47
Action shot - Goal,8.0,4,2,2,GRE,1.0,ROUMPESI A,2 - 2,81,GRE,1:21
Centre shot - Saved,10.0,4,2,2,GRE,1.0,PALMIERI V,2 - 2,63,ITA,1:03
Turnover foul,12.0,4,2,2,GRE,1.0,FRASSINETTI T,2 - 2,36,ITA,0:36
Action shot - Saved,3.0,4,2,2,GRE,1.0,DIAMANTOPOULOU V,2 - 2,11,GRE,0:11
5m shot - Missed,5.0,4,2,2,GRE,1.0,QUEIROLO E,2 - 2,1,ITA,0:01
Starting goalkeeper,1.0,4,2,2,GRE,2.0,KOUVDOU E,2 - 2,480,GRE,8:00
Starting goalkeeper,1.0,4,2,2,GRE,2.0,GIGLI E,2 - 2,480,ITA,8:00
Sprint won possession,11.0,4,2,2,GRE,2.0,PLEVRITOU E,2 - 2,480,GRE,8:00
20 sec. exclusion in centre,8.0,4,2,2,GRE,2.0,BIANCONI R,2 - 2,464,ITA,7:44
Action shot - Missed,6.0,4,2,2,GRE,2.0,AVRAMIDOU A,2 - 2,436,GRE,7:16
Action shot - Blocked,11.0,4,2,2,GRE,2.0,PLEVRITOU E,2 - 2,413,GRE,6:53
Penalty foul,3.0,4,2,2,GRE,2.0,DIAMANTOPOULOU V,2 - 2,387,GRE,6:27
Penalty shot - Goal,8.0,4,3,2,GRE,2.0,BIANCONI R,3 - 2,387,ITA,6:27
5m shot - Goal,8.0,4,3,3,GRE,2.0,ROUMPESI A,3 - 3,358,GRE,5:58
Turnover foul,12.0,4,3,3,GRE,2.0,FRASSINETTI T,3 - 3,337,ITA,5:37
Steal,2.0,4,3,3,GRE,2.0,TSOUKALA C,3 - 3,337,GRE,5:37
Turnover foul,7.0,4,3,3,GRE,2.0,ASIMAKI A,3 - 3,318,GRE,5:18
Steal,6.0,4,3,3,GRE,2.0,AIELLO R,3 - 3,318,ITA,5:18
5m shot - Missed,8.0,4,3,3,GRE,2.0,BIANCONI R,3 - 3,289,ITA,4:49
Action shot - Saved,2.0,4,3,3,GRE,2.0,TSOUKALA C,3 - 3,263,GRE,4:23
