Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Centre shot,9.0,1,0,0,KAZ,1.0,JAKAYEVA A,0 - 0,464,KAZ,7:44,Missed,0
Extra player shot,10.0,1,0,0,KAZ,1.0,GRITSENKO M,0 - 0,366,KAZ,6:06,Post,0
Centre shot,12.0,1,0,0,KAZ,1.0,FRASSINETTI T,0 - 0,354,ITA,5:54,Post,0
5m shot,10.0,1,0,0,KAZ,1.0,GRITSENKO M,0 - 0,323,KAZ,5:23,Blocked,0
5m shot,2.0,1,0,0,KAZ,1.0,POMERI F,0 - 0,298,ITA,4:58,Blocked,0
Centre shot,9.0,1,0,1,KAZ,1.0,JAKAYEVA A,0 - 1,279,KAZ,4:39,Goal,1
Action shot,6.0,1,0,1,KAZ,1.0,ZUBKOVA A,0 - 1,242,KAZ,4:02,Saved,0
Action shot,8.0,1,0,1,KAZ,1.0,BIANCONI R,0 - 1,186,ITA,3:06,Post,0
Extra player shot,7.0,1,0,2,KAZ,1.0,ALEXANDROVA N,0 - 2,109,KAZ,1:49,Goal,1
Extra player shot,8.0,1,0,2,KAZ,1.0,BIANCONI R,0 - 2,82,ITA,1:22,Post,0
Extra player shot,10.0,1,0,3,KAZ,1.0,GRITSENKO M,0 - 3,52,KAZ,0:52,Goal,1
Penalty shot,7.0,1,1,3,KAZ,1.0,di MARIO T,1 - 3,38,ITA,0:38,Goal,1
Action shot,9.0,1,1,3,KAZ,2.0,EMMOLO G,1 - 3,462,ITA,7:42,Missed,0
Action shot,2.0,1,1,3,KAZ,2.0,SHEPELINA N,1 - 3,433,KAZ,7:13,Missed,0
Penalty shot,7.0,1,2,3,KAZ,2.0,di MARIO T,2 - 3,415,ITA,6:55,Goal,1
Penalty shot,7.0,1,3,3,KAZ,2.0,di MARIO T,3 - 3,394,ITA,6:34,Goal,1
Centre shot,9.0,1,3,3,KAZ,2.0,JAKAYEVA A,3 - 3,375,KAZ,6:15,Saved,0
Counter attack,2.0,1,3,3,KAZ,2.0,SHEPELINA N,3 - 3,347,KAZ,5:47,Saved,0
Centre shot,9.0,1,3,3,KAZ,2.0,JAKAYEVA A,3 - 3,333,KAZ,5:33,Saved,0
Extra player shot,11.0,1,4,3,KAZ,2.0,COTTI A,4 - 3,314,ITA,5:14,Goal,1
5m shot,10.0,1,4,3,KAZ,2.0,GRITSENKO M,4 - 3,293,KAZ,4:53,Missed,0
Action shot,7.0,1,4,3,KAZ,2.0,di MARIO T,4 - 3,275,ITA,4:35,Post,0
Action shot,10.0,1,4,3,KAZ,2.0,GRITSENKO M,4 - 3,195,KAZ,3:15,Blocked,0
Action shot,3.0,1,5,3,KAZ,2.0,GARIBOTTI A,5 - 3,181,ITA,3:01,Goal,1
Action shot,3.0,1,5,3,KAZ,2.0,GARIBOTTI A,5 - 3,146,ITA,2:26,Saved,0
