Action,CRO,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,18,12.0,4,3,NZL,3.0,OBRADOVIC P,18 - 3,17,CRO,0:17,Goal,1
Action shot,18,5.0,4,3,NZL,3.0,ROSS J,18 - 3,2,NZL,0:02,Missed,0
5m shot,18,12.0,4,3,NZL,3.0,OBRADOVIC P,18 - 3,1,CRO,0:01,Missed,0
Action shot,18,11.0,4,3,NZL,4.0,SETKA A,18 - 3,452,CRO,7:32,Post,0
Penalty shot,19,7.0,4,3,NZL,4.0,MUSLIM P,19 - 3,432,CRO,7:12,Goal,1
Action shot,19,9.0,4,3,NZL,4.0,LUI-FAKAOTIMANAVA,19 - 3,405,NZL,6:45,Saved,0
Action shot,20,4.0,4,3,NZL,4.0,PASKVALIN F,20 - 3,362,CRO,6:02,Goal,1
Centre shot,20,10.0,4,3,NZL,4.0,DOBUD N,20 - 3,99,CRO,1:39,Saved,0
5m shot,20,5.0,4,3,NZL,4.0,ROSS J,20 - 3,58,NZL,0:58,Saved,0
5m shot,20,9.0,4,3,NZL,4.0,LUI-FAKAOTIMANAVA,20 - 3,22,NZL,0:22,Saved,0
Action shot,20,7.0,4,3,NZL,4.0,MUSLIM P,20 - 3,2,CRO,0:02,Post,0
5m shot,0,11.0,5,0,AUS,1.0,HOWDEN R,0 - 0,451,AUS,7:31,Missed,0
5m shot,0,7.0,5,0,AUS,1.0,MUSLIM P,0 - 0,368,CRO,6:08,Saved,0
Action shot,0,2.0,5,0,AUS,1.0,CAMPBELL R,0 - 0,293,AUS,4:53,Blocked,0
Action shot,0,2.0,5,0,AUS,1.0,CAMPBELL R,0 - 0,264,AUS,4:24,Missed,0
Extra player shot,1,12.0,5,0,AUS,1.0,OBRADOVIC P,1 - 0,226,CRO,3:46,Goal,1
Action shot,1,12.0,5,0,AUS,1.0,MILLER W,1 - 0,198,AUS,3:18,Blocked,0
Action shot,1,12.0,5,0,AUS,1.0,MILLER W,1 - 0,140,AUS,2:20,Blocked,0
Action shot,1,12.0,5,1,AUS,1.0,MILLER W,1 - 1,50,AUS,0:50,Goal,1
Action shot,2,9.0,5,1,AUS,2.0,SUKNO S,2 - 1,455,CRO,7:35,Goal,1
Action shot,2,2.0,5,1,AUS,2.0,CAMPBELL R,2 - 1,362,AUS,6:02,Blocked,0
Action shot,2,11.0,5,1,AUS,2.0,SETKA A,2 - 1,334,CRO,5:34,Blocked,0
Action shot,2,8.0,5,1,AUS,2.0,YOUNGER A,2 - 1,288,AUS,4:48,Post,0
Action shot,2,2.0,5,1,AUS,2.0,CAMPBELL R,2 - 1,231,AUS,3:51,Post,0
Action shot,2,9.0,5,1,AUS,2.0,SUKNO S,2 - 1,205,CRO,3:25,Post,0
Action shot,2,7.0,5,1,AUS,2.0,MUSLIM P,2 - 1,153,CRO,2:33,Post,0
Action shot,2,2.0,5,1,AUS,2.0,CAMPBELL R,2 - 1,109,AUS,1:49,Saved,0
Extra player shot,2,7.0,5,2,AUS,2.0,ROACH A,2 - 2,73,AUS,1:13,Goal,1
5m shot,2,8.0,5,2,AUS,2.0,YOUNGER A,2 - 2,1,AUS,0:01,Blocked,0
Action shot,2,5.0,5,2,AUS,3.0,JOKOVIC M,2 - 2,408,CRO,6:48,Saved,0
5m shot,2,12.0,5,2,AUS,3.0,MILLER W,2 - 2,384,AUS,6:24,Saved,0
5m shot,2,10.0,5,2,AUS,3.0,MARTIN T,2 - 2,321,AUS,5:21,Blocked,0
5m shot,2,12.0,5,2,AUS,3.0,OBRADOVIC P,2 - 2,302,CRO,5:02,Saved,0
Action shot,2,8.0,5,2,AUS,3.0,BUSLJE A,2 - 2,278,CRO,4:38,Saved,0
