Action,CRO,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Extra player shot - Saved,3,4.0,6,2,HUN,2.0,PASKVALIN F,2 - 3,371,CRO,6:11
5m shot - Blocked,3,3.0,6,2,HUN,2.0,MADARAS N,2 - 3,347,HUN,5:47
Action shot - Goal,3,5.0,6,3,HUN,2.0,VAMOS M,3 - 3,341,HUN,5:41
Action shot - Missed,3,12.0,6,3,HUN,2.0,OBRADOVIC P,3 - 3,320,CRO,5:20
Counter attack - Goal,3,3.0,6,4,HUN,2.0,MADARAS N,4 - 3,311,HUN,5:11
20 sec. exclusion in centre,3,7.0,6,4,HUN,2.0,DECKER A,4 - 3,294,HUN,4:54
Extra player shot - Goal,4,12.0,6,4,HUN,2.0,OBRADOVIC P,4 - 4,274,CRO,4:34
20 sec. exclusion in centre,4,3.0,6,4,HUN,2.0,MILAKOVIC I,4 - 4,259,CRO,4:19
Extra player shot - Goal,4,8.0,6,5,HUN,2.0,SZIVOS M,5 - 4,247,HUN,4:07
Turnover foul,4,10.0,6,5,HUN,2.0,DOBUD N,5 - 4,236,CRO,3:56
5m shot - Goal,4,8.0,6,6,HUN,2.0,SZIVOS M,6 - 4,209,HUN,3:29
Turnover foul,4,7.0,6,6,HUN,2.0,MUSLIM P,6 - 4,185,CRO,3:05
Steal,4,8.0,6,6,HUN,2.0,SZIVOS M,6 - 4,185,HUN,3:05
Centre shot - Saved,4,10.0,6,6,HUN,2.0,VARGA D,6 - 4,168,HUN,2:48
20 sec. exclusion in centre,4,3.0,6,6,HUN,2.0,MADARAS N,6 - 4,153,HUN,2:33
20 sec. exclusion in centre,4,2.0,6,6,HUN,2.0,GOR-NAGY M,6 - 4,137,HUN,2:17
Extra player shot - Goal,5,5.0,6,6,HUN,2.0,JOKOVIC M,6 - 5,121,CRO,2:01
Turnover foul,5,12.0,6,6,HUN,2.0,HARAI B,6 - 5,97,HUN,1:37
Steal,5,9.0,6,6,HUN,2.0,SUKNO S,6 - 5,97,CRO,1:37
Turnover foul,5,2.0,6,6,HUN,2.0,LONCAR L,6 - 5,85,CRO,1:25
Turnover foul,5,1.0,6,6,HUN,2.0,NAGY V,6 - 5,76,HUN,1:16
Steal,5,1.0,6,6,HUN,2.0,PAVIC J,6 - 5,76,CRO,1:16
20 sec. exclusion in centre,5,6.0,6,6,HUN,2.0,HOSNYANSZKY N,6 - 5,50,HUN,0:50
Extra player shot - Saved,5,8.0,6,6,HUN,2.0,BUSLJE A,6 - 5,33,CRO,0:33
5m shot - Saved,5,9.0,6,6,HUN,2.0,VARGA D,6 - 5,5,HUN,0:05
5m shot - Saved,5,6.0,6,6,HUN,2.0,HOSNYANSZKY N,6 - 5,1,HUN,0:01
Starting goalkeeper,5,1.0,6,6,HUN,3.0,NAGY V,6 - 5,480,HUN,8:00
Starting goalkeeper,5,1.0,6,6,HUN,3.0,PAVIC J,6 - 5,480,CRO,8:00
20 sec. exclusion in centre,5,9.0,6,6,HUN,4.0,VARGA D,6 - 5,106,HUN,1:46
Action shot - Saved,5,9.0,6,6,HUN,4.0,SUKNO S,6 - 5,82,CRO,1:22
