Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,10.0,1,0,0,HUN,1.0,VARGA D,0 - 0,453,HUN,7:33,Post,0
Action shot,2.0,1,0,0,HUN,1.0,GOR-NAGY M,0 - 0,441,HUN,7:21,Saved,0
Extra player shot,12.0,1,0,1,HUN,1.0,HARAI B,1 - 0,377,HUN,6:17,Goal,1
Extra player shot,3.0,1,0,1,HUN,1.0,AXENOV A,1 - 0,337,KAZ,5:37,Blocked,0
5m shot,10.0,1,0,2,HUN,1.0,VARGA D,2 - 0,312,HUN,5:12,Goal,1
Extra player shot,3.0,1,0,2,HUN,1.0,AXENOV A,2 - 0,246,KAZ,4:06,Saved,0
5m shot,2.0,1,0,2,HUN,1.0,GUBAREV S,2 - 0,219,KAZ,3:39,Blocked,0
Action shot,7.0,1,0,3,HUN,1.0,ANGYAL D,3 - 0,196,HUN,3:16,Goal,1
Action shot,6.0,1,0,3,HUN,1.0,SHMIDER A,3 - 0,174,KAZ,2:54,Missed,0
Extra player shot,11.0,1,0,4,HUN,1.0,BEDO K,4 - 0,127,HUN,2:07,Goal,1
Action shot,5.0,1,0,4,HUN,1.0,USHAKOV V,4 - 0,75,KAZ,1:15,Post,0
Action shot,2.0,1,0,4,HUN,1.0,GOR-NAGY M,4 - 0,46,HUN,0:46,Saved,0
5m shot,3.0,1,0,4,HUN,1.0,AXENOV A,4 - 0,9,KAZ,0:09,Missed,0
5m shot,5.0,1,0,4,HUN,1.0,VAMOS M,4 - 0,4,HUN,0:04,Post,0
Extra player shot,4.0,1,0,4,HUN,2.0,ERDELYI B,4 - 0,434,HUN,7:14,Saved,0
5m shot,9.0,1,0,4,HUN,2.0,UKUMANOV R,4 - 0,382,KAZ,6:22,Saved,0
Action shot,10.0,1,0,5,HUN,2.0,VARGA D,5 - 0,365,HUN,6:05,Goal,1
Action shot,3.0,1,0,5,HUN,2.0,AXENOV A,5 - 0,327,KAZ,5:27,Post,0
5m shot,9.0,1,0,5,HUN,2.0,UKUMANOV R,5 - 0,288,KAZ,4:48,Missed,0
Extra player shot,11.0,1,0,6,HUN,2.0,BEDO K,6 - 0,249,HUN,4:09,Goal,1
Action shot,9.0,1,0,6,HUN,2.0,UKUMANOV R,6 - 0,190,KAZ,3:10,Blocked,0
5m shot,4.0,1,0,6,HUN,2.0,ERDELYI B,6 - 0,177,HUN,2:57,Saved,0
Counter attack,2.0,1,0,6,HUN,2.0,GUBAREV S,6 - 0,161,KAZ,2:41,Saved,0
5m shot,7.0,1,0,6,HUN,2.0,ANGYAL D,6 - 0,147,HUN,2:27,Saved,0
Action shot,5.0,1,0,6,HUN,2.0,USHAKOV V,6 - 0,90,KAZ,1:30,Saved,0
Extra player shot,8.0,1,0,7,HUN,2.0,SZIVOS M,7 - 0,56,HUN,0:56,Goal,1
Extra player shot,5.0,1,0,7,HUN,2.0,USHAKOV V,7 - 0,11,KAZ,0:11,Saved,0
