Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,8,11.0,5,2,KAZ,3.0,MIRSHINA A,2 - 8,279,KAZ,4:39,Blocked,0
Action shot,8,3.0,5,2,KAZ,3.0,AKILBAYEVA A,2 - 8,269,KAZ,4:29,Saved,0
Action shot,8,8.0,5,2,KAZ,3.0,SAICHUK O,2 - 8,243,KAZ,4:03,Saved,0
5m shot,8,9.0,5,2,KAZ,3.0,DIAS M,2 - 8,218,BRA,3:38,Missed,0
Extra player shot,8,4.0,5,3,KAZ,3.0,TUROVA A,3 - 8,183,KAZ,3:03,Goal,1
Extra player shot,9,6.0,5,3,KAZ,3.0,CHIAPPINI I,3 - 9,150,BRA,2:30,Goal,1
5m shot,9,8.0,5,3,KAZ,3.0,SAICHUK O,3 - 9,48,KAZ,0:48,Saved,0
5m shot,9,4.0,5,3,KAZ,3.0,DUARTE M,3 - 9,22,BRA,0:22,Saved,0
Counter attack,10,12.0,5,3,KAZ,3.0,MANTELLATO G,3 - 10,3,BRA,0:03,Goal,1
5m shot,10,4.0,5,3,KAZ,3.0,TUROVA A,3 - 10,0,KAZ,0:00,Missed,0
Extra player shot,10,11.0,5,4,KAZ,4.0,MIRSHINA A,4 - 10,454,KAZ,7:34,Goal,1
5m shot,10,4.0,5,4,KAZ,4.0,TUROVA A,4 - 10,347,KAZ,5:47,Saved,0
5m shot,10,9.0,5,4,KAZ,4.0,DIAS M,4 - 10,303,BRA,5:03,Post,0
Penalty shot,10,11.0,5,5,KAZ,4.0,MIRSHINA A,5 - 10,289,KAZ,4:49,Goal,1
5m shot,10,8.0,5,5,KAZ,4.0,SAICHUK O,5 - 10,232,KAZ,3:52,Saved,0
Action shot,10,4.0,5,5,KAZ,4.0,TUROVA A,5 - 10,217,KAZ,3:37,Missed,0
Action shot,10,7.0,5,5,KAZ,4.0,MYRZABEKOVA Z,5 - 10,205,KAZ,3:25,Saved,0
Action shot,10,12.0,5,5,KAZ,4.0,MANTELLATO G,5 - 10,175,BRA,2:55,Saved,0
5m shot,10,7.0,5,5,KAZ,4.0,MYRZABEKOVA Z,5 - 10,94,KAZ,1:34,Missed,0
Extra player shot,0,10.0,6,1,HUN,1.0,BUJKA B,1 - 0,452,HUN,7:32,Goal,1
Counter attack,0,8.0,6,2,HUN,1.0,KESZTHELYI R,2 - 0,392,HUN,6:32,Goal,1
Action shot,0,4.0,6,3,HUN,1.0,KISTELEKI D,3 - 0,340,HUN,5:40,Goal,1
