Action,Cap,GBR,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,12.0,3,3,12,USA,4.0,CRAIG K,12 - 3,250,USA,4:10
Steal,5.0,3,3,12,USA,4.0,HOY A,12 - 3,250,GBR,4:10
Turnover foul,10.0,3,3,12,USA,4.0,WINSTANLEY-SMITH A,12 - 3,224,GBR,3:44
Steal,9.0,3,3,12,USA,4.0,KRAUS J,12 - 3,224,USA,3:44
Action shot - Goal,5.0,3,3,13,USA,4.0,CLARK C,13 - 3,199,USA,3:19
Action shot - Saved,4.0,3,3,13,USA,4.0,GIBSON-BYRNE C,13 - 3,180,GBR,3:00
Centre shot - Goal,12.0,3,3,14,USA,4.0,CRAIG K,14 - 3,152,USA,2:32
Turnover foul,4.0,3,3,14,USA,4.0,GIBSON-BYRNE C,14 - 3,139,GBR,2:19
Steal,8.0,3,3,14,USA,4.0,NEUSHUL K,14 - 3,139,USA,2:19
Action shot - Goal,5.0,3,3,15,USA,4.0,CLARK C,15 - 3,110,USA,1:50
Action shot - Goal,12.0,4,3,15,USA,4.0,FOWLER K,15 - 4,90,GBR,1:30
Action shot - Goal,4.0,4,3,16,USA,4.0,FATTAL R,16 - 4,61,USA,1:01
Action shot - Saved,3.0,4,3,16,USA,4.0,McCANN F,16 - 4,45,GBR,0:45
Turnover foul,3.0,4,3,16,USA,4.0,SEIDEMANN M,16 - 4,19,USA,0:19
Steal,6.0,4,3,16,USA,4.0,NIXON C,16 - 4,19,GBR,0:19
Starting goalkeeper,1.0,0,4,0,HUN,1.0,MORRIS R,0 - 0,480,GBR,8:00
Starting goalkeeper,1.0,0,4,0,HUN,1.0,BOLONYAI F,0 - 0,480,HUN,8:00
Sprint won possession,2.0,0,4,0,HUN,1.0,WILCOX C,0 - 0,480,GBR,8:00
Turnover foul,10.0,0,4,0,HUN,1.0,WINSTANLEY-SMITH A,0 - 0,460,GBR,7:40
Steal,3.0,0,4,0,HUN,1.0,ANTAL D,0 - 0,460,HUN,7:40
Turnover foul,10.0,0,4,0,HUN,1.0,BUJKA B,0 - 0,446,HUN,7:26
Steal,8.0,0,4,0,HUN,1.0,MUSGROVE H,0 - 0,446,GBR,7:26
Turnover foul,6.0,0,4,0,HUN,1.0,NIXON C,0 - 0,430,GBR,7:10
Counter attack - Goal,4.0,0,4,1,HUN,1.0,KISTELEKI D,1 - 0,418,HUN,6:58
Action shot - Goal,6.0,1,4,1,HUN,1.0,NIXON C,1 - 1,393,GBR,6:33
Turnover foul,9.0,1,4,1,HUN,1.0,TOTH I,1 - 1,383,HUN,6:23
Steal,6.0,1,4,1,HUN,1.0,NIXON C,1 - 1,383,GBR,6:23
Turnover foul,4.0,1,4,1,HUN,1.0,GIBSON-BYRNE C,1 - 1,367,GBR,6:07
Steal,6.0,1,4,1,HUN,1.0,TAKACS O,1 - 1,367,HUN,6:07
Turnover foul,5.0,1,4,1,HUN,1.0,SZUCS G,1 - 1,359,HUN,5:59
Turnover foul,5.0,1,4,1,HUN,1.0,HOY A,1 - 1,351,GBR,5:51
Steal,6.0,1,4,1,HUN,1.0,TAKACS O,1 - 1,351,HUN,5:51
Turnover foul,9.0,1,4,1,HUN,1.0,TOTH I,1 - 1,331,HUN,5:31
Turnover foul,8.0,1,4,1,HUN,1.0,MUSGROVE H,1 - 1,318,GBR,5:18
Steal,3.0,1,4,1,HUN,1.0,ANTAL D,1 - 1,318,HUN,5:18
Turnover foul,3.0,1,4,1,HUN,1.0,ANTAL D,1 - 1,303,HUN,5:03
Steal,1.0,1,4,1,HUN,1.0,MORRIS R,1 - 1,303,GBR,5:03
Turnover foul,6.0,1,4,1,HUN,1.0,NIXON C,1 - 1,276,GBR,4:36
Steal,5.0,1,4,1,HUN,1.0,SZUCS G,1 - 1,276,HUN,4:36
20 sec. exclusion in centre,5.0,1,4,1,HUN,1.0,HOY A,1 - 1,266,GBR,4:26
Extra player shot - Blocked,5.0,1,4,1,HUN,1.0,SZUCS G,1 - 1,246,HUN,4:06
Turnover foul,10.0,1,4,1,HUN,1.0,WINSTANLEY-SMITH A,1 - 1,231,GBR,3:51
Steal,1.0,1,4,1,HUN,1.0,BOLONYAI F,1 - 1,231,HUN,3:51
Turnover foul,8.0,1,4,1,HUN,1.0,KESZTHELYI R,1 - 1,216,HUN,3:36
Steal,1.0,1,4,1,HUN,1.0,MORRIS R,1 - 1,216,GBR,3:36
Turnover foul,5.0,1,4,1,HUN,1.0,HOY A,1 - 1,203,GBR,3:23
Steal,3.0,1,4,1,HUN,1.0,ANTAL D,1 - 1,203,HUN,3:23
20 sec. exclusion in field,5.0,1,4,1,HUN,1.0,HOY A,1 - 1,199,GBR,3:19
Extra player shot - Goal,4.0,1,4,2,HUN,1.0,KISTELEKI D,2 - 1,193,HUN,3:13
Turnover foul,7.0,1,4,2,HUN,1.0,GIBSON L,2 - 1,178,GBR,2:58
Steal,12.0,1,4,2,HUN,1.0,MENCZINGER K,2 - 1,178,HUN,2:58
Action shot - Post,7.0,1,4,2,HUN,1.0,MISKOLCZI I,2 - 1,155,HUN,2:35
5m shot - Post,8.0,1,4,2,HUN,1.0,MUSGROVE H,2 - 1,125,GBR,2:05
Turnover foul,2.0,1,4,2,HUN,1.0,ILLES A,2 - 1,112,HUN,1:52
Steal,1.0,1,4,2,HUN,1.0,MORRIS R,2 - 1,112,GBR,1:52
Turnover foul,4.0,1,4,2,HUN,1.0,GIBSON-BYRNE C,2 - 1,88,GBR,1:28
Steal,3.0,1,4,2,HUN,1.0,ANTAL D,2 - 1,88,HUN,1:28
Centre shot - Goal,10.0,1,4,3,HUN,1.0,BUJKA B,3 - 1,73,HUN,1:13
Turnover foul,2.0,1,4,3,HUN,1.0,WILCOX C,3 - 1,59,GBR,0:59
Centre shot - Goal,10.0,1,4,4,HUN,1.0,BUJKA B,4 - 1,39,HUN,0:39
Action shot - Goal,4.0,2,4,4,HUN,1.0,GIBSON-BYRNE C,4 - 2,16,GBR,0:16
Turnover foul,8.0,2,4,4,HUN,1.0,KESZTHELYI R,4 - 2,6,HUN,0:06
Steal,1.0,2,4,4,HUN,1.0,MORRIS R,4 - 2,6,GBR,0:06
5m shot - Saved,6.0,2,4,4,HUN,1.0,NIXON C,4 - 2,1,GBR,0:01
Starting goalkeeper,1.0,2,4,4,HUN,2.0,MORRIS R,4 - 2,480,GBR,8:00
Starting goalkeeper,1.0,2,4,4,HUN,2.0,BOLONYAI F,4 - 2,480,HUN,8:00
Sprint won possession,2.0,2,4,4,HUN,2.0,WILCOX C,4 - 2,480,GBR,8:00
Turnover foul,4.0,2,4,4,HUN,2.0,GIBSON-BYRNE C,4 - 2,465,GBR,7:45
Steal,8.0,2,4,4,HUN,2.0,KESZTHELYI R,4 - 2,465,HUN,7:45
Turnover foul,10.0,2,4,4,HUN,2.0,WINSTANLEY-SMITH A,4 - 2,419,GBR,6:59
Action shot - Saved,4.0,2,4,4,HUN,2.0,KISTELEKI D,4 - 2,397,HUN,6:37
Action shot - Saved,10.0,2,4,4,HUN,2.0,WINSTANLEY-SMITH A,4 - 2,369,GBR,6:09
Counter attack - Goal,8.0,2,4,5,HUN,2.0,KESZTHELYI R,5 - 2,359,HUN,5:59
Turnover foul,8.0,2,4,5,HUN,2.0,MUSGROVE H,5 - 2,349,GBR,5:49
20 sec. exclusion in field,3.0,2,4,5,HUN,2.0,McCANN F,5 - 2,343,GBR,5:43
Extra player shot - Goal,4.0,2,4,6,HUN,2.0,KISTELEKI D,6 - 2,337,HUN,5:37
Time-Out,,2,4,6,HUN,2.0,,6 - 2,337,GBR,5:37
Turnover foul,7.0,2,4,6,HUN,2.0,GIBSON L,6 - 2,319,GBR,5:19
Steal,2.0,2,4,6,HUN,4.0,WILCOX C,6 - 2,368,GBR,6:08
20 sec. exclusion in centre,7.0,2,4,6,HUN,4.0,MISKOLCZI I,6 - 2,349,HUN,5:49
Extra player shot - Saved,8.0,2,4,6,HUN,4.0,MUSGROVE H,6 - 2,333,GBR,5:33
Turnover foul,10.0,2,4,6,HUN,4.0,WINSTANLEY-SMITH A,6 - 2,309,GBR,5:09
Steal,13.0,2,4,6,HUN,4.0,KASO O,6 - 2,309,HUN,5:09
Centre shot - Goal,10.0,5,4,12,HUN,4.0,BUJKA B,12 - 5,292,HUN,4:52
Turnover foul,10.0,5,4,12,HUN,4.0,WINSTANLEY-SMITH A,12 - 5,277,GBR,4:37
Turnover foul,9.0,5,4,12,HUN,4.0,TOTH I,12 - 5,265,HUN,4:25
Steal,9.0,5,4,12,HUN,4.0,ETIEBET P,12 - 5,265,GBR,4:25
Turnover foul,10.0,5,4,12,HUN,4.0,WINSTANLEY-SMITH A,12 - 5,244,GBR,4:04
Steal,7.0,5,4,12,HUN,4.0,MISKOLCZI I,12 - 5,244,HUN,4:04
Counter attack - Missed,3.0,5,4,12,HUN,4.0,ANTAL D,12 - 5,235,HUN,3:55
Turnover foul,10.0,5,4,12,HUN,4.0,WINSTANLEY-SMITH A,12 - 5,217,GBR,3:37
Steal,3.0,5,4,12,HUN,4.0,ANTAL D,12 - 5,217,HUN,3:37
20 sec. exclusion in centre,6.0,5,4,12,HUN,4.0,NIXON C,12 - 5,201,GBR,3:21
Steal,9.0,5,4,12,HUN,2.0,TOTH I,12 - 5,319,HUN,5:19
Penalty foul,8.0,5,4,12,HUN,2.0,MUSGROVE H,12 - 5,295,GBR,4:55
Penalty shot - Goal,7.0,2,4,7,HUN,2.0,MISKOLCZI I,7 - 2,295,HUN,4:55
Action shot - Post,8.0,2,4,7,HUN,2.0,MUSGROVE H,7 - 2,267,GBR,4:27
Action shot - Saved,8.0,2,4,7,HUN,2.0,KESZTHELYI R,7 - 2,244,HUN,4:04
Turnover foul,9.0,2,4,7,HUN,2.0,TOTH I,7 - 2,213,HUN,3:33
Turnover foul,4.0,2,4,7,HUN,2.0,GIBSON-BYRNE C,7 - 2,198,GBR,3:18
Steal,12.0,2,4,7,HUN,2.0,MENCZINGER K,7 - 2,198,HUN,3:18
Counter attack - Missed,12.0,2,4,7,HUN,2.0,MENCZINGER K,7 - 2,189,HUN,3:09
Turnover foul,10.0,2,4,7,HUN,2.0,WINSTANLEY-SMITH A,7 - 2,170,GBR,2:50
Steal,9.0,2,4,7,HUN,2.0,TOTH I,7 - 2,170,HUN,2:50
Turnover foul,8.0,2,4,7,HUN,2.0,KESZTHELYI R,7 - 2,147,HUN,2:27
20 sec. exclusion in centre,2.0,2,4,7,HUN,2.0,ILLES A,7 - 2,129,HUN,2:09
Action shot - Saved,4.0,2,4,7,HUN,2.0,GIBSON-BYRNE C,7 - 2,103,GBR,1:43
Action shot - Goal,5.0,2,4,8,HUN,2.0,SZUCS G,8 - 2,83,HUN,1:23
Centre shot - Goal,10.0,3,4,8,HUN,2.0,WINSTANLEY-SMITH A,8 - 3,65,GBR,1:05
20 sec. exclusion in centre,3.0,3,4,8,HUN,2.0,McCANN F,8 - 3,53,GBR,0:53
Action shot - Saved,2.0,3,4,8,HUN,2.0,ILLES A,8 - 3,24,HUN,0:24
Counter attack - Goal,3.0,4,4,8,HUN,2.0,McCANN F,8 - 4,13,GBR,0:13
Starting goalkeeper,1.0,4,4,8,HUN,3.0,BOLONYAI F,8 - 4,480,HUN,8:00
Starting goalkeeper,1.0,4,4,8,HUN,3.0,MORRIS R,8 - 4,480,GBR,8:00
Sprint won possession,2.0,4,4,8,HUN,3.0,WILCOX C,8 - 4,480,GBR,8:00
Centre shot - Saved,7.0,4,4,8,HUN,3.0,GIBSON L,8 - 4,451,GBR,7:31
20 sec. exclusion in centre,8.0,4,4,8,HUN,3.0,MUSGROVE H,8 - 4,439,GBR,7:19
Action shot - Post,3.0,4,4,8,HUN,3.0,ANTAL D,8 - 4,414,HUN,6:54
Action shot - Missed,4.0,4,4,8,HUN,3.0,GIBSON-BYRNE C,8 - 4,388,GBR,6:28
Counter attack - Goal,10.0,4,4,9,HUN,3.0,BUJKA B,9 - 4,381,HUN,6:21
Penalty foul,12.0,4,4,9,HUN,3.0,MENCZINGER K,9 - 4,357,HUN,5:57
Penalty shot - Missed,6.0,4,4,9,HUN,3.0,NIXON C,9 - 4,357,GBR,5:57
Turnover foul,7.0,4,4,9,HUN,3.0,MISKOLCZI I,9 - 4,339,HUN,5:39
Action shot - Post,6.0,4,4,9,HUN,3.0,NIXON C,9 - 4,332,GBR,5:32
Centre shot - Goal,9.0,4,4,10,HUN,3.0,TOTH I,10 - 4,306,HUN,5:06
Turnover foul,4.0,4,4,10,HUN,3.0,GIBSON-BYRNE C,10 - 4,290,GBR,4:50
Steal,9.0,4,4,10,HUN,3.0,TOTH I,10 - 4,290,HUN,4:50
Centre shot - Saved,8.0,4,4,10,HUN,3.0,KESZTHELYI R,10 - 4,273,HUN,4:33
20 sec. exclusion in centre,2.0,4,4,10,HUN,3.0,WILCOX C,10 - 4,254,GBR,4:14
Extra player shot - Missed,2.0,4,4,10,HUN,3.0,ILLES A,10 - 4,251,HUN,4:11
Time-Out,,4,4,10,HUN,3.0,,10 - 4,248,GBR,4:08
5m shot - Post,4.0,4,4,10,HUN,3.0,GIBSON-BYRNE C,10 - 4,235,GBR,3:55
Action shot - Saved,8.0,4,4,10,HUN,3.0,KESZTHELYI R,10 - 4,220,HUN,3:40
20 sec. exclusion in centre,2.0,4,4,10,HUN,3.0,ILLES A,10 - 4,197,HUN,3:17
Extra player shot - Blocked,2.0,4,4,10,HUN,3.0,WILCOX C,10 - 4,179,GBR,2:59
20 sec. exclusion in field,6.0,4,4,10,HUN,3.0,TAKACS O,10 - 4,166,HUN,2:46
Extra player shot - Missed,8.0,4,4,10,HUN,3.0,MUSGROVE H,10 - 4,147,GBR,2:27
Turnover foul,8.0,4,4,10,HUN,3.0,KESZTHELYI R,10 - 4,130,HUN,2:10
Turnover foul,11.0,4,4,10,HUN,3.0,CLAYTON F,10 - 4,117,GBR,1:57
Steal,8.0,4,4,10,HUN,3.0,KESZTHELYI R,10 - 4,117,HUN,1:57
20 sec. exclusion in field,2.0,4,4,10,HUN,3.0,WILCOX C,10 - 4,96,GBR,1:36
Extra player shot - Post,8.0,4,4,10,HUN,3.0,KESZTHELYI R,10 - 4,94,HUN,1:34
Counter attack - Saved,11.0,4,4,10,HUN,3.0,CLAYTON F,10 - 4,77,GBR,1:17
Turnover foul,6.0,4,4,10,HUN,3.0,TAKACS O,10 - 4,58,HUN,0:58
20 sec. exclusion in field,9.0,4,4,10,HUN,3.0,TOTH I,10 - 4,37,HUN,0:37
Turnover foul,10.0,4,4,10,HUN,3.0,WINSTANLEY-SMITH A,10 - 4,8,GBR,0:08
Steal,10.0,4,4,10,HUN,3.0,BUJKA B,10 - 4,8,HUN,0:08
Starting goalkeeper,1.0,4,4,10,HUN,4.0,MORRIS R,10 - 4,480,GBR,8:00
Starting goalkeeper,13.0,4,4,10,HUN,4.0,KASO O,10 - 4,480,HUN,8:00
Sprint won possession,2.0,4,4,10,HUN,4.0,WILCOX C,10 - 4,480,GBR,8:00
Turnover foul,7.0,4,4,10,HUN,4.0,GIBSON L,10 - 4,455,GBR,7:35
20 sec. exclusion in centre,7.0,4,4,10,HUN,4.0,GIBSON L,10 - 4,434,GBR,7:14
Extra player shot - Goal,10.0,4,4,11,HUN,4.0,BUJKA B,11 - 4,432,HUN,7:12
20 sec. exclusion in centre,6.0,4,4,11,HUN,4.0,TAKACS O,11 - 4,409,HUN,6:49
Action shot - Goal,6.0,5,4,11,HUN,4.0,NIXON C,11 - 5,388,GBR,6:28
Turnover foul,7.0,5,4,11,HUN,4.0,MISKOLCZI I,11 - 5,368,HUN,6:08
Centre shot - Goal,4.0,5,4,13,HUN,4.0,KISTELEKI D,13 - 5,180,HUN,3:00
Turnover foul,9.0,5,4,13,HUN,4.0,ETIEBET P,13 - 5,159,GBR,2:39
Steal,3.0,5,4,13,HUN,4.0,ANTAL D,13 - 5,159,HUN,2:39
Turnover foul,10.0,5,4,13,HUN,4.0,WINSTANLEY-SMITH A,13 - 5,112,GBR,1:52
Steal,2.0,5,4,13,HUN,4.0,ILLES A,13 - 5,112,HUN,1:52
20 sec. exclusion in field,12.0,5,4,13,HUN,4.0,FOWLER K,13 - 5,101,GBR,1:41
Time-Out,,5,4,13,HUN,4.0,,13 - 5,100,HUN,1:40
Extra player shot - Goal,3.0,5,4,14,HUN,4.0,ANTAL D,14 - 5,82,HUN,1:22
5m shot - Post,4.0,5,4,14,HUN,4.0,GIBSON-BYRNE C,14 - 5,64,GBR,1:04
Turnover foul,3.0,5,4,14,HUN,4.0,ANTAL D,14 - 5,53,HUN,0:53
20 sec. exclusion in field,9.0,5,4,14,HUN,4.0,TOTH I,14 - 5,41,HUN,0:41
Turnover foul,11.0,5,4,14,HUN,4.0,CLAYTON F,14 - 5,20,GBR,0:20
Steal,4.0,5,4,14,HUN,4.0,KISTELEKI D,14 - 5,20,HUN,0:20
20 sec. exclusion in field,11.0,5,4,14,HUN,4.0,CLAYTON F,14 - 5,12,GBR,0:12
Extra player shot - Post,4.0,5,4,14,HUN,4.0,KISTELEKI D,14 - 5,1,HUN,0:01
