Action,Cap,GBR,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Steal,1.0,1,2,1,GRE,1.0,KOUVDOU E,1 - 1,51,GRE,0:51
Action shot - Missed,8.0,1,2,1,GRE,1.0,ROUMPESI A,1 - 1,25,GRE,0:25
Starting goalkeeper,1.0,1,2,1,GRE,2.0,MORRIS R,1 - 1,480,GBR,8:00
Starting goalkeeper,1.0,1,2,1,GRE,2.0,KOUVDOU E,1 - 1,480,GRE,8:00
Sprint won possession,6.0,1,2,1,GRE,2.0,AVRAMIDOU A,1 - 1,480,GRE,8:00
Turnover foul,8.0,1,2,1,GRE,2.0,ROUMPESI A,1 - 1,469,GRE,7:49
Steal,1.0,1,2,1,GRE,2.0,MORRIS R,1 - 1,469,GBR,7:49
20 sec. exclusion in field,7.0,1,2,1,GRE,2.0,ASIMAKI A,1 - 1,467,GRE,7:47
Action shot - Saved,7.0,1,2,1,GRE,2.0,GIBSON L,1 - 1,438,GBR,7:18
5m shot - Goal,2.0,1,2,2,GRE,2.0,TSOUKALA C,1 - 2,410,GRE,6:50
5m shot - Missed,10.0,1,2,2,GRE,2.0,WINSTANLEY-SMITH A,1 - 2,392,GBR,6:32
Action shot - Blocked,6.0,1,2,2,GRE,2.0,AVRAMIDOU A,1 - 2,369,GRE,6:09
Centre shot - Goal,7.0,2,2,2,GRE,2.0,GIBSON L,2 - 2,349,GBR,5:49
Action shot - Missed,2.0,2,2,2,GRE,2.0,TSOUKALA C,2 - 2,327,GRE,5:27
Turnover foul,6.0,2,2,2,GRE,2.0,NIXON C,2 - 2,321,GBR,5:21
Centre shot - Saved,7.0,2,2,2,GRE,2.0,ASIMAKI A,2 - 2,301,GRE,5:01
5m shot - Saved,3.0,2,2,2,GRE,2.0,McCANN F,2 - 2,273,GBR,4:33
20 sec. exclusion in centre,6.0,2,2,2,GRE,2.0,NIXON C,2 - 2,250,GBR,4:10
Extra player shot - Saved,3.0,2,2,2,GRE,2.0,DIAMANTOPOULOU V,2 - 2,232,GRE,3:52
5m shot - Missed,11.0,2,2,2,GRE,2.0,CLAYTON F,2 - 2,213,GBR,3:33
Centre shot - Goal,7.0,2,2,3,GRE,2.0,ASIMAKI A,2 - 3,200,GRE,3:20
