Action,Cap,GBR,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,10.0,3,2,3,GRE,2.0,MANOLIOUDAKI T,3 - 3,148,GRE,2:28,Blocked,0
5m shot,8.0,3,2,3,GRE,2.0,MUSGROVE H,3 - 3,128,GBR,2:08,Missed,0
Action shot,4.0,3,2,3,GRE,2.0,GIBSON-BYRNE C,3 - 3,86,GBR,1:26,Blocked,0
Action shot,10.0,3,2,3,GRE,2.0,MANOLIOUDAKI T,3 - 3,60,GRE,1:00,Post,0
5m shot,8.0,3,2,3,GRE,2.0,MUSGROVE H,3 - 3,2,GBR,0:02,Post,0
Extra player shot,11.0,3,2,3,GRE,4.0,PLEVRITOU E,3 - 3,12,GRE,0:12,Post,0
Centre shot,7.0,3,2,3,GRE,3.0,GIBSON L,3 - 3,461,GBR,7:41,Missed,0
Centre shot,7.0,3,2,4,GRE,3.0,ASIMAKI A,3 - 4,444,GRE,7:24,Goal,1
Centre shot,7.0,3,2,5,GRE,3.0,ASIMAKI A,3 - 5,415,GRE,6:55,Goal,1
Centre shot,6.0,3,2,6,GRE,3.0,AVRAMIDOU A,3 - 6,363,GRE,6:03,Goal,1
Centre shot,7.0,3,2,6,GRE,3.0,ASIMAKI A,3 - 6,310,GRE,5:10,Missed,0
Extra player shot,4.0,3,2,6,GRE,3.0,GIBSON-BYRNE C,3 - 6,283,GBR,4:43,Saved,0
Action shot,2.0,3,2,6,GRE,3.0,WILCOX C,3 - 6,263,GBR,4:23,Missed,0
Extra player shot,6.0,3,2,6,GRE,3.0,NIXON C,3 - 6,205,GBR,3:25,Saved,0
Penalty shot,4.0,4,2,6,GRE,3.0,GIBSON-BYRNE C,4 - 6,204,GBR,3:24,Goal,1
5m shot,4.0,4,2,7,GRE,3.0,PSOUNI I,4 - 7,177,GRE,2:57,Goal,1
5m shot,2.0,4,2,7,GRE,3.0,TSOUKALA C,4 - 7,132,GRE,2:12,Missed,0
5m shot,11.0,4,2,7,GRE,3.0,CLAYTON F,4 - 7,117,GBR,1:57,Missed,0
Extra player shot,10.0,5,2,7,GRE,3.0,WINSTANLEY-SMITH A,5 - 7,81,GBR,1:21,Goal,1
Extra player shot,7.0,5,2,8,GRE,3.0,ASIMAKI A,5 - 8,49,GRE,0:49,Goal,1
5m shot,4.0,5,2,8,GRE,3.0,GIBSON-BYRNE C,5 - 8,1,GBR,0:01,Saved,0
Action shot,2.0,5,2,9,GRE,4.0,TSOUKALA C,5 - 9,425,GRE,7:05,Goal,1
Action shot,2.0,6,2,9,GRE,4.0,WILCOX C,6 - 9,388,GBR,6:28,Goal,1
Extra player shot,7.0,6,2,10,GRE,4.0,ASIMAKI A,6 - 10,359,GRE,5:59,Goal,1
Action shot,8.0,6,2,10,GRE,4.0,ROUMPESI A,6 - 10,303,GRE,5:03,Post,0
5m shot,11.0,7,2,10,GRE,4.0,CLAYTON F,7 - 10,281,GBR,4:41,Goal,1
Action shot,6.0,7,2,10,GRE,4.0,AVRAMIDOU A,7 - 10,256,GRE,4:16,Saved,0
Centre shot,10.0,7,2,11,GRE,4.0,MANOLIOUDAKI T,7 - 11,255,GRE,4:15,Goal,1
Extra player shot,4.0,7,2,11,GRE,4.0,GIBSON-BYRNE C,7 - 11,240,GBR,4:00,Blocked,0
Extra player shot,2.0,7,2,12,GRE,4.0,TSOUKALA C,7 - 12,202,GRE,3:22,Goal,1
5m shot,11.0,7,2,12,GRE,4.0,CLAYTON F,7 - 12,175,GBR,2:55,Saved,0
Penalty shot,6.0,7,2,13,GRE,4.0,AVRAMIDOU A,7 - 13,152,GRE,2:32,Goal,1
Action shot,4.0,7,2,13,GRE,4.0,GIBSON-BYRNE C,7 - 13,131,GBR,2:11,Post,0
5m shot,3.0,7,2,13,GRE,4.0,McCANN F,7 - 13,56,GBR,0:56,Saved,0
5m shot,4.0,7,2,13,GRE,4.0,GIBSON-BYRNE C,7 - 13,3,GBR,0:03,Saved,0
Action shot,5.0,0,3,1,USA,1.0,CLARK C,1 - 0,445,USA,7:25,Goal,1
Action shot,2.0,0,3,2,USA,1.0,SILVER L,2 - 0,399,USA,6:39,Goal,1
Action shot,4.0,0,3,2,USA,1.0,GIBSON-BYRNE C,2 - 0,372,GBR,6:12,Post,0
Counter attack,12.0,0,3,3,USA,1.0,CRAIG K,3 - 0,318,USA,5:18,Goal,1
Action shot,8.0,0,3,3,USA,1.0,NEUSHUL K,3 - 0,270,USA,4:30,Saved,0
Action shot,9.0,0,3,4,USA,1.0,KRAUS J,4 - 0,250,USA,4:10,Goal,1
Action shot,6.0,0,3,4,USA,1.0,NIXON C,4 - 0,222,GBR,3:42,Missed,0
Extra player shot,3.0,0,3,4,USA,1.0,SEIDEMANN M,4 - 0,183,USA,3:03,Saved,0
Action shot,6.0,0,3,4,USA,1.0,NIXON C,4 - 0,155,GBR,2:35,Saved,0
Action shot,6.0,0,3,4,USA,1.0,STEFFENS M,4 - 0,127,USA,2:07,Blocked,0
Action shot,5.0,0,3,4,USA,1.0,HOY A,4 - 0,98,GBR,1:38,Saved,0
Action shot,11.0,0,3,4,USA,1.0,CLAYTON F,4 - 0,48,GBR,0:48,Missed,0
Action shot,12.0,0,3,4,USA,1.0,FOWLER K,4 - 0,10,GBR,0:10,Saved,0
5m shot,3.0,0,3,4,USA,1.0,SEIDEMANN M,4 - 0,1,USA,0:01,Missed,0
Action shot,3.0,0,3,4,USA,2.0,SEIDEMANN M,4 - 0,427,USA,7:07,Post,0
Action shot,4.0,0,3,4,USA,2.0,GIBSON-BYRNE C,4 - 0,410,GBR,6:50,Saved,0
Action shot,2.0,0,3,4,USA,2.0,SILVER L,4 - 0,380,USA,6:20,Missed,0
Action shot,4.0,0,3,4,USA,2.0,GIBSON-BYRNE C,4 - 0,304,GBR,5:04,Post,0
Penalty shot,10.0,0,3,5,USA,2.0,RULON K,5 - 0,292,USA,4:52,Goal,1
Action shot,9.0,0,3,5,USA,2.0,KRAUS J,5 - 0,207,USA,3:27,Saved,0
Extra player shot,10.0,1,3,5,USA,2.0,WINSTANLEY-SMITH A,5 - 1,178,GBR,2:58,Goal,1
Action shot,4.0,1,3,5,USA,2.0,GIBSON-BYRNE C,5 - 1,123,GBR,2:03,Saved,0
Action shot,4.0,2,3,5,USA,2.0,GIBSON-BYRNE C,5 - 2,76,GBR,1:16,Goal,1
Action shot,3.0,2,3,6,USA,2.0,SEIDEMANN M,6 - 2,55,USA,0:55,Goal,1
Action shot,3.0,2,3,6,USA,2.0,McCANN F,6 - 2,28,GBR,0:28,Saved,0
Action shot,7.0,2,3,6,USA,2.0,MATHEWSON C,6 - 2,4,USA,0:04,Blocked,0
5m shot,11.0,2,3,6,USA,2.0,CLAYTON F,6 - 2,1,GBR,0:01,Saved,0
5m shot,3.0,2,3,6,USA,3.0,McCANN F,6 - 2,420,GBR,7:00,Blocked,0
Penalty shot,6.0,2,3,7,USA,3.0,STEFFENS M,7 - 2,399,USA,6:39,Goal,1
5m shot,4.0,2,3,7,USA,3.0,GIBSON-BYRNE C,7 - 2,380,GBR,6:20,Saved,0
Action shot,6.0,2,3,8,USA,3.0,STEFFENS M,8 - 2,353,USA,5:53,Goal,1
5m shot,4.0,2,3,8,USA,3.0,GIBSON-BYRNE C,8 - 2,326,GBR,5:26,Saved,0
Action shot,4.0,2,3,9,USA,3.0,FATTAL R,9 - 2,308,USA,5:08,Goal,1
Action shot,4.0,2,3,9,USA,3.0,GIBSON-BYRNE C,9 - 2,280,GBR,4:40,Post,0
Action shot,4.0,2,3,9,USA,3.0,GIBSON-BYRNE C,9 - 2,180,GBR,3:00,Saved,0
Penalty shot,4.0,3,3,9,USA,3.0,GIBSON-BYRNE C,9 - 3,143,GBR,2:23,Goal,1
Action shot,3.0,3,3,9,USA,3.0,SEIDEMANN M,9 - 3,73,USA,1:13,Blocked,0
5m shot,3.0,3,3,9,USA,3.0,SEIDEMANN M,9 - 3,1,USA,0:01,Missed,0
Action shot,4.0,3,3,9,USA,4.0,GIBSON-BYRNE C,9 - 3,452,GBR,7:32,Saved,0
Centre shot,3.0,3,3,9,USA,4.0,McCANN F,9 - 3,418,GBR,6:58,Missed,0
Penalty shot,7.0,3,3,10,USA,4.0,MATHEWSON C,10 - 3,407,USA,6:47,Goal,1
Extra player shot,10.0,3,3,11,USA,4.0,RULON K,11 - 3,349,USA,5:49,Goal,1
Extra player shot,6.0,3,3,11,USA,4.0,NIXON C,11 - 3,325,GBR,5:25,Saved,0
Action shot,9.0,3,3,12,USA,4.0,KRAUS J,12 - 3,296,USA,4:56,Goal,1
5m shot,6.0,3,3,12,USA,4.0,NIXON C,12 - 3,279,GBR,4:39,Blocked,0
Action shot,5.0,3,3,13,USA,4.0,CLARK C,13 - 3,199,USA,3:19,Goal,1
Action shot,4.0,3,3,13,USA,4.0,GIBSON-BYRNE C,13 - 3,180,GBR,3:00,Saved,0
