Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA,Result,Goal
5m shot,10.0,2,1,ESP,1.0,NEUSHUL J,6 - 1,18,USA,0:18,6,Goal,1
Action shot,3.0,2,1,ESP,1.0,ESPAR LLAQUET A,6 - 1,1,ESP,0:01,6,Saved,0
Action shot,2.0,2,1,ESP,2.0,MUSSELMAN M,6 - 1,433,USA,7:13,6,Saved,0
Action shot,2.0,2,1,ESP,2.0,MUSSELMAN M,6 - 1,380,USA,6:20,6,Post,0
Action shot,6.0,2,2,ESP,2.0,LLORET GOMEZ H,6 - 2,349,ESP,5:49,6,Goal,1
Penalty shot,8.0,2,2,ESP,2.0,NEUSHUL K,7 - 2,326,USA,5:26,7,Goal,1
Action shot,3.0,2,3,ESP,2.0,ESPAR LLAQUET A,7 - 3,289,ESP,4:49,7,Goal,1
5m shot,6.0,2,3,ESP,2.0,STEFFENS M,7 - 3,267,USA,4:27,7,Saved,0
5m shot,8.0,2,3,ESP,2.0,NEUSHUL K,7 - 3,238,USA,3:58,7,Saved,0
Action shot,10.0,2,3,ESP,2.0,CRESPI BARRIGA P,7 - 3,205,ESP,3:25,7,Saved,0
Extra player shot,6.0,2,3,ESP,2.0,LLORET GOMEZ H,7 - 3,174,ESP,2:54,7,Saved,0
Action shot,10.0,2,3,ESP,2.0,NEUSHUL J,7 - 3,145,USA,2:25,7,Post,0
5m shot,3.0,2,3,ESP,2.0,SEIDEMANN M,7 - 3,98,USA,1:38,7,Saved,0
Action shot,7.0,2,3,ESP,2.0,ESPAR LLAQUET C,7 - 3,3,ESP,0:03,7,Saved,0
5m shot,1.0,2,3,ESP,2.0,STONE G,7 - 3,1,USA,0:01,7,Saved,0
5m shot,8.0,2,3,ESP,3.0,PENA CARRASCO M,7 - 3,451,ESP,7:31,7,Saved,0
Centre shot,6.0,2,3,ESP,3.0,STEFFENS M,8 - 3,421,USA,7:01,8,Goal,1
Action shot,12.0,2,3,ESP,3.0,WILLIAMS A,9 - 3,363,USA,6:03,9,Goal,1
5m shot,3.0,2,3,ESP,3.0,ESPAR LLAQUET A,9 - 3,335,ESP,5:35,9,Blocked,0
5m shot,2.0,2,3,ESP,3.0,MUSSELMAN M,9 - 3,306,USA,5:06,9,Post,0
Action shot,4.0,2,3,ESP,3.0,FATTAL R,9 - 3,257,USA,4:17,9,Saved,0
Action shot,4.0,2,3,ESP,3.0,FATTAL R,9 - 3,227,USA,3:47,9,Saved,0
Action shot,6.0,2,3,ESP,3.0,LLORET GOMEZ H,9 - 3,196,ESP,3:16,9,Saved,0
Penalty shot,3.0,2,4,ESP,3.0,ESPAR LLAQUET A,9 - 4,196,ESP,3:16,9,Goal,1
Extra player shot,5.0,2,4,ESP,3.0,HAUSCHILD P,9 - 4,153,USA,2:33,9,Blocked,0
Action shot,11.0,2,4,ESP,3.0,FISCHER M,9 - 4,140,USA,2:20,9,Post,0
Action shot,9.0,2,5,ESP,3.0,FORCA ARIZA J,9 - 5,76,ESP,1:16,9,Goal,1
Action shot,9.0,2,5,ESP,3.0,FISCHER A,9 - 5,1,USA,0:01,9,Saved,0
5m shot,4.0,2,5,ESP,4.0,ORTIZ MUNOZ B,9 - 5,451,ESP,7:31,9,Missed,0
Extra player shot,8.0,2,5,ESP,4.0,NEUSHUL K,10 - 5,433,USA,7:13,10,Goal,1
Extra player shot,12.0,2,6,ESP,4.0,LEITON ARRONES P,10 - 6,387,ESP,6:27,10,Goal,1
Action shot,3.0,2,6,ESP,4.0,ESPAR LLAQUET A,10 - 6,305,ESP,5:05,10,Blocked,0
5m shot,4.0,2,6,ESP,4.0,ORTIZ MUNOZ B,10 - 6,280,ESP,4:40,10,Saved,0
Extra player shot,2.0,2,6,ESP,4.0,MUSSELMAN M,11 - 6,254,USA,4:14,11,Goal,1
Action shot,6.0,2,7,ESP,4.0,LLORET GOMEZ H,11 - 7,205,ESP,3:25,11,Goal,1
5m shot,3.0,2,7,ESP,4.0,ESPAR LLAQUET A,11 - 7,151,ESP,2:31,11,Saved,0
Centre shot,4.0,2,7,ESP,4.0,FATTAL R,12 - 7,136,USA,2:16,12,Goal,1
5m shot,3.0,2,8,ESP,4.0,ESPAR LLAQUET A,12 - 8,105,ESP,1:45,12,Goal,1
5m shot,7.0,2,8,ESP,4.0,RANEY J,12 - 8,77,USA,1:17,12,Post,0
Extra player shot,7.0,2,8,ESP,4.0,RANEY J,12 - 8,17,USA,0:17,12,Saved,0
5m shot,2.0,2,8,ESP,4.0,BACH PASCUAL M,12 - 8,1,ESP,0:01,12,Saved,0
Action shot,8.0,3,0,NZL,1.0,NEUSHUL K,0 - 1,452,USA,7:32,1,Goal,1
5m shot,8.0,3,0,NZL,1.0,LOPES da SILVA C,0 - 1,423,NZL,7:03,1,Missed,0
5m shot,2.0,3,0,NZL,1.0,MUSSELMAN M,0 - 1,377,USA,6:17,1,,0
5m shot,2.0,3,0,NZL,1.0,MUSSELMAN M,0 - 1,377,USA,6:17,1,Saved,0
Action shot,6.0,3,0,NZL,1.0,STEFFENS M,0 - 2,356,USA,5:56,2,Goal,1
5m shot,11.0,3,0,NZL,1.0,FISCHER M,0 - 2,315,USA,5:15,2,Saved,0
Action shot,11.0,3,0,NZL,1.0,FISCHER M,0 - 3,274,USA,4:34,3,Goal,1
5m shot,12.0,3,0,NZL,1.0,WILLIAMS A,0 - 4,234,USA,3:54,4,Goal,1
Action shot,9.0,3,1,NZL,1.0,STONEMAN E,1 - 4,210,NZL,3:30,4,Goal,1
Action shot,12.0,3,1,NZL,1.0,WILLIAMS A,1 - 4,181,USA,3:01,4,Post,0
5m shot,12.0,3,1,NZL,1.0,WILLIAMS A,1 - 4,140,USA,2:20,4,Saved,0
5m shot,6.0,3,1,NZL,1.0,STEFFENS M,1 - 5,125,USA,2:05,5,Goal,1
5m shot,3.0,3,1,NZL,1.0,MASON K,1 - 5,86,NZL,1:26,5,Blocked,0
5m shot,4.0,3,1,NZL,1.0,FATTAL R,1 - 6,35,USA,0:35,6,Goal,1
Extra player shot,8.0,3,2,NZL,1.0,LOPES da SILVA C,2 - 6,3,NZL,0:03,6,Goal,1
5m shot,3.0,3,2,NZL,1.0,SEIDEMANN M,2 - 6,1,USA,0:01,6,Missed,0
5m shot,6.0,3,2,NZL,2.0,STEFFENS M,2 - 7,415,USA,6:55,7,Goal,1
Extra player shot,12.0,3,3,NZL,2.0,PYE B,3 - 7,380,NZL,6:20,7,Goal,1
Action shot,2.0,3,3,NZL,2.0,MUSSELMAN M,3 - 8,351,USA,5:51,8,Goal,1
Action shot,2.0,3,3,NZL,2.0,MUSSELMAN M,3 - 9,303,USA,5:03,9,Goal,1
Action shot,9.0,3,3,NZL,2.0,FISCHER A,3 - 9,244,USA,4:04,9,Saved,0
Action shot,2.0,3,3,NZL,2.0,MUSSELMAN M,3 - 10,196,USA,3:16,10,Goal,1
5m shot,7.0,3,3,NZL,2.0,RANEY J,3 - 11,137,USA,2:17,11,Goal,1
Action shot,5.0,3,3,NZL,2.0,HAUSCHILD P,3 - 12,61,USA,1:01,12,Goal,1
Extra player shot,12.0,3,3,NZL,2.0,PYE B,3 - 12,44,NZL,0:44,12,Missed,0
Action shot,3.0,3,3,NZL,2.0,SEIDEMANN M,3 - 12,5,USA,0:05,12,Post,0
Action shot,5.0,3,3,NZL,3.0,HAUSCHILD P,3 - 12,451,USA,7:31,12,Saved,0
Action shot,11.0,3,3,NZL,3.0,FISCHER M,3 - 13,392,USA,6:32,13,Goal,1
Extra player shot,12.0,3,4,NZL,3.0,PYE B,4 - 13,349,NZL,5:49,13,Goal,1
