Action,Cap,Game,MNE,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,0,GRE,1.0,TSALKANIS K,0 - 0,480,GRE,8:00
Starting goalkeeper,13.0,1,0,0,GRE,1.0,SCEPANOVIC M,0 - 0,480,MNE,8:00
Sprint won possession,2.0,1,0,0,GRE,1.0,MYLONAKIS E,0 - 0,480,GRE,8:00
Turnover foul,9.0,1,0,0,GRE,1.0,MOURIKIS K,0 - 0,460,GRE,7:40
20 sec. exclusion in centre,9.0,1,0,0,GRE,1.0,MOURIKIS K,0 - 0,443,GRE,7:23
Extra player shot - Post,3.0,1,0,0,GRE,1.0,PASKOVIC V,0 - 0,427,MNE,7:07
Turnover foul,9.0,1,0,0,GRE,1.0,MOURIKIS K,0 - 0,399,GRE,6:39
Turnover foul,9.0,1,0,0,GRE,1.0,IVOVIC A,0 - 0,370,MNE,6:10
Steal,8.0,1,0,0,GRE,1.0,DELAKAS E,0 - 0,370,GRE,6:10
5m shot - Saved,7.0,1,0,0,GRE,1.0,AFROUDAKIS C,0 - 0,342,GRE,5:42
Turnover foul,7.0,1,0,0,GRE,1.0,JANOVIC M,0 - 0,313,MNE,5:13
Steal,2.0,1,0,0,GRE,1.0,MYLONAKIS E,0 - 0,313,GRE,5:13
Turnover foul,9.0,1,0,0,GRE,1.0,MOURIKIS K,0 - 0,285,GRE,4:45
Steal,7.0,1,0,0,GRE,1.0,JANOVIC M,0 - 0,285,MNE,4:45
20 sec. exclusion in field,12.0,1,0,0,GRE,1.0,VLACHOPOULOS A,0 - 0,265,GRE,4:25
Turnover foul,4.0,1,0,0,GRE,1.0,PETROVIC A,0 - 0,241,MNE,4:01
Steal,8.0,1,0,0,GRE,1.0,DELAKAS E,0 - 0,241,GRE,4:01
20 sec. exclusion in centre,9.0,1,0,0,GRE,1.0,IVOVIC A,0 - 0,225,MNE,3:45
Action shot - Blocked,5.0,1,0,0,GRE,1.0,FOUNTOULIS I,0 - 0,198,GRE,3:18
Turnover foul,11.0,1,0,0,GRE,1.0,KLIKOVAK F,0 - 0,184,MNE,3:04
Turnover foul,7.0,1,0,0,GRE,1.0,AFROUDAKIS C,0 - 0,173,GRE,2:53
Steal,13.0,1,0,0,GRE,1.0,SCEPANOVIC M,0 - 0,173,MNE,2:53
Turnover foul,5.0,1,0,0,GRE,1.0,BRGULJAN D,0 - 0,145,MNE,2:25
Steal,12.0,1,0,0,GRE,1.0,VLACHOPOULOS A,0 - 0,145,GRE,2:25
Turnover foul,7.0,1,0,0,GRE,1.0,AFROUDAKIS C,0 - 0,115,GRE,1:55
Action shot - Missed,2.0,1,0,0,GRE,1.0,BRGULJAN D,0 - 0,103,MNE,1:43
20 sec. exclusion in centre,4.0,1,0,0,GRE,1.0,PETROVIC A,0 - 0,92,MNE,1:32
Turnover foul,12.0,1,0,0,GRE,1.0,VLACHOPOULOS A,0 - 0,74,GRE,1:14
Steal,2.0,1,0,0,GRE,1.0,BRGULJAN D,0 - 0,74,MNE,1:14
Turnover foul,7.0,1,0,0,GRE,1.0,JANOVIC M,0 - 0,49,MNE,0:49
Steal,2.0,1,0,0,GRE,1.0,MYLONAKIS E,0 - 0,49,GRE,0:49
Turnover foul,7.0,1,0,0,GRE,1.0,AFROUDAKIS C,0 - 0,22,GRE,0:22
20 sec. exclusion in centre,7.0,1,0,0,GRE,1.0,AFROUDAKIS C,0 - 0,6,GRE,0:06
Extra player shot - Post,3.0,1,0,0,GRE,1.0,PASKOVIC V,0 - 0,1,MNE,0:01
Starting goalkeeper,1.0,1,0,0,GRE,2.0,TSALKANIS K,0 - 0,480,GRE,8:00
Starting goalkeeper,13.0,1,0,0,GRE,2.0,SCEPANOVIC M,0 - 0,480,MNE,8:00
Sprint won possession,2.0,1,0,0,GRE,2.0,BRGULJAN D,0 - 0,480,MNE,8:00
Turnover foul,2.0,1,0,0,GRE,2.0,BRGULJAN D,0 - 0,451,MNE,7:31
Steal,12.0,1,0,0,GRE,2.0,VLACHOPOULOS A,0 - 0,451,GRE,7:31
Turnover foul,6.0,1,0,0,GRE,2.0,PONTIKEAS K,0 - 0,441,GRE,7:21
Steal,2.0,1,0,0,GRE,2.0,BRGULJAN D,0 - 0,441,MNE,7:21
Turnover foul,8.0,1,0,0,GRE,2.0,JANOVIC N,0 - 0,415,MNE,6:55
Steal,7.0,1,0,0,GRE,2.0,AFROUDAKIS C,0 - 0,415,GRE,6:55
Turnover foul,10.0,1,0,0,GRE,2.0,KOLOMVOS C,0 - 0,392,GRE,6:32
Steal,13.0,1,0,0,GRE,2.0,SCEPANOVIC M,0 - 0,392,MNE,6:32
5m shot - Missed,11.0,1,0,0,GRE,2.0,KLIKOVAK F,0 - 0,365,MNE,6:05
Turnover foul,10.0,1,0,0,GRE,2.0,KOLOMVOS C,0 - 0,354,GRE,5:54
5m shot - Saved,5.0,1,0,0,GRE,2.0,BRGULJAN D,0 - 0,326,MNE,5:26
20 sec. exclusion in field,5.0,1,0,0,GRE,2.0,BRGULJAN D,0 - 0,323,MNE,5:23
Extra player shot - Goal,10.0,1,0,1,GRE,2.0,KOLOMVOS C,0 - 1,304,GRE,5:04
Action shot - Saved,6.0,1,0,1,GRE,2.0,CROUSILLAT U,0 - 1,275,MNE,4:35
20 sec. exclusion in centre,6.0,1,0,1,GRE,2.0,PONTIKEAS K,0 - 1,226,GRE,3:46
Extra player shot - Saved,7.0,1,0,1,GRE,2.0,JANOVIC M,0 - 1,206,MNE,3:26
20 sec. exclusion in centre,8.0,1,0,1,GRE,2.0,JANOVIC N,0 - 1,181,MNE,3:01
Extra player shot - Goal,2.0,1,0,2,GRE,2.0,MYLONAKIS E,0 - 2,161,GRE,2:41
Turnover foul,7.0,1,0,2,GRE,2.0,JANOVIC M,0 - 2,142,MNE,2:22
Steal,2.0,1,0,2,GRE,2.0,MYLONAKIS E,0 - 2,142,GRE,2:22
20 sec. exclusion in centre,4.0,1,0,2,GRE,2.0,PETROVIC A,0 - 2,122,MNE,2:02
Centre shot - Goal,8.0,1,0,3,GRE,2.0,DELAKAS E,0 - 3,97,GRE,1:37
Time-Out,,1,0,3,GRE,2.0,,0 - 3,97,MNE,1:37
Turnover foul,11.0,1,0,3,GRE,2.0,KLIKOVAK F,0 - 3,71,MNE,1:11
Steal,8.0,1,0,3,GRE,2.0,DELAKAS E,0 - 3,71,GRE,1:11
20 sec. exclusion in field,2.0,1,0,3,GRE,2.0,BRGULJAN D,0 - 3,57,MNE,0:57
Extra player shot - Saved,11.0,1,0,3,GRE,2.0,GOUNAS A,0 - 3,36,GRE,0:36
Turnover foul,3.0,1,0,3,GRE,2.0,PASKOVIC V,0 - 3,5,MNE,0:05
Starting goalkeeper,1.0,1,0,3,GRE,3.0,TSALKANIS K,0 - 3,480,GRE,8:00
Starting goalkeeper,13.0,1,0,3,GRE,3.0,SCEPANOVIC M,0 - 3,480,MNE,8:00
Sprint won possession,3.0,1,0,3,GRE,3.0,PASKOVIC V,0 - 3,480,MNE,8:00
