Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,2.0,4,4,3,JPN,2.0,SAKANOUE C,3 - 4,295,JPN,4:55,Saved,0
Penalty shot,5.0,5,4,3,JPN,2.0,GUILLET L,3 - 5,273,FRA,4:33,Goal,1
Extra player shot,12.0,5,4,4,JPN,2.0,SUZUKI K,4 - 5,239,JPN,3:59,Goal,1
5m shot,10.0,5,4,4,JPN,2.0,MORI T,4 - 5,96,JPN,1:36,Saved,0
Action shot,5.0,5,4,4,JPN,2.0,NAKATA M,4 - 5,57,JPN,0:57,Post,0
5m shot,8.0,5,4,4,JPN,2.0,HASHIGUCHI M,4 - 5,16,JPN,0:16,Post,0
Action shot,3.0,5,4,4,JPN,4.0,KAZAMA Y,4 - 5,73,JPN,1:13,Saved,0
Action shot,2.0,5,4,4,JPN,4.0,SAKANOUE C,4 - 5,21,JPN,0:21,Blocked,0
Action shot,5.0,6,4,4,JPN,2.0,GUILLET L,4 - 6,3,FRA,0:03,Goal,1
5m shot,11.0,6,4,4,JPN,2.0,TOKUMOTO M,4 - 6,0,JPN,0:00,Post,0
Counter attack,12.0,6,4,4,JPN,3.0,SUZUKI K,4 - 6,445,JPN,7:25,Post,0
Extra player shot,8.0,6,4,4,JPN,3.0,TARDY M,4 - 6,396,FRA,6:36,Post,0
Centre shot,2.0,6,4,4,JPN,3.0,MILLOT E,4 - 6,274,FRA,4:34,Missed,0
Action shot,9.0,6,4,4,JPN,3.0,HOSOYA K,4 - 6,261,JPN,4:21,Missed,0
5m shot,2.0,7,4,4,JPN,3.0,MILLOT E,4 - 7,125,FRA,2:05,Goal,1
Action shot,4.0,7,4,4,JPN,3.0,MAGARIYAMA S,4 - 7,88,JPN,1:28,Blocked,0
Action shot,9.0,7,4,4,JPN,3.0,HOSOYA K,4 - 7,55,JPN,0:55,Saved,0
Extra player shot,9.0,7,4,5,JPN,3.0,HOSOYA K,5 - 7,10,JPN,0:10,Goal,1
5m shot,5.0,7,4,5,JPN,3.0,GUILLET L,5 - 7,0,FRA,0:00,Missed,0
5m shot,4.0,7,4,5,JPN,4.0,MAGARIYAMA S,5 - 7,451,JPN,7:31,Saved,0
Action shot,8.0,8,4,5,JPN,4.0,TARDY M,5 - 8,404,FRA,6:44,Goal,1
Action shot,7.0,8,4,6,JPN,4.0,NAKANO Y,6 - 8,343,JPN,5:43,Goal,1
Action shot,7.0,8,4,6,JPN,4.0,NAKANO Y,6 - 8,296,JPN,4:56,Post,0
Extra player shot,7.0,8,4,6,JPN,4.0,NAKANO Y,6 - 8,230,JPN,3:50,Post,0
Centre shot,6.0,8,4,6,JPN,4.0,MAHIEU G,6 - 8,191,FRA,3:11,Saved,0
