Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,5.0,4,2,13,CHN,4.0,NIU G,4 - 13,64,CHN,1:04,Goal,1
Extra player shot,3.0,4,2,13,CHN,4.0,BACHELIER L,4 - 13,28,FRA,0:28,Post,0
Extra player shot,10.0,4,2,13,CHN,4.0,ZHANG W,4 - 13,0,CHN,0:00,Missed,0
Extra player shot,8.0,0,3,1,HUN,1.0,KESZTHELYI R,1 - 0,405,HUN,6:45,Goal,1
5m shot,4.0,0,3,1,HUN,1.0,SACRE A,1 - 0,377,FRA,6:17,Post,0
Extra player shot,8.0,0,3,2,HUN,1.0,KESZTHELYI R,2 - 0,363,HUN,6:03,Goal,1
Action shot,2.0,0,3,2,HUN,1.0,MILLOT E,2 - 0,287,FRA,4:47,Blocked,0
5m shot,12.0,0,3,2,HUN,1.0,JASKOVA M,2 - 0,266,FRA,4:26,Saved,0
Action shot,10.0,0,3,3,HUN,1.0,BUJKA B,3 - 0,239,HUN,3:59,Goal,1
5m shot,12.0,0,3,3,HUN,1.0,MENCZINGER K,3 - 0,194,HUN,3:14,Saved,0
5m shot,2.0,0,3,3,HUN,1.0,CZIGANY D,3 - 0,143,HUN,2:23,Post,0
Centre shot,9.0,0,3,4,HUN,1.0,TOTH I,4 - 0,133,HUN,2:13,Goal,1
Extra player shot,12.0,1,3,4,HUN,1.0,JASKOVA M,4 - 1,96,FRA,1:36,Goal,1
5m shot,8.0,1,3,5,HUN,1.0,KESZTHELYI R,5 - 1,68,HUN,1:08,Goal,1
