Action,Cap,Game,JPN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Counter attack,10.0,2,5,4,USA,2.0,RAMIREZ C,4 - 5,26,USA,0:26,Saved,0
Counter attack,11.0,2,6,4,USA,2.0,OKAWA K,4 - 6,6,JPN,0:06,Goal,1
5m shot,8.0,2,6,4,USA,2.0,TAKATA M,4 - 6,1,JPN,0:01,Blocked,0
Extra player shot,4.0,2,6,4,USA,3.0,SHIGA M,4 - 6,450,JPN,7:30,Post,0
Extra player shot,10.0,2,6,5,USA,3.0,RAMIREZ C,5 - 6,421,USA,7:01,Goal,1
Action shot,4.0,2,6,5,USA,3.0,SHIGA M,5 - 6,388,JPN,6:28,Saved,0
Action shot,2.0,2,6,5,USA,3.0,ADACHI S,5 - 6,372,JPN,6:12,Post,0
5m shot,6.0,2,6,5,USA,3.0,CUPIDO L,5 - 6,345,USA,5:45,Saved,0
Penalty shot,2.0,2,7,5,USA,3.0,ADACHI S,5 - 7,314,JPN,5:14,Goal,1
Counter attack,4.0,2,8,5,USA,3.0,SHIGA M,5 - 8,291,JPN,4:51,Goal,1
Extra player shot,7.0,2,8,5,USA,3.0,DUNSTAN T,5 - 8,261,USA,4:21,Missed,0
Action shot,7.0,2,8,6,USA,3.0,DUNSTAN T,6 - 8,217,USA,3:37,Goal,1
Action shot,12.0,2,8,6,USA,3.0,ARAKI K,6 - 8,195,JPN,3:15,Post,0
Counter attack,5.0,2,9,6,USA,3.0,YOSHIDA T,6 - 9,190,JPN,3:10,Goal,1
Action shot,8.0,2,9,6,USA,3.0,TAKATA M,6 - 9,150,JPN,2:30,Missed,0
Action shot,6.0,2,9,6,USA,3.0,CUPIDO L,6 - 9,128,USA,2:08,Saved,0
Extra player shot,11.0,2,9,6,USA,3.0,OKAWA K,6 - 9,110,JPN,1:50,Blocked,0
Counter attack,2.0,2,10,6,USA,3.0,ADACHI S,6 - 10,83,JPN,1:23,Goal,1
Action shot,9.0,2,10,6,USA,3.0,BOWEN A,6 - 10,61,USA,1:01,Saved,0
Extra player shot,2.0,2,10,6,USA,3.0,HOOPER J,6 - 10,2,USA,0:02,Blocked,0
Action shot,4.0,2,10,6,USA,3.0,OBERT A,6 - 10,1,USA,0:01,Saved,0
5m shot,5.0,2,10,7,USA,4.0,HALLOCK B,7 - 10,454,USA,7:34,Goal,1
Extra player shot,9.0,2,10,7,USA,4.0,BOWEN A,7 - 10,400,USA,6:40,Post,0
Action shot,2.0,2,10,7,USA,4.0,HOOPER J,7 - 10,389,USA,6:29,Post,0
5m shot,11.0,2,10,7,USA,4.0,OKAWA K,7 - 10,360,JPN,6:00,Blocked,0
5m shot,3.0,2,10,7,USA,4.0,VAVIC M,7 - 10,146,USA,2:26,Blocked,0
Penalty shot,2.0,2,14,7,USA,4.0,ADACHI S,7 - 14,102,JPN,1:42,Goal,1
Action shot,7.0,2,14,7,USA,4.0,DUNSTAN T,7 - 14,82,USA,1:22,Missed,0
Action shot,5.0,2,14,7,USA,4.0,YOSHIDA T,7 - 14,65,JPN,1:05,Missed,0
Counter attack,7.0,2,15,7,USA,4.0,SHIMIZU Y,7 - 15,42,JPN,0:42,Goal,1
Action shot,12.0,2,15,7,USA,4.0,IRVING M,7 - 15,15,USA,0:15,Saved,0
5m shot,8.0,2,15,7,USA,4.0,TAKATA M,7 - 15,1,JPN,0:01,Saved,0
Action shot,7.0,3,0,0,CRO,1.0,SHIMIZU Y,0 - 0,451,JPN,7:31,Saved,0
Action shot,9.0,3,0,0,CRO,1.0,ARAI A,0 - 0,436,JPN,7:16,Saved,0
Action shot,2.0,3,0,0,CRO,1.0,ADACHI S,0 - 0,418,JPN,6:58,Saved,0
