Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,10.0,2,3,2,AUS,1.0,MANOLIOUDAKI T,2 - 2,103,GRE,1:43,Saved,0
Extra player shot,7.0,2,3,2,AUS,1.0,WEBSTER R,2 - 2,48,AUS,0:48,Blocked,0
5m shot,5.0,2,3,2,AUS,1.0,BISHOP I,2 - 2,1,AUS,0:01,Saved,0
Action shot,4.0,2,3,2,AUS,2.0,ELEFTHERIADOU N,2 - 2,441,GRE,7:21,Saved,0
Centre shot,7.0,3,3,2,AUS,2.0,ASIMAKI A,2 - 3,431,GRE,7:11,Goal,1
Action shot,4.0,3,3,2,AUS,2.0,HALLIGAN B,2 - 3,403,AUS,6:43,Saved,0
Extra player shot,7.0,4,3,2,AUS,2.0,ASIMAKI A,2 - 4,378,GRE,6:18,Goal,1
Action shot,2.0,4,3,3,AUS,2.0,GOFERS K,3 - 4,332,AUS,5:32,Goal,1
Action shot,10.0,4,3,3,AUS,2.0,MANOLIOUDAKI T,3 - 4,305,GRE,5:05,Missed,0
Centre shot,10.0,5,3,3,AUS,2.0,MANOLIOUDAKI T,3 - 5,238,GRE,3:58,Goal,1
5m shot,2.0,5,3,3,AUS,2.0,GOFERS K,3 - 5,216,AUS,3:36,Saved,0
Action shot,2.0,5,3,3,AUS,2.0,TSOUKALA C,3 - 5,186,GRE,3:06,Post,0
5m shot,3.0,5,3,3,AUS,2.0,BUCKLING H,3 - 5,171,AUS,2:51,Saved,0
Action shot,2.0,5,3,4,AUS,2.0,GOFERS K,4 - 5,126,AUS,2:06,Goal,1
Penalty shot,11.0,5,3,4,AUS,2.0,PLEVRITOU E,4 - 5,112,GRE,1:52,Saved,0
Extra player shot,4.0,5,3,5,AUS,2.0,HALLIGAN B,5 - 5,5,AUS,0:05,Goal,1
5m shot,2.0,5,3,5,AUS,2.0,TSOUKALA C,5 - 5,1,GRE,0:01,Saved,0
5m shot,9.0,5,3,5,AUS,3.0,KOTSIA C,5 - 5,451,GRE,7:31,Saved,0
Action shot,3.0,5,3,5,AUS,3.0,BUCKLING H,5 - 5,434,AUS,7:14,Post,0
5m shot,10.0,6,3,5,AUS,3.0,MANOLIOUDAKI T,5 - 6,408,GRE,6:48,Goal,1
Action shot,5.0,6,3,5,AUS,3.0,BISHOP I,5 - 6,375,AUS,6:15,Blocked,0
Centre shot,7.0,6,3,5,AUS,3.0,WEBSTER R,5 - 6,324,AUS,5:24,Saved,0
Action shot,7.0,6,3,6,AUS,3.0,WEBSTER R,6 - 6,294,AUS,4:54,Goal,1
Extra player shot,4.0,6,3,6,AUS,3.0,ELEFTHERIADOU N,6 - 6,261,GRE,4:21,Saved,0
Action shot,9.0,6,3,6,AUS,3.0,ARANCINI Z,6 - 6,235,AUS,3:55,Post,0
Action shot,12.0,7,3,6,AUS,3.0,XENAKI E,6 - 7,198,GRE,3:18,Goal,1
5m shot,7.0,7,3,6,AUS,3.0,WEBSTER R,6 - 7,168,AUS,2:48,Saved,0
Action shot,8.0,7,3,6,AUS,3.0,CHYDIRIOTI I,6 - 7,138,GRE,2:18,Saved,0
Action shot,6.0,8,3,6,AUS,3.0,AVRAMIDOU A,6 - 8,111,GRE,1:51,Goal,1
Centre shot,3.0,8,3,7,AUS,3.0,BUCKLING H,7 - 8,61,AUS,1:01,Goal,1
Centre shot,7.0,8,3,7,AUS,3.0,ASIMAKI A,7 - 8,32,GRE,0:32,Saved,0
Action shot,5.0,8,3,7,AUS,3.0,BISHOP I,7 - 8,3,AUS,0:03,Saved,0
