Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,11.0,4,5,2,HUN,1.0,CSABAI D,2 - 4,72,HUN,1:12
Time-Out,,4,5,2,HUN,1.0,,2 - 4,71,GRE,1:11
Action shot - Missed,11.0,4,5,2,HUN,1.0,PLEVRITOU E,2 - 4,48,GRE,0:48
Time-Out,,4,5,2,HUN,1.0,,2 - 4,41,HUN,0:41
Turnover foul,10.0,4,5,2,HUN,1.0,BUJKA B,2 - 4,23,HUN,0:23
Steal,6.0,4,5,2,HUN,1.0,AVRAMIDOU A,2 - 4,23,GRE,0:23
20 sec. exclusion in field,10.0,4,5,2,HUN,1.0,BUJKA B,2 - 4,12,HUN,0:12
Extra player shot - Saved,2.0,4,5,2,HUN,1.0,TSOUKALA C,2 - 4,2,GRE,0:02
Starting goalkeeper,13.0,4,5,2,HUN,2.0,KASO O,2 - 4,480,HUN,8:00
Starting goalkeeper,13.0,4,5,2,HUN,2.0,DIAMANTOPOULOU C,2 - 4,480,GRE,8:00
Sprint won possession,11.0,4,5,2,HUN,2.0,PLEVRITOU E,2 - 4,480,GRE,8:00
Time-Out,,4,5,2,HUN,2.0,,2 - 4,478,GRE,7:58
Action shot - Post,11.0,4,5,2,HUN,2.0,PLEVRITOU E,2 - 4,462,GRE,7:42
5m shot - Blocked,8.0,4,5,2,HUN,2.0,KESZTHELYI R,2 - 4,436,HUN,7:16
20 sec. exclusion in field,7.0,4,5,2,HUN,2.0,ILLES A,2 - 4,433,HUN,7:13
Turnover foul,2.0,4,5,2,HUN,2.0,TSOUKALA C,2 - 4,406,GRE,6:46
Turnover foul,10.0,4,5,2,HUN,2.0,BUJKA B,2 - 4,380,HUN,6:20
Steal,3.0,4,5,2,HUN,2.0,DIAMANTOPOULOU V,2 - 4,380,GRE,6:20
Turnover foul,7.0,4,5,2,HUN,2.0,ASIMAKI A,2 - 4,361,GRE,6:01
Steal,5.0,4,5,2,HUN,2.0,SZUCS G,2 - 4,361,HUN,6:01
Action shot - Blocked,8.0,4,5,2,HUN,2.0,KESZTHELYI R,2 - 4,333,HUN,5:33
Action shot - Missed,10.0,4,5,2,HUN,2.0,MANOLIOUDAKI T,2 - 4,304,GRE,5:04
Action shot - Saved,12.0,4,5,2,HUN,2.0,SZILAGYI D,2 - 4,287,HUN,4:47
Action shot - Goal,2.0,5,5,2,HUN,2.0,TSOUKALA C,2 - 5,258,GRE,4:18
Time-Out,,5,5,2,HUN,2.0,,2 - 5,258,HUN,4:18
Goalkeeper substitution,1.0,5,5,2,HUN,2.0,GANGL E,2 - 5,258,HUN,4:18
20 sec. exclusion in centre,9.0,5,5,2,HUN,2.0,KOTSIA C,2 - 5,235,GRE,3:55
Extra player shot - Goal,8.0,5,5,3,HUN,2.0,KESZTHELYI R,3 - 5,221,HUN,3:41
Action shot - Saved,4.0,5,5,3,HUN,2.0,ELEFTHERIADOU N,3 - 5,193,GRE,3:13
Action shot - Saved,3.0,5,5,3,HUN,2.0,DIAMANTOPOULOU V,3 - 5,172,GRE,2:52
Action shot - Post,4.0,5,5,3,HUN,2.0,GURISATTI G,3 - 5,156,HUN,2:36
5m shot - Saved,5.0,5,5,3,HUN,2.0,SZUCS G,3 - 5,132,HUN,2:12
Extra player shot - Goal,6.0,9,5,10,HUN,4.0,AVRAMIDOU A,10 - 9,156,GRE,2:36
Action shot - Blocked,3.0,9,5,10,HUN,4.0,ANTAL D,10 - 9,128,HUN,2:08
5m shot - Missed,8.0,9,5,10,HUN,4.0,KESZTHELYI R,10 - 9,110,HUN,1:50
Turnover foul,12.0,9,5,10,HUN,4.0,XENAKI E,10 - 9,97,GRE,1:37
