AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
0,Starting goalkeeper,1.0,1,0,GRE,1.0,YANITSAS L,0 - 0,480,AUS,8:00
0,Starting goalkeeper,1.0,1,0,GRE,1.0,KOUVDOU E,0 - 0,480,GRE,8:00
0,Sprint won possession,12.0,1,0,GRE,1.0,ZAGAME N,0 - 0,480,AUS,8:00
0,5m shot - Post,10.0,1,0,GRE,1.0,SOUTHERN A,0 - 0,457,AUS,7:37
0,20 sec. exclusion in field,6.0,1,0,GRE,1.0,KNOX B,0 - 0,429,AUS,7:09
0,Action shot - Goal,2.0,1,1,GRE,1.0,TSOUKALA C,0 - 1,408,GRE,6:48
0,Turnover foul,5.0,1,1,GRE,1.0,GOFERS K,0 - 1,370,AUS,6:10
0,20 sec. exclusion in field,12.0,1,1,GRE,1.0,ZAGAME N,0 - 1,357,AUS,5:57
0,Turnover foul,3.0,1,1,GRE,1.0,CHARALAMPIDI S,0 - 1,327,GRE,5:27
0,Steal,2.0,1,1,GRE,1.0,BEADSWORTH G,0 - 1,327,AUS,5:27
0,Action shot - Post,5.0,1,1,GRE,1.0,GOFERS K,0 - 1,313,AUS,5:13
0,Action shot - Saved,10.0,1,1,GRE,1.0,MANOLIOUDAKI T,0 - 1,286,GRE,4:46
0,Turnover foul,2.0,1,1,GRE,1.0,TSOUKALA C,0 - 1,278,GRE,4:38
0,Steal,5.0,1,1,GRE,1.0,GOFERS K,0 - 1,278,AUS,4:38
1,Centre shot - Goal,2.0,1,1,GRE,1.0,BEADSWORTH G,1 - 1,270,AUS,4:30
1,Turnover foul,8.0,1,1,GRE,1.0,ROUMPESI A,1 - 1,246,GRE,4:06
1,20 sec. exclusion in centre,10.0,1,1,GRE,1.0,MANOLIOUDAKI T,1 - 1,225,GRE,3:45
1,Extra player shot - Saved,9.0,1,1,GRE,1.0,ARANCINI Z,1 - 1,222,AUS,3:42
1,20 sec. exclusion in centre,8.0,1,1,GRE,1.0,ROUMPESI A,1 - 1,189,GRE,3:09
2,Extra player shot - Goal,3.0,1,1,GRE,1.0,BUCKLING H,2 - 1,170,AUS,2:50
2,5m shot - Blocked,2.0,1,1,GRE,1.0,TSOUKALA C,2 - 1,139,GRE,2:19
2,Centre shot - Saved,4.0,1,1,GRE,1.0,LINCOLN-SMITH H,2 - 1,111,AUS,1:51
2,Action shot - Saved,3.0,1,1,GRE,1.0,CHARALAMPIDI S,2 - 1,81,GRE,1:21
2,Action shot - Saved,11.0,1,1,GRE,1.0,HALLIGAN B,2 - 1,52,AUS,0:52
2,Time-Out,,1,1,GRE,1.0,,2 - 1,52,AUS,0:52
2,Turnover foul,8.0,1,1,GRE,1.0,MCGHIE G,2 - 1,32,AUS,0:32
2,Time-Out,,1,1,GRE,1.0,,2 - 1,32,GRE,0:32
2,Turnover foul,3.0,1,1,GRE,1.0,CHARALAMPIDI S,2 - 1,2,GRE,0:02
2,Starting goalkeeper,1.0,1,1,GRE,2.0,YANITSAS L,2 - 1,480,AUS,8:00
2,Starting goalkeeper,1.0,1,1,GRE,2.0,KOUVDOU E,2 - 1,480,GRE,8:00
2,Sprint won possession,12.0,1,1,GRE,2.0,ZAGAME N,2 - 1,480,AUS,8:00
2,20 sec. exclusion in centre,5.0,1,1,GRE,2.0,PLEVRITOU M,2 - 1,462,GRE,7:42
3,Extra player shot - Goal,12.0,1,1,GRE,2.0,ZAGAME N,3 - 1,452,AUS,7:32
3,Penalty foul,3.0,1,1,GRE,2.0,BUCKLING H,3 - 1,432,AUS,7:12
3,Penalty shot - Goal,2.0,1,2,GRE,2.0,TSOUKALA C,3 - 2,432,GRE,7:12
3,Turnover foul,2.0,1,2,GRE,2.0,BEADSWORTH G,3 - 2,400,AUS,6:40
3,Steal,11.0,1,2,GRE,2.0,PLEVRITOU E,3 - 2,400,GRE,6:40
3,Penalty foul,10.0,1,2,GRE,2.0,SOUTHERN A,3 - 2,390,AUS,6:30
3,Penalty shot - Goal,2.0,1,3,GRE,2.0,TSOUKALA C,3 - 3,390,GRE,6:30
3,5m shot - Post,12.0,1,3,GRE,2.0,ZAGAME N,3 - 3,363,AUS,6:03
3,Action shot - Saved,7.0,1,3,GRE,2.0,WEBSTER R,3 - 3,337,AUS,5:37
3,Centre shot - Missed,7.0,1,3,GRE,2.0,ASIMAKI A,3 - 3,318,GRE,5:18
3,5m shot - Post,6.0,1,3,GRE,2.0,KNOX B,3 - 3,294,AUS,4:54
3,Turnover foul,2.0,1,3,GRE,2.0,TSOUKALA C,3 - 3,263,GRE,4:23
3,5m shot - Saved,9.0,1,3,GRE,2.0,ARANCINI Z,3 - 3,237,AUS,3:57
3,20 sec. exclusion in centre,12.0,1,3,GRE,2.0,ZAGAME N,3 - 3,214,AUS,3:34
3,Extra player shot - Missed,2.0,1,3,GRE,2.0,TSOUKALA C,3 - 3,210,GRE,3:30
3,Action shot - Saved,10.0,1,3,GRE,2.0,SOUTHERN A,3 - 3,155,AUS,2:35
3,Turnover foul,4.0,1,3,GRE,2.0,KOTSIA C,3 - 3,140,GRE,2:20
3,Steal,1.0,1,3,GRE,2.0,YANITSAS L,3 - 3,140,AUS,2:20
3,Action shot - Saved,10.0,1,3,GRE,2.0,SOUTHERN A,3 - 3,120,AUS,2:00
3,Action shot - Missed,10.0,1,3,GRE,2.0,SOUTHERN A,3 - 3,95,AUS,1:35
3,Action shot - Blocked,7.0,1,3,GRE,2.0,ASIMAKI A,3 - 3,70,GRE,1:10
3,Time-Out,,1,3,GRE,2.0,,3 - 3,70,AUS,1:10
3,5m shot - Missed,3.0,1,3,GRE,2.0,BUCKLING H,3 - 3,50,AUS,0:50
3,Time-Out,,1,3,GRE,2.0,,3 - 3,49,GRE,0:49
3,Double exclusion,12.0,1,3,GRE,2.0,XENAKI E,3 - 3,45,GRE,0:45
3,Double exclusion,3.0,1,3,GRE,2.0,BUCKLING H,3 - 3,45,AUS,0:45
3,Action shot - Goal,8.0,1,4,GRE,2.0,ROUMPESI A,3 - 4,28,GRE,0:28
3,20 sec. exclusion in centre,5.0,1,4,GRE,2.0,PLEVRITOU M,3 - 4,4,GRE,0:04
3,Starting goalkeeper,1.0,1,4,GRE,3.0,YANITSAS L,3 - 4,480,AUS,8:00
3,Starting goalkeeper,1.0,1,4,GRE,3.0,KOUVDOU E,3 - 4,480,GRE,8:00
3,Sprint won possession,12.0,1,4,GRE,3.0,ZAGAME N,3 - 4,480,AUS,8:00
3,5m shot - Missed,7.0,1,4,GRE,3.0,WEBSTER R,3 - 4,449,AUS,7:29
3,Turnover foul,12.0,1,4,GRE,3.0,ZAGAME N,3 - 4,397,AUS,6:37
3,5m shot - Post,2.0,1,4,GRE,3.0,TSOUKALA C,3 - 4,372,GRE,6:12
3,Turnover foul,7.0,1,4,GRE,3.0,WEBSTER R,3 - 4,342,AUS,5:42
3,Steal,6.0,1,4,GRE,3.0,AVRAMIDOU A,3 - 4,342,GRE,5:42
3,Penalty foul,7.0,1,4,GRE,3.0,WEBSTER R,3 - 4,318,AUS,5:18
3,Penalty shot - Goal,11.0,1,5,GRE,3.0,PLEVRITOU E,3 - 5,318,GRE,5:18
3,20 sec. exclusion in centre,4.0,1,5,GRE,3.0,KOTSIA C,3 - 5,293,GRE,4:53
4,Extra player shot - Goal,10.0,1,5,GRE,3.0,SOUTHERN A,4 - 5,287,AUS,4:47
4,20 sec. exclusion in centre,10.0,1,5,GRE,3.0,SOUTHERN A,4 - 5,271,AUS,4:31
4,Action shot - Blocked,3.0,1,5,GRE,3.0,CHARALAMPIDI S,4 - 5,248,GRE,4:08
4,Action shot - Post,6.0,1,5,GRE,3.0,KNOX B,4 - 5,221,AUS,3:41
4,Turnover foul,4.0,1,5,GRE,3.0,KOTSIA C,4 - 5,201,GRE,3:21
4,Steal,3.0,1,5,GRE,3.0,BUCKLING H,4 - 5,201,AUS,3:21
4,20 sec. exclusion in centre,8.0,1,5,GRE,3.0,ROUMPESI A,4 - 5,193,GRE,3:13
5,Extra player shot - Goal,7.0,1,5,GRE,3.0,WEBSTER R,5 - 5,176,AUS,2:56
5,Turnover foul,8.0,1,5,GRE,3.0,MCGHIE G,5 - 5,131,AUS,2:11
5,Steal,7.0,1,5,GRE,3.0,ASIMAKI A,5 - 5,131,GRE,2:11
5,20 sec. exclusion in field,9.0,1,5,GRE,3.0,ARANCINI Z,5 - 5,117,AUS,1:57
5,Extra player shot - Blocked,9.0,1,5,GRE,3.0,CHARALAMPIDI I,5 - 5,109,GRE,1:49
5,Action shot - Saved,3.0,1,5,GRE,3.0,BUCKLING H,5 - 5,83,AUS,1:23
5,Action shot - Post,3.0,1,5,GRE,3.0,BUCKLING H,5 - 5,66,AUS,1:06
5,5m shot - Saved,3.0,1,5,GRE,3.0,CHARALAMPIDI S,5 - 5,43,GRE,0:43
5,Time-Out,,1,5,GRE,3.0,,5 - 5,42,AUS,0:42
5,20 sec. exclusion in field,2.0,1,5,GRE,3.0,TSOUKALA C,5 - 5,16,GRE,0:16
5,Extra player shot - Missed,7.0,1,5,GRE,3.0,WEBSTER R,5 - 5,9,AUS,0:09
5,Starting goalkeeper,1.0,1,5,GRE,4.0,YANITSAS L,5 - 5,480,AUS,8:00
5,Starting goalkeeper,1.0,1,5,GRE,4.0,KOUVDOU E,5 - 5,480,GRE,8:00
5,Sprint won possession,12.0,1,5,GRE,4.0,ZAGAME N,5 - 5,480,AUS,8:00
5,Turnover foul,6.0,1,5,GRE,4.0,KNOX B,5 - 5,447,AUS,7:27
5,Steal,2.0,1,5,GRE,4.0,TSOUKALA C,5 - 5,447,GRE,7:27
5,Centre shot - Saved,7.0,1,5,GRE,4.0,ASIMAKI A,5 - 5,421,GRE,7:01
6,Action shot - Goal,8.0,1,5,GRE,4.0,MCGHIE G,6 - 5,408,AUS,6:48
6,Turnover foul,10.0,1,5,GRE,4.0,MANOLIOUDAKI T,6 - 5,388,GRE,6:28
