AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
0,5m shot,10.0,1,0,GRE,1.0,SOUTHERN A,0 - 0,457,AUS,7:37,Post,0
0,Action shot,2.0,1,1,GRE,1.0,TSOUKALA C,0 - 1,408,GRE,6:48,Goal,1
0,Action shot,5.0,1,1,GRE,1.0,GOFERS K,0 - 1,313,AUS,5:13,Post,0
0,Action shot,10.0,1,1,GRE,1.0,MANOLIOUDAKI T,0 - 1,286,GRE,4:46,Saved,0
1,Centre shot,2.0,1,1,GRE,1.0,BEADSWORTH G,1 - 1,270,AUS,4:30,Goal,1
1,Extra player shot,9.0,1,1,GRE,1.0,ARANCINI Z,1 - 1,222,AUS,3:42,Saved,0
2,Extra player shot,3.0,1,1,GRE,1.0,BUCKLING H,2 - 1,170,AUS,2:50,Goal,1
2,5m shot,2.0,1,1,GRE,1.0,TSOUKALA C,2 - 1,139,GRE,2:19,Blocked,0
2,Centre shot,4.0,1,1,GRE,1.0,LINCOLN-SMITH H,2 - 1,111,AUS,1:51,Saved,0
2,Action shot,3.0,1,1,GRE,1.0,CHARALAMPIDI S,2 - 1,81,GRE,1:21,Saved,0
2,Action shot,11.0,1,1,GRE,1.0,HALLIGAN B,2 - 1,52,AUS,0:52,Saved,0
3,Extra player shot,12.0,1,1,GRE,2.0,ZAGAME N,3 - 1,452,AUS,7:32,Goal,1
3,Penalty shot,2.0,1,2,GRE,2.0,TSOUKALA C,3 - 2,432,GRE,7:12,Goal,1
3,Penalty shot,2.0,1,3,GRE,2.0,TSOUKALA C,3 - 3,390,GRE,6:30,Goal,1
3,5m shot,12.0,1,3,GRE,2.0,ZAGAME N,3 - 3,363,AUS,6:03,Post,0
3,Action shot,7.0,1,3,GRE,2.0,WEBSTER R,3 - 3,337,AUS,5:37,Saved,0
3,Centre shot,7.0,1,3,GRE,2.0,ASIMAKI A,3 - 3,318,GRE,5:18,Missed,0
3,5m shot,6.0,1,3,GRE,2.0,KNOX B,3 - 3,294,AUS,4:54,Post,0
3,5m shot,9.0,1,3,GRE,2.0,ARANCINI Z,3 - 3,237,AUS,3:57,Saved,0
3,Extra player shot,2.0,1,3,GRE,2.0,TSOUKALA C,3 - 3,210,GRE,3:30,Missed,0
3,Action shot,10.0,1,3,GRE,2.0,SOUTHERN A,3 - 3,155,AUS,2:35,Saved,0
3,Action shot,10.0,1,3,GRE,2.0,SOUTHERN A,3 - 3,120,AUS,2:00,Saved,0
3,Action shot,10.0,1,3,GRE,2.0,SOUTHERN A,3 - 3,95,AUS,1:35,Missed,0
3,Action shot,7.0,1,3,GRE,2.0,ASIMAKI A,3 - 3,70,GRE,1:10,Blocked,0
3,5m shot,3.0,1,3,GRE,2.0,BUCKLING H,3 - 3,50,AUS,0:50,Missed,0
3,Action shot,8.0,1,4,GRE,2.0,ROUMPESI A,3 - 4,28,GRE,0:28,Goal,1
3,5m shot,7.0,1,4,GRE,3.0,WEBSTER R,3 - 4,449,AUS,7:29,Missed,0
3,5m shot,2.0,1,4,GRE,3.0,TSOUKALA C,3 - 4,372,GRE,6:12,Post,0
3,Penalty shot,11.0,1,5,GRE,3.0,PLEVRITOU E,3 - 5,318,GRE,5:18,Goal,1
4,Extra player shot,10.0,1,5,GRE,3.0,SOUTHERN A,4 - 5,287,AUS,4:47,Goal,1
4,Action shot,3.0,1,5,GRE,3.0,CHARALAMPIDI S,4 - 5,248,GRE,4:08,Blocked,0
4,Action shot,6.0,1,5,GRE,3.0,KNOX B,4 - 5,221,AUS,3:41,Post,0
5,Extra player shot,7.0,1,5,GRE,3.0,WEBSTER R,5 - 5,176,AUS,2:56,Goal,1
5,Extra player shot,9.0,1,5,GRE,3.0,CHARALAMPIDI I,5 - 5,109,GRE,1:49,Blocked,0
5,Action shot,3.0,1,5,GRE,3.0,BUCKLING H,5 - 5,83,AUS,1:23,Saved,0
5,Action shot,3.0,1,5,GRE,3.0,BUCKLING H,5 - 5,66,AUS,1:06,Post,0
5,5m shot,3.0,1,5,GRE,3.0,CHARALAMPIDI S,5 - 5,43,GRE,0:43,Saved,0
5,Extra player shot,7.0,1,5,GRE,3.0,WEBSTER R,5 - 5,9,AUS,0:09,Missed,0
5,Centre shot,7.0,1,5,GRE,4.0,ASIMAKI A,5 - 5,421,GRE,7:01,Saved,0
6,Action shot,8.0,1,5,GRE,4.0,MCGHIE G,6 - 5,408,AUS,6:48,Goal,1
6,Action shot,10.0,1,5,GRE,4.0,SOUTHERN A,6 - 5,360,AUS,6:00,Saved,0
6,Extra player shot,7.0,1,6,GRE,4.0,ASIMAKI A,6 - 6,319,GRE,5:19,Goal,1
6,Action shot,11.0,1,6,GRE,4.0,HALLIGAN B,6 - 6,287,AUS,4:47,Post,0
6,Centre shot,12.0,1,6,GRE,4.0,ZAGAME N,6 - 6,265,AUS,4:25,Missed,0
6,5m shot,8.0,1,6,GRE,4.0,ROUMPESI A,6 - 6,180,GRE,3:00,Saved,0
7,Action shot,9.0,1,6,GRE,4.0,ARANCINI Z,7 - 6,156,AUS,2:36,Goal,1
7,Penalty shot,2.0,1,6,GRE,4.0,TSOUKALA C,7 - 6,139,GRE,2:19,Saved,0
7,5m shot,2.0,1,7,GRE,4.0,TSOUKALA C,7 - 7,116,GRE,1:56,Goal,1
7,Action shot,6.0,1,7,GRE,4.0,KNOX B,7 - 7,87,AUS,1:27,Missed,0
8,Counter attack,12.0,1,7,GRE,4.0,ZAGAME N,8 - 7,59,AUS,0:59,Goal,1
8,Action shot,8.0,1,7,GRE,4.0,ROUMPESI A,8 - 7,15,GRE,0:15,Saved,0
8,5m shot,8.0,1,7,GRE,4.0,ROUMPESI A,8 - 7,0,GRE,0:00,Missed,0
1,Action shot,3.0,2,0,RSA,1.0,BUCKLING H,1 - 0,463,AUS,7:43,Goal,1
2,Penalty shot,7.0,2,0,RSA,1.0,WEBSTER R,2 - 0,433,AUS,7:13,Goal,1
2,Action shot,7.0,2,0,RSA,1.0,WEBSTER R,2 - 0,392,AUS,6:32,Post,0
2,Counter attack,3.0,2,0,RSA,1.0,BUCKLING H,2 - 0,353,AUS,5:53,Saved,0
2,5m shot,11.0,2,0,RSA,1.0,O'HANLON D,2 - 0,299,RSA,4:59,Missed,0
3,Centre shot,4.0,2,0,RSA,1.0,LINCOLN-SMITH H,3 - 0,275,AUS,4:35,Goal,1
3,5m shot,7.0,2,0,RSA,1.0,KAY K,3 - 0,206,RSA,3:26,Saved,0
3,Centre shot,9.0,2,0,RSA,1.0,ARANCINI Z,3 - 0,195,AUS,3:15,Saved,0
4,5m shot,10.0,2,0,RSA,1.0,SOUTHERN A,4 - 0,160,AUS,2:40,Goal,1
5,Counter attack,9.0,2,0,RSA,1.0,ARANCINI Z,5 - 0,138,AUS,2:18,Goal,1
6,Action shot,10.0,2,0,RSA,1.0,SOUTHERN A,6 - 0,45,AUS,0:45,Goal,1
6,Action shot,4.0,2,0,RSA,1.0,LINCOLN-SMITH H,6 - 0,10,AUS,0:10,Saved,0
6,5m shot,5.0,2,0,RSA,2.0,GOFERS K,6 - 0,453,AUS,7:33,Post,0
6,5m shot,12.0,2,0,RSA,2.0,WHITE K,6 - 0,425,RSA,7:05,Post,0
6,Extra player shot,3.0,2,0,RSA,2.0,PALEY K,6 - 0,383,RSA,6:23,Post,0
6,Action shot,12.0,2,0,RSA,2.0,ZAGAME N,6 - 0,372,AUS,6:12,Saved,0
6,Action shot,7.0,2,0,RSA,2.0,WEBSTER R,6 - 0,327,AUS,5:27,Saved,0
7,Counter attack,4.0,2,0,RSA,2.0,LINCOLN-SMITH H,7 - 0,234,AUS,3:54,Goal,1
8,Extra player shot,10.0,2,0,RSA,2.0,SOUTHERN A,8 - 0,188,AUS,3:08,Goal,1
8,5m shot,6.0,2,0,RSA,2.0,KNOX B,8 - 0,133,AUS,2:13,Missed,0
8,Centre shot,4.0,2,1,RSA,2.0,VERSFELD R,8 - 1,114,RSA,1:54,Goal,1
8,5m shot,6.0,2,1,RSA,2.0,KNOX B,8 - 1,49,AUS,0:49,Saved,0
8,Centre shot,4.0,2,1,RSA,2.0,VERSFELD R,8 - 1,37,RSA,0:37,Missed,0
9,Extra player shot,2.0,2,1,RSA,2.0,BEADSWORTH G,9 - 1,9,AUS,0:09,Goal,1
10,Action shot,5.0,2,1,RSA,3.0,GOFERS K,10 - 1,444,AUS,7:24,Goal,1
11,Counter attack,12.0,2,1,RSA,3.0,ZAGAME N,11 - 1,391,AUS,6:31,Goal,1
11,Action shot,3.0,2,1,RSA,3.0,PALEY K,11 - 1,348,RSA,5:48,Blocked,0
12,Penalty shot,5.0,2,1,RSA,3.0,GOFERS K,12 - 1,304,AUS,5:04,Goal,1
13,Counter attack,4.0,2,1,RSA,3.0,LINCOLN-SMITH H,13 - 1,272,AUS,4:32,Goal,1
13,5m shot,5.0,2,1,RSA,3.0,GOFERS K,13 - 1,227,AUS,3:47,Missed,0
14,Extra player shot,5.0,2,1,RSA,3.0,GOFERS K,14 - 1,173,AUS,2:53,Goal,1
14,5m shot,7.0,2,1,RSA,3.0,KAY K,14 - 1,148,RSA,2:28,Post,0
14,5m shot,10.0,2,1,RSA,3.0,SOUTHERN A,14 - 1,127,AUS,2:07,Saved,0
14,5m shot,11.0,2,1,RSA,3.0,O'HANLON D,14 - 1,108,RSA,1:48,Missed,0
15,Action shot,10.0,2,1,RSA,3.0,SOUTHERN A,15 - 1,96,AUS,1:36,Goal,1
15,Extra player shot,10.0,2,1,RSA,3.0,SOUTHERN A,15 - 1,42,AUS,0:42,Saved,0
15,5m shot,12.0,2,1,RSA,3.0,WHITE K,15 - 1,31,RSA,0:31,Saved,0
16,Counter attack,10.0,2,1,RSA,3.0,SOUTHERN A,16 - 1,23,AUS,0:23,Goal,1
16,5m shot,12.0,2,1,RSA,3.0,WHITE K,16 - 1,1,RSA,0:01,Missed,0
16,Counter attack,11.0,2,1,RSA,4.0,HALLIGAN B,16 - 1,405,AUS,6:45,Post,0
17,5m shot,8.0,2,1,RSA,4.0,MCGHIE G,17 - 1,378,AUS,6:18,Goal,1
