Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time,Result,Goal
Action shot,3.0,2,6,AUS,4.0,PROKOFYEVA E,4,6 - 4,462,RUS,7:42,Blocked,0
Extra player shot,4.0,2,6,AUS,4.0,KARIMOVA E,5,6 - 5,423,RUS,7:03,Goal,1
Centre shot,5.0,2,7,AUS,4.0,BISHOP I,5,7 - 5,394,AUS,6:34,Goal,1
5m shot,5.0,2,7,AUS,4.0,BORISOVA M,5,7 - 5,368,RUS,6:08,Saved,0
Action shot,4.0,2,7,AUS,4.0,HALLIGAN B,5,7 - 5,340,AUS,5:40,Blocked,0
Extra player shot,4.0,2,7,AUS,4.0,KARIMOVA E,5,7 - 5,299,RUS,4:59,Missed,0
5m shot,9.0,2,7,AUS,4.0,ARANCINI Z,5,7 - 5,231,AUS,3:51,Missed,0
Action shot,4.0,2,7,AUS,4.0,KARIMOVA E,5,7 - 5,207,RUS,3:27,Blocked,0
Action shot,5.0,2,7,AUS,4.0,BORISOVA M,5,7 - 5,194,RUS,3:14,Saved,0
Action shot,6.0,2,7,AUS,4.0,GORBUNOVA O,5,7 - 5,49,RUS,0:49,Post,0
5m shot,7.0,2,7,AUS,4.0,WEBSTER R,5,7 - 5,21,AUS,0:21,Saved,0
Action shot,5.0,3,0,KAZ,1.0,ZAKIROVA K,0,0 - 0,453,KAZ,7:33,Missed,0
Action shot,12.0,3,0,KAZ,1.0,RYZHKOVA D,1,1 - 0,433,RUS,7:13,Goal,1
Centre shot,11.0,3,1,KAZ,1.0,MIRSHINA A,1,1 - 1,404,KAZ,6:44,Goal,1
Action shot,8.0,3,1,KAZ,1.0,SIMANOVICH A,2,2 - 1,355,RUS,5:55,Goal,1
Action shot,5.0,3,1,KAZ,1.0,ZAKIROVA K,2,2 - 1,305,KAZ,5:05,Missed,0
5m shot,10.0,3,1,KAZ,1.0,MYRZABEKOVA Z,2,2 - 1,277,KAZ,4:37,Saved,0
Action shot,6.0,3,1,KAZ,1.0,GORBUNOVA O,2,2 - 1,258,RUS,4:18,Saved,0
5m shot,3.0,3,1,KAZ,1.0,AKILBAYEVA A,2,2 - 1,225,KAZ,3:45,Post,0
5m shot,12.0,3,1,KAZ,1.0,RYZHKOVA D,2,2 - 1,187,RUS,3:07,Post,0
Action shot,9.0,3,1,KAZ,1.0,TIMOFEEVA A,3,3 - 1,173,RUS,2:53,Goal,1
Centre shot,7.0,3,1,KAZ,1.0,SERZHANTOVA A,3,3 - 1,121,RUS,2:01,Post,0
5m shot,4.0,3,1,KAZ,1.0,TUROVA A,3,3 - 1,104,KAZ,1:44,Saved,0
Action shot,9.0,3,1,KAZ,1.0,TIMOFEEVA A,4,4 - 1,59,RUS,0:59,Goal,1
Action shot,5.0,3,1,KAZ,1.0,ZAKIROVA K,4,4 - 1,19,KAZ,0:19,Saved,0
Penalty shot,7.0,3,1,KAZ,1.0,SERZHANTOVA A,5,5 - 1,4,RUS,0:04,Goal,1
5m shot,5.0,3,1,KAZ,1.0,ZAKIROVA K,5,5 - 1,1,KAZ,0:01,Missed,0
Centre shot,10.0,3,1,KAZ,2.0,MYRZABEKOVA Z,5,5 - 1,436,KAZ,7:16,Missed,0
Action shot,4.0,3,1,KAZ,2.0,KARIMOVA E,6,6 - 1,423,RUS,7:03,Goal,1
