Period,Time,Action,Score,Team,Player,Cap,BRA,Opponent,Seconds,Game,Opponent name,Result,Goal
1.0,3:49,Extra player shot,1 - 3,BRA,COUTINHO G,4.0,1,3,229,6,KAZ,Goal,1
1.0,3:19,Centre shot,1 - 4,KAZ,ALTAYEV A,5.0,1,4,199,6,KAZ,Goal,1
1.0,2:38,5m shot,1 - 4,KAZ,TURLYKHANOV B,12.0,1,4,158,6,KAZ,Saved,0
1.0,2:13,5m shot,1 - 4,BRA,GUIMARAES G,11.0,1,4,133,6,KAZ,Saved,0
1.0,0:27,Extra player shot,1 - 4,BRA,COUTINHO G,4.0,1,4,27,6,KAZ,Blocked,0
1.0,0:01,5m shot,1 - 4,KAZ,SHAKENOV M,7.0,1,4,1,6,KAZ,Saved,0
2.0,7:35,5m shot,1 - 4,KAZ,TURLYKHANOV B,12.0,1,4,455,6,KAZ,Saved,0
2.0,6:32,Action shot,1 - 4,KAZ,MEDVEDEV Y,2.0,1,4,392,6,KAZ,Saved,0
2.0,6:13,Centre shot,1 - 5,KAZ,RUDAY M,10.0,1,5,373,6,KAZ,Goal,1
2.0,5:10,Action shot,1 - 5,KAZ,MEDVEDEV Y,2.0,1,5,310,6,KAZ,Post,0
2.0,4:57,5m shot,1 - 5,KAZ,UKUMANOV R,9.0,1,5,297,6,KAZ,Post,0
2.0,4:16,Extra player shot,2 - 5,BRA,ALMEIDA G,3.0,2,5,256,6,KAZ,Goal,1
2.0,3:04,Action shot,2 - 5,KAZ,SHAKENOV M,7.0,2,5,184,6,KAZ,Saved,0
2.0,2:13,Action shot,2 - 6,KAZ,UKUMANOV R,9.0,2,6,133,6,KAZ,Goal,1
2.0,1:00,Extra player shot,3 - 6,BRA,CARRULO H,10.0,3,6,60,6,KAZ,Goal,1
3.0,7:31,5m shot,3 - 6,KAZ,TURLYKHANOV B,12.0,3,6,451,6,KAZ,Missed,0
3.0,6:51,Extra player shot,3 - 6,BRA,FREITAS R,12.0,3,6,411,6,KAZ,Saved,0
3.0,6:05,Action shot,3 - 6,KAZ,SHMIDER A,6.0,3,6,365,6,KAZ,Blocked,0
3.0,5:22,5m shot,3 - 6,BRA,GUIMARAES G,11.0,3,6,322,6,KAZ,Missed,0
3.0,3:58,5m shot,3 - 6,KAZ,UKUMANOV R,9.0,3,6,238,6,KAZ,Missed,0
3.0,3:29,5m shot,3 - 6,BRA,CRUZ A,2.0,3,6,209,6,KAZ,Saved,0
3.0,2:22,Action shot,3 - 6,KAZ,MEDVEDEV Y,2.0,3,6,142,6,KAZ,Missed,0
3.0,1:56,Action shot,3 - 6,BRA,GUIMARAES G,11.0,3,6,116,6,KAZ,Missed,0
3.0,1:12,5m shot,3 - 6,BRA,COUTINHO G,4.0,3,6,72,6,KAZ,Missed,0
3.0,0:39,Extra player shot,3 - 7,KAZ,SHMIDER A,6.0,3,7,39,6,KAZ,Goal,1
3.0,0:09,Action shot,3 - 7,BRA,ROCHA B,9.0,3,7,9,6,KAZ,Blocked,0
4.0,7:31,Extra player shot,3 - 7,BRA,STELLET P,7.0,3,7,451,6,KAZ,Post,0
4.0,7:09,5m shot,3 - 7,KAZ,UKUMANOV R,9.0,3,7,429,6,KAZ,Saved,0
4.0,5:56,5m shot,3 - 7,BRA,CRUZ A,2.0,3,7,356,6,KAZ,Saved,0
4.0,5:45,Extra player shot,4 - 7,BRA,CRUZ A,2.0,4,7,345,6,KAZ,Goal,1
4.0,4:42,5m shot,5 - 7,BRA,COUTINHO G,4.0,5,7,282,6,KAZ,Goal,1
4.0,3:35,Extra player shot,5 - 8,KAZ,SHAKENOV M,7.0,5,8,215,6,KAZ,Goal,1
4.0,2:44,Counter attack,5 - 8,BRA,STELLET P,7.0,5,8,164,6,KAZ,Saved,0
4.0,1:57,Action shot,5 - 8,BRA,GUIMARAES R,6.0,5,8,117,6,KAZ,Missed,0
4.0,1:28,5m shot,5 - 8,KAZ,MEDVEDEV Y,2.0,5,8,88,6,KAZ,Post,0
4.0,0:58,Action shot,5 - 9,KAZ,SHAKENOV M,7.0,5,9,58,6,KAZ,Goal,1
4.0,0:24,Extra player shot,5 - 9,KAZ,SHAKENOV M,7.0,5,9,24,6,KAZ,Missed,0
4.0,0:13,Action shot,5 - 9,BRA,COUTINHO G,4.0,5,9,13,6,KAZ,Saved,0
