Period,Time,Action,Score,Team,Player,Cap,BRA,Opponent,Seconds,Game,Opponent name,Result,Goal
1.0,5:07,5m shot,0 - 1,BRA,FREITAS R,12.0,0,1,307,2,MNE,Post,0
1.0,4:39,Centre shot,0 - 2,MNE,MISIC S,10.0,0,2,279,2,MNE,Goal,1
1.0,4:15,Centre shot,0 - 2,BRA,SILVA L,5.0,0,2,255,2,MNE,Saved,0
1.0,3:51,Centre shot,0 - 2,MNE,MISIC S,10.0,0,2,231,2,MNE,Missed,0
1.0,3:28,Centre shot,0 - 2,BRA,COUTINHO G,4.0,0,2,208,2,MNE,Saved,0
1.0,2:30,Extra player shot,0 - 2,MNE,UKROPINA A,8.0,0,2,150,2,MNE,Saved,0
1.0,1:53,Action shot,0 - 2,MNE,DRASKOVIC D,7.0,0,2,113,2,MNE,Saved,0
1.0,1:28,Penalty shot,0 - 3,MNE,RADOVIC A,6.0,0,3,88,2,MNE,Goal,1
1.0,0:01,Action shot,0 - 4,MNE,PETKOVIC M,4.0,0,4,1,2,MNE,Goal,1
2.0,7:32,5m shot,1 - 4,BRA,GUIMARAES G,11.0,1,4,452,2,MNE,Goal,1
2.0,7:13,Centre shot,1 - 4,MNE,MURISIC N,12.0,1,4,433,2,MNE,Missed,0
2.0,6:44,Action shot,1 - 4,BRA,COUTINHO G,4.0,1,4,404,2,MNE,Saved,0
2.0,5:52,Action shot,1 - 4,MNE,BRGULJAN D,5.0,1,4,352,2,MNE,Saved,0
2.0,5:52,Action shot,1 - 5,MNE,BANICEVIC B,3.0,1,5,352,2,MNE,Goal,1
2.0,5:23,Action shot,1 - 5,BRA,GUIMARAES G,11.0,1,5,323,2,MNE,Saved,0
2.0,4:21,Action shot,1 - 5,BRA,COUTINHO G,4.0,1,5,261,2,MNE,Post,0
2.0,3:57,5m shot,1 - 5,MNE,CUCKOVIC U,11.0,1,5,237,2,MNE,Blocked,0
2.0,3:07,Centre shot,1 - 5,MNE,MURISIC N,12.0,1,5,187,2,MNE,Saved,0
2.0,2:00,5m shot,2 - 5,BRA,COUTINHO G,4.0,2,5,120,2,MNE,Goal,1
2.0,1:32,5m shot,2 - 6,MNE,DRASKOVIC D,7.0,2,6,92,2,MNE,Goal,1
2.0,0:37,5m shot,2 - 6,MNE,DRASKOVIC D,7.0,2,6,37,2,MNE,Saved,0
2.0,0:01,Centre shot,2 - 7,MNE,PETKOVIC M,4.0,2,7,1,2,MNE,Goal,1
4.0,1:34,5m shot,5 - 14,MNE,RADOVIC A,6.0,5,14,94,2,MNE,Goal,1
3.0,6:47,5m shot,5 - 14,MNE,RADOVIC A,6.0,5,14,407,2,MNE,Post,0
3.0,6:09,Action shot,3 - 7,BRA,GUIMARAES G,11.0,3,7,369,2,MNE,Goal,1
3.0,5:49,Extra player shot,3 - 8,MNE,RADOVIC D,9.0,3,8,349,2,MNE,Goal,1
3.0,3:34,5m shot,3 - 8,BRA,CRUZ A,2.0,3,8,214,2,MNE,Blocked,0
3.0,3:16,Extra player shot,3 - 9,MNE,CUCKOVIC U,11.0,3,9,196,2,MNE,Goal,1
3.0,2:52,5m shot,3 - 9,BRA,GUIMARAES G,11.0,3,9,172,2,MNE,Blocked,0
3.0,2:04,5m shot,3 - 9,BRA,GUIMARAES G,11.0,3,9,124,2,MNE,Saved,0
3.0,1:36,Action shot,3 - 9,BRA,FREITAS R,12.0,3,9,96,2,MNE,Blocked,0
3.0,1:21,Centre shot,3 - 10,MNE,BRGULJAN D,5.0,3,10,81,2,MNE,Goal,1
3.0,0:58,Action shot,4 - 10,BRA,CARRULO H,10.0,4,10,58,2,MNE,Goal,1
3.0,0:33,5m shot,4 - 11,MNE,BRGULJAN D,5.0,4,11,33,2,MNE,Goal,1
3.0,0:01,5m shot,4 - 11,MNE,UKROPINA A,8.0,4,11,1,2,MNE,Saved,0
4.0,7:02,5m shot,4 - 11,BRA,COUTINHO G,4.0,4,11,422,2,MNE,Post,0
4.0,6:33,Centre shot,4 - 12,MNE,DRASKOVIC D,7.0,4,12,393,2,MNE,Goal,1
4.0,6:07,5m shot,4 - 12,BRA,GUIMARAES G,11.0,4,12,367,2,MNE,Saved,0
4.0,5:41,Action shot,4 - 12,MNE,MURISIC N,12.0,4,12,341,2,MNE,Missed,0
4.0,4:57,Action shot,4 - 12,MNE,BANICEVIC B,3.0,4,12,297,2,MNE,Post,0
4.0,3:37,Extra player shot,4 - 12,MNE,BRGULJAN D,5.0,4,12,217,2,MNE,Missed,0
4.0,3:17,5m shot,4 - 12,BRA,COUTINHO G,4.0,4,12,197,2,MNE,Post,0
4.0,3:02,Penalty shot,4 - 13,MNE,RADOVIC A,6.0,4,13,182,2,MNE,Goal,1
4.0,2:34,5m shot,5 - 13,BRA,ALMEIDA G,3.0,5,13,154,2,MNE,Goal,1
4.0,0:53,Action shot,5 - 13,BRA,ALMEIDA G,3.0,5,13,53,2,MNE,Missed,0
4.0,0:37,Action shot,5 - 13,MNE,PETKOVIC M,4.0,5,13,37,2,MNE,Saved,0
4.0,0:09,5m shot,5 - 13,BRA,ALMEIDA G,3.0,5,13,9,2,MNE,Saved,0
4.0,0:01,5m shot,5 - 13,MNE,BRGULJAN D,5.0,5,13,1,2,MNE,Missed,0
1.0,6:43,5m shot,0 - 0,CAN,TORAKIS G,11.0,0,0,403,3,CAN,Missed,0
1.0,6:15,5m shot,0 - 0,BRA,ROCHA B,9.0,0,0,375,3,CAN,Missed,0
1.0,5:36,Extra player shot,0 - 0,CAN,ROBINSON S,6.0,0,0,336,3,CAN,Saved,0
1.0,4:54,Extra player shot,1 - 0,BRA,FREITAS R,12.0,1,0,294,3,CAN,Goal,1
1.0,4:31,Action shot,1 - 0,CAN,THUMWOOD D,12.0,1,0,271,3,CAN,Post,0
1.0,4:29,Centre shot,1 - 1,CAN,CONSTANTIN-BICARI,4.0,1,1,269,3,CAN,Goal,1
1.0,4:02,5m shot,1 - 1,BRA,GUIMARAES G,11.0,1,1,242,3,CAN,Missed,0
1.0,2:54,Extra player shot,1 - 1,BRA,STELLET M,8.0,1,1,174,3,CAN,Saved,0
1.0,2:04,5m shot,1 - 1,BRA,COUTINHO G,4.0,1,1,124,3,CAN,Post,0
1.0,1:24,Extra player shot,1 - 2,CAN,THUMWOOD D,12.0,1,2,84,3,CAN,Goal,1
1.0,0:53,5m shot,1 - 2,BRA,CRUZ A,2.0,1,2,53,3,CAN,Saved,0
1.0,0:29,Centre shot,1 - 2,CAN,CONSTANTIN-BICARI,4.0,1,2,29,3,CAN,Saved,0
2.0,7:36,Action shot,1 - 2,CAN,TORAKIS G,11.0,1,2,456,3,CAN,Saved,0
2.0,6:57,Action shot,1 - 2,BRA,GUIMARAES G,11.0,1,2,417,3,CAN,Post,0
2.0,6:33,5m shot,1 - 2,CAN,LAPINS D,8.0,1,2,393,3,CAN,Blocked,0
2.0,5:47,Action shot,1 - 3,CAN,TORAKIS G,11.0,1,3,347,3,CAN,Goal,1
2.0,5:24,Penalty shot,2 - 3,BRA,GUIMARAES G,11.0,2,3,324,3,CAN,Goal,1
2.0,4:42,5m shot,3 - 3,BRA,COUTINHO G,4.0,3,3,282,3,CAN,Goal,1
2.0,4:15,Action shot,3 - 4,CAN,D'SOUZA R,7.0,3,4,255,3,CAN,Goal,1
2.0,4:00,Centre shot,4 - 4,BRA,STELLET P,7.0,4,4,240,3,CAN,Goal,1
2.0,3:30,Action shot,4 - 4,CAN,ROBINSON S,6.0,4,4,210,3,CAN,Missed,0
2.0,3:08,Centre shot,4 - 4,BRA,SILVA L,5.0,4,4,188,3,CAN,Post,0
2.0,2:37,5m shot,4 - 4,CAN,TORAKIS G,11.0,4,4,157,3,CAN,Saved,0
2.0,2:03,Extra player shot,4 - 4,CAN,THUMWOOD D,12.0,4,4,123,3,CAN,Saved,0
2.0,0:22,5m shot,4 - 4,CAN,D'SOUZA R,7.0,4,4,22,3,CAN,Missed,0
2.0,0:01,5m shot,4 - 4,BRA,GUIMARAES G,11.0,4,4,1,3,CAN,Post,0
3.0,7:19,Extra player shot,5 - 4,BRA,CRUZ A,2.0,5,4,439,3,CAN,Goal,1
3.0,6:38,Centre shot,5 - 5,CAN,HALAJIAN M,5.0,5,5,398,3,CAN,Goal,1
3.0,5:52,5m shot,5 - 5,BRA,FREITAS R,12.0,5,5,352,3,CAN,Missed,0
3.0,5:26,Action shot,5 - 5,CAN,HALAJIAN M,5.0,5,5,326,3,CAN,Missed,0
3.0,4:19,5m shot,5 - 5,BRA,ROCHA B,9.0,5,5,259,3,CAN,Saved,0
3.0,4:04,5m shot,5 - 5,CAN,D'SOUZA R,7.0,5,5,244,3,CAN,Saved,0
3.0,3:40,5m shot,5 - 5,BRA,COUTINHO G,4.0,5,5,220,3,CAN,Blocked,0
3.0,3:12,Action shot,5 - 5,BRA,COUTINHO G,4.0,5,5,192,3,CAN,Missed,0
3.0,2:46,Extra player shot,5 - 6,CAN,SOLEIMANIPAK A,10.0,5,6,166,3,CAN,Goal,1
3.0,2:21,5m shot,5 - 6,BRA,COUTINHO G,4.0,5,6,141,3,CAN,Missed,0
3.0,1:14,Centre shot,5 - 6,CAN,LAPINS D,8.0,5,6,74,3,CAN,Post,0
3.0,0:40,Action shot,5 - 6,BRA,CRUZ A,2.0,5,6,40,3,CAN,Saved,0
3.0,0:03,Extra player shot,5 - 6,CAN,SOLEIMANIPAK A,10.0,5,6,3,3,CAN,Saved,0
4.0,7:02,Action shot,5 - 6,BRA,CRUZ A,2.0,5,6,422,3,CAN,Blocked,0
4.0,6:30,Extra player shot,5 - 6,CAN,ROBINSON S,6.0,5,6,390,3,CAN,Blocked,0
4.0,6:05,5m shot,5 - 6,BRA,GUIMARAES G,11.0,5,6,365,3,CAN,Saved,0
4.0,5:44,Centre shot,5 - 6,CAN,CONSTANTIN-BICARI,4.0,5,6,344,3,CAN,Missed,0
4.0,5:06,Extra player shot,6 - 6,BRA,COUTINHO G,4.0,6,6,306,3,CAN,Goal,1
4.0,4:46,Centre shot,6 - 6,CAN,CONSTANTIN-BICARI,4.0,6,6,286,3,CAN,Blocked,0
4.0,4:17,5m shot,6 - 6,BRA,FREITAS R,12.0,6,6,257,3,CAN,Saved,0
4.0,3:50,Action shot,6 - 6,CAN,THUMWOOD D,12.0,6,6,230,3,CAN,Saved,0
4.0,3:28,Centre shot,6 - 6,BRA,GUIMARAES G,11.0,6,6,208,3,CAN,Saved,0
4.0,3:03,Action shot,6 - 6,CAN,ROBINSON S,6.0,6,6,183,3,CAN,Missed,0
4.0,2:35,5m shot,6 - 6,BRA,FREITAS R,12.0,6,6,155,3,CAN,Saved,0
4.0,1:59,Action shot,6 - 6,BRA,FREITAS R,12.0,6,6,119,3,CAN,Missed,0
4.0,1:37,Action shot,6 - 6,CAN,ROBINSON S,6.0,6,6,97,3,CAN,Post,0
4.0,0:23,Action shot,6 - 6,CAN,SOLEIMANIPAK A,10.0,6,6,23,3,CAN,Blocked,0
4.0,0:01,Action shot,6 - 6,BRA,GUIMARAES G,11.0,6,6,1,3,CAN,Saved,0
1.0,7:34,Action shot,0 - 0,AUS,FORD A,9.0,0,0,454,4,AUS,Missed,0
1.0,7:15,5m shot,0 - 0,BRA,COUTINHO G,4.0,0,0,435,4,AUS,Blocked,0
1.0,6:45,Action shot,0 - 0,AUS,YOUNGER A,8.0,0,0,405,4,AUS,Saved,0
1.0,6:22,Action shot,1 - 0,BRA,FREITAS R,12.0,1,0,382,4,AUS,Goal,1
1.0,5:04,Action shot,1 - 1,AUS,KAYES J,4.0,1,1,304,4,AUS,Goal,1
1.0,4:34,Action shot,1 - 1,BRA,COUTINHO G,4.0,1,1,274,4,AUS,Blocked,0
1.0,3:59,Extra player shot,1 - 2,AUS,KAYES J,4.0,1,2,239,4,AUS,Goal,1
1.0,3:33,5m shot,1 - 2,BRA,FREITAS R,12.0,1,2,213,4,AUS,Post,0
1.0,1:58,Extra player shot,2 - 2,BRA,GUIMARAES G,11.0,2,2,118,4,AUS,Goal,1
1.0,1:42,Penalty shot,2 - 2,AUS,YOUNGER A,8.0,2,2,102,4,AUS,Post,0
1.0,0:05,Extra player shot,2 - 2,AUS,KAYES J,4.0,2,2,5,4,AUS,Post,0
2.0,7:16,Action shot,2 - 2,BRA,STELLET P,7.0,2,2,436,4,AUS,Saved,0
2.0,6:22,Action shot,2 - 2,BRA,STELLET M,8.0,2,2,382,4,AUS,Missed,0
2.0,5:24,Action shot,2 - 2,BRA,STELLET P,7.0,2,2,324,4,AUS,Missed,0
2.0,3:46,Action shot,2 - 3,AUS,POWER N,5.0,2,3,226,4,AUS,Goal,1
2.0,3:10,Counter attack,2 - 4,AUS,FANNON J,10.0,2,4,190,4,AUS,Goal,1
2.0,1:52,5m shot,2 - 4,BRA,COUTINHO G,4.0,2,4,112,4,AUS,Post,0
2.0,1:07,5m shot,2 - 4,BRA,GUIMARAES G,11.0,2,4,67,4,AUS,Saved,0
4.0,0:16,5m shot,3 - 8,AUS,FANNON J,10.0,3,8,16,4,AUS,Goal,1
3.0,6:48,Action shot,3 - 8,AUS,GILCHRIST J,7.0,3,8,408,4,AUS,Blocked,0
3.0,6:05,Extra player shot,2 - 5,AUS,GILCHRIST J,7.0,2,5,365,4,AUS,Goal,1
3.0,5:22,Extra player shot,2 - 5,BRA,GUIMARAES G,11.0,2,5,322,4,AUS,Blocked,0
3.0,4:32,Action shot,2 - 6,AUS,FORD A,9.0,2,6,272,4,AUS,Goal,1
3.0,4:05,Action shot,2 - 6,BRA,CRUZ A,2.0,2,6,245,4,AUS,Saved,0
3.0,3:10,5m shot,2 - 6,AUS,YOUNGER A,8.0,2,6,190,4,AUS,Saved,0
3.0,2:10,Extra player shot,2 - 6,AUS,FORD A,9.0,2,6,130,4,AUS,Post,0
3.0,1:44,Action shot,2 - 6,BRA,GUIMARAES G,11.0,2,6,104,4,AUS,Saved,0
3.0,1:26,Extra player shot,2 - 6,AUS,YOUNGER A,8.0,2,6,86,4,AUS,Saved,0
3.0,1:26,Penalty shot,2 - 6,AUS,FORD A,9.0,2,6,86,4,AUS,Post,0
3.0,0:35,Action shot,2 - 6,BRA,GUIMARAES G,11.0,2,6,35,4,AUS,Saved,0
3.0,0:03,Extra player shot,3 - 6,BRA,GUIMARAES G,11.0,3,6,3,4,AUS,Goal,1
3.0,0:01,5m shot,3 - 6,AUS,YOUNGER A,8.0,3,6,1,4,AUS,Saved,0
4.0,7:35,5m shot,3 - 6,AUS,YOUNGER A,8.0,3,6,455,4,AUS,Blocked,0
4.0,6:30,Extra player shot,3 - 6,AUS,FORD A,9.0,3,6,390,4,AUS,Blocked,0
4.0,6:01,Action shot,3 - 6,BRA,SILVA L,5.0,3,6,361,4,AUS,Saved,0
4.0,5:32,5m shot,3 - 6,AUS,YOUNGER A,8.0,3,6,332,4,AUS,Blocked,0
