Period,Time,Action,Score,Team,Player,Cap,BRA,Opponent,Seconds,Game,Opponent name
1.0,2:17,Turnover foul,1 - 0,KAZ,MEDVEDEV Y,2.0,1,0,137,1,KAZ
1.0,2:17,Steal,1 - 0,BRA,CRUZ A,2.0,1,0,137,1,KAZ
1.0,1:58,Turnover foul,1 - 0,BRA,COUTINHO G,4.0,1,0,118,1,KAZ
1.0,1:38,Turnover foul,1 - 0,KAZ,UKUMANOV R,9.0,1,0,98,1,KAZ
1.0,1:38,Steal,1 - 0,BRA,GUIMARAES G,11.0,1,0,98,1,KAZ
1.0,1:38,20 sec. exclusion in field,1 - 0,KAZ,PILIPENKO R,4.0,1,0,98,1,KAZ
1.0,1:38,Time-Out,1 - 0,BRA,,,1,0,98,1,KAZ
1.0,1:08,Action shot - Saved,1 - 0,BRA,CRUZ A,2.0,1,0,68,1,KAZ
1.0,0:59,Action shot - Saved,1 - 0,BRA,CRUZ A,2.0,1,0,59,1,KAZ
1.0,0:46,Steal,1 - 0,BRA,GUIMARAES G,11.0,1,0,46,1,KAZ
1.0,0:41,Turnover foul,1 - 0,BRA,SORO S,1.0,1,0,41,1,KAZ
1.0,0:37,Action shot - Saved,1 - 0,KAZ,TURLYKHANOV B,12.0,1,0,37,1,KAZ
