Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,12.0,2,0,1,ESP,1.0,LOPEZ L,1 - 0,224,ESP,3:44,Post,0
Extra player shot,8.0,2,0,1,ESP,1.0,LOPES DA SILVA C,1 - 0,189,NZL,3:09,Saved,0
Action shot,3.0,2,0,1,ESP,1.0,ESPAR A,1 - 0,173,ESP,2:53,Blocked,0
Action shot,3.0,2,0,2,ESP,1.0,ESPAR A,2 - 0,79,ESP,1:19,Goal,1
Extra player shot,12.0,2,0,2,ESP,1.0,MYLES J,2 - 0,53,NZL,0:53,Blocked,0
Extra player shot,12.0,2,0,3,ESP,1.0,LOPEZ L,3 - 0,28,ESP,0:28,Goal,1
Extra player shot,11.0,2,0,4,ESP,2.0,GARCIA M,4 - 0,446,ESP,7:26,Goal,1
5m shot,4.0,2,0,4,ESP,2.0,LEWIS D,4 - 0,416,NZL,6:56,Missed,0
Action shot,4.0,2,0,4,ESP,2.0,LEITON P,4 - 0,404,ESP,6:44,Missed,0
5m shot,12.0,2,0,4,ESP,2.0,MYLES J,4 - 0,379,NZL,6:19,Post,0
5m shot,10.0,2,0,5,ESP,2.0,TARRAGO R,5 - 0,353,ESP,5:53,Goal,1
5m shot,6.0,2,0,5,ESP,2.0,LANDRY S,5 - 0,338,NZL,5:38,Saved,0
Extra player shot,6.0,2,0,6,ESP,2.0,PAREJA J,6 - 0,317,ESP,5:17,Goal,1
Counter attack,6.0,2,0,7,ESP,2.0,PAREJA J,7 - 0,284,ESP,4:44,Goal,1
5m shot,12.0,2,0,7,ESP,2.0,LOPEZ L,7 - 0,254,ESP,4:14,Saved,0
5m shot,7.0,2,0,7,ESP,2.0,CHASE M,7 - 0,222,NZL,3:42,Saved,0
Extra player shot,12.0,2,0,8,ESP,2.0,LOPEZ L,8 - 0,170,ESP,2:50,Goal,1
Extra player shot,8.0,2,1,8,ESP,2.0,LOPES DA SILVA C,8 - 1,124,NZL,2:04,Goal,1
5m shot,11.0,2,1,8,ESP,2.0,HUDSON K,8 - 1,72,NZL,1:12,Saved,0
Extra player shot,10.0,2,1,9,ESP,2.0,TARRAGO R,9 - 1,33,ESP,0:33,Goal,1
5m shot,3.0,2,1,9,ESP,4.0,ESPAR A,9 - 1,121,ESP,2:01,Saved,0
5m shot,10.0,2,2,22,ESP,4.0,TARRAGO R,22 - 2,63,ESP,1:03,Goal,1
Extra player shot,10.0,2,1,10,ESP,2.0,TARRAGO R,10 - 1,4,ESP,0:04,Goal,1
Action shot,6.0,2,1,10,ESP,3.0,PAREJA J,10 - 1,456,ESP,7:36,Saved,0
Extra player shot,8.0,2,1,10,ESP,3.0,PENA P,10 - 1,395,ESP,6:35,Saved,0
5m shot,11.0,2,1,10,ESP,3.0,HUDSON K,10 - 1,367,NZL,6:07,Saved,0
Centre shot,12.0,2,1,11,ESP,3.0,LOPEZ L,11 - 1,335,ESP,5:35,Goal,1
Extra player shot,4.0,2,2,11,ESP,3.0,LEWIS D,11 - 2,297,NZL,4:57,Goal,1
5m shot,12.0,2,2,11,ESP,3.0,LOPEZ L,11 - 2,268,ESP,4:28,Missed,0
