Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,12.0,3,1,10,KAZ,3.0,MYLES J,10 - 1,155,NZL,2:35,Saved,0
Action shot,2.0,3,1,10,KAZ,3.0,LEWIS N,10 - 1,143,NZL,2:23,Saved,0
Action shot,8.0,3,1,10,KAZ,3.0,SAICHUK O,10 - 1,93,KAZ,1:33,Blocked,0
Action shot,8.0,3,1,10,KAZ,3.0,LOPES DA SILVA C,10 - 1,48,NZL,0:48,Saved,0
Action shot,5.0,3,1,11,KAZ,3.0,ZAKIROVA K,11 - 1,22,KAZ,0:22,Goal,1
Centre shot,2.0,3,1,11,KAZ,3.0,LEWIS N,11 - 1,2,NZL,0:02,Missed,0
Action shot,10.0,3,1,11,KAZ,4.0,ROGA D,11 - 1,455,KAZ,7:35,Saved,0
Counter attack,4.0,3,2,11,KAZ,4.0,LEWIS D,11 - 2,445,NZL,7:25,Goal,1
5m shot,2.0,3,2,11,KAZ,4.0,YEGEMBERDIYEVA A,11 - 2,415,KAZ,6:55,Missed,0
Centre shot,4.0,3,3,11,KAZ,4.0,LEWIS D,11 - 3,404,NZL,6:44,Goal,1
Action shot,11.0,3,3,11,KAZ,4.0,MIRSHINA A,11 - 3,388,KAZ,6:28,Saved,0
Counter attack,11.0,3,3,11,KAZ,4.0,MIRSHINA A,11 - 3,356,KAZ,5:56,Post,0
Action shot,8.0,3,3,11,KAZ,4.0,LOPES DA SILVA C,11 - 3,328,NZL,5:28,Post,0
Centre shot,7.0,3,3,11,KAZ,4.0,MYRZABEKOVA Z,11 - 3,306,KAZ,5:06,Saved,0
Action shot,8.0,3,4,11,KAZ,4.0,LOPES DA SILVA C,11 - 4,294,NZL,4:54,Goal,1
Action shot,3.0,3,4,12,KAZ,4.0,AKILBAYEVA A,12 - 4,282,KAZ,4:42,Goal,1
Action shot,6.0,3,4,12,KAZ,4.0,LANDRY S,12 - 4,255,NZL,4:15,Saved,0
Extra player shot,3.0,3,4,13,KAZ,4.0,AKILBAYEVA A,13 - 4,239,KAZ,3:59,Goal,1
