AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
4,Action shot,4.0,3,4,HUN,2.0,COTTERILL J,4 - 4,234,AUS,3:54,Missed,0
4,Centre shot,12.0,3,4,HUN,2.0,HARAI B,4 - 4,209,HUN,3:29,Saved,0
4,5m shot,5.0,3,4,HUN,2.0,POWER N,4 - 4,180,AUS,3:00,Post,0
4,Action shot,5.0,3,4,HUN,2.0,POWER N,4 - 4,150,AUS,2:30,Missed,0
4,Action shot,2.0,3,4,HUN,2.0,GOR-NAGY M,4 - 4,123,HUN,2:03,Saved,0
4,Action shot,8.0,3,4,HUN,2.0,YOUNGER A,4 - 4,96,AUS,1:36,Saved,0
4,5m shot,2.0,3,4,HUN,2.0,CAMPBELL R,4 - 4,1,AUS,0:01,Missed,0
4,5m shot,3.0,3,4,HUN,3.0,MADARAS N,4 - 4,421,HUN,7:01,Saved,0
5,Action shot,8.0,3,4,HUN,3.0,YOUNGER A,4 - 5,385,AUS,6:25,Goal,1
5,Action shot,7.0,3,4,HUN,3.0,ROACH A,4 - 5,342,AUS,5:42,Saved,0
5,Extra player shot,5.0,3,5,HUN,3.0,VAMOS M,5 - 5,319,HUN,5:19,Goal,1
5,Action shot,2.0,3,5,HUN,3.0,CAMPBELL R,5 - 5,289,AUS,4:49,Blocked,0
5,Centre shot,4.0,3,5,HUN,3.0,COTTERILL J,5 - 5,207,AUS,3:27,Saved,0
5,Extra player shot,9.0,3,6,HUN,3.0,VARGA D,6 - 5,122,HUN,2:02,Goal,1
5,Action shot,5.0,3,6,HUN,3.0,POWER N,6 - 5,92,AUS,1:32,Saved,0
6,Extra player shot,2.0,3,6,HUN,3.0,CAMPBELL R,6 - 6,61,AUS,1:01,Goal,1
6,Action shot,10.0,3,7,HUN,3.0,VARGA D,7 - 6,32,HUN,0:32,Goal,1
7,5m shot,2.0,3,7,HUN,3.0,CAMPBELL R,7 - 7,7,AUS,0:07,Goal,1
7,5m shot,8.0,3,7,HUN,3.0,SZIVOS M,7 - 7,2,HUN,0:02,Saved,0
7,Action shot,8.0,3,7,HUN,4.0,SZIVOS M,7 - 7,432,HUN,7:12,Post,0
7,Action shot,2.0,3,7,HUN,4.0,CAMPBELL R,7 - 7,382,AUS,6:22,Post,0
7,5m shot,3.0,3,7,HUN,4.0,MADARAS N,7 - 7,358,HUN,5:58,Saved,0
7,Centre shot,10.0,3,8,HUN,4.0,VARGA D,8 - 7,340,HUN,5:40,Goal,1
7,Action shot,2.0,3,8,HUN,4.0,CAMPBELL R,8 - 7,313,AUS,5:13,Saved,0
8,Extra player shot,2.0,3,8,HUN,4.0,CAMPBELL R,8 - 8,286,AUS,4:46,Goal,1
8,Action shot,9.0,3,8,HUN,4.0,VARGA D,8 - 8,257,HUN,4:17,Saved,0
8,Action shot,12.0,3,8,HUN,4.0,MILLER W,8 - 8,228,AUS,3:48,Blocked,0
8,Action shot,12.0,3,8,HUN,4.0,MILLER W,8 - 8,206,AUS,3:26,Blocked,0
8,Action shot,5.0,3,9,HUN,4.0,VAMOS M,9 - 8,139,HUN,2:19,Goal,1
9,5m shot,2.0,3,9,HUN,4.0,CAMPBELL R,9 - 9,117,AUS,1:57,Goal,1
9,Extra player shot,5.0,3,9,HUN,4.0,VAMOS M,9 - 9,66,HUN,1:06,Missed,0
9,Extra player shot,9.0,3,9,HUN,4.0,VARGA D,9 - 9,4,HUN,0:04,Blocked,0
9,5m shot,7.0,3,9,HUN,4.0,ROACH A,9 - 9,1,AUS,0:01,Missed,0
1,Action shot,11.0,4,0,GER,1.0,HOWDEN R,0 - 1,409,AUS,6:49,Goal,1
1,5m shot,4.0,4,0,GER,1.0,REAL J,0 - 1,381,GER,6:21,Saved,0
2,Action shot,8.0,4,0,GER,1.0,YOUNGER A,0 - 2,300,AUS,5:00,Goal,1
2,Extra player shot,8.0,4,0,GER,1.0,SCHUELER P,0 - 2,265,GER,4:25,Post,0
2,5m shot,9.0,4,0,GER,1.0,STAMM M,0 - 2,208,GER,3:28,Saved,0
2,Action shot,11.0,4,0,GER,1.0,HOWDEN R,0 - 2,179,AUS,2:59,Saved,0
2,5m shot,8.0,4,0,GER,1.0,SCHUELER P,0 - 2,92,GER,1:32,Blocked,0
2,5m shot,10.0,4,0,GER,1.0,OELER M,0 - 2,7,GER,0:07,Saved,0
2,5m shot,13.0,4,0,GER,1.0,CLARK J,0 - 2,1,AUS,0:01,Saved,0
2,Centre shot,9.0,4,0,GER,2.0,SWIFT J,0 - 2,456,AUS,7:36,Missed,0
2,Extra player shot,7.0,4,1,GER,2.0,NOSSEK H,1 - 2,424,GER,7:04,Goal,1
2,5m shot,12.0,4,1,GER,2.0,MILLER W,1 - 2,398,AUS,6:38,Missed,0
2,Action shot,4.0,4,1,GER,2.0,REAL J,1 - 2,367,GER,6:07,Saved,0
2,5m shot,2.0,4,1,GER,2.0,CAMPBELL R,1 - 2,340,AUS,5:40,Post,0
3,Action shot,11.0,4,1,GER,2.0,HOWDEN R,1 - 3,301,AUS,5:01,Goal,1
3,Extra player shot,7.0,4,2,GER,2.0,NOSSEK H,2 - 3,279,GER,4:39,Goal,1
3,5m shot,8.0,4,2,GER,2.0,SCHUELER P,2 - 3,230,GER,3:50,Blocked,0
3,5m shot,8.0,4,2,GER,2.0,YOUNGER A,2 - 3,202,AUS,3:22,Saved,0
3,Centre shot,2.0,4,2,GER,2.0,CAMPBELL R,2 - 3,187,AUS,3:07,Post,0
3,Action shot,10.0,4,2,GER,2.0,OELER M,2 - 3,169,GER,2:49,Saved,0
4,Extra player shot,4.0,4,2,GER,2.0,COTTERILL J,2 - 4,129,AUS,2:09,Goal,1
4,5m shot,7.0,4,2,GER,2.0,NOSSEK H,2 - 4,100,GER,1:40,Saved,0
4,Action shot,7.0,4,2,GER,2.0,NOSSEK H,2 - 4,42,GER,0:42,Saved,0
4,Action shot,12.0,4,2,GER,2.0,MILLER W,2 - 4,12,AUS,0:12,Saved,0
4,Action shot,11.0,4,2,GER,3.0,HOWDEN R,2 - 4,451,AUS,7:31,Post,0
4,5m shot,7.0,4,2,GER,3.0,NOSSEK H,2 - 4,425,GER,7:05,Blocked,0
4,Action shot,2.0,4,2,GER,3.0,BUKOWSKI E,2 - 4,376,GER,6:16,Blocked,0
4,Action shot,11.0,4,2,GER,3.0,HOWDEN R,2 - 4,350,AUS,5:50,Saved,0
4,Centre shot,9.0,4,2,GER,3.0,SWIFT J,2 - 4,328,AUS,5:28,Saved,0
4,5m shot,2.0,4,2,GER,3.0,CAMPBELL R,2 - 4,268,AUS,4:28,Saved,0
5,Counter attack,7.0,4,2,GER,3.0,ROACH A,2 - 5,234,AUS,3:54,Goal,1
5,5m shot,5.0,4,2,GER,3.0,ROHE T,2 - 5,209,GER,3:29,Saved,0
5,5m shot,4.0,4,2,GER,3.0,REAL J,2 - 5,190,GER,3:10,Missed,0
5,Action shot,12.0,4,2,GER,3.0,MILLER W,2 - 5,177,AUS,2:57,Post,0
5,Extra player shot,2.0,4,2,GER,3.0,CAMPBELL R,2 - 5,92,AUS,1:32,Blocked,0
5,Centre shot,3.0,4,2,GER,3.0,MARTIN M,2 - 5,66,AUS,1:06,Missed,0
