AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
0,Starting goalkeeper,13.0,1,0,SRB,1.0,CLARK J,0 - 0,480,AUS,8:00
0,Starting goalkeeper,1.0,1,0,SRB,1.0,MITROVIC B,0 - 0,480,SRB,8:00
0,Sprint won possession,11.0,1,0,SRB,1.0,HOWDEN R,0 - 0,480,AUS,8:00
0,Turnover foul,11.0,1,0,SRB,1.0,HOWDEN R,0 - 0,452,AUS,7:32
0,Steal,11.0,1,0,SRB,1.0,PRLAINOVIC A,0 - 0,452,SRB,7:32
0,Action shot - Blocked,4.0,1,0,SRB,1.0,UDOVICIC V,0 - 0,423,SRB,7:03
0,Action shot - Post,5.0,1,0,SRB,1.0,POWER N,0 - 0,399,AUS,6:39
0,Turnover foul,6.0,1,0,SRB,1.0,PIJETLOVIC D,0 - 0,373,SRB,6:13
0,Counter attack - Goal,4.0,1,1,SRB,1.0,UDOVICIC V,1 - 0,335,SRB,5:35
0,Turnover foul,7.0,1,1,SRB,1.0,ROACH A,1 - 0,306,AUS,5:06
0,Steal,10.0,1,1,SRB,1.0,FILIPOVIC F,1 - 0,306,SRB,5:06
0,Action shot - Blocked,11.0,1,1,SRB,1.0,PRLAINOVIC A,1 - 0,277,SRB,4:37
0,20 sec. exclusion in field,7.0,1,1,SRB,1.0,NIKIC S,1 - 0,258,SRB,4:18
1,Extra player shot - Goal,11.0,1,1,SRB,1.0,HOWDEN R,1 - 1,257,AUS,4:17
1,20 sec. exclusion in field,6.0,1,1,SRB,1.0,GILCHRIST J,1 - 1,246,AUS,4:06
1,Extra player shot - Goal,6.0,1,2,SRB,1.0,PIJETLOVIC D,2 - 1,228,SRB,3:48
2,Centre shot - Goal,9.0,1,2,SRB,1.0,SWIFT J,2 - 2,206,AUS,3:26
2,Turnover foul,6.0,1,2,SRB,1.0,PIJETLOVIC D,2 - 2,186,SRB,3:06
2,Steal,2.0,1,2,SRB,1.0,CAMPBELL R,2 - 2,186,AUS,3:06
2,Action shot - Saved,2.0,1,2,SRB,1.0,CAMPBELL R,2 - 2,159,AUS,2:39
2,20 sec. exclusion in field,4.0,1,2,SRB,1.0,COTTERILL J,2 - 2,142,AUS,2:22
2,20 sec. exclusion in field,12.0,1,2,SRB,1.0,MILLER W,2 - 2,126,AUS,2:06
2,Extra player shot - Goal,4.0,1,3,SRB,1.0,UDOVICIC V,3 - 2,124,SRB,2:04
2,Action shot - Saved,6.0,1,3,SRB,1.0,GILCHRIST J,3 - 2,95,AUS,1:35
2,20 sec. exclusion in centre,8.0,1,3,SRB,1.0,ALEKSIC M,3 - 2,81,SRB,1:21
3,Extra player shot - Goal,8.0,1,3,SRB,1.0,YOUNGER A,3 - 3,66,AUS,1:06
3,20 sec. exclusion in centre,5.0,1,3,SRB,1.0,POWER N,3 - 3,44,AUS,0:44
3,Extra player shot - Goal,10.0,1,4,SRB,1.0,FILIPOVIC F,4 - 3,29,SRB,0:29
3,Action shot - Saved,2.0,1,4,SRB,1.0,CAMPBELL R,4 - 3,3,AUS,0:03
3,Action shot - Blocked,12.0,1,4,SRB,1.0,MILLER W,4 - 3,2,AUS,0:02
3,Starting goalkeeper,1.0,1,4,SRB,2.0,MITROVIC B,4 - 3,480,SRB,8:00
3,Starting goalkeeper,13.0,1,4,SRB,2.0,CLARK J,4 - 3,480,AUS,8:00
3,Sprint won possession,11.0,1,4,SRB,2.0,HOWDEN R,4 - 3,480,AUS,8:00
3,Turnover foul,7.0,1,4,SRB,2.0,NIKIC S,4 - 3,426,SRB,7:06
3,Steal,7.0,1,4,SRB,2.0,ROACH A,4 - 3,426,AUS,7:06
3,20 sec. exclusion in field,3.0,1,4,SRB,2.0,GOCIC Z,4 - 3,419,SRB,6:59
