Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,0,2.0,1,0,MNE,1.0,BRGULJAN D,0 - 0,411,MNE,6:51,Missed,0
5m shot,0,7.0,1,0,MNE,1.0,D'SOUZA R,0 - 0,382,CAN,6:22,Missed,0
Action shot,0,9.0,1,0,MNE,1.0,RADOVIC D,0 - 0,359,MNE,5:59,Saved,0
Action shot,0,2.0,1,0,MNE,1.0,BRGULJAN D,0 - 0,330,MNE,5:30,Saved,0
5m shot,0,6.0,1,1,MNE,1.0,RADOVIC A,1 - 0,259,MNE,4:19,Goal,1
Action shot,0,4.0,1,1,MNE,1.0,CONSTANTIN-BICARI,1 - 0,217,CAN,3:37,Blocked,0
Counter attack,0,2.0,1,1,MNE,1.0,BRGULJAN D,1 - 0,198,MNE,3:18,Saved,0
Counter attack,1,4.0,1,1,MNE,1.0,CONSTANTIN-BICARI,1 - 1,188,CAN,3:08,Goal,1
Extra player shot,1,4.0,1,2,MNE,1.0,PETKOVIC M,2 - 1,157,MNE,2:37,Goal,1
Action shot,1,5.0,1,2,MNE,1.0,HALAJIAN M,2 - 1,129,CAN,2:09,Saved,0
5m shot,1,6.0,1,2,MNE,1.0,RADOVIC A,2 - 1,109,MNE,1:49,Missed,0
5m shot,1,5.0,1,2,MNE,1.0,HALAJIAN M,2 - 1,85,CAN,1:25,Missed,0
Counter attack,1,4.0,1,3,MNE,1.0,PETKOVIC M,3 - 1,32,MNE,0:32,Goal,1
5m shot,1,11.0,1,3,MNE,1.0,TORAKIS G,3 - 1,3,CAN,0:03,Saved,0
5m shot,1,5.0,1,3,MNE,2.0,HALAJIAN M,3 - 1,424,CAN,7:04,Saved,0
Extra player shot,2,11.0,1,3,MNE,2.0,TORAKIS G,3 - 2,381,CAN,6:21,Goal,1
Centre shot,2,10.0,1,4,MNE,2.0,MISIC S,4 - 2,354,MNE,5:54,Goal,1
5m shot,2,12.0,1,4,MNE,2.0,THUMWOOD D,4 - 2,324,CAN,5:24,Post,0
Extra player shot,2,8.0,1,4,MNE,2.0,UKROPINA A,4 - 2,289,MNE,4:49,Blocked,0
Action shot,3,7.0,1,4,MNE,2.0,D'SOUZA R,4 - 3,257,CAN,4:17,Goal,1
Extra player shot,3,5.0,1,4,MNE,2.0,BRGULJAN D,4 - 3,221,MNE,3:41,Post,0
Centre shot,3,11.0,1,4,MNE,2.0,CUCKOVIC U,4 - 3,145,MNE,2:25,Saved,0
