Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,0,13.0,1,0,MNE,1.0,SCEPANOVIC M,0 - 0,480,MNE,8:00
Starting goalkeeper,0,1.0,1,0,MNE,1.0,RADENOVIC M,0 - 0,480,CAN,8:00
Sprint won possession,0,2.0,1,0,MNE,1.0,BRGULJAN D,0 - 0,480,MNE,8:00
Turnover foul,0,7.0,1,0,MNE,1.0,DRASKOVIC D,0 - 0,457,MNE,7:37
Turnover foul,0,5.0,1,0,MNE,1.0,HALAJIAN M,0 - 0,437,CAN,7:17
Steal,0,11.0,1,0,MNE,1.0,CUCKOVIC U,0 - 0,437,MNE,7:17
Action shot - Missed,0,2.0,1,0,MNE,1.0,BRGULJAN D,0 - 0,411,MNE,6:51
5m shot - Missed,0,7.0,1,0,MNE,1.0,D'SOUZA R,0 - 0,382,CAN,6:22
Action shot - Saved,0,9.0,1,0,MNE,1.0,RADOVIC D,0 - 0,359,MNE,5:59
Turnover foul,0,6.0,1,0,MNE,1.0,ROBINSON S,0 - 0,353,CAN,5:53
Action shot - Saved,0,2.0,1,0,MNE,1.0,BRGULJAN D,0 - 0,330,MNE,5:30
20 sec. exclusion in field,0,11.0,1,0,MNE,1.0,CUCKOVIC U,0 - 0,309,MNE,5:09
Turnover foul,0,6.0,1,0,MNE,1.0,ROBINSON S,0 - 0,283,CAN,4:43
Steal,0,4.0,1,0,MNE,1.0,PETKOVIC M,0 - 0,283,MNE,4:43
5m shot - Goal,0,6.0,1,1,MNE,1.0,RADOVIC A,1 - 0,259,MNE,4:19
20 sec. exclusion in centre,0,3.0,1,1,MNE,1.0,BANICEVIC B,1 - 0,235,MNE,3:55
Action shot - Blocked,0,4.0,1,1,MNE,1.0,CONSTANTIN-BICARI,1 - 0,217,CAN,3:37
Counter attack - Saved,0,2.0,1,1,MNE,1.0,BRGULJAN D,1 - 0,198,MNE,3:18
Counter attack - Goal,1,4.0,1,1,MNE,1.0,CONSTANTIN-BICARI,1 - 1,188,CAN,3:08
20 sec. exclusion in field,1,6.0,1,1,MNE,1.0,ROBINSON S,1 - 1,164,CAN,2:44
Extra player shot - Goal,1,4.0,1,2,MNE,1.0,PETKOVIC M,2 - 1,157,MNE,2:37
Action shot - Saved,1,5.0,1,2,MNE,1.0,HALAJIAN M,2 - 1,129,CAN,2:09
5m shot - Missed,1,6.0,1,2,MNE,1.0,RADOVIC A,2 - 1,109,MNE,1:49
5m shot - Missed,1,5.0,1,2,MNE,1.0,HALAJIAN M,2 - 1,85,CAN,1:25
Time-Out,1,,1,2,MNE,1.0,,2 - 1,85,MNE,1:25
Turnover foul,1,9.0,1,2,MNE,1.0,RADOVIC D,2 - 1,60,MNE,1:00
Steal,1,2.0,1,2,MNE,1.0,PATTERSON G,2 - 1,60,CAN,1:00
20 sec. exclusion in field,1,9.0,1,2,MNE,1.0,RADOVIC D,2 - 1,59,MNE,0:59
Time-Out,1,,1,2,MNE,1.0,,2 - 1,59,CAN,0:59
Steal,1,8.0,1,2,MNE,1.0,UKROPINA A,2 - 1,43,MNE,0:43
Counter attack - Goal,1,4.0,1,3,MNE,1.0,PETKOVIC M,3 - 1,32,MNE,0:32
5m shot - Saved,1,11.0,1,3,MNE,1.0,TORAKIS G,3 - 1,3,CAN,0:03
Starting goalkeeper,1,13.0,1,3,MNE,2.0,SCEPANOVIC M,3 - 1,480,MNE,8:00
Starting goalkeeper,1,1.0,1,3,MNE,2.0,RADENOVIC M,3 - 1,480,CAN,8:00
Sprint won possession,1,8.0,1,3,MNE,2.0,UKROPINA A,3 - 1,480,MNE,8:00
5m shot - Saved,1,5.0,1,3,MNE,2.0,HALAJIAN M,3 - 1,424,CAN,7:04
20 sec. exclusion in field,1,6.0,1,3,MNE,2.0,RADOVIC A,3 - 1,403,MNE,6:43
Extra player shot - Goal,2,11.0,1,3,MNE,2.0,TORAKIS G,3 - 2,381,CAN,6:21
Centre shot - Goal,2,10.0,1,4,MNE,2.0,MISIC S,4 - 2,354,MNE,5:54
5m shot - Post,2,12.0,1,4,MNE,2.0,THUMWOOD D,4 - 2,324,CAN,5:24
20 sec. exclusion in centre,2,6.0,1,4,MNE,2.0,ROBINSON S,4 - 2,306,CAN,5:06
Extra player shot - Blocked,2,8.0,1,4,MNE,2.0,UKROPINA A,4 - 2,289,MNE,4:49
Action shot - Goal,3,7.0,1,4,MNE,2.0,D'SOUZA R,4 - 3,257,CAN,4:17
20 sec. exclusion in centre,3,11.0,1,4,MNE,2.0,TORAKIS G,4 - 3,238,CAN,3:58
Extra player shot - Post,3,5.0,1,4,MNE,2.0,BRGULJAN D,4 - 3,221,MNE,3:41
20 sec. exclusion in centre,3,3.0,1,4,MNE,2.0,BANICEVIC B,4 - 3,197,MNE,3:17
Time-Out,3,,1,4,MNE,2.0,,4 - 3,197,CAN,3:17
Turnover foul,3,6.0,1,4,MNE,2.0,ROBINSON S,4 - 3,174,CAN,2:54
Steal,3,6.0,1,4,MNE,2.0,RADOVIC A,4 - 3,174,MNE,2:54
Centre shot - Saved,3,11.0,1,4,MNE,2.0,CUCKOVIC U,4 - 3,145,MNE,2:25
Turnover foul,3,4.0,1,4,MNE,2.0,CONSTANTIN-BICARI,4 - 3,119,CAN,1:59
Time-Out,3,,1,4,MNE,2.0,,4 - 3,118,MNE,1:58
Action shot - Goal,3,7.0,1,5,MNE,2.0,DRASKOVIC D,5 - 3,94,MNE,1:34
Turnover foul,3,4.0,1,5,MNE,2.0,CONSTANTIN-BICARI,5 - 3,71,CAN,1:11
Turnover foul,3,12.0,1,5,MNE,2.0,MURISIC N,5 - 3,41,MNE,0:41
5m shot - Missed,3,4.0,1,5,MNE,2.0,CONSTANTIN-BICARI,5 - 3,17,CAN,0:17
Action shot - Saved,3,5.0,1,5,MNE,2.0,BRGULJAN D,5 - 3,2,MNE,0:02
Starting goalkeeper,3,13.0,1,5,MNE,3.0,SCEPANOVIC M,5 - 3,480,MNE,8:00
Starting goalkeeper,3,1.0,1,5,MNE,3.0,RADENOVIC M,5 - 3,480,CAN,8:00
Sprint won possession,3,8.0,1,5,MNE,3.0,UKROPINA A,5 - 3,480,MNE,8:00
5m shot - Saved,3,6.0,1,5,MNE,3.0,RADOVIC A,5 - 3,451,MNE,7:31
5m shot - Blocked,3,7.0,1,5,MNE,3.0,DRASKOVIC D,5 - 3,426,MNE,7:06
Turnover foul,3,10.0,1,5,MNE,3.0,MISIC S,5 - 3,411,MNE,6:51
5m shot - Saved,3,6.0,1,5,MNE,3.0,ROBINSON S,5 - 3,381,CAN,6:21
20 sec. exclusion in centre,3,9.0,1,5,MNE,3.0,RADOJCIC D,5 - 3,361,CAN,6:01
Action shot - Goal,3,4.0,1,6,MNE,3.0,PETKOVIC M,6 - 3,339,MNE,5:39
5m shot - Saved,3,12.0,1,6,MNE,3.0,THUMWOOD D,6 - 3,310,CAN,5:10
Action shot - Saved,3,8.0,1,6,MNE,3.0,UKROPINA A,6 - 3,284,MNE,4:44
Action shot - Saved,3,2.0,1,6,MNE,3.0,BRGULJAN D,6 - 3,261,MNE,4:21
5m shot - Blocked,3,12.0,1,6,MNE,3.0,THUMWOOD D,6 - 3,233,CAN,3:53
Action shot - Missed,3,8.0,1,6,MNE,3.0,UKROPINA A,6 - 3,211,MNE,3:31
20 sec. exclusion in field,3,11.0,1,6,MNE,3.0,CUCKOVIC U,6 - 3,211,MNE,3:31
Time-Out,3,,1,6,MNE,3.0,,6 - 3,211,CAN,3:31
Extra player shot - Saved,3,10.0,1,6,MNE,3.0,SOLEIMANIPAK A,6 - 3,191,CAN,3:11
Action shot - Saved,3,4.0,1,6,MNE,3.0,PETKOVIC M,6 - 3,166,MNE,2:46
5m shot - Goal,4,12.0,1,6,MNE,3.0,THUMWOOD D,6 - 4,135,CAN,2:15
Turnover foul,4,5.0,1,6,MNE,3.0,BRGULJAN D,6 - 4,117,MNE,1:57
5m shot - Saved,4,11.0,1,6,MNE,3.0,TORAKIS G,6 - 4,92,CAN,1:32
Action shot - Post,4,6.0,1,6,MNE,3.0,RADOVIC A,6 - 4,74,MNE,1:14
5m shot - Saved,4,12.0,1,6,MNE,3.0,THUMWOOD D,6 - 4,51,CAN,0:51
Time-Out,4,,1,6,MNE,3.0,,6 - 4,51,MNE,0:51
Action shot - Saved,4,6.0,1,6,MNE,3.0,RADOVIC A,6 - 4,34,MNE,0:34
5m shot - Missed,4,13.0,1,6,MNE,3.0,SCEPANOVIC M,6 - 4,1,MNE,0:01
Starting goalkeeper,4,13.0,1,6,MNE,4.0,SCEPANOVIC M,6 - 4,480,MNE,8:00
Starting goalkeeper,4,1.0,1,6,MNE,4.0,RADENOVIC M,6 - 4,480,CAN,8:00
Sprint won possession,4,2.0,1,6,MNE,4.0,BRGULJAN D,6 - 4,480,MNE,8:00
Centre shot - Goal,4,12.0,1,7,MNE,4.0,MURISIC N,7 - 4,456,MNE,7:36
Centre shot - Goal,4,5.0,1,8,MNE,4.0,BRGULJAN D,8 - 4,398,MNE,6:38
Turnover foul,4,4.0,1,8,MNE,4.0,CONSTANTIN-BICARI,8 - 4,370,CAN,6:10
Action shot - Saved,4,5.0,1,8,MNE,4.0,BRGULJAN D,8 - 4,366,MNE,6:06
Turnover foul,4,5.0,1,8,MNE,4.0,BRGULJAN D,8 - 4,354,MNE,5:54
20 sec. exclusion in field,4,5.0,1,8,MNE,4.0,BRGULJAN D,8 - 4,353,MNE,5:53
Action shot - Goal,5,10.0,1,8,MNE,4.0,SOLEIMANIPAK A,8 - 5,330,CAN,5:30
Turnover foul,5,7.0,1,8,MNE,4.0,DRASKOVIC D,8 - 5,299,MNE,4:59
Steal,5,11.0,1,8,MNE,4.0,TORAKIS G,8 - 5,299,CAN,4:59
5m shot - Saved,5,6.0,1,8,MNE,4.0,ROBINSON S,8 - 5,275,CAN,4:35
Counter attack - Missed,5,4.0,1,8,MNE,4.0,PETKOVIC M,8 - 5,263,MNE,4:23
5m shot - Post,5,4.0,1,8,MNE,4.0,CONSTANTIN-BICARI,8 - 5,234,CAN,3:54
20 sec. exclusion in centre,5,6.0,1,8,MNE,4.0,ROBINSON S,8 - 5,205,CAN,3:25
Exclusion with substitution,5,6.0,1,8,MNE,4.0,ROBINSON S,8 - 5,205,CAN,3:25
Extra player shot - Saved,5,10.0,1,8,MNE,4.0,MISIC S,8 - 5,202,MNE,3:22
Extra player shot - Missed,5,10.0,1,8,MNE,4.0,MISIC S,8 - 5,202,MNE,3:22
5m shot - Goal,6,4.0,1,8,MNE,4.0,CONSTANTIN-BICARI,8 - 6,174,CAN,2:54
Yellow card,6,,1,8,MNE,4.0,Team Official,8 - 6,174,CAN,2:54
Turnover foul,6,6.0,1,8,MNE,4.0,RADOVIC A,8 - 6,147,MNE,2:27
Steal,6,1.0,1,8,MNE,4.0,RADENOVIC M,8 - 6,147,CAN,2:27
Turnover foul,6,11.0,1,8,MNE,4.0,CUCKOVIC U,8 - 6,100,MNE,1:40
20 sec. exclusion in field,6,12.0,1,8,MNE,4.0,MURISIC N,8 - 6,100,MNE,1:40
Time-Out,6,,1,8,MNE,4.0,,8 - 6,100,CAN,1:40
Extra player shot - Goal,7,7.0,1,8,MNE,4.0,D'SOUZA R,8 - 7,86,CAN,1:26
Action shot - Blocked,7,2.0,1,8,MNE,4.0,BRGULJAN D,8 - 7,57,MNE,0:57
Turnover foul,7,8.0,1,8,MNE,4.0,UKROPINA A,8 - 7,37,MNE,0:37
20 sec. exclusion in centre,7,8.0,1,8,MNE,4.0,UKROPINA A,8 - 7,37,MNE,0:37
Extra player shot - Goal,8,11.0,1,8,MNE,4.0,TORAKIS G,8 - 8,21,CAN,0:21
Time-Out,8,,1,8,MNE,4.0,,8 - 8,21,MNE,0:21
Starting goalkeeper,0,1.0,2,0,KAZ,1.0,RADENOVIC M,0 - 0,480,CAN,8:00
Starting goalkeeper,0,13.0,2,0,KAZ,1.0,SHLEMOV V,0 - 0,480,KAZ,8:00
Sprint won possession,0,2.0,2,0,KAZ,1.0,MEDVEDEV Y,0 - 0,480,KAZ,8:00
Action shot - Saved,0,2.0,2,0,KAZ,1.0,MEDVEDEV Y,0 - 0,452,KAZ,7:32
20 sec. exclusion in centre,0,6.0,2,0,KAZ,1.0,ROBINSON S,0 - 0,443,CAN,7:23
Extra player shot - Saved,0,9.0,2,0,KAZ,1.0,UKUMANOV R,0 - 0,431,KAZ,7:11
Action shot - Saved,0,7.0,2,0,KAZ,1.0,SHAKENOV M,0 - 0,425,KAZ,7:05
Turnover foul,0,4.0,2,0,KAZ,1.0,PILIPENKO R,0 - 0,398,KAZ,6:38
Turnover foul,0,4.0,2,0,KAZ,1.0,CONSTANTIN-BICARI,0 - 0,397,CAN,6:37
Action shot - Saved,0,2.0,2,0,KAZ,1.0,MEDVEDEV Y,0 - 0,375,KAZ,6:15
Turnover foul,0,9.0,2,0,KAZ,1.0,UKUMANOV R,0 - 0,361,KAZ,6:01
Steal,0,7.0,2,0,KAZ,1.0,D'SOUZA R,0 - 0,361,CAN,6:01
20 sec. exclusion in centre,0,4.0,2,0,KAZ,1.0,PILIPENKO R,0 - 0,336,KAZ,5:36
20 sec. exclusion in field,0,11.0,2,0,KAZ,1.0,MANAFOV R,0 - 0,325,KAZ,5:25
Extra player shot - Saved,0,11.0,2,0,KAZ,1.0,TORAKIS G,0 - 0,309,CAN,5:09
5m shot - Goal,0,9.0,2,1,KAZ,1.0,UKUMANOV R,0 - 1,282,KAZ,4:42
20 sec. exclusion in centre,0,8.0,2,1,KAZ,1.0,VERDESH Y,0 - 1,263,KAZ,4:23
Extra player shot - Goal,1,12.0,2,1,KAZ,1.0,THUMWOOD D,1 - 1,253,CAN,4:13
Turnover foul,1,12.0,2,1,KAZ,1.0,TURLYKHANOV B,1 - 1,224,KAZ,3:44
Turnover foul,1,8.0,2,1,KAZ,1.0,LAPINS D,1 - 1,210,CAN,3:30
Turnover foul,1,4.0,2,1,KAZ,1.0,PILIPENKO R,1 - 1,184,KAZ,3:04
Steal,1,12.0,2,1,KAZ,1.0,THUMWOOD D,1 - 1,184,CAN,3:04
5m shot - Post,1,11.0,2,1,KAZ,1.0,TORAKIS G,1 - 1,161,CAN,2:41
Time-Out,1,,2,1,KAZ,1.0,,1 - 1,161,KAZ,2:41
5m shot - Post,1,9.0,2,1,KAZ,1.0,UKUMANOV R,1 - 1,132,KAZ,2:12
Action shot - Saved,1,9.0,2,1,KAZ,1.0,UKUMANOV R,1 - 1,117,KAZ,1:57
20 sec. exclusion in centre,1,5.0,2,1,KAZ,1.0,HALAJIAN M,1 - 1,99,CAN,1:39
Extra player shot - Goal,1,2.0,2,2,KAZ,1.0,MEDVEDEV Y,1 - 2,83,KAZ,1:23
Penalty foul,1,8.0,2,2,KAZ,1.0,VERDESH Y,1 - 2,68,KAZ,1:08
Penalty shot - Goal,2,10.0,2,2,KAZ,1.0,SOLEIMANIPAK A,2 - 2,68,CAN,1:08
Action shot - Saved,2,2.0,2,2,KAZ,1.0,MEDVEDEV Y,2 - 2,40,KAZ,0:40
Time-Out,2,,2,2,KAZ,1.0,,2 - 2,37,CAN,0:37
Turnover foul,2,4.0,2,2,KAZ,1.0,CONSTANTIN-BICARI,2 - 2,12,CAN,0:12
Steal,2,7.0,2,2,KAZ,1.0,SHAKENOV M,2 - 2,12,KAZ,0:12
Action shot - Saved,2,7.0,2,2,KAZ,1.0,SHAKENOV M,2 - 2,3,KAZ,0:03
5m shot - Missed,2,12.0,2,2,KAZ,1.0,THUMWOOD D,2 - 2,1,CAN,0:01
Starting goalkeeper,2,13.0,2,2,KAZ,2.0,SHLEMOV V,2 - 2,480,KAZ,8:00
Sprint won possession,2,2.0,2,2,KAZ,2.0,MEDVEDEV Y,2 - 2,480,KAZ,8:00
