Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Action shot - Goal,5,9.0,2,5,CHN,3.0,McKELVEY H,5 - 5,358,CAN,5:58
5m shot - Saved,5,10.0,2,5,CHN,3.0,ZHANG D,5 - 5,328,CHN,5:28
20 sec. exclusion in field,5,5.0,2,5,CHN,3.0,NIU G,5 - 5,313,CHN,5:13
Extra player shot - Goal,6,4.0,2,5,CHN,3.0,WRIGHT E,5 - 6,302,CAN,5:02
Turnover foul,6,8.0,2,5,CHN,3.0,ZHANG C,5 - 6,275,CHN,4:35
Steal,6,5.0,2,5,CHN,3.0,EGGENS M,5 - 6,275,CAN,4:35
20 sec. exclusion in field,6,8.0,2,5,CHN,3.0,ZHANG C,5 - 6,275,CHN,4:35
Time-Out,6,,2,5,CHN,3.0,,5 - 6,275,CAN,4:35
Extra player shot - Blocked,6,2.0,2,5,CHN,3.0,ALOGBO K,5 - 6,257,CAN,4:17
Action shot - Missed,6,5.0,2,5,CHN,3.0,EGGENS M,5 - 6,246,CAN,4:06
20 sec. exclusion in field,6,5.0,2,5,CHN,3.0,EGGENS M,5 - 6,229,CAN,3:49
Time-Out,6,,2,5,CHN,3.0,,5 - 6,229,CHN,3:49
Action shot - Saved,6,5.0,2,5,CHN,3.0,NIU G,5 - 6,204,CHN,3:24
Turnover foul,6,10.0,2,5,CHN,3.0,ROBINSON C,5 - 6,190,CAN,3:10
5m shot - Saved,6,6.0,2,5,CHN,3.0,GUO N,5 - 6,172,CHN,2:52
Turnover foul,6,6.0,2,5,CHN,3.0,GUO N,5 - 6,143,CHN,2:23
Action shot - Goal,7,12.0,2,5,CHN,3.0,FOURNIER S,5 - 7,131,CAN,2:11
5m shot - Blocked,7,9.0,2,5,CHN,3.0,ZHAO Z,5 - 7,100,CHN,1:40
Penalty foul,7,3.0,2,5,CHN,3.0,MEI X,5 - 7,86,CHN,1:26
Penalty shot - Goal,8,4.0,2,5,CHN,3.0,WRIGHT E,5 - 8,86,CAN,1:26
20 sec. exclusion in field,8,5.0,2,5,CHN,3.0,EGGENS M,5 - 8,62,CAN,1:02
