Action,Cap,Game,MNE,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,2.0,1,0,0,CAN,1.0,BRGULJAN D,0 - 0,411,MNE,6:51,Missed,0
5m shot,7.0,1,0,0,CAN,1.0,D'SOUZA R,0 - 0,382,CAN,6:22,Missed,0
Action shot,9.0,1,0,0,CAN,1.0,RADOVIC D,0 - 0,359,MNE,5:59,Saved,0
Action shot,2.0,1,0,0,CAN,1.0,BRGULJAN D,0 - 0,330,MNE,5:30,Saved,0
5m shot,6.0,1,1,0,CAN,1.0,RADOVIC A,1 - 0,259,MNE,4:19,Goal,1
Action shot,4.0,1,1,0,CAN,1.0,CONSTANTIN-BICARI,1 - 0,217,CAN,3:37,Blocked,0
Counter attack,2.0,1,1,0,CAN,1.0,BRGULJAN D,1 - 0,198,MNE,3:18,Saved,0
Counter attack,4.0,1,1,1,CAN,1.0,CONSTANTIN-BICARI,1 - 1,188,CAN,3:08,Goal,1
Extra player shot,4.0,1,2,1,CAN,1.0,PETKOVIC M,2 - 1,157,MNE,2:37,Goal,1
Action shot,5.0,1,2,1,CAN,1.0,HALAJIAN M,2 - 1,129,CAN,2:09,Saved,0
5m shot,6.0,1,2,1,CAN,1.0,RADOVIC A,2 - 1,109,MNE,1:49,Missed,0
5m shot,5.0,1,2,1,CAN,1.0,HALAJIAN M,2 - 1,85,CAN,1:25,Missed,0
Counter attack,4.0,1,3,1,CAN,1.0,PETKOVIC M,3 - 1,32,MNE,0:32,Goal,1
5m shot,11.0,1,3,1,CAN,1.0,TORAKIS G,3 - 1,3,CAN,0:03,Saved,0
5m shot,5.0,1,3,1,CAN,2.0,HALAJIAN M,3 - 1,424,CAN,7:04,Saved,0
Extra player shot,11.0,1,3,2,CAN,2.0,TORAKIS G,3 - 2,381,CAN,6:21,Goal,1
Centre shot,10.0,1,4,2,CAN,2.0,MISIC S,4 - 2,354,MNE,5:54,Goal,1
5m shot,12.0,1,4,2,CAN,2.0,THUMWOOD D,4 - 2,324,CAN,5:24,Post,0
Extra player shot,8.0,1,4,2,CAN,2.0,UKROPINA A,4 - 2,289,MNE,4:49,Blocked,0
Action shot,7.0,1,4,3,CAN,2.0,D'SOUZA R,4 - 3,257,CAN,4:17,Goal,1
Extra player shot,5.0,1,4,3,CAN,2.0,BRGULJAN D,4 - 3,221,MNE,3:41,Post,0
Centre shot,11.0,1,4,3,CAN,2.0,CUCKOVIC U,4 - 3,145,MNE,2:25,Saved,0
Action shot,7.0,1,5,3,CAN,2.0,DRASKOVIC D,5 - 3,94,MNE,1:34,Goal,1
5m shot,4.0,1,5,3,CAN,2.0,CONSTANTIN-BICARI,5 - 3,17,CAN,0:17,Missed,0
Action shot,5.0,1,5,3,CAN,2.0,BRGULJAN D,5 - 3,2,MNE,0:02,Saved,0
5m shot,6.0,1,5,3,CAN,3.0,RADOVIC A,5 - 3,451,MNE,7:31,Saved,0
5m shot,7.0,1,5,3,CAN,3.0,DRASKOVIC D,5 - 3,426,MNE,7:06,Blocked,0
5m shot,6.0,1,5,3,CAN,3.0,ROBINSON S,5 - 3,381,CAN,6:21,Saved,0
Action shot,4.0,1,6,3,CAN,3.0,PETKOVIC M,6 - 3,339,MNE,5:39,Goal,1
5m shot,12.0,1,6,3,CAN,3.0,THUMWOOD D,6 - 3,310,CAN,5:10,Saved,0
Action shot,8.0,1,6,3,CAN,3.0,UKROPINA A,6 - 3,284,MNE,4:44,Saved,0
Action shot,2.0,1,6,3,CAN,3.0,BRGULJAN D,6 - 3,261,MNE,4:21,Saved,0
5m shot,12.0,1,6,3,CAN,3.0,THUMWOOD D,6 - 3,233,CAN,3:53,Blocked,0
Action shot,8.0,1,6,3,CAN,3.0,UKROPINA A,6 - 3,211,MNE,3:31,Missed,0
Extra player shot,10.0,1,6,3,CAN,3.0,SOLEIMANIPAK A,6 - 3,191,CAN,3:11,Saved,0
