Action,Cap,Game,MNE,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,13.0,1,0,0,CAN,1.0,SCEPANOVIC M,0 - 0,480,MNE,8:00
Starting goalkeeper,1.0,1,0,0,CAN,1.0,RADENOVIC M,0 - 0,480,CAN,8:00
Sprint won possession,2.0,1,0,0,CAN,1.0,BRGULJAN D,0 - 0,480,MNE,8:00
Turnover foul,7.0,1,0,0,CAN,1.0,DRASKOVIC D,0 - 0,457,MNE,7:37
Turnover foul,5.0,1,0,0,CAN,1.0,HALAJIAN M,0 - 0,437,CAN,7:17
Steal,11.0,1,0,0,CAN,1.0,CUCKOVIC U,0 - 0,437,MNE,7:17
Action shot - Missed,2.0,1,0,0,CAN,1.0,BRGULJAN D,0 - 0,411,MNE,6:51
5m shot - Missed,7.0,1,0,0,CAN,1.0,D'SOUZA R,0 - 0,382,CAN,6:22
Action shot - Saved,9.0,1,0,0,CAN,1.0,RADOVIC D,0 - 0,359,MNE,5:59
Turnover foul,6.0,1,0,0,CAN,1.0,ROBINSON S,0 - 0,353,CAN,5:53
Action shot - Saved,2.0,1,0,0,CAN,1.0,BRGULJAN D,0 - 0,330,MNE,5:30
20 sec. exclusion in field,11.0,1,0,0,CAN,1.0,CUCKOVIC U,0 - 0,309,MNE,5:09
Turnover foul,6.0,1,0,0,CAN,1.0,ROBINSON S,0 - 0,283,CAN,4:43
Steal,4.0,1,0,0,CAN,1.0,PETKOVIC M,0 - 0,283,MNE,4:43
5m shot - Goal,6.0,1,1,0,CAN,1.0,RADOVIC A,1 - 0,259,MNE,4:19
20 sec. exclusion in centre,3.0,1,1,0,CAN,1.0,BANICEVIC B,1 - 0,235,MNE,3:55
Action shot - Blocked,4.0,1,1,0,CAN,1.0,CONSTANTIN-BICARI,1 - 0,217,CAN,3:37
Counter attack - Saved,2.0,1,1,0,CAN,1.0,BRGULJAN D,1 - 0,198,MNE,3:18
Counter attack - Goal,4.0,1,1,1,CAN,1.0,CONSTANTIN-BICARI,1 - 1,188,CAN,3:08
20 sec. exclusion in field,6.0,1,1,1,CAN,1.0,ROBINSON S,1 - 1,164,CAN,2:44
Extra player shot - Goal,4.0,1,2,1,CAN,1.0,PETKOVIC M,2 - 1,157,MNE,2:37
Action shot - Saved,5.0,1,2,1,CAN,1.0,HALAJIAN M,2 - 1,129,CAN,2:09
5m shot - Missed,6.0,1,2,1,CAN,1.0,RADOVIC A,2 - 1,109,MNE,1:49
5m shot - Missed,5.0,1,2,1,CAN,1.0,HALAJIAN M,2 - 1,85,CAN,1:25
Time-Out,,1,2,1,CAN,1.0,,2 - 1,85,MNE,1:25
Turnover foul,9.0,1,2,1,CAN,1.0,RADOVIC D,2 - 1,60,MNE,1:00
Steal,2.0,1,2,1,CAN,1.0,PATTERSON G,2 - 1,60,CAN,1:00
20 sec. exclusion in field,9.0,1,2,1,CAN,1.0,RADOVIC D,2 - 1,59,MNE,0:59
Time-Out,,1,2,1,CAN,1.0,,2 - 1,59,CAN,0:59
Steal,8.0,1,2,1,CAN,1.0,UKROPINA A,2 - 1,43,MNE,0:43
Counter attack - Goal,4.0,1,3,1,CAN,1.0,PETKOVIC M,3 - 1,32,MNE,0:32
5m shot - Saved,11.0,1,3,1,CAN,1.0,TORAKIS G,3 - 1,3,CAN,0:03
Starting goalkeeper,13.0,1,3,1,CAN,2.0,SCEPANOVIC M,3 - 1,480,MNE,8:00
Starting goalkeeper,1.0,1,3,1,CAN,2.0,RADENOVIC M,3 - 1,480,CAN,8:00
Sprint won possession,8.0,1,3,1,CAN,2.0,UKROPINA A,3 - 1,480,MNE,8:00
5m shot - Saved,5.0,1,3,1,CAN,2.0,HALAJIAN M,3 - 1,424,CAN,7:04
20 sec. exclusion in field,6.0,1,3,1,CAN,2.0,RADOVIC A,3 - 1,403,MNE,6:43
Extra player shot - Goal,11.0,1,3,2,CAN,2.0,TORAKIS G,3 - 2,381,CAN,6:21
Centre shot - Goal,10.0,1,4,2,CAN,2.0,MISIC S,4 - 2,354,MNE,5:54
5m shot - Post,12.0,1,4,2,CAN,2.0,THUMWOOD D,4 - 2,324,CAN,5:24
20 sec. exclusion in centre,6.0,1,4,2,CAN,2.0,ROBINSON S,4 - 2,306,CAN,5:06
Extra player shot - Blocked,8.0,1,4,2,CAN,2.0,UKROPINA A,4 - 2,289,MNE,4:49
Action shot - Goal,7.0,1,4,3,CAN,2.0,D'SOUZA R,4 - 3,257,CAN,4:17
20 sec. exclusion in centre,11.0,1,4,3,CAN,2.0,TORAKIS G,4 - 3,238,CAN,3:58
Extra player shot - Post,5.0,1,4,3,CAN,2.0,BRGULJAN D,4 - 3,221,MNE,3:41
20 sec. exclusion in centre,3.0,1,4,3,CAN,2.0,BANICEVIC B,4 - 3,197,MNE,3:17
Time-Out,,1,4,3,CAN,2.0,,4 - 3,197,CAN,3:17
Turnover foul,6.0,1,4,3,CAN,2.0,ROBINSON S,4 - 3,174,CAN,2:54
Steal,6.0,1,4,3,CAN,2.0,RADOVIC A,4 - 3,174,MNE,2:54
Centre shot - Saved,11.0,1,4,3,CAN,2.0,CUCKOVIC U,4 - 3,145,MNE,2:25
Turnover foul,4.0,1,4,3,CAN,2.0,CONSTANTIN-BICARI,4 - 3,119,CAN,1:59
Time-Out,,1,4,3,CAN,2.0,,4 - 3,118,MNE,1:58
Action shot - Goal,7.0,1,5,3,CAN,2.0,DRASKOVIC D,5 - 3,94,MNE,1:34
Turnover foul,4.0,1,5,3,CAN,2.0,CONSTANTIN-BICARI,5 - 3,71,CAN,1:11
Turnover foul,12.0,1,5,3,CAN,2.0,MURISIC N,5 - 3,41,MNE,0:41
5m shot - Missed,4.0,1,5,3,CAN,2.0,CONSTANTIN-BICARI,5 - 3,17,CAN,0:17
Action shot - Saved,5.0,1,5,3,CAN,2.0,BRGULJAN D,5 - 3,2,MNE,0:02
Starting goalkeeper,13.0,1,5,3,CAN,3.0,SCEPANOVIC M,5 - 3,480,MNE,8:00
Starting goalkeeper,1.0,1,5,3,CAN,3.0,RADENOVIC M,5 - 3,480,CAN,8:00
Sprint won possession,8.0,1,5,3,CAN,3.0,UKROPINA A,5 - 3,480,MNE,8:00
5m shot - Saved,6.0,1,5,3,CAN,3.0,RADOVIC A,5 - 3,451,MNE,7:31
5m shot - Blocked,7.0,1,5,3,CAN,3.0,DRASKOVIC D,5 - 3,426,MNE,7:06
Turnover foul,10.0,1,5,3,CAN,3.0,MISIC S,5 - 3,411,MNE,6:51
5m shot - Saved,6.0,1,5,3,CAN,3.0,ROBINSON S,5 - 3,381,CAN,6:21
20 sec. exclusion in centre,9.0,1,5,3,CAN,3.0,RADOJCIC D,5 - 3,361,CAN,6:01
Action shot - Goal,4.0,1,6,3,CAN,3.0,PETKOVIC M,6 - 3,339,MNE,5:39
5m shot - Saved,12.0,1,6,3,CAN,3.0,THUMWOOD D,6 - 3,310,CAN,5:10
Action shot - Saved,8.0,1,6,3,CAN,3.0,UKROPINA A,6 - 3,284,MNE,4:44
Action shot - Saved,2.0,1,6,3,CAN,3.0,BRGULJAN D,6 - 3,261,MNE,4:21
5m shot - Blocked,12.0,1,6,3,CAN,3.0,THUMWOOD D,6 - 3,233,CAN,3:53
