Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,8.0,3,2,2,NED,2.0,SEVENICH V,2 - 3,336,NED,5:36,Saved,0
Action shot,8.0,3,2,2,NED,2.0,ROUMPESI A,2 - 3,314,GRE,5:14,Saved,0
5m shot,9.0,3,2,2,NED,2.0,MEGENS M,2 - 3,288,NED,4:48,Saved,0
5m shot,11.0,3,2,2,NED,2.0,KLAASSEN L,2 - 3,264,NED,4:24,Post,0
Action shot,10.0,3,2,2,NED,2.0,MANOLIOUDAKI T,2 - 3,244,GRE,4:04,Post,0
Action shot,8.0,3,2,2,NED,2.0,ROUMPESI A,2 - 3,174,GRE,2:54,Post,0
Extra player shot,11.0,3,2,2,NED,2.0,KLAASSEN L,2 - 3,147,NED,2:27,Saved,0
Action shot,10.0,3,2,2,NED,2.0,MANOLIOUDAKI T,2 - 3,120,GRE,2:00,Post,0
Action shot,2.0,3,2,3,NED,2.0,SMIT M,3 - 3,104,NED,1:44,Goal,1
Extra player shot,2.0,4,2,3,NED,2.0,TSOUKALA C,3 - 4,81,GRE,1:21,Goal,1
Action shot,5.0,4,2,3,NED,2.0,GENEE A,3 - 4,51,NED,0:51,Saved,0
5m shot,4.0,5,2,3,NED,2.0,KOTSIA C,3 - 5,25,GRE,0:25,Goal,1
5m shot,7.0,5,2,4,NED,2.0,NIJHUIS M,4 - 5,2,NED,0:02,Goal,1
5m shot,11.0,5,2,4,NED,2.0,PLEVRITOU E,4 - 5,1,GRE,0:01,Missed,0
Action shot,11.0,5,2,4,NED,3.0,PLEVRITOU E,4 - 5,432,GRE,7:12,Post,0
Action shot,2.0,5,2,5,NED,3.0,SMIT M,5 - 5,414,NED,6:54,Goal,1
Extra player shot,5.0,6,2,5,NED,3.0,PLEVRITOU M,5 - 6,378,GRE,6:18,Goal,1
5m shot,6.0,6,2,6,NED,3.0,STOMPHORST N,6 - 6,352,NED,5:52,Goal,1
Action shot,5.0,7,2,6,NED,3.0,PLEVRITOU M,6 - 7,329,GRE,5:29,Goal,1
Centre shot,4.0,7,2,6,NED,3.0,VAN DER SLOOT C,6 - 7,303,NED,5:03,Saved,0
5m shot,8.0,7,2,6,NED,3.0,ROUMPESI A,6 - 7,270,GRE,4:30,Blocked,0
Action shot,9.0,7,2,6,NED,3.0,MEGENS M,6 - 7,253,NED,4:13,Saved,0
5m shot,2.0,7,2,6,NED,3.0,TSOUKALA C,6 - 7,225,GRE,3:45,Missed,0
Action shot,2.0,7,2,7,NED,3.0,SMIT M,7 - 7,191,NED,3:11,Goal,1
5m shot,10.0,7,2,7,NED,3.0,MANOLIOUDAKI T,7 - 7,161,GRE,2:41,Missed,0
Action shot,4.0,7,2,8,NED,3.0,VAN DER SLOOT C,8 - 7,136,NED,2:16,Goal,1
