Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,3.0,5,5,7,ITA,3.0,CHARALAMPIDI S,7 - 5,39,GRE,0:39,Goal,1
Action shot,7.0,5,5,7,ITA,3.0,DI MARIO T,7 - 5,12,ITA,0:12,Saved,0
5m shot,8.0,5,5,7,ITA,3.0,ROUMPESI A,7 - 5,1,GRE,0:01,Missed,0
Action shot,3.0,6,5,7,ITA,4.0,CHARALAMPIDI S,7 - 6,436,GRE,7:16,Goal,1
Centre shot,7.0,6,5,8,ITA,4.0,DI MARIO T,8 - 6,412,ITA,6:52,Goal,1
5m shot,10.0,6,5,8,ITA,4.0,MANOLIOUDAKI T,8 - 6,388,GRE,6:28,Post,0
Action shot,3.0,6,5,9,ITA,4.0,GARIBOTTI A,9 - 6,363,ITA,6:03,Goal,1
Centre shot,7.0,6,5,9,ITA,4.0,ASIMAKI A,9 - 6,344,GRE,5:44,Saved,0
Action shot,3.0,6,5,9,ITA,4.0,GARIBOTTI A,9 - 6,309,ITA,5:09,Saved,0
Extra player shot,7.0,6,5,9,ITA,4.0,DI MARIO T,9 - 6,269,ITA,4:29,Saved,0
Extra player shot,7.0,6,5,9,ITA,4.0,DI MARIO T,9 - 6,220,ITA,3:40,Missed,0
5m shot,9.0,6,5,9,ITA,4.0,EMMOLO G,9 - 6,167,ITA,2:47,Post,0
