Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,0,1,0,AUS,1.0,YANITSAS L,0 - 0,480,AUS,8:00
Starting goalkeeper,1.0,0,1,0,AUS,1.0,KOUVDOU E,0 - 0,480,GRE,8:00
Sprint won possession,12.0,0,1,0,AUS,1.0,ZAGAME N,0 - 0,480,AUS,8:00
5m shot - Post,10.0,0,1,0,AUS,1.0,SOUTHERN A,0 - 0,457,AUS,7:37
20 sec. exclusion in field,6.0,0,1,0,AUS,1.0,KNOX B,0 - 0,429,AUS,7:09
Action shot - Goal,2.0,1,1,0,AUS,1.0,TSOUKALA C,0 - 1,408,GRE,6:48
Turnover foul,5.0,1,1,0,AUS,1.0,GOFERS K,0 - 1,370,AUS,6:10
20 sec. exclusion in field,12.0,1,1,0,AUS,1.0,ZAGAME N,0 - 1,357,AUS,5:57
Turnover foul,3.0,1,1,0,AUS,1.0,CHARALAMPIDI S,0 - 1,327,GRE,5:27
Steal,2.0,1,1,0,AUS,1.0,BEADSWORTH G,0 - 1,327,AUS,5:27
Action shot - Post,5.0,1,1,0,AUS,1.0,GOFERS K,0 - 1,313,AUS,5:13
Action shot - Saved,10.0,1,1,0,AUS,1.0,MANOLIOUDAKI T,0 - 1,286,GRE,4:46
Turnover foul,2.0,1,1,0,AUS,1.0,TSOUKALA C,0 - 1,278,GRE,4:38
Steal,5.0,1,1,0,AUS,1.0,GOFERS K,0 - 1,278,AUS,4:38
Centre shot - Goal,2.0,1,1,1,AUS,1.0,BEADSWORTH G,1 - 1,270,AUS,4:30
Turnover foul,8.0,1,1,1,AUS,1.0,ROUMPESI A,1 - 1,246,GRE,4:06
20 sec. exclusion in centre,10.0,1,1,1,AUS,1.0,MANOLIOUDAKI T,1 - 1,225,GRE,3:45
Extra player shot - Saved,9.0,1,1,1,AUS,1.0,ARANCINI Z,1 - 1,222,AUS,3:42
20 sec. exclusion in centre,8.0,1,1,1,AUS,1.0,ROUMPESI A,1 - 1,189,GRE,3:09
Extra player shot - Goal,3.0,1,1,2,AUS,1.0,BUCKLING H,2 - 1,170,AUS,2:50
5m shot - Blocked,2.0,1,1,2,AUS,1.0,TSOUKALA C,2 - 1,139,GRE,2:19
Centre shot - Saved,4.0,1,1,2,AUS,1.0,LINCOLN-SMITH H,2 - 1,111,AUS,1:51
Action shot - Saved,3.0,1,1,2,AUS,1.0,CHARALAMPIDI S,2 - 1,81,GRE,1:21
Action shot - Saved,11.0,1,1,2,AUS,1.0,HALLIGAN B,2 - 1,52,AUS,0:52
Time-Out,,1,1,2,AUS,1.0,,2 - 1,52,AUS,0:52
Turnover foul,8.0,1,1,2,AUS,1.0,MCGHIE G,2 - 1,32,AUS,0:32
Time-Out,,1,1,2,AUS,1.0,,2 - 1,32,GRE,0:32
Turnover foul,3.0,1,1,2,AUS,1.0,CHARALAMPIDI S,2 - 1,2,GRE,0:02
Starting goalkeeper,1.0,1,1,2,AUS,2.0,YANITSAS L,2 - 1,480,AUS,8:00
Starting goalkeeper,1.0,1,1,2,AUS,2.0,KOUVDOU E,2 - 1,480,GRE,8:00
Sprint won possession,12.0,1,1,2,AUS,2.0,ZAGAME N,2 - 1,480,AUS,8:00
20 sec. exclusion in centre,5.0,1,1,2,AUS,2.0,PLEVRITOU M,2 - 1,462,GRE,7:42
Extra player shot - Goal,12.0,1,1,3,AUS,2.0,ZAGAME N,3 - 1,452,AUS,7:32
Penalty foul,3.0,1,1,3,AUS,2.0,BUCKLING H,3 - 1,432,AUS,7:12
Penalty shot - Goal,2.0,2,1,3,AUS,2.0,TSOUKALA C,3 - 2,432,GRE,7:12
Turnover foul,2.0,2,1,3,AUS,2.0,BEADSWORTH G,3 - 2,400,AUS,6:40
Steal,11.0,2,1,3,AUS,2.0,PLEVRITOU E,3 - 2,400,GRE,6:40
Penalty foul,10.0,2,1,3,AUS,2.0,SOUTHERN A,3 - 2,390,AUS,6:30
