Period,Time,Action,Score,Team,Player,Cap,Opponent,KAZ,Seconds,Game,Opponent name
3.0,0:01,5m shot - Blocked,12 - 5,RUS,SERZHANTOVA A,7.0,12,5,1,3,RUS
4.0,8:00,Starting goalkeeper,12 - 5,RUS,KARNAUKH A,13.0,12,5,480,3,RUS
4.0,8:00,Starting goalkeeper,12 - 5,KAZ,ZHARKIMBAYEVA A,1.0,12,5,480,3,RUS
4.0,8:00,Sprint won possession,12 - 5,RUS,SERZHANTOVA A,7.0,12,5,480,3,RUS
4.0,7:41,20 sec. exclusion in centre,12 - 5,KAZ,TUROVA A,4.0,12,5,461,3,RUS
4.0,7:23,Turnover foul,12 - 5,RUS,SERZHANTOVA A,7.0,12,5,443,3,RUS
4.0,7:23,Steal,12 - 5,KAZ,MUSSAROVA A,12.0,12,5,443,3,RUS
4.0,7:00,Turnover foul,12 - 5,KAZ,MYRZABEKOVA Z,10.0,12,5,420,3,RUS
4.0,7:00,Steal,12 - 5,RUS,PROKOFYEVA E,3.0,12,5,420,3,RUS
4.0,6:37,5m shot - Goal,13 - 5,RUS,PROKOFYEVA E,3.0,13,5,397,3,RUS
4.0,2:29,20 sec. exclusion in centre,13 - 5,KAZ,ROGA D,6.0,13,5,149,3,RUS
4.0,2:26,Extra player shot - Saved,13 - 5,RUS,IVANOVA E,11.0,13,5,146,3,RUS
4.0,2:00,5m shot - Saved,13 - 5,KAZ,MIRSHINA A,11.0,13,5,120,3,RUS
4.0,1:40,Action shot - Goal,15 - 6,RUS,RYZHKOVA D,12.0,15,6,100,3,RUS
4.0,1:37,Goalkeeper substitution,15 - 6,KAZ,ALIBAYEVA A,13.0,15,6,97,3,RUS
4.0,1:15,Action shot - Missed,15 - 6,KAZ,MYRZABEKOVA Z,10.0,15,6,75,3,RUS
4.0,0:53,Centre shot - Post,15 - 6,RUS,VAKHITOVA V,2.0,15,6,53,3,RUS
4.0,0:24,Turnover foul,15 - 6,KAZ,AKILBAYEVA A,3.0,15,6,24,3,RUS
4.0,0:13,Turnover foul,15 - 6,RUS,VAKHITOVA V,2.0,15,6,13,3,RUS
4.0,0:13,Time-Out,15 - 6,KAZ,,,15,6,13,3,RUS
1.0,8:00,Starting goalkeeper,0 - 0,JPN,AOKI M,1.0,0,0,480,4,JPN
1.0,8:00,Starting goalkeeper,0 - 0,KAZ,ZHARKIMBAYEVA A,1.0,0,0,480,4,JPN
1.0,8:00,Sprint won possession,0 - 0,KAZ,ZAKIROVA K,5.0,0,0,480,4,JPN
1.0,7:40,Turnover foul,0 - 0,KAZ,MIRSHINA A,11.0,0,0,460,4,JPN
1.0,7:35,20 sec. exclusion in field,0 - 0,KAZ,MIRSHINA A,11.0,0,0,455,4,JPN
1.0,7:11,Extra player shot - Saved,0 - 0,JPN,INABA A,7.0,0,0,431,4,JPN
1.0,6:50,20 sec. exclusion in field,0 - 0,JPN,MAGARIYAMA S,4.0,0,0,410,4,JPN
1.0,6:38,Turnover foul,0 - 0,KAZ,MIRSHINA A,11.0,0,0,398,4,JPN
1.0,6:38,Steal,0 - 0,JPN,TOKUMOTO M,11.0,0,0,398,4,JPN
1.0,6:27,Turnover foul,0 - 0,KAZ,ZAKIROVA K,5.0,0,0,387,4,JPN
1.0,6:27,Steal,0 - 0,JPN,MAGARIYAMA S,4.0,0,0,387,4,JPN
1.0,6:23,Turnover foul,0 - 0,KAZ,AKILBAYEVA A,3.0,0,0,383,4,JPN
1.0,6:09,Action shot - Post,0 - 0,JPN,INABA A,7.0,0,0,369,4,JPN
1.0,5:44,5m shot - Goal,0 - 1,KAZ,MIRSHINA A,11.0,0,1,344,4,JPN
1.0,5:23,5m shot - Goal,1 - 1,JPN,MAGARIYAMA S,4.0,1,1,323,4,JPN
1.0,4:39,5m shot - Post,1 - 1,JPN,TOKUMOTO M,11.0,1,1,279,4,JPN
1.0,4:20,5m shot - Saved,1 - 1,KAZ,MIRSHINA A,11.0,1,1,260,4,JPN
1.0,3:57,5m shot - Missed,1 - 1,JPN,SAKANOUE C,5.0,1,1,237,4,JPN
1.0,3:45,20 sec. exclusion in field,1 - 1,JPN,INABA A,7.0,1,1,225,4,JPN
1.0,3:45,Time-Out,1 - 1,KAZ,,,1,1,225,4,JPN
1.0,3:19,5m shot - Saved,1 - 1,KAZ,AKILBAYEVA A,3.0,1,1,199,4,JPN
1.0,2:50,Turnover foul,1 - 1,JPN,ARIMA Y,2.0,1,1,170,4,JPN
1.0,2:33,20 sec. exclusion in centre,1 - 1,JPN,SAKANOUE C,5.0,1,1,153,4,JPN
1.0,2:09,Action shot - Missed,1 - 1,KAZ,MUSSAROVA A,12.0,1,1,129,4,JPN
1.0,1:59,Counter attack - Goal,2 - 1,JPN,SUZUKI K,12.0,2,1,119,4,JPN
1.0,1:45,Turnover foul,2 - 1,KAZ,MYRZABEKOVA Z,10.0,2,1,105,4,JPN
1.0,1:45,Steal,2 - 1,JPN,MAGARIYAMA S,4.0,2,1,105,4,JPN
1.0,1:29,Action shot - Blocked,2 - 1,JPN,ARIMA Y,2.0,2,1,89,4,JPN
1.0,1:05,Turnover foul,2 - 1,KAZ,MYRZABEKOVA Z,10.0,2,1,65,4,JPN
1.0,1:05,Steal,2 - 1,JPN,SAKANOUE C,5.0,2,1,65,4,JPN
1.0,0:51,Counter attack - Goal,3 - 1,JPN,SAKANOUE C,5.0,3,1,51,4,JPN
1.0,0:35,Action shot - Missed,3 - 1,KAZ,ZAKIROVA K,5.0,3,1,35,4,JPN
1.0,0:13,Turnover foul,3 - 1,JPN,TOKUMOTO M,11.0,3,1,13,4,JPN
1.0,0:13,Steal,3 - 1,KAZ,ZAKIROVA K,5.0,3,1,13,4,JPN
1.0,0:01,5m shot - Saved,3 - 1,KAZ,MIRSHINA A,11.0,3,1,1,4,JPN
2.0,8:00,Starting goalkeeper,3 - 1,JPN,AOKI M,1.0,3,1,480,4,JPN
2.0,8:00,Starting goalkeeper,3 - 1,KAZ,ZHARKIMBAYEVA A,1.0,3,1,480,4,JPN
2.0,8:00,Sprint won possession,3 - 1,KAZ,ZAKIROVA K,5.0,3,1,480,4,JPN
2.0,7:44,Turnover foul,3 - 1,KAZ,ZAKIROVA K,5.0,3,1,464,4,JPN
2.0,7:44,Steal,3 - 1,JPN,SUZUKI K,12.0,3,1,464,4,JPN
2.0,7:24,Action shot - Post,3 - 1,JPN,TOKUMOTO M,11.0,3,1,444,4,JPN
2.0,7:08,20 sec. exclusion in field,3 - 1,JPN,SAKANOUE C,5.0,3,1,428,4,JPN
2.0,6:46,Extra player shot - Saved,3 - 1,KAZ,AKILBAYEVA A,3.0,3,1,406,4,JPN
2.0,6:36,Turnover foul,3 - 1,KAZ,TUROVA A,4.0,3,1,396,4,JPN
2.0,6:36,Steal,3 - 1,JPN,AOKI M,1.0,3,1,396,4,JPN
2.0,6:25,Turnover foul,3 - 1,JPN,INABA A,7.0,3,1,385,4,JPN
2.0,6:24,5m shot - Missed,3 - 1,KAZ,MIRSHINA A,11.0,3,1,384,4,JPN
2.0,5:58,Turnover foul,3 - 1,JPN,MAGARIYAMA S,4.0,3,1,358,4,JPN
2.0,5:58,Steal,3 - 1,KAZ,MUSSAROVA A,12.0,3,1,358,4,JPN
2.0,5:46,Centre shot - Saved,3 - 1,KAZ,MYRZABEKOVA Z,10.0,3,1,346,4,JPN
2.0,5:46,Turnover foul,3 - 1,JPN,SUZUKI K,12.0,3,1,346,4,JPN
2.0,5:46,Steal,3 - 1,KAZ,ZHARKIMBAYEVA A,1.0,3,1,346,4,JPN
2.0,5:11,Turnover foul,3 - 1,KAZ,MYRZABEKOVA Z,10.0,3,1,311,4,JPN
2.0,5:11,Steal,3 - 1,JPN,AOKI M,1.0,3,1,311,4,JPN
2.0,5:00,Turnover foul,3 - 1,JPN,INABA A,7.0,3,1,300,4,JPN
2.0,4:42,Action shot - Post,3 - 1,KAZ,ZAKIROVA K,5.0,3,1,282,4,JPN
2.0,4:31,5m shot - Goal,4 - 1,JPN,ARIMA Y,2.0,4,1,271,4,JPN
2.0,4:11,20 sec. exclusion in field,4 - 1,JPN,INABA A,7.0,4,1,251,4,JPN
2.0,4:11,Time-Out,4 - 1,KAZ,,,4,1,251,4,JPN
2.0,3:42,Action shot - Goal,4 - 2,KAZ,TUROVA A,4.0,4,2,222,4,JPN
2.0,3:25,Action shot - Goal,5 - 2,JPN,ARIMA Y,2.0,5,2,205,4,JPN
4.0,7:05,Turnover foul,5 - 2,KAZ,ZAKIROVA K,5.0,5,2,425,4,JPN
4.0,6:52,Action shot - Saved,5 - 2,JPN,TOKUMOTO M,11.0,5,2,412,4,JPN
4.0,6:36,20 sec. exclusion in centre,5 - 2,JPN,TOKUMOTO M,11.0,5,2,396,4,JPN
4.0,6:22,Extra player shot - Saved,5 - 2,KAZ,ZAKIROVA K,5.0,5,2,382,4,JPN
4.0,6:07,Action shot - Goal,14 - 6,JPN,KAZAMA Y,3.0,14,6,367,4,JPN
4.0,5:54,Centre shot - Goal,14 - 7,KAZ,MIRSHINA A,11.0,14,7,354,4,JPN
4.0,5:35,Centre shot - Goal,15 - 7,JPN,ARIMA Y,2.0,15,7,335,4,JPN
4.0,5:25,20 sec. exclusion in centre,15 - 7,JPN,YAMAMOTO M,6.0,15,7,325,4,JPN
4.0,5:25,Time-Out,15 - 7,KAZ,,,15,7,325,4,JPN
4.0,5:03,Action shot - Missed,15 - 7,KAZ,MYRZABEKOVA Z,10.0,15,7,303,4,JPN
4.0,4:40,Turnover foul,15 - 7,JPN,NORO M,10.0,15,7,280,4,JPN
4.0,4:40,Steal,15 - 7,KAZ,MYRZABEKOVA Z,10.0,15,7,280,4,JPN
4.0,4:18,Turnover foul,15 - 7,KAZ,MIRSHINA A,11.0,15,7,258,4,JPN
4.0,4:18,Steal,15 - 7,JPN,HOSOYA K,9.0,15,7,258,4,JPN
4.0,4:06,Penalty foul,15 - 7,KAZ,TUROVA A,4.0,15,7,246,4,JPN
4.0,3:50,Turnover foul,15 - 7,JPN,HOSOYA K,9.0,15,7,230,4,JPN
4.0,3:50,20 sec. exclusion in centre,15 - 7,JPN,ARIMA Y,2.0,15,7,230,4,JPN
4.0,3:36,Turnover foul,15 - 7,KAZ,MUSSAROVA A,12.0,15,7,216,4,JPN
4.0,3:36,Steal,15 - 7,JPN,SUZUKI K,12.0,15,7,216,4,JPN
2.0,2:57,Turnover foul,15 - 7,KAZ,NOVIKOVA A,7.0,15,7,177,4,JPN
2.0,2:57,Steal,15 - 7,JPN,TOKUMOTO M,11.0,15,7,177,4,JPN
2.0,2:41,Turnover foul,15 - 7,JPN,SUZUKI K,12.0,15,7,161,4,JPN
2.0,2:41,Steal,15 - 7,KAZ,MIRSHINA A,11.0,15,7,161,4,JPN
2.0,2:12,5m shot - Saved,15 - 7,KAZ,ZAKIROVA K,5.0,15,7,132,4,JPN
2.0,1:58,5m shot - Saved,15 - 7,JPN,MAGARIYAMA S,4.0,15,7,118,4,JPN
2.0,1:54,20 sec. exclusion in centre,15 - 7,KAZ,TUROVA A,4.0,15,7,114,4,JPN
2.0,1:34,Extra player shot - Saved,15 - 7,JPN,SUZUKI K,12.0,15,7,94,4,JPN
2.0,1:07,20 sec. exclusion in field,15 - 7,JPN,HOSOYA K,9.0,15,7,67,4,JPN
2.0,0:52,Turnover foul,15 - 7,KAZ,ZAKIROVA K,5.0,15,7,52,4,JPN
2.0,0:32,Turnover foul,15 - 7,JPN,YAMAMOTO M,6.0,15,7,32,4,JPN
2.0,0:17,Action shot - Saved,15 - 7,KAZ,MUSSAROVA A,12.0,15,7,17,4,JPN
3.0,8:00,Starting goalkeeper,15 - 7,JPN,SHIOYA M,13.0,15,7,480,4,JPN
3.0,8:00,Starting goalkeeper,15 - 7,KAZ,ZHARKIMBAYEVA A,1.0,15,7,480,4,JPN
3.0,8:00,Sprint won possession,15 - 7,KAZ,ZAKIROVA K,5.0,15,7,480,4,JPN
3.0,7:44,Action shot - Goal,5 - 3,KAZ,MYRZABEKOVA Z,10.0,5,3,464,4,JPN
3.0,7:26,Turnover foul,5 - 3,JPN,SAKANOUE C,5.0,5,3,446,4,JPN
3.0,7:26,Steal,5 - 3,KAZ,MUSSAROVA A,12.0,5,3,446,4,JPN
3.0,7:16,Action shot - Missed,5 - 3,KAZ,MYRZABEKOVA Z,10.0,5,3,436,4,JPN
3.0,7:01,Action shot - Goal,6 - 3,JPN,KAZAMA Y,3.0,6,3,421,4,JPN
3.0,6:46,Turnover foul,6 - 3,KAZ,MYRZABEKOVA Z,10.0,6,3,406,4,JPN
3.0,6:40,Counter attack - Saved,6 - 3,JPN,ARIMA Y,2.0,6,3,400,4,JPN
3.0,6:15,Turnover foul,6 - 3,JPN,ARIMA Y,2.0,6,3,375,4,JPN
3.0,6:11,Steal,6 - 3,KAZ,ZHARKIMBAYEVA A,1.0,6,3,371,4,JPN
3.0,6:04,Turnover foul,6 - 3,KAZ,MYRZABEKOVA Z,10.0,6,3,364,4,JPN
3.0,6:04,Steal,6 - 3,JPN,KAZAMA Y,3.0,6,3,364,4,JPN
3.0,5:57,Action shot - Goal,7 - 3,JPN,INABA A,7.0,7,3,357,4,JPN
3.0,5:43,20 sec. exclusion in centre,7 - 3,JPN,TOKUMOTO M,11.0,7,3,343,4,JPN
3.0,5:35,Extra player shot - Saved,7 - 3,KAZ,MYRZABEKOVA Z,10.0,7,3,335,4,JPN
3.0,5:29,20 sec. exclusion in field,7 - 3,KAZ,MIRSHINA A,11.0,7,3,329,4,JPN
3.0,5:29,Time-Out,7 - 3,JPN,,,7,3,329,4,JPN
3.0,5:08,Extra player shot - Goal,8 - 3,JPN,NIIZAWA Y,8.0,8,3,308,4,JPN
3.0,4:38,5m shot - Blocked,8 - 3,KAZ,ZAKIROVA K,5.0,8,3,278,4,JPN
3.0,4:27,Action shot - Goal,9 - 3,JPN,INABA A,7.0,9,3,267,4,JPN
3.0,4:15,Turnover foul,9 - 3,KAZ,TUROVA A,4.0,9,3,255,4,JPN
3.0,4:08,Counter attack - Goal,10 - 3,JPN,YAMAMOTO M,6.0,10,3,248,4,JPN
3.0,3:27,Action shot - Saved,10 - 3,JPN,NIIZAWA Y,8.0,10,3,207,4,JPN
3.0,3:08,5m shot - Goal,10 - 4,KAZ,MIRSHINA A,11.0,10,4,188,4,JPN
3.0,2:55,Turnover foul,10 - 4,JPN,YAMAMOTO M,6.0,10,4,175,4,JPN
3.0,2:55,Steal,10 - 4,KAZ,TUROVA A,4.0,10,4,175,4,JPN
3.0,2:45,Turnover foul,10 - 4,KAZ,MIRSHINA A,11.0,10,4,165,4,JPN
3.0,2:40,Counter attack - Goal,11 - 4,JPN,YAMAMOTO M,6.0,11,4,160,4,JPN
3.0,2:19,5m shot - Blocked,11 - 4,KAZ,MIRSHINA A,11.0,11,4,139,4,JPN
3.0,2:07,Action shot - Goal,12 - 4,JPN,ARIMA Y,2.0,12,4,127,4,JPN
3.0,1:56,Action shot - Goal,12 - 5,KAZ,MYRZABEKOVA Z,10.0,12,5,116,4,JPN
3.0,1:36,Turnover foul,12 - 5,JPN,SAKANOUE C,5.0,12,5,96,4,JPN
3.0,1:36,Steal,12 - 5,KAZ,TUROVA A,4.0,12,5,96,4,JPN
3.0,1:10,Turnover foul,12 - 5,KAZ,MYRZABEKOVA Z,10.0,12,5,70,4,JPN
3.0,1:10,Steal,12 - 5,JPN,ARIMA Y,2.0,12,5,70,4,JPN
3.0,1:05,Turnover foul,12 - 5,JPN,YAMAMOTO M,6.0,12,5,65,4,JPN
3.0,0:46,Action shot - Saved,12 - 5,KAZ,AKILBAYEVA A,3.0,12,5,46,4,JPN
3.0,0:30,Action shot - Missed,12 - 5,JPN,SAKANOUE C,5.0,12,5,30,4,JPN
3.0,0:30,Time-Out,12 - 5,KAZ,,,12,5,30,4,JPN
3.0,0:18,Centre shot - Goal,12 - 6,KAZ,MIRSHINA A,11.0,12,6,18,4,JPN
3.0,0:01,5m shot - Blocked,12 - 6,JPN,SAKANOUE C,5.0,12,6,1,4,JPN
4.0,8:00,Starting goalkeeper,12 - 6,JPN,SHIOYA M,13.0,12,6,480,4,JPN
4.0,8:00,Starting goalkeeper,12 - 6,KAZ,ZHARKIMBAYEVA A,1.0,12,6,480,4,JPN
4.0,8:00,Sprint won possession,12 - 6,KAZ,ZAKIROVA K,5.0,12,6,480,4,JPN
4.0,7:37,Turnover foul,12 - 6,KAZ,MYRZABEKOVA Z,10.0,12,6,457,4,JPN
4.0,7:37,Steal,12 - 6,JPN,TOKUMOTO M,11.0,12,6,457,4,JPN
4.0,7:20,Action shot - Goal,13 - 6,JPN,SAKANOUE C,5.0,13,6,440,4,JPN
4.0,3:25,Counter attack - Goal,16 - 7,JPN,SAKANOUE C,5.0,16,7,205,4,JPN
4.0,3:03,Turnover foul,16 - 7,KAZ,SAICHUK O,8.0,16,7,183,4,JPN
4.0,3:03,Steal,16 - 7,JPN,HOSOYA K,9.0,16,7,183,4,JPN
4.0,2:57,Counter attack - Goal,17 - 7,JPN,SAKANOUE C,5.0,17,7,177,4,JPN
4.0,2:26,5m shot - Missed,17 - 7,KAZ,MIRSHINA A,11.0,17,7,146,4,JPN
4.0,2:07,Turnover foul,17 - 7,JPN,NORO M,10.0,17,7,127,4,JPN
4.0,2:07,Steal,17 - 7,KAZ,TUROVA A,4.0,17,7,127,4,JPN
4.0,1:34,Action shot - Saved,17 - 7,JPN,ARIMA Y,2.0,17,7,94,4,JPN
4.0,1:19,Penalty foul,17 - 7,JPN,NORO M,10.0,17,7,79,4,JPN
4.0,1:19,Penalty shot - Post,17 - 7,KAZ,MIRSHINA A,11.0,17,7,79,4,JPN
4.0,1:17,Turnover foul,17 - 7,KAZ,MIRSHINA A,11.0,17,7,77,4,JPN
4.0,0:57,Action shot - Saved,17 - 7,JPN,MAGARIYAMA S,4.0,17,7,57,4,JPN
4.0,0:43,20 sec. exclusion in centre,17 - 7,JPN,SAKANOUE C,5.0,17,7,43,4,JPN
4.0,0:43,Exclusion with substitution,17 - 7,JPN,SAKANOUE C,5.0,17,7,43,4,JPN
4.0,0:43,Extra player shot - Goal,17 - 8,KAZ,NOVIKOVA A,7.0,17,8,43,4,JPN
4.0,0:32,Action shot - Missed,17 - 8,JPN,NIIZAWA Y,8.0,17,8,32,4,JPN
4.0,0:15,Turnover foul,17 - 8,KAZ,ZAKIROVA K,5.0,17,8,15,4,JPN
4.0,0:15,Steal,17 - 8,JPN,MAGARIYAMA S,4.0,17,8,15,4,JPN
1.0,8:00,Starting goalkeeper,0 - 0,RSA,THOMAS R,1.0,0,0,480,5,RSA
1.0,8:00,Starting goalkeeper,0 - 0,KAZ,ZHARKIMBAYEVA A,1.0,0,0,480,5,RSA
1.0,8:00,Sprint won possession,0 - 0,RSA,HALLENDORFF A,6.0,0,0,480,5,RSA
1.0,7:42,Turnover foul,0 - 0,RSA,BARRETT N,11.0,0,0,462,5,RSA
1.0,7:42,Steal,0 - 0,KAZ,ZAKIROVA K,5.0,0,0,462,5,RSA
1.0,7:21,Turnover foul,0 - 0,KAZ,MUSSAROVA A,12.0,0,0,441,5,RSA
1.0,7:21,Steal,0 - 0,RSA,SCHOOLING M,5.0,0,0,441,5,RSA
1.0,6:56,Turnover foul,0 - 0,RSA,BARRETT N,11.0,0,0,416,5,RSA
1.0,6:56,Steal,0 - 0,KAZ,TUROVA A,4.0,0,0,416,5,RSA
1.0,6:32,Turnover foul,0 - 0,KAZ,MIRSHINA A,11.0,0,0,392,5,RSA
1.0,6:16,Action shot - Saved,0 - 0,RSA,WHITE K,12.0,0,0,376,5,RSA
1.0,5:52,Turnover foul,0 - 0,RSA,SCHOOLING M,5.0,0,0,352,5,RSA
1.0,5:52,Steal,0 - 0,KAZ,TUROVA A,4.0,0,0,352,5,RSA
1.0,5:25,Action shot - Saved,0 - 0,KAZ,ZAKIROVA K,5.0,0,0,325,5,RSA
1.0,5:09,20 sec. exclusion in centre,0 - 0,KAZ,ZAKIROVA K,5.0,0,0,309,5,RSA
1.0,4:51,Extra player shot - Missed,0 - 0,RSA,HALLENDORFF A,6.0,0,0,291,5,RSA
1.0,4:51,Time-Out,0 - 0,KAZ,,,0,0,291,5,RSA
1.0,4:36,20 sec. exclusion in field,0 - 0,RSA,SCHOOLING M,5.0,0,0,276,5,RSA
1.0,4:19,Extra player shot - Goal,0 - 1,KAZ,AKILBAYEVA A,3.0,0,1,259,5,RSA
1.0,3:53,Turnover foul,0 - 1,RSA,HALLENDORFF A,6.0,0,1,233,5,RSA
1.0,3:53,Steal,0 - 1,KAZ,MIRSHINA A,11.0,0,1,233,5,RSA
1.0,3:37,20 sec. exclusion in centre,0 - 1,RSA,MANSON M,10.0,0,1,217,5,RSA
1.0,3:22,Extra player shot - Post,0 - 1,KAZ,MYRZABEKOVA Z,10.0,0,1,202,5,RSA
1.0,2:57,Centre shot - Goal,1 - 1,RSA,SMIT Z,9.0,1,1,177,5,RSA
1.0,2:41,Turnover foul,1 - 1,KAZ,MYRZABEKOVA Z,10.0,1,1,161,5,RSA
1.0,2:25,Counter attack - Saved,1 - 1,RSA,BARRETT N,11.0,1,1,145,5,RSA
1.0,2:04,Action shot - Goal,1 - 2,KAZ,AKILBAYEVA A,3.0,1,2,124,5,RSA
1.0,1:49,Turnover foul,1 - 2,RSA,SMIT Z,9.0,1,2,109,5,RSA
1.0,1:21,5m shot - Saved,1 - 2,KAZ,MUSSAROVA A,12.0,1,2,81,5,RSA
1.0,1:20,Time-Out,1 - 2,RSA,,,1,2,80,5,RSA
1.0,1:00,Turnover foul,1 - 2,RSA,KEEVY A,8.0,1,2,60,5,RSA
1.0,1:00,Steal,1 - 2,KAZ,ZHARKIMBAYEVA A,1.0,1,2,60,5,RSA
1.0,0:58,20 sec. exclusion in field,1 - 2,RSA,PENNEY A,2.0,1,2,58,5,RSA
1.0,0:58,Penalty foul,1 - 2,RSA,PENNEY A,2.0,1,2,58,5,RSA
1.0,0:53,Penalty shot - Missed,1 - 2,KAZ,MIRSHINA A,11.0,1,2,53,5,RSA
1.0,0:32,Turnover foul,1 - 2,RSA,KEEVY A,8.0,1,2,32,5,RSA
1.0,0:13,Action shot - Saved,1 - 2,KAZ,ZAKIROVA K,5.0,1,2,13,5,RSA
2.0,8:00,Starting goalkeeper,1 - 2,RSA,THOMAS R,1.0,1,2,480,5,RSA
2.0,8:00,Starting goalkeeper,1 - 2,KAZ,ZHARKIMBAYEVA A,1.0,1,2,480,5,RSA
2.0,8:00,Sprint won possession,1 - 2,RSA,HALLENDORFF A,6.0,1,2,480,5,RSA
2.0,7:42,20 sec. exclusion in centre,1 - 2,KAZ,MUSSAROVA A,12.0,1,2,462,5,RSA
2.0,7:26,Extra player shot - Saved,1 - 2,RSA,SCHOOLING M,5.0,1,2,446,5,RSA
2.0,6:58,Action shot - Goal,1 - 3,KAZ,YEREMINA A,9.0,1,3,418,5,RSA
2.0,6:41,Turnover foul,1 - 3,RSA,SMIT Z,9.0,1,3,401,5,RSA
2.0,6:41,Steal,1 - 3,KAZ,AKILBAYEVA A,3.0,1,3,401,5,RSA
2.0,6:25,Turnover foul,1 - 3,KAZ,ZAKIROVA K,5.0,1,3,385,5,RSA
2.0,6:25,Steal,1 - 3,RSA,HALLENDORFF A,6.0,1,3,385,5,RSA
2.0,6:17,Turnover foul,1 - 3,RSA,HALLENDORFF A,6.0,1,3,377,5,RSA
2.0,6:06,5m shot - Goal,1 - 4,KAZ,MIRSHINA A,11.0,1,4,366,5,RSA
2.0,5:51,Penalty foul,1 - 4,KAZ,YEREMINA A,9.0,1,4,351,5,RSA
2.0,5:51,Penalty shot - Goal,2 - 4,RSA,WHITE K,12.0,2,4,351,5,RSA
2.0,5:42,Turnover foul,2 - 4,KAZ,MYRZABEKOVA Z,10.0,2,4,342,5,RSA
2.0,5:42,Steal,2 - 4,RSA,THOMAS R,1.0,2,4,342,5,RSA
2.0,5:17,Centre shot - Goal,3 - 4,RSA,SMIT Z,9.0,3,4,317,5,RSA
2.0,4:59,Action shot - Missed,3 - 4,KAZ,SAICHUK O,8.0,3,4,299,5,RSA
2.0,4:36,Action shot - Saved,3 - 4,RSA,BARRETT N,11.0,3,4,276,5,RSA
2.0,4:12,Action shot - Missed,3 - 4,KAZ,AKILBAYEVA A,3.0,3,4,252,5,RSA
2.0,3:45,20 sec. exclusion in centre,3 - 4,KAZ,TUROVA A,4.0,3,4,225,5,RSA
2.0,3:19,5m shot - Post,3 - 4,RSA,MANSON M,10.0,3,4,199,5,RSA
2.0,3:03,Turnover foul,3 - 4,RSA,WHITE K,12.0,3,4,183,5,RSA
2.0,3:03,Steal,3 - 4,KAZ,YEREMINA A,9.0,3,4,183,5,RSA
4.0,4:16,Steal,3 - 4,RSA,KEEVY A,8.0,3,4,256,5,RSA
4.0,4:16,Time-Out,3 - 4,RSA,,,3,4,256,5,RSA
4.0,3:50,Turnover foul,3 - 4,RSA,PALEY K,3.0,3,4,230,5,RSA
4.0,3:25,Centre shot - Goal,4 - 5,KAZ,NOVIKOVA A,7.0,4,5,205,5,RSA
4.0,2:24,5m shot - Missed,4 - 5,KAZ,NOVIKOVA A,7.0,4,5,144,5,RSA
4.0,1:52,Turnover foul,4 - 5,RSA,BARRETT N,11.0,4,5,112,5,RSA
2.0,2:11,Double exclusion,4 - 5,RSA,KEEVY A,8.0,4,5,131,5,RSA
2.0,2:11,Double exclusion,4 - 5,KAZ,MIRSHINA A,11.0,4,5,131,5,RSA
2.0,2:04,Turnover foul,4 - 5,RSA,PALEY K,3.0,4,5,124,5,RSA
2.0,2:04,Steal,4 - 5,KAZ,MUSSAROVA A,12.0,4,5,124,5,RSA
2.0,1:48,Centre shot - Saved,4 - 5,KAZ,MYRZABEKOVA Z,10.0,4,5,108,5,RSA
2.0,1:48,Time-Out,4 - 5,RSA,,,4,5,108,5,RSA
2.0,1:34,20 sec. exclusion in field,4 - 5,KAZ,SAICHUK O,8.0,4,5,94,5,RSA
2.0,1:30,Turnover foul,4 - 5,RSA,BARRETT N,11.0,4,5,90,5,RSA
2.0,1:30,Time-Out,4 - 5,KAZ,,,4,5,90,5,RSA
2.0,1:11,Turnover foul,4 - 5,KAZ,MYRZABEKOVA Z,10.0,4,5,71,5,RSA
2.0,0:48,Turnover foul,4 - 5,RSA,BARRETT N,11.0,4,5,48,5,RSA
2.0,0:48,Steal,4 - 5,KAZ,ZAKIROVA K,5.0,4,5,48,5,RSA
2.0,0:33,20 sec. exclusion in centre,4 - 5,RSA,BARRETT N,11.0,4,5,33,5,RSA
2.0,0:22,Extra player shot - Blocked,4 - 5,KAZ,ZAKIROVA K,5.0,4,5,22,5,RSA
2.0,0:04,5m shot - Missed,4 - 5,RSA,PENNEY A,2.0,4,5,4,5,RSA
3.0,8:00,Starting goalkeeper,4 - 5,RSA,THOMAS R,1.0,4,5,480,5,RSA
3.0,8:00,Starting goalkeeper,4 - 5,KAZ,ZHARKIMBAYEVA A,1.0,4,5,480,5,RSA
3.0,8:00,Sprint won possession,4 - 5,RSA,HALLENDORFF A,6.0,4,5,480,5,RSA
3.0,7:41,20 sec. exclusion in centre,4 - 5,KAZ,MUSSAROVA A,12.0,4,5,461,5,RSA
3.0,7:21,Extra player shot - Saved,4 - 5,RSA,WHITE K,12.0,4,5,441,5,RSA
3.0,6:57,Centre shot - Saved,4 - 5,RSA,PALEY K,3.0,4,5,417,5,RSA
3.0,6:23,5m shot - Saved,4 - 5,KAZ,MIRSHINA A,11.0,4,5,383,5,RSA
3.0,6:06,Turnover foul,4 - 5,RSA,WHITE K,12.0,4,5,366,5,RSA
3.0,6:06,Steal,4 - 5,KAZ,MIRSHINA A,11.0,4,5,366,5,RSA
3.0,5:45,Centre shot - Missed,4 - 5,KAZ,TUROVA A,4.0,4,5,345,5,RSA
