Period,Time,Action,Score,Team,Player,Cap,Opponent,KAZ,Seconds,Game,Opponent name
2.0,2:34,Action shot - Missed,7 - 1,KAZ,YEREMINA A,9.0,7,1,154,2,GRE
2.0,2:20,Action shot - Goal,8 - 1,GRE,TSOUKALA C,2.0,8,1,140,2,GRE
2.0,2:05,Centre shot - Goal,8 - 2,KAZ,MYRZABEKOVA Z,10.0,8,2,125,2,GRE
2.0,1:38,Centre shot - Saved,8 - 2,GRE,XENAKI E,12.0,8,2,98,2,GRE
2.0,1:12,Action shot - Blocked,8 - 2,KAZ,ROGA D,6.0,8,2,72,2,GRE
2.0,0:51,Penalty foul,8 - 2,KAZ,TUROVA A,4.0,8,2,51,2,GRE
2.0,0:51,Penalty shot - Goal,9 - 2,GRE,MANOLIOUDAKI T,10.0,9,2,51,2,GRE
2.0,0:34,Turnover foul,9 - 2,KAZ,MYRZABEKOVA Z,10.0,9,2,34,2,GRE
2.0,0:34,Steal,9 - 2,GRE,TSOUKALA C,2.0,9,2,34,2,GRE
2.0,0:34,Time-Out,9 - 2,GRE,,,9,2,34,2,GRE
2.0,0:13,Turnover foul,9 - 2,GRE,PLEVRITOU M,5.0,9,2,13,2,GRE
2.0,0:13,Steal,9 - 2,KAZ,ZHARKIMBAYEVA A,1.0,9,2,13,2,GRE
4.0,1:05,20 sec. exclusion in field,9 - 2,KAZ,YEREMINA A,9.0,9,2,65,2,GRE
4.0,0:59,Extra player shot - Goal,18 - 5,GRE,ELEFTHERIADOU N,4.0,18,5,59,2,GRE
4.0,0:33,Turnover foul,18 - 5,KAZ,RAITER S,2.0,18,5,33,2,GRE
4.0,0:33,Steal,18 - 5,GRE,ASIMAKI A,7.0,18,5,33,2,GRE
2.0,0:01,5m shot - Blocked,18 - 5,KAZ,ZAKIROVA K,5.0,18,5,1,2,GRE
3.0,8:00,Starting goalkeeper,18 - 5,GRE,KOUVDOU E,1.0,18,5,480,2,GRE
3.0,8:00,Starting goalkeeper,18 - 5,KAZ,ZHARKIMBAYEVA A,1.0,18,5,480,2,GRE
3.0,8:00,Sprint won possession,18 - 5,KAZ,ZAKIROVA K,5.0,18,5,480,2,GRE
3.0,7:40,Turnover foul,18 - 5,KAZ,MYRZABEKOVA Z,10.0,18,5,460,2,GRE
3.0,7:40,Steal,18 - 5,GRE,AVRAMIDOU A,6.0,18,5,460,2,GRE
3.0,7:19,Action shot - Goal,10 - 2,GRE,MANOLIOUDAKI T,10.0,10,2,439,2,GRE
3.0,6:58,20 sec. exclusion in field,10 - 2,GRE,PLEVRITOU E,11.0,10,2,418,2,GRE
3.0,6:38,Action shot - Saved,10 - 2,KAZ,MIRSHINA A,11.0,10,2,398,2,GRE
3.0,6:23,Counter attack - Goal,11 - 2,GRE,PLEVRITOU E,11.0,11,2,383,2,GRE
3.0,6:05,20 sec. exclusion in field,11 - 2,GRE,ELEFTHERIADOU N,4.0,11,2,365,2,GRE
3.0,6:04,Time-Out,11 - 2,KAZ,,,11,2,364,2,GRE
3.0,5:41,Extra player shot - Blocked,11 - 2,KAZ,AKILBAYEVA A,3.0,11,2,341,2,GRE
3.0,5:31,Action shot - Saved,11 - 2,KAZ,ROGA D,6.0,11,2,331,2,GRE
3.0,5:28,Centre shot - Goal,11 - 3,KAZ,AKILBAYEVA A,3.0,11,3,328,2,GRE
3.0,5:06,Centre shot - Saved,11 - 3,GRE,ASIMAKI A,7.0,11,3,306,2,GRE
3.0,4:35,5m shot - Post,11 - 3,KAZ,MIRSHINA A,11.0,11,3,275,2,GRE
3.0,4:11,Turnover foul,11 - 3,KAZ,MYRZABEKOVA Z,10.0,11,3,251,2,GRE
3.0,4:01,Centre shot - Saved,11 - 3,GRE,ASIMAKI A,7.0,11,3,241,2,GRE
3.0,3:35,Turnover foul,11 - 3,KAZ,MIRSHINA A,11.0,11,3,215,2,GRE
3.0,3:35,Steal,11 - 3,GRE,AVRAMIDOU A,6.0,11,3,215,2,GRE
3.0,3:15,Action shot - Saved,11 - 3,GRE,TSOUKALA C,2.0,11,3,195,2,GRE
3.0,2:50,Turnover foul,11 - 3,KAZ,ROGA D,6.0,11,3,170,2,GRE
3.0,2:50,Steal,11 - 3,GRE,TSOUKALA C,2.0,11,3,170,2,GRE
3.0,2:50,Time-Out,11 - 3,GRE,,,11,3,170,2,GRE
3.0,2:35,Centre shot - Missed,11 - 3,GRE,XENAKI E,12.0,11,3,155,2,GRE
3.0,2:16,Turnover foul,11 - 3,KAZ,AKILBAYEVA A,3.0,11,3,136,2,GRE
3.0,2:16,Steal,11 - 3,GRE,MANOLIOUDAKI T,10.0,11,3,136,2,GRE
3.0,2:06,Turnover foul,11 - 3,GRE,XENAKI E,12.0,11,3,126,2,GRE
3.0,1:54,Centre shot - Saved,11 - 3,KAZ,MUSSAROVA A,12.0,11,3,114,2,GRE
3.0,1:22,5m shot - Blocked,11 - 3,KAZ,ZAKIROVA K,5.0,11,3,82,2,GRE
3.0,1:03,Action shot - Goal,12 - 3,GRE,DIAMANTOPOULOU V,3.0,12,3,63,2,GRE
3.0,0:41,Turnover foul,12 - 3,KAZ,ZAKIROVA K,5.0,12,3,41,2,GRE
3.0,0:41,Steal,12 - 3,GRE,CHYDIRIOTI I,8.0,12,3,41,2,GRE
3.0,0:33,Penalty foul,12 - 3,KAZ,TUROVA A,4.0,12,3,33,2,GRE
3.0,0:33,Exclusion with substitution,12 - 3,KAZ,TUROVA A,4.0,12,3,33,2,GRE
3.0,0:33,Penalty shot - Goal,13 - 3,GRE,XENAKI E,12.0,13,3,33,2,GRE
3.0,0:04,Turnover foul,13 - 3,KAZ,MUSSAROVA A,12.0,13,3,4,2,GRE
4.0,8:00,Starting goalkeeper,13 - 3,GRE,KOUVDOU E,1.0,13,3,480,2,GRE
