Action,Cap,GER,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
5m shot - Goal,7.0,9,1,5,KAZ,4.0,USHAKOV V,9 - 5,240,KAZ,4:00
20 sec. exclusion in field,9.0,9,1,5,KAZ,4.0,UKUMANOV R,9 - 5,222,KAZ,3:42
5m shot - Saved,7.0,9,1,5,KAZ,4.0,NOSSEK H,9 - 5,192,GER,3:12
Counter attack - Goal,2.0,9,1,6,KAZ,4.0,GUBAREV S,9 - 6,178,KAZ,2:58
Turnover foul,12.0,9,1,6,KAZ,4.0,EIDNER D,9 - 6,161,GER,2:41
Counter attack - Goal,4.0,9,1,7,KAZ,4.0,PILIPENKO R,9 - 7,148,KAZ,2:28
5m shot - Saved,10.0,9,1,7,KAZ,4.0,OELER M,9 - 7,119,GER,1:59
Counter attack - Goal,9.0,9,1,8,KAZ,4.0,UKUMANOV R,9 - 8,109,KAZ,1:49
20 sec. exclusion in centre,4.0,9,1,8,KAZ,4.0,PILIPENKO R,9 - 8,82,KAZ,1:22
Extra player shot - Saved,7.0,9,1,8,KAZ,4.0,NOSSEK H,9 - 8,71,GER,1:11
Action shot - Saved,9.0,9,1,8,KAZ,4.0,STAMM M,9 - 8,58,GER,0:58
Turnover foul,11.0,9,1,8,KAZ,4.0,SCHLOTTERBECK A,9 - 8,32,GER,0:32
Steal,2.0,9,1,8,KAZ,4.0,GUBAREV S,9 - 8,32,KAZ,0:32
Time-Out,,9,1,8,KAZ,4.0,,9 - 8,32,KAZ,0:32
5m shot - Blocked,2.0,9,1,8,KAZ,4.0,GUBAREV S,9 - 8,7,KAZ,0:07
Starting goalkeeper,1.0,0,2,0,ITA,1.0,KONG R,0 - 0,480,GER,8:00
Starting goalkeeper,1.0,0,2,0,ITA,1.0,TEMPESTI S,0 - 0,480,ITA,8:00
Sprint won possession,10.0,0,2,0,ITA,1.0,FIORENTINI D,0 - 0,480,ITA,8:00
Turnover foul,10.0,0,2,0,ITA,1.0,FIORENTINI D,0 - 0,460,ITA,7:40
Steal,9.0,0,2,0,ITA,1.0,STAMM M,0 - 0,460,GER,7:40
Turnover foul,2.0,0,2,0,ITA,1.0,BUKOWSKI E,0 - 0,439,GER,7:19
Steal,5.0,0,2,0,ITA,1.0,GIORGETTI A,0 - 0,439,ITA,7:19
Centre shot - Saved,3.0,0,2,0,ITA,1.0,GITTO N,0 - 0,418,ITA,6:58
5m shot - Missed,6.0,0,2,0,ITA,1.0,FELUGO M,0 - 0,393,ITA,6:33
5m shot - Saved,4.0,0,2,0,ITA,1.0,REAL J,0 - 0,367,GER,6:07
Turnover foul,7.0,0,2,0,ITA,1.0,NOSSEK H,0 - 0,339,GER,5:39
Steal,1.0,0,2,0,ITA,1.0,TEMPESTI S,0 - 0,339,ITA,5:39
Turnover foul,8.0,0,2,0,ITA,1.0,GALLO V,0 - 0,324,ITA,5:24
20 sec. exclusion in field,10.0,0,2,0,ITA,1.0,FIORENTINI D,0 - 0,321,ITA,5:21
Centre shot - Goal,4.0,1,2,0,ITA,1.0,REAL J,0 - 1,297,GER,4:57
Turnover foul,12.0,1,2,0,ITA,1.0,NAPOLITANO C,0 - 1,272,ITA,4:32
Steal,4.0,1,2,0,ITA,1.0,REAL J,0 - 1,272,GER,4:32
5m shot - Saved,4.0,1,2,0,ITA,1.0,REAL J,0 - 1,250,GER,4:10
Turnover foul,12.0,1,2,0,ITA,1.0,NAPOLITANO C,0 - 1,230,ITA,3:50
Steal,1.0,1,2,0,ITA,1.0,KONG R,0 - 1,230,GER,3:50
5m shot - Saved,9.0,1,2,0,ITA,1.0,STAMM M,0 - 1,201,GER,3:21
5m shot - Goal,4.0,1,2,1,ITA,1.0,FIGLIOLI P,1 - 1,177,ITA,2:57
5m shot - Saved,6.0,1,2,1,ITA,1.0,JUENGLING M,1 - 1,147,GER,2:27
Action shot - Saved,12.0,1,2,1,ITA,1.0,EIDNER D,1 - 1,132,GER,2:12
20 sec. exclusion in field,9.0,1,2,1,ITA,1.0,STAMM M,1 - 1,117,GER,1:57
Extra player shot - Goal,5.0,1,2,2,ITA,1.0,GIORGETTI A,2 - 1,104,ITA,1:44
5m shot - Saved,4.0,1,2,2,ITA,1.0,REAL J,2 - 1,76,GER,1:16
Centre shot - Goal,11.0,1,2,3,ITA,1.0,AICARDI M,3 - 1,56,ITA,0:56
20 sec. exclusion in centre,4.0,1,2,3,ITA,1.0,FIGLIOLI P,3 - 1,41,ITA,0:41
Centre shot - Post,2.0,1,2,3,ITA,1.0,BUKOWSKI E,3 - 1,17,GER,0:17
Starting goalkeeper,1.0,1,2,3,ITA,2.0,KONG R,3 - 1,480,GER,8:00
Starting goalkeeper,1.0,1,2,3,ITA,2.0,TEMPESTI S,3 - 1,480,ITA,8:00
