Action,Cap,GER,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
20 sec. exclusion in centre,6.0,7,3,3,ROU,2.0,JUENGLING M,7 - 3,16,GER,0:16
Extra player shot - Blocked,6.0,7,3,3,ROU,2.0,BUSILA A,7 - 3,3,ROU,0:03
5m shot - Saved,7.0,7,3,3,ROU,2.0,NOSSEK H,7 - 3,1,GER,0:01
Starting goalkeeper,1.0,7,3,3,ROU,3.0,STOENESCU D,7 - 3,480,ROU,8:00
Starting goalkeeper,13.0,7,3,3,ROU,3.0,SCHENKEL M,7 - 3,480,GER,8:00
Sprint won possession,10.0,7,3,3,ROU,3.0,OELER M,7 - 3,480,GER,8:00
Turnover foul,7.0,7,3,3,ROU,3.0,NOSSEK H,7 - 3,454,GER,7:34
Steal,11.0,7,3,3,ROU,3.0,GHIBAN A,7 - 3,454,ROU,7:34
Action shot - Blocked,11.0,7,3,3,ROU,3.0,GHIBAN A,7 - 3,439,ROU,7:19
Action shot - Blocked,2.0,7,3,3,ROU,3.0,BUKOWSKI E,7 - 3,414,GER,6:54
5m shot - Missed,10.0,7,3,3,ROU,3.0,GEORGESCU R,7 - 3,396,ROU,6:36
Turnover foul,10.0,7,3,3,ROU,3.0,OELER M,7 - 3,376,GER,6:16
Steal,1.0,7,3,3,ROU,3.0,STOENESCU D,7 - 3,376,ROU,6:16
5m shot - Saved,10.0,7,3,3,ROU,3.0,GEORGESCU R,7 - 3,347,ROU,5:47
Turnover foul,7.0,7,3,3,ROU,3.0,NOSSEK H,7 - 3,322,GER,5:22
Centre shot - Saved,2.0,7,3,3,ROU,3.0,IANC P,7 - 3,294,ROU,4:54
Centre shot - Goal,2.0,7,3,4,ROU,3.0,IANC P,7 - 4,292,ROU,4:52
5m shot - Post,6.0,7,3,4,ROU,3.0,JUENGLING M,7 - 4,266,GER,4:26
20 sec. exclusion in centre,6.0,7,3,4,ROU,3.0,JUENGLING M,7 - 4,249,GER,4:09
Exclusion with substitution,6.0,7,3,4,ROU,3.0,JUENGLING M,7 - 4,249,GER,4:09
Time-Out,,7,3,4,ROU,3.0,,7 - 4,249,ROU,4:09
Action shot - Goal,6.0,7,3,5,ROU,3.0,BUSILA A,7 - 5,226,ROU,3:46
Action shot - Saved,9.0,7,3,5,ROU,3.0,STAMM M,7 - 5,198,GER,3:18
20 sec. exclusion in centre,11.0,7,3,5,ROU,3.0,GHIBAN A,7 - 5,189,ROU,3:09
Action shot - Goal,8.0,8,3,5,ROU,3.0,SCHUELER P,8 - 5,168,GER,2:48
Turnover foul,2.0,8,3,5,ROU,3.0,IANC P,8 - 5,137,ROU,2:17
Steal,8.0,8,3,5,ROU,3.0,SCHUELER P,8 - 5,137,GER,2:17
20 sec. exclusion in centre,9.0,8,3,5,ROU,3.0,GOANTA D,8 - 5,121,ROU,2:01
Extra player shot - Saved,10.0,8,3,5,ROU,3.0,OELER M,8 - 5,101,GER,1:41
Turnover foul,7.0,8,3,5,ROU,3.0,MATEI A,8 - 5,76,ROU,1:16
Steal,10.0,8,3,5,ROU,3.0,OELER M,8 - 5,76,GER,1:16
20 sec. exclusion in centre,10.0,8,3,5,ROU,3.0,OELER M,8 - 5,30,GER,0:30
Turnover foul,4.0,8,3,5,ROU,3.0,DIACONU N,8 - 5,10,ROU,0:10
Steal,2.0,8,3,5,ROU,3.0,BUKOWSKI E,8 - 5,10,GER,0:10
5m shot - Saved,9.0,8,3,5,ROU,3.0,STAMM M,8 - 5,1,GER,0:01
Starting goalkeeper,13.0,8,3,5,ROU,4.0,SCHENKEL M,8 - 5,480,GER,8:00
Starting goalkeeper,1.0,8,3,5,ROU,4.0,STOENESCU D,8 - 5,480,ROU,8:00
Sprint won possession,9.0,8,3,5,ROU,4.0,STAMM M,8 - 5,480,GER,8:00
Turnover foul,12.0,8,3,5,ROU,4.0,EIDNER D,8 - 5,461,GER,7:41
Turnover foul,2.0,8,3,5,ROU,4.0,IANC P,8 - 5,443,ROU,7:23
Steal,2.0,8,3,5,ROU,4.0,BUKOWSKI E,8 - 5,443,GER,7:23
Centre shot - Goal,12.0,9,3,5,ROU,4.0,EIDNER D,9 - 5,415,GER,6:55
5m shot - Saved,7.0,9,3,5,ROU,4.0,MATEI A,9 - 5,400,ROU,6:40
20 sec. exclusion in centre,5.0,9,3,5,ROU,4.0,ROHE T,9 - 5,389,GER,6:29
Action shot - Post,4.0,9,3,5,ROU,4.0,DIACONU N,9 - 5,364,ROU,6:04
Action shot - Post,7.0,9,3,5,ROU,4.0,NOSSEK H,9 - 5,336,GER,5:36
Turnover foul,11.0,9,3,5,ROU,4.0,GHIBAN A,9 - 5,308,ROU,5:08
Steal,4.0,9,3,5,ROU,4.0,REAL J,9 - 5,308,GER,5:08
5m shot - Saved,9.0,9,3,5,ROU,4.0,STAMM M,9 - 5,278,GER,4:38
Centre shot - Goal,2.0,9,3,6,ROU,4.0,IANC P,9 - 6,248,ROU,4:08
Centre shot - Saved,12.0,9,3,6,ROU,4.0,EIDNER D,9 - 6,226,GER,3:46
20 sec. exclusion in field,12.0,9,3,6,ROU,4.0,EIDNER D,9 - 6,225,GER,3:45
Time-Out,,9,3,6,ROU,4.0,,9 - 6,225,ROU,3:45
Action shot - Goal,6.0,9,3,7,ROU,4.0,BUSILA A,9 - 7,199,ROU,3:19
Action shot - Saved,9.0,9,3,7,ROU,4.0,STAMM M,9 - 7,173,GER,2:53
Action shot - Goal,11.0,9,3,8,ROU,4.0,GHIBAN A,9 - 8,153,ROU,2:33
5m shot - Saved,10.0,9,3,8,ROU,4.0,OELER M,9 - 8,124,GER,2:04
Turnover foul,2.0,9,3,8,ROU,4.0,IANC P,9 - 8,96,ROU,1:36
Steal,2.0,9,3,8,ROU,4.0,BUKOWSKI E,9 - 8,47,GER,0:47
Turnover foul,11.0,9,3,8,ROU,4.0,GHIBAN A,9 - 8,7,ROU,0:07
Steal,12.0,9,3,8,ROU,4.0,EIDNER D,9 - 8,7,GER,0:07
Starting goalkeeper,13.0,0,4,0,AUS,1.0,CLARK J,0 - 0,480,AUS,8:00
Starting goalkeeper,1.0,0,4,0,AUS,1.0,KONG R,0 - 0,480,GER,8:00
Sprint won possession,11.0,0,4,0,AUS,1.0,HOWDEN R,0 - 0,480,AUS,8:00
Turnover foul,11.0,0,4,0,AUS,1.0,HOWDEN R,0 - 0,452,AUS,7:32
Action shot - Goal,11.0,0,4,1,AUS,1.0,HOWDEN R,0 - 1,409,AUS,6:49
5m shot - Saved,4.0,0,4,1,AUS,1.0,REAL J,0 - 1,381,GER,6:21
Turnover foul,9.0,0,4,1,AUS,1.0,SWIFT J,0 - 1,353,AUS,5:53
Steal,10.0,0,4,1,AUS,1.0,OELER M,0 - 1,353,GER,5:53
Turnover foul,2.0,0,4,1,AUS,1.0,BUKOWSKI E,0 - 1,328,GER,5:28
Steal,13.0,0,4,1,AUS,1.0,CLARK J,0 - 1,328,AUS,5:28
Action shot - Goal,8.0,0,4,2,AUS,1.0,YOUNGER A,0 - 2,300,AUS,5:00
20 sec. exclusion in centre,5.0,0,4,2,AUS,1.0,POWER N,0 - 2,284,AUS,4:44
Extra player shot - Post,8.0,0,4,2,AUS,1.0,SCHUELER P,0 - 2,265,GER,4:25
Turnover foul,2.0,0,4,2,AUS,1.0,CAMPBELL R,0 - 2,236,AUS,3:56
Steal,1.0,0,4,2,AUS,1.0,KONG R,0 - 2,236,GER,3:56
5m shot - Saved,9.0,0,4,2,AUS,1.0,STAMM M,0 - 2,208,GER,3:28
Action shot - Saved,11.0,0,4,2,AUS,1.0,HOWDEN R,0 - 2,179,AUS,2:59
Turnover foul,8.0,0,4,2,AUS,1.0,SCHUELER P,0 - 2,152,GER,2:32
Steal,11.0,0,4,2,AUS,1.0,HOWDEN R,0 - 2,152,AUS,2:32
5m shot - Blocked,8.0,0,4,2,AUS,1.0,SCHUELER P,0 - 2,92,GER,1:32
Turnover foul,3.0,0,4,2,AUS,1.0,MARTIN M,0 - 2,65,AUS,1:05
Steal,1.0,0,4,2,AUS,1.0,KONG R,0 - 2,65,GER,1:05
Turnover foul,10.0,0,4,2,AUS,1.0,OELER M,0 - 2,46,GER,0:46
Turnover foul,8.0,0,4,2,AUS,1.0,YOUNGER A,0 - 2,22,AUS,0:22
5m shot - Saved,10.0,0,4,2,AUS,1.0,OELER M,0 - 2,7,GER,0:07
Turnover foul,11.0,0,4,2,AUS,1.0,SCHLOTTERBECK A,0 - 2,3,GER,0:03
Steal,2.0,0,4,2,AUS,1.0,CAMPBELL R,0 - 2,3,AUS,0:03
5m shot - Saved,13.0,0,4,2,AUS,1.0,CLARK J,0 - 2,1,AUS,0:01
Starting goalkeeper,13.0,0,4,2,AUS,2.0,CLARK J,0 - 2,480,AUS,8:00
Starting goalkeeper,1.0,0,4,2,AUS,2.0,KONG R,0 - 2,480,GER,8:00
Sprint won possession,6.0,0,4,2,AUS,2.0,GILCHRIST J,0 - 2,480,AUS,8:00
Centre shot - Missed,9.0,0,4,2,AUS,2.0,SWIFT J,0 - 2,456,AUS,7:36
20 sec. exclusion in centre,6.0,0,4,2,AUS,2.0,GILCHRIST J,0 - 2,428,AUS,7:08
Extra player shot - Goal,7.0,1,4,2,AUS,2.0,NOSSEK H,1 - 2,424,GER,7:04
5m shot - Missed,12.0,1,4,2,AUS,2.0,MILLER W,1 - 2,398,AUS,6:38
20 sec. exclusion in field,9.0,1,4,2,AUS,2.0,SWIFT J,1 - 2,396,AUS,6:36
Action shot - Saved,4.0,1,4,2,AUS,2.0,REAL J,1 - 2,367,GER,6:07
5m shot - Post,2.0,1,4,2,AUS,2.0,CAMPBELL R,1 - 2,340,AUS,5:40
Turnover foul,9.0,1,4,2,AUS,2.0,STAMM M,1 - 2,315,GER,5:15
Action shot - Goal,11.0,1,4,3,AUS,2.0,HOWDEN R,1 - 3,301,AUS,5:01
20 sec. exclusion in centre,5.0,1,4,3,AUS,2.0,POWER N,1 - 3,283,AUS,4:43
Extra player shot - Goal,7.0,2,4,3,AUS,2.0,NOSSEK H,2 - 3,279,GER,4:39
Turnover foul,10.0,2,4,3,AUS,2.0,MARTIN T,2 - 3,258,AUS,4:18
Steal,7.0,2,4,3,AUS,2.0,NOSSEK H,2 - 3,258,GER,4:18
5m shot - Blocked,8.0,2,4,3,AUS,2.0,SCHUELER P,2 - 3,230,GER,3:50
5m shot - Saved,8.0,2,4,3,AUS,2.0,YOUNGER A,2 - 3,202,AUS,3:22
Centre shot - Post,2.0,2,4,3,AUS,2.0,CAMPBELL R,2 - 3,187,AUS,3:07
Action shot - Saved,10.0,2,4,3,AUS,2.0,OELER M,2 - 3,169,GER,2:49
20 sec. exclusion in centre,6.0,2,4,3,AUS,2.0,JUENGLING M,2 - 3,146,GER,2:26
Extra player shot - Goal,4.0,2,4,4,AUS,2.0,COTTERILL J,2 - 4,129,AUS,2:09
5m shot - Saved,7.0,2,4,4,AUS,2.0,NOSSEK H,2 - 4,100,GER,1:40
Turnover foul,9.0,2,4,4,AUS,2.0,SWIFT J,2 - 4,72,AUS,1:12
Steal,1.0,2,4,4,AUS,2.0,KONG R,2 - 4,72,GER,1:12
Action shot - Saved,7.0,2,4,4,AUS,2.0,NOSSEK H,2 - 4,42,GER,0:42
Action shot - Saved,12.0,2,4,4,AUS,2.0,MILLER W,2 - 4,12,AUS,0:12
Starting goalkeeper,13.0,2,4,4,AUS,3.0,SCHENKEL M,2 - 4,480,GER,8:00
Starting goalkeeper,13.0,2,4,4,AUS,3.0,CLARK J,2 - 4,480,AUS,8:00
Sprint won possession,11.0,2,4,4,AUS,3.0,HOWDEN R,2 - 4,480,AUS,8:00
Action shot - Post,11.0,2,4,4,AUS,3.0,HOWDEN R,2 - 4,451,AUS,7:31
5m shot - Blocked,7.0,2,4,4,AUS,3.0,NOSSEK H,2 - 4,425,GER,7:05
Turnover foul,9.0,2,4,4,AUS,3.0,SWIFT J,2 - 4,405,AUS,6:45
Action shot - Blocked,2.0,2,4,4,AUS,3.0,BUKOWSKI E,2 - 4,376,GER,6:16
Action shot - Saved,11.0,2,4,4,AUS,3.0,HOWDEN R,2 - 4,350,AUS,5:50
Centre shot - Saved,9.0,2,4,4,AUS,3.0,SWIFT J,2 - 4,328,AUS,5:28
5m shot - Saved,2.0,2,4,4,AUS,3.0,CAMPBELL R,2 - 4,268,AUS,4:28
Double exclusion,11.0,2,4,4,AUS,3.0,HOWDEN R,2 - 4,264,AUS,4:24
Double exclusion,12.0,2,4,4,AUS,3.0,EIDNER D,2 - 4,264,GER,4:24
Turnover foul,7.0,2,4,4,AUS,3.0,NOSSEK H,2 - 4,244,GER,4:04
Steal,7.0,2,4,4,AUS,3.0,ROACH A,2 - 4,244,AUS,4:04
Counter attack - Goal,7.0,2,4,5,AUS,3.0,ROACH A,2 - 5,234,AUS,3:54
5m shot - Saved,5.0,2,4,5,AUS,3.0,ROHE T,2 - 5,209,GER,3:29
5m shot - Missed,4.0,2,4,5,AUS,3.0,REAL J,2 - 5,190,GER,3:10
Action shot - Post,12.0,2,4,5,AUS,3.0,MILLER W,2 - 5,177,AUS,2:57
20 sec. exclusion in centre,5.0,2,4,5,AUS,3.0,POWER N,2 - 5,159,AUS,2:39
Exclusion with substitution,5.0,2,4,5,AUS,3.0,POWER N,2 - 5,159,AUS,2:39
Turnover foul,11.0,2,4,5,AUS,3.0,SCHLOTTERBECK A,2 - 5,140,GER,2:20
Steal,2.0,2,4,5,AUS,3.0,CAMPBELL R,2 - 5,140,AUS,2:20
20 sec. exclusion in centre,8.0,2,4,5,AUS,3.0,SCHUELER P,2 - 5,115,GER,1:55
Extra player shot - Blocked,2.0,2,4,5,AUS,3.0,CAMPBELL R,2 - 5,92,AUS,1:32
Centre shot - Missed,3.0,2,4,5,AUS,3.0,MARTIN M,2 - 5,66,AUS,1:06
5m shot - Blocked,7.0,2,4,5,AUS,3.0,NOSSEK H,2 - 5,41,GER,0:41
Turnover foul,10.0,2,4,5,AUS,3.0,OELER M,2 - 5,1,GER,0:01
Steal,6.0,2,4,5,AUS,3.0,GILCHRIST J,2 - 5,1,AUS,0:01
Starting goalkeeper,13.0,2,4,5,AUS,4.0,SCHENKEL M,2 - 5,480,GER,8:00
Starting goalkeeper,13.0,2,4,5,AUS,4.0,CLARK J,2 - 5,480,AUS,8:00
Sprint won possession,11.0,2,4,5,AUS,4.0,HOWDEN R,2 - 5,480,AUS,8:00
20 sec. exclusion in centre,4.0,2,4,5,AUS,4.0,REAL J,2 - 5,453,GER,7:33
Time-Out,,2,4,5,AUS,4.0,,2 - 5,453,AUS,7:33
Action shot - Post,8.0,2,4,5,AUS,4.0,YOUNGER A,2 - 5,431,AUS,7:11
Turnover foul,4.0,2,4,5,AUS,4.0,COTTERILL J,2 - 5,406,AUS,6:46
Steal,2.0,2,4,5,AUS,4.0,BUKOWSKI E,2 - 5,406,GER,6:46
Turnover foul,9.0,2,4,5,AUS,4.0,SWIFT J,2 - 5,362,AUS,6:02
Time-Out,,2,4,5,AUS,4.0,,2 - 5,362,GER,6:02
5m shot - Saved,10.0,2,4,5,AUS,4.0,OELER M,2 - 5,337,GER,5:37
Turnover foul,8.0,2,4,5,AUS,4.0,SCHUELER P,2 - 5,319,GER,5:19
Steal,13.0,2,4,5,AUS,4.0,CLARK J,2 - 5,319,AUS,5:19
Counter attack - Goal,8.0,2,4,6,AUS,4.0,YOUNGER A,2 - 6,302,AUS,5:02
Centre shot - Saved,11.0,2,4,6,AUS,4.0,SCHLOTTERBECK A,2 - 6,276,GER,4:36
20 sec. exclusion in field,11.0,2,4,6,AUS,4.0,HOWDEN R,2 - 6,263,AUS,4:23
Extra player shot - Goal,6.0,3,4,6,AUS,4.0,JUENGLING M,3 - 6,247,GER,4:07
Turnover foul,2.0,3,4,6,AUS,4.0,CAMPBELL R,3 - 6,221,AUS,3:41
Steal,7.0,3,4,6,AUS,4.0,NOSSEK H,3 - 6,221,GER,3:41
20 sec. exclusion in centre,12.0,3,4,6,AUS,4.0,MILLER W,3 - 6,203,AUS,3:23
Centre shot - Goal,4.0,4,4,6,AUS,4.0,REAL J,4 - 6,183,GER,3:03
Centre shot - Goal,9.0,4,4,7,AUS,4.0,SWIFT J,4 - 7,154,AUS,2:34
5m shot - Saved,6.0,4,4,7,AUS,4.0,JUENGLING M,4 - 7,126,GER,2:06
20 sec. exclusion in field,9.0,4,4,7,AUS,4.0,STAMM M,4 - 7,101,GER,1:41
Action shot - Goal,4.0,4,4,8,AUS,4.0,COTTERILL J,4 - 8,78,AUS,1:18
Turnover foul,12.0,4,4,8,AUS,4.0,EIDNER D,4 - 8,66,GER,1:06
Steal,2.0,4,4,8,AUS,4.0,CAMPBELL R,4 - 8,66,AUS,1:06
Centre shot - Saved,10.0,4,4,8,AUS,4.0,MARTIN T,4 - 8,37,AUS,0:37
Time-Out,,4,4,8,AUS,4.0,,4 - 8,37,GER,0:37
Turnover foul,4.0,4,4,8,AUS,4.0,REAL J,4 - 8,12,GER,0:12
Steal,6.0,4,4,8,AUS,4.0,GILCHRIST J,4 - 8,12,AUS,0:12
5m shot - Saved,4.0,4,4,8,AUS,4.0,COTTERILL J,4 - 8,1,AUS,0:01
