Action,Cap,GER,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,7.0,2,4,4,AUS,3.0,NOSSEK H,2 - 4,425,GER,7:05,Blocked,0
Action shot,2.0,2,4,4,AUS,3.0,BUKOWSKI E,2 - 4,376,GER,6:16,Blocked,0
Action shot,11.0,2,4,4,AUS,3.0,HOWDEN R,2 - 4,350,AUS,5:50,Saved,0
Centre shot,9.0,2,4,4,AUS,3.0,SWIFT J,2 - 4,328,AUS,5:28,Saved,0
5m shot,2.0,2,4,4,AUS,3.0,CAMPBELL R,2 - 4,268,AUS,4:28,Saved,0
Counter attack,7.0,2,4,5,AUS,3.0,ROACH A,2 - 5,234,AUS,3:54,Goal,1
5m shot,5.0,2,4,5,AUS,3.0,ROHE T,2 - 5,209,GER,3:29,Saved,0
5m shot,4.0,2,4,5,AUS,3.0,REAL J,2 - 5,190,GER,3:10,Missed,0
Action shot,12.0,2,4,5,AUS,3.0,MILLER W,2 - 5,177,AUS,2:57,Post,0
Extra player shot,2.0,2,4,5,AUS,3.0,CAMPBELL R,2 - 5,92,AUS,1:32,Blocked,0
Centre shot,3.0,2,4,5,AUS,3.0,MARTIN M,2 - 5,66,AUS,1:06,Missed,0
5m shot,7.0,2,4,5,AUS,3.0,NOSSEK H,2 - 5,41,GER,0:41,Blocked,0
Action shot,8.0,2,4,5,AUS,4.0,YOUNGER A,2 - 5,431,AUS,7:11,Post,0
5m shot,10.0,2,4,5,AUS,4.0,OELER M,2 - 5,337,GER,5:37,Saved,0
Counter attack,8.0,2,4,6,AUS,4.0,YOUNGER A,2 - 6,302,AUS,5:02,Goal,1
Centre shot,11.0,2,4,6,AUS,4.0,SCHLOTTERBECK A,2 - 6,276,GER,4:36,Saved,0
Extra player shot,6.0,3,4,6,AUS,4.0,JUENGLING M,3 - 6,247,GER,4:07,Goal,1
Centre shot,4.0,4,4,6,AUS,4.0,REAL J,4 - 6,183,GER,3:03,Goal,1
Centre shot,9.0,4,4,7,AUS,4.0,SWIFT J,4 - 7,154,AUS,2:34,Goal,1
5m shot,6.0,4,4,7,AUS,4.0,JUENGLING M,4 - 7,126,GER,2:06,Saved,0
Action shot,4.0,4,4,8,AUS,4.0,COTTERILL J,4 - 8,78,AUS,1:18,Goal,1
Centre shot,10.0,4,4,8,AUS,4.0,MARTIN T,4 - 8,37,AUS,0:37,Saved,0
5m shot,4.0,4,4,8,AUS,4.0,COTTERILL J,4 - 8,1,AUS,0:01,Saved,0
