Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,0,1,0,NZL,1.0,AGUILAR I,0 - 0,480,ESP,8:00
Starting goalkeeper,1.0,0,1,0,NZL,1.0,KINGSMILL T,0 - 0,480,NZL,8:00
Sprint won possession,11.0,0,1,0,NZL,1.0,ESTRANY P,0 - 0,480,ESP,8:00
Turnover foul,10.0,0,1,0,NZL,1.0,PERRONE F,0 - 0,454,ESP,7:34
Steal,11.0,0,1,0,NZL,1.0,TIJSEN L,0 - 0,454,NZL,7:34
5m shot - Saved,5.0,0,1,0,NZL,1.0,ROSS J,0 - 0,431,NZL,7:11
Centre shot - Missed,7.0,0,1,0,NZL,1.0,SZIRANYI B,0 - 0,410,ESP,6:50
Action shot - Saved,5.0,0,1,0,NZL,1.0,ROSS J,0 - 0,386,NZL,6:26
Turnover foul,5.0,0,1,0,NZL,1.0,MOLINA G,0 - 0,358,ESP,5:58
20 sec. exclusion in field,3.0,0,1,0,NZL,1.0,de LERA R,0 - 0,353,ESP,5:53
5m shot - Blocked,12.0,0,1,0,NZL,1.0,PYE A,0 - 0,325,NZL,5:25
Action shot - Post,12.0,0,1,0,NZL,1.0,GARCIA X,0 - 0,309,ESP,5:09
Penalty foul,9.0,0,1,0,NZL,1.0,LUI-FAKAOTIMANAVA,0 - 0,299,NZL,4:59
Penalty shot - Goal,5.0,1,1,0,NZL,1.0,MOLINA G,1 - 0,299,ESP,4:59
5m shot - Blocked,2.0,1,1,0,NZL,1.0,LEWIS M,1 - 0,271,NZL,4:31
20 sec. exclusion in centre,10.0,1,1,0,NZL,1.0,BRYANT M,1 - 0,247,NZL,4:07
Extra player shot - Goal,9.0,2,1,0,NZL,1.0,VALLES X,2 - 0,245,ESP,4:05
5m shot - Saved,12.0,2,1,0,NZL,1.0,PYE A,2 - 0,218,NZL,3:38
Turnover foul,11.0,2,1,0,NZL,1.0,ESTRANY P,2 - 0,193,ESP,3:13
Steal,7.0,2,1,0,NZL,1.0,JACKSON D,2 - 0,193,NZL,3:13
Turnover foul,2.0,2,1,0,NZL,1.0,LEWIS M,2 - 0,185,NZL,3:05
Action shot - Post,8.0,2,1,0,NZL,1.0,ESPANOL A,2 - 0,173,ESP,2:53
Turnover foul,12.0,2,1,0,NZL,1.0,PYE A,2 - 0,152,NZL,2:32
Steal,11.0,2,1,0,NZL,1.0,ESTRANY P,2 - 0,152,ESP,2:32
Action shot - Goal,4.0,3,1,0,NZL,1.0,ALARCON R,3 - 0,126,ESP,2:06
Turnover foul,7.0,3,1,0,NZL,1.0,JACKSON D,3 - 0,103,NZL,1:43
Steal,6.0,3,1,0,NZL,1.0,MINGUELL M,3 - 0,103,ESP,1:43
20 sec. exclusion in centre,6.0,3,1,0,NZL,1.0,SIEPRATH A,3 - 0,82,NZL,1:22
Extra player shot - Post,9.0,3,1,0,NZL,1.0,VALLES X,3 - 0,78,ESP,1:18
Action shot - Missed,6.0,3,1,0,NZL,1.0,MINGUELL M,3 - 0,35,ESP,0:35
Action shot - Post,5.0,3,1,0,NZL,1.0,ROSS J,3 - 0,13,NZL,0:13
5m shot - Saved,12.0,3,1,0,NZL,1.0,GARCIA X,3 - 0,1,ESP,0:01
Starting goalkeeper,1.0,3,1,0,NZL,2.0,KINGSMILL T,3 - 0,480,NZL,8:00
Starting goalkeeper,1.0,3,1,0,NZL,2.0,AGUILAR I,3 - 0,480,ESP,8:00
Sprint won possession,8.0,3,1,0,NZL,2.0,ESPANOL A,3 - 0,480,ESP,8:00
Action shot - Saved,3.0,3,1,0,NZL,2.0,de LERA R,3 - 0,451,ESP,7:31
Centre shot - Saved,5.0,3,1,0,NZL,2.0,ROSS J,3 - 0,427,NZL,7:07
20 sec. exclusion in centre,4.0,3,1,0,NZL,2.0,LOWERY F,3 - 0,409,NZL,6:49
Extra player shot - Blocked,3.0,3,1,0,NZL,2.0,de LERA R,3 - 0,391,ESP,6:31
Action shot - Saved,5.0,3,1,0,NZL,2.0,ROSS J,3 - 0,363,NZL,6:03
Centre shot - Goal,8.0,4,1,0,NZL,2.0,ESPANOL A,4 - 0,342,ESP,5:42
Turnover foul,12.0,4,1,0,NZL,2.0,PYE A,4 - 0,316,NZL,5:16
Steal,4.0,4,1,0,NZL,2.0,ALARCON R,4 - 0,316,ESP,5:16
Turnover foul,5.0,4,1,0,NZL,2.0,MOLINA G,4 - 0,295,ESP,4:55
Steal,9.0,4,1,0,NZL,2.0,LUI-FAKAOTIMANAVA,4 - 0,295,NZL,4:55
Turnover foul,12.0,4,1,0,NZL,2.0,PYE A,4 - 0,270,NZL,4:30
Steal,4.0,4,1,0,NZL,2.0,ALARCON R,4 - 0,270,ESP,4:30
Action shot - Post,8.0,4,1,0,NZL,2.0,ESPANOL A,4 - 0,252,ESP,4:12
Action shot - Goal,10.0,5,1,0,NZL,2.0,PERRONE F,5 - 0,196,ESP,3:16
Penalty foul,2.0,5,1,0,NZL,2.0,MUNARRIZ A,5 - 0,176,ESP,2:56
Penalty shot - Goal,9.0,5,1,1,NZL,2.0,LUI-FAKAOTIMANAVA,5 - 1,176,NZL,2:56
Action shot - Missed,11.0,5,1,1,NZL,2.0,ESTRANY P,5 - 1,148,ESP,2:28
20 sec. exclusion in field,3.0,5,1,1,NZL,2.0,de LERA R,5 - 1,138,ESP,2:18
Time-Out,,5,1,1,NZL,2.0,,5 - 1,138,NZL,2:18
Action shot - Blocked,2.0,5,1,1,NZL,2.0,LEWIS M,5 - 1,117,NZL,1:57
20 sec. exclusion in centre,9.0,5,1,1,NZL,2.0,LUI-FAKAOTIMANAVA,5 - 1,97,NZL,1:37
Extra player shot - Goal,11.0,6,1,1,NZL,2.0,ESTRANY P,6 - 1,81,ESP,1:21
Turnover foul,11.0,6,1,1,NZL,2.0,TIJSEN L,6 - 1,69,NZL,1:09
Steal,11.0,6,1,1,NZL,2.0,ESTRANY P,6 - 1,69,ESP,1:09
Turnover foul,11.0,6,1,1,NZL,2.0,ESTRANY P,6 - 1,55,ESP,0:55
Steal,1.0,6,1,1,NZL,2.0,KINGSMILL T,6 - 1,55,NZL,0:55
Centre shot - Saved,5.0,6,1,1,NZL,2.0,ROSS J,6 - 1,39,NZL,0:39
Turnover foul,9.0,6,1,1,NZL,2.0,VALLES X,6 - 1,29,ESP,0:29
Action shot - Post,8.0,6,1,1,NZL,4.0,ESPANOL A,6 - 1,136,ESP,2:16
20 sec. exclusion in centre,9.0,6,1,1,NZL,4.0,LUI-FAKAOTIMANAVA,6 - 1,131,NZL,2:11
Exclusion with substitution,9.0,6,1,1,NZL,4.0,LUI-FAKAOTIMANAVA,6 - 1,131,NZL,2:11
Extra player shot - Goal,10.0,18,1,3,NZL,4.0,PERRONE F,18 - 3,125,ESP,2:05
Time-Out,,18,1,3,NZL,4.0,,18 - 3,125,NZL,2:05
5m shot - Saved,8.0,18,1,3,NZL,4.0,SMALL M,18 - 3,98,NZL,1:38
Centre shot - Blocked,7.0,18,1,3,NZL,4.0,SZIRANYI B,18 - 3,74,ESP,1:14
5m shot - Blocked,4.0,18,1,3,NZL,2.0,LOWERY F,18 - 3,4,NZL,0:04
5m shot - Missed,11.0,18,1,3,NZL,2.0,ESTRANY P,18 - 3,1,ESP,0:01
Starting goalkeeper,13.0,18,1,3,NZL,3.0,LOPEZ D,18 - 3,480,ESP,8:00
Starting goalkeeper,1.0,18,1,3,NZL,3.0,KINGSMILL T,18 - 3,480,NZL,8:00
Sprint won possession,3.0,18,1,3,NZL,3.0,de LERA R,18 - 3,480,ESP,8:00
Turnover foul,10.0,18,1,3,NZL,3.0,PERRONE F,18 - 3,461,ESP,7:41
Steal,1.0,18,1,3,NZL,3.0,KINGSMILL T,18 - 3,461,NZL,7:41
Turnover foul,12.0,18,1,3,NZL,3.0,PYE A,18 - 3,440,NZL,7:20
Steal,4.0,18,1,3,NZL,3.0,ALARCON R,18 - 3,440,ESP,7:20
Counter attack - Goal,10.0,7,1,1,NZL,3.0,PERRONE F,7 - 1,432,ESP,7:12
5m shot - Saved,7.0,7,1,1,NZL,3.0,JACKSON D,7 - 1,415,NZL,6:55
Turnover foul,7.0,7,1,1,NZL,3.0,SZIRANYI B,7 - 1,393,ESP,6:33
Steal,11.0,7,1,1,NZL,3.0,TIJSEN L,7 - 1,393,NZL,6:33
Turnover foul,12.0,7,1,1,NZL,3.0,PYE A,7 - 1,370,NZL,6:10
Steal,3.0,7,1,1,NZL,3.0,de LERA R,7 - 1,370,ESP,6:10
5m shot - Saved,4.0,7,1,1,NZL,3.0,ALARCON R,7 - 1,346,ESP,5:46
Turnover foul,7.0,7,1,1,NZL,3.0,JACKSON D,7 - 1,316,NZL,5:16
Steal,10.0,7,1,1,NZL,3.0,PERRONE F,7 - 1,316,ESP,5:16
5m shot - Goal,10.0,8,1,1,NZL,3.0,PERRONE F,8 - 1,300,ESP,5:00
20 sec. exclusion in field,7.0,8,1,1,NZL,3.0,SZIRANYI B,8 - 1,286,ESP,4:46
Extra player shot - Saved,8.0,8,1,1,NZL,3.0,SMALL M,8 - 1,282,NZL,4:42
Centre shot - Goal,7.0,9,1,1,NZL,3.0,SZIRANYI B,9 - 1,259,ESP,4:19
Turnover foul,8.0,9,1,1,NZL,3.0,SMALL M,9 - 1,233,NZL,3:53
Steal,6.0,9,1,1,NZL,3.0,MINGUELL M,9 - 1,233,ESP,3:53
Counter attack - Goal,6.0,10,1,1,NZL,3.0,MINGUELL M,10 - 1,218,ESP,3:38
Centre shot - Saved,7.0,10,1,1,NZL,3.0,JACKSON D,10 - 1,203,NZL,3:23
Action shot - Blocked,3.0,10,1,1,NZL,3.0,de LERA R,10 - 1,181,ESP,3:01
5m shot - Saved,10.0,10,1,1,NZL,3.0,BRYANT M,10 - 1,161,NZL,2:41
Centre shot - Goal,9.0,11,1,1,NZL,3.0,VALLES X,11 - 1,143,ESP,2:23
Action shot - Saved,8.0,11,1,1,NZL,3.0,SMALL M,11 - 1,127,NZL,2:07
Action shot - Goal,8.0,12,1,1,NZL,3.0,ESPANOL A,12 - 1,107,ESP,1:47
5m shot - Missed,9.0,12,1,1,NZL,3.0,LUI-FAKAOTIMANAVA,12 - 1,82,NZL,1:22
Turnover foul,2.0,12,1,1,NZL,3.0,MUNARRIZ A,12 - 1,68,ESP,1:08
5m shot - Saved,12.0,12,1,1,NZL,3.0,PYE A,12 - 1,35,NZL,0:35
5m shot - Goal,10.0,13,1,1,NZL,3.0,PERRONE F,13 - 1,15,ESP,0:15
Centre shot - Goal,9.0,13,1,2,NZL,3.0,LUI-FAKAOTIMANAVA,13 - 2,5,NZL,0:05
5m shot - Saved,5.0,13,1,2,NZL,3.0,MOLINA G,13 - 2,1,ESP,0:01
Starting goalkeeper,13.0,13,1,2,NZL,4.0,LOPEZ D,13 - 2,480,ESP,8:00
Starting goalkeeper,13.0,13,1,2,NZL,4.0,SMITH D,13 - 2,480,NZL,8:00
Sprint won possession,8.0,13,1,2,NZL,4.0,ESPANOL A,13 - 2,480,ESP,8:00
5m shot - Goal,4.0,14,1,2,NZL,4.0,ALARCON R,14 - 2,453,ESP,7:33
5m shot - Missed,8.0,14,1,2,NZL,4.0,SMALL M,14 - 2,437,NZL,7:17
Action shot - Goal,12.0,15,1,2,NZL,4.0,GARCIA X,15 - 2,418,ESP,6:58
Turnover foul,9.0,15,1,2,NZL,4.0,LUI-FAKAOTIMANAVA,15 - 2,394,NZL,6:34
Steal,12.0,15,1,2,NZL,4.0,GARCIA X,15 - 2,394,ESP,6:34
Turnover foul,12.0,15,1,2,NZL,4.0,GARCIA X,15 - 2,391,ESP,6:31
Steal,11.0,15,1,2,NZL,4.0,TIJSEN L,15 - 2,391,NZL,6:31
Centre shot - Goal,2.0,15,1,3,NZL,4.0,LEWIS M,15 - 3,389,NZL,6:29
Turnover foul,7.0,15,1,3,NZL,4.0,SZIRANYI B,15 - 3,367,ESP,6:07
Steal,13.0,15,1,3,NZL,4.0,SMITH D,15 - 3,367,NZL,6:07
Turnover foul,7.0,15,1,3,NZL,4.0,JACKSON D,15 - 3,345,NZL,5:45
Penalty foul,10.0,15,1,3,NZL,4.0,BRYANT M,15 - 3,330,NZL,5:30
Penalty shot - Goal,8.0,16,1,3,NZL,4.0,ESPANOL A,16 - 3,330,ESP,5:30
5m shot - Saved,12.0,16,1,3,NZL,4.0,PYE A,16 - 3,304,NZL,5:04
Turnover foul,10.0,16,1,3,NZL,4.0,PERRONE F,16 - 3,285,ESP,4:45
Steal,9.0,16,1,3,NZL,4.0,LUI-FAKAOTIMANAVA,16 - 3,285,NZL,4:45
Turnover foul,7.0,16,1,3,NZL,4.0,JACKSON D,16 - 3,258,NZL,4:18
