Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,6.0,3,2,2,MNE,1.0,MINGUELL M,2 - 3,55,ESP,0:55,Post,0
Centre shot,9.0,3,2,2,MNE,1.0,VALLES X,2 - 3,52,ESP,0:52,Saved,0
5m shot,5.0,3,2,2,MNE,1.0,BRGULJAN D,2 - 3,29,MNE,0:29,Saved,0
5m shot,1.0,3,2,2,MNE,1.0,RADIC Z,2 - 3,1,MNE,0:01,Missed,0
5m shot,12.0,3,2,2,MNE,2.0,GARCIA X,2 - 3,452,ESP,7:32,Saved,0
Counter attack,12.0,3,2,2,MNE,2.0,GARCIA X,2 - 3,413,ESP,6:53,Saved,0
5m shot,4.0,3,2,2,MNE,2.0,PETROVIC A,2 - 3,383,MNE,6:23,Saved,0
Centre shot,7.0,3,2,2,MNE,2.0,SZIRANYI B,2 - 3,323,ESP,5:23,Saved,0
5m shot,6.0,3,2,2,MNE,2.0,MINGUELL M,2 - 3,292,ESP,4:52,Missed,0
5m shot,9.0,3,2,3,MNE,2.0,IVOVIC A,3 - 3,275,MNE,4:35,Goal,1
Extra player shot,8.0,4,2,3,MNE,2.0,ESPANOL A,3 - 4,234,ESP,3:54,Goal,1
5m shot,8.0,4,2,3,MNE,2.0,ESPANOL A,3 - 4,177,ESP,2:57,Saved,0
Action shot,5.0,4,2,3,MNE,2.0,MOLINA G,3 - 4,111,ESP,1:51,Post,0
Action shot,7.0,4,2,4,MNE,2.0,JANOVIC M,4 - 4,94,MNE,1:34,Goal,1
Penalty shot,12.0,5,2,4,MNE,2.0,GARCIA X,4 - 5,73,ESP,1:13,Goal,1
5m shot,1.0,5,2,4,MNE,2.0,RADIC Z,4 - 5,1,MNE,0:01,Missed,0
Penalty shot,7.0,5,2,5,MNE,3.0,JANOVIC M,5 - 5,455,MNE,7:35,Goal,1
5m shot,12.0,5,2,5,MNE,3.0,GARCIA X,5 - 5,426,ESP,7:06,Saved,0
5m shot,2.0,5,2,5,MNE,3.0,BRGULJAN D,5 - 5,400,MNE,6:40,Saved,0
Action shot,12.0,5,2,5,MNE,3.0,GARCIA X,5 - 5,377,ESP,6:17,Missed,0
Centre shot,9.0,5,2,5,MNE,3.0,IVOVIC A,5 - 5,350,MNE,5:50,Saved,0
5m shot,8.0,5,2,5,MNE,3.0,ESPANOL A,5 - 5,321,ESP,5:21,Post,0
Action shot,2.0,5,2,5,MNE,3.0,BRGULJAN D,5 - 5,277,MNE,4:37,Saved,0
Centre shot,7.0,5,2,6,MNE,3.0,JANOVIC M,6 - 5,239,MNE,3:59,Goal,1
Action shot,11.0,5,2,6,MNE,3.0,ESTRANY P,6 - 5,190,ESP,3:10,Saved,0
Extra player shot,10.0,5,2,6,MNE,3.0,PERRONE F,6 - 5,144,ESP,2:24,Missed,0
Extra player shot,2.0,5,2,6,MNE,3.0,BRGULJAN D,6 - 5,102,MNE,1:42,Saved,0
Centre shot,8.0,5,2,6,MNE,3.0,JANOVIC N,6 - 5,101,MNE,1:41,Saved,0
Extra player shot,6.0,5,2,6,MNE,3.0,MINGUELL M,6 - 5,20,ESP,0:20,Blocked,0
5m shot,10.0,5,2,6,MNE,3.0,PERRONE F,6 - 5,1,ESP,0:01,Missed,0
Centre shot,5.0,5,2,6,MNE,4.0,MOLINA G,6 - 5,375,ESP,6:15,Missed,0
Penalty shot,7.0,5,2,7,MNE,4.0,JANOVIC M,7 - 5,321,MNE,5:21,Goal,1
Extra player shot,10.0,5,2,7,MNE,4.0,PERRONE F,7 - 5,293,ESP,4:53,Saved,0
5m shot,10.0,5,2,7,MNE,4.0,PERRONE F,7 - 5,253,ESP,4:13,Blocked,0
5m shot,4.0,5,2,7,MNE,4.0,ALARCON R,7 - 5,207,ESP,3:27,Saved,0
Extra player shot,3.0,5,2,7,MNE,4.0,de LERA R,7 - 5,134,ESP,2:14,Post,0
Extra player shot,12.0,5,2,7,MNE,4.0,GARCIA X,7 - 5,34,ESP,0:34,Post,0
5m shot,9.0,5,2,7,MNE,4.0,IVOVIC A,7 - 5,13,MNE,0:13,Saved,0
5m shot,2.0,5,2,7,MNE,4.0,BRGULJAN D,7 - 5,1,MNE,0:01,Saved,0
Action shot,8.0,0,3,0,GRE,1.0,DELAKAS E,0 - 0,452,GRE,7:32,Saved,0
Centre shot,9.0,0,3,0,GRE,1.0,MOURIKIS K,0 - 0,427,GRE,7:07,Missed,0
Extra player shot,2.0,0,3,0,GRE,1.0,MUNARRIZ A,0 - 0,353,ESP,5:53,Missed,0
Penalty shot,5.0,1,3,0,GRE,1.0,MOLINA G,1 - 0,307,ESP,5:07,Goal,1
Action shot,2.0,1,3,0,GRE,1.0,MYLONAKIS E,1 - 0,281,GRE,4:41,Post,0
5m shot,4.0,1,3,0,GRE,1.0,ALARCON R,1 - 0,199,ESP,3:19,Blocked,0
Action shot,12.0,1,3,0,GRE,1.0,VLACHOPOULOS A,1 - 0,153,GRE,2:33,Saved,0
Extra player shot,8.0,1,3,1,GRE,1.0,DELAKAS E,1 - 1,94,GRE,1:34,Goal,1
Action shot,7.0,1,3,1,GRE,1.0,AFROUDAKIS C,1 - 1,31,GRE,0:31,Saved,0
5m shot,5.0,1,3,1,GRE,1.0,MOLINA G,1 - 1,5,ESP,0:05,Missed,0
Extra player shot,3.0,1,3,1,GRE,2.0,de LERA R,1 - 1,438,ESP,7:18,Saved,0
Extra player shot,2.0,1,3,2,GRE,2.0,MYLONAKIS E,1 - 2,395,GRE,6:35,Goal,1
Action shot,11.0,1,3,2,GRE,2.0,ESTRANY P,1 - 2,313,ESP,5:13,Saved,0
Action shot,2.0,1,3,2,GRE,2.0,MYLONAKIS E,1 - 2,264,GRE,4:24,Saved,0
Action shot,5.0,1,3,2,GRE,2.0,MOLINA G,1 - 2,213,ESP,3:33,Saved,0
5m shot,5.0,1,3,2,GRE,2.0,MOLINA G,1 - 2,164,ESP,2:44,Missed,0
Action shot,2.0,1,3,3,GRE,2.0,MYLONAKIS E,1 - 3,138,GRE,2:18,Goal,1
5m shot,6.0,1,3,3,GRE,2.0,MINGUELL M,1 - 3,112,ESP,1:52,Blocked,0
5m shot,8.0,1,3,3,GRE,2.0,DELAKAS E,1 - 3,84,GRE,1:24,Missed,0
Action shot,10.0,1,3,3,GRE,2.0,PERRONE F,1 - 3,55,ESP,0:55,Saved,0
Centre shot,5.0,2,3,3,GRE,3.0,MOLINA G,2 - 3,465,ESP,7:45,Goal,1
Centre shot,6.0,2,3,3,GRE,3.0,MINGUELL M,2 - 3,379,ESP,6:19,Saved,0
Action shot,5.0,2,3,3,GRE,3.0,FOUNTOULIS I,2 - 3,350,GRE,5:50,Missed,0
Extra player shot,9.0,2,3,3,GRE,3.0,VALLES X,2 - 3,309,ESP,5:09,Saved,0
Centre shot,9.0,2,3,3,GRE,3.0,VALLES X,2 - 3,300,ESP,5:00,Saved,0
5m shot,7.0,2,3,4,GRE,3.0,AFROUDAKIS C,2 - 4,283,GRE,4:43,Goal,1
5m shot,10.0,2,3,4,GRE,3.0,PERRONE F,2 - 4,259,ESP,4:19,Missed,0
5m shot,5.0,2,3,5,GRE,3.0,FOUNTOULIS I,2 - 5,239,GRE,3:59,Goal,1
Centre shot,7.0,3,3,5,GRE,3.0,SZIRANYI B,3 - 5,212,ESP,3:32,Goal,1
Action shot,5.0,3,3,6,GRE,3.0,FOUNTOULIS I,3 - 6,185,GRE,3:05,Goal,1
5m shot,5.0,3,3,6,GRE,3.0,MOLINA G,3 - 6,158,ESP,2:38,Saved,0
Action shot,12.0,3,3,6,GRE,3.0,GARCIA X,3 - 6,102,ESP,1:42,Saved,0
Action shot,6.0,3,3,6,GRE,3.0,PONTIKEAS K,3 - 6,74,GRE,1:14,Saved,0
Action shot,11.0,3,3,6,GRE,3.0,ESTRANY P,3 - 6,16,ESP,0:16,Saved,0
Extra player shot,6.0,4,3,6,GRE,4.0,MINGUELL M,4 - 6,458,ESP,7:38,Goal,1
Action shot,2.0,4,3,7,GRE,4.0,MYLONAKIS E,4 - 7,431,GRE,7:11,Goal,1
Extra player shot,5.0,5,3,7,GRE,4.0,MOLINA G,5 - 7,391,ESP,6:31,Goal,1
Action shot,11.0,5,3,7,GRE,4.0,GOUNAS A,5 - 7,296,GRE,4:56,Saved,0
Action shot,6.0,5,3,7,GRE,4.0,MINGUELL M,5 - 7,267,ESP,4:27,Blocked,0
Action shot,5.0,5,3,7,GRE,4.0,FOUNTOULIS I,5 - 7,241,GRE,4:01,Post,0
Extra player shot,6.0,6,3,7,GRE,4.0,MINGUELL M,6 - 7,212,ESP,3:32,Goal,1
Centre shot,12.0,6,3,8,GRE,4.0,VLACHOPOULOS A,6 - 8,162,GRE,2:42,Goal,1
Extra player shot,6.0,7,3,8,GRE,4.0,MINGUELL M,7 - 8,84,ESP,1:24,Goal,1
Action shot,9.0,7,3,8,GRE,4.0,MOURIKIS K,7 - 8,56,GRE,0:56,Missed,0
Extra player shot,8.0,7,3,8,GRE,4.0,ESPANOL A,7 - 8,39,ESP,0:39,Saved,0
Penalty shot,5.0,0,4,0,USA,1.0,MOLINA G,0 - 0,435,ESP,7:15,Saved,0
Action shot,2.0,0,4,1,USA,1.0,WIGO J,1 - 0,409,USA,6:49,Goal,1
Extra player shot,10.0,1,4,1,USA,1.0,PERRONE F,1 - 1,379,ESP,6:19,Goal,1
5m shot,10.0,1,4,1,USA,1.0,PERRONE F,1 - 1,332,ESP,5:32,Post,0
Action shot,8.0,1,4,1,USA,1.0,ESPANOL A,1 - 1,310,ESP,5:10,Missed,0
Action shot,4.0,1,4,1,USA,1.0,BOWEN A,1 - 1,285,USA,4:45,Missed,0
Extra player shot,6.0,1,4,1,USA,1.0,MINGUELL M,1 - 1,249,ESP,4:09,Saved,0
Extra player shot,10.0,1,4,1,USA,1.0,PERRONE F,1 - 1,245,ESP,4:05,Post,0
Centre shot,6.0,1,4,1,USA,1.0,MINGUELL M,1 - 1,240,ESP,4:00,Saved,0
Centre shot,12.0,1,4,1,USA,1.0,GARCIA X,1 - 1,238,ESP,3:58,Saved,0
Counter attack,8.0,1,4,2,USA,1.0,AZEVEDO A,2 - 1,219,USA,3:39,Goal,1
5m shot,3.0,1,4,2,USA,1.0,de LERA R,2 - 1,195,ESP,3:15,Saved,0
Action shot,5.0,1,4,2,USA,1.0,de TRANE M,2 - 1,172,USA,2:52,Missed,0
Extra player shot,10.0,2,4,2,USA,1.0,PERRONE F,2 - 2,157,ESP,2:37,Goal,1
Extra player shot,12.0,2,4,2,USA,1.0,MANN J,2 - 2,118,USA,1:58,Missed,0
Action shot,5.0,3,4,2,USA,1.0,MOLINA G,2 - 3,105,ESP,1:45,Goal,1
Extra player shot,5.0,3,4,2,USA,1.0,de TRANE M,2 - 3,62,USA,1:02,Blocked,0
Action shot,8.0,4,4,2,USA,1.0,ESPANOL A,2 - 4,44,ESP,0:44,Goal,1
5m shot,12.0,4,4,2,USA,1.0,GARCIA X,2 - 4,3,ESP,0:03,Saved,0
Centre shot,8.0,4,4,2,USA,1.0,ESPANOL A,2 - 4,1,ESP,0:01,Saved,0
Extra player shot,10.0,4,4,2,USA,2.0,HUTTEN T,2 - 4,451,USA,7:31,Blocked,0
Extra player shot,12.0,4,4,3,USA,2.0,MANN J,3 - 4,450,USA,7:30,Goal,1
Penalty shot,8.0,5,4,3,USA,2.0,ESPANOL A,3 - 5,423,ESP,7:03,Goal,1
Action shot,8.0,5,4,3,USA,2.0,ESPANOL A,3 - 5,378,ESP,6:18,Saved,0
5m shot,6.0,5,4,3,USA,2.0,MINGUELL M,3 - 5,353,ESP,5:53,Saved,0
Centre shot,9.0,5,4,3,USA,2.0,VALLES X,3 - 5,301,ESP,5:01,Saved,0
5m shot,6.0,5,4,3,USA,2.0,MINGUELL M,3 - 5,252,ESP,4:12,Post,0
Action shot,2.0,5,4,3,USA,2.0,WIGO J,3 - 5,228,USA,3:48,Saved,0
Action shot,2.0,5,4,4,USA,2.0,WIGO J,4 - 5,185,USA,3:05,Goal,1
Centre shot,5.0,5,4,4,USA,2.0,MOLINA G,4 - 5,161,ESP,2:41,Missed,0
Action shot,3.0,5,4,4,USA,2.0,OBERT A,4 - 5,137,USA,2:17,Blocked,0
Action shot,6.0,9,4,6,USA,4.0,MINGUELL M,6 - 9,252,ESP,4:12,Goal,1
Extra player shot,11.0,9,4,6,USA,4.0,ROSENTHAL M,6 - 9,222,USA,3:42,Missed,0
Action shot,12.0,9,4,6,USA,4.0,GARCIA X,6 - 9,197,ESP,3:17,Saved,0
Centre shot,12.0,9,4,6,USA,4.0,GARCIA X,6 - 9,157,ESP,2:37,Saved,0
Counter attack,10.0,9,4,6,USA,2.0,PERRONE F,6 - 9,68,ESP,1:08,Missed,0
Extra player shot,9.0,9,4,6,USA,2.0,BUCKNER S,6 - 9,29,USA,0:29,Saved,0
Action shot,5.0,9,4,6,USA,2.0,MOLINA G,6 - 9,12,ESP,0:12,Saved,0
Action shot,12.0,9,4,6,USA,2.0,GARCIA X,6 - 9,1,ESP,0:01,Saved,0
Penalty shot,8.0,6,4,4,USA,3.0,ESPANOL A,4 - 6,455,ESP,7:35,Goal,1
Action shot,4.0,6,4,4,USA,3.0,BOWEN A,4 - 6,427,USA,7:07,Saved,0
Centre shot,12.0,6,4,4,USA,3.0,MANN J,4 - 6,370,USA,6:10,Saved,0
5m shot,5.0,7,4,4,USA,3.0,MOLINA G,4 - 7,346,ESP,5:46,Goal,1
Action shot,3.0,7,4,4,USA,3.0,OBERT A,4 - 7,331,USA,5:31,Missed,0
Extra player shot,11.0,7,4,4,USA,3.0,ESTRANY P,4 - 7,286,ESP,4:46,Saved,0
Action shot,2.0,7,4,4,USA,3.0,WIGO J,4 - 7,256,USA,4:16,Post,0
Extra player shot,4.0,7,4,4,USA,3.0,BOWEN A,4 - 7,237,USA,3:57,Blocked,0
Action shot,2.0,7,4,4,USA,3.0,WIGO J,4 - 7,197,USA,3:17,Saved,0
5m shot,9.0,7,4,4,USA,3.0,VALLES X,4 - 7,169,ESP,2:49,Saved,0
Action shot,10.0,7,4,4,USA,3.0,PERRONE F,4 - 7,127,ESP,2:07,Saved,0
Extra player shot,8.0,7,4,4,USA,3.0,ESPANOL A,4 - 7,87,ESP,1:27,Saved,0
Extra player shot,2.0,7,4,5,USA,3.0,WIGO J,5 - 7,49,USA,0:49,Goal,1
5m shot,3.0,7,4,5,USA,3.0,de LERA R,5 - 7,5,ESP,0:05,Saved,0
5m shot,9.0,7,4,5,USA,3.0,BUCKNER S,5 - 7,1,USA,0:01,Post,0
Action shot,8.0,7,4,5,USA,4.0,ESPANOL A,5 - 7,433,ESP,7:13,Saved,0
Penalty shot,8.0,7,4,6,USA,4.0,AZEVEDO A,6 - 7,398,USA,6:38,Goal,1
Action shot,5.0,8,4,6,USA,4.0,MOLINA G,6 - 8,296,ESP,4:56,Goal,1
Action shot,2.0,8,4,6,USA,4.0,WIGO J,6 - 8,126,USA,2:06,Saved,0
Action shot,5.0,8,4,6,USA,4.0,de TRANE M,6 - 8,116,USA,1:56,Saved,0
Action shot,8.0,10,4,6,USA,4.0,ESPANOL A,6 - 10,83,ESP,1:23,Goal,1
Extra player shot,2.0,10,4,6,USA,4.0,WIGO J,6 - 10,56,USA,0:56,Post,0
Extra player shot,11.0,10,4,6,USA,4.0,ROSENTHAL M,6 - 10,51,USA,0:51,Post,0
Extra player shot,8.0,10,4,6,USA,4.0,AZEVEDO A,6 - 10,6,USA,0:06,Saved,0
Action shot,5.0,0,5,0,ITA,1.0,GIORGETTI A,0 - 0,405,ITA,6:45,Blocked,0
Action shot,5.0,0,5,0,ITA,1.0,GIORGETTI A,0 - 0,378,ITA,6:18,Post,0
Action shot,6.0,0,5,0,ITA,1.0,FELUGO M,0 - 0,354,ITA,5:54,Saved,0
5m shot,12.0,0,5,0,ITA,1.0,GARCIA X,0 - 0,308,ESP,5:08,Post,0
Action shot,5.0,0,5,1,ITA,1.0,GIORGETTI A,0 - 1,293,ITA,4:53,Goal,1
Action shot,6.0,0,5,1,ITA,1.0,FELUGO M,0 - 1,244,ITA,4:04,Missed,0
Extra player shot,10.0,1,5,1,ITA,1.0,PERRONE F,1 - 1,200,ESP,3:20,Goal,1
5m shot,8.0,1,5,1,ITA,1.0,ESPANOL A,1 - 1,162,ESP,2:42,Saved,0
5m shot,5.0,1,5,1,ITA,1.0,MOLINA G,1 - 1,117,ESP,1:57,Blocked,0
5m shot,7.0,1,5,2,ITA,1.0,FIGARI N,1 - 2,96,ITA,1:36,Goal,1
Penalty shot,8.0,2,5,2,ITA,1.0,ESPANOL A,2 - 2,79,ESP,1:19,Goal,1
5m shot,5.0,2,5,2,ITA,1.0,MOLINA G,2 - 2,33,ESP,0:33,Missed,0
5m shot,12.0,2,5,2,ITA,2.0,GARCIA X,2 - 2,422,ESP,7:02,Saved,0
Action shot,6.0,2,5,2,ITA,2.0,FELUGO M,2 - 2,397,ITA,6:37,Blocked,0
Centre shot,12.0,2,5,2,ITA,2.0,NAPOLITANO C,2 - 2,366,ITA,6:06,Post,0
5m shot,10.0,2,5,2,ITA,2.0,PERRONE F,2 - 2,337,ESP,5:37,Blocked,0
Action shot,4.0,2,5,3,ITA,2.0,FIGLIOLI P,2 - 3,262,ITA,4:22,Goal,1
Extra player shot,5.0,2,5,3,ITA,2.0,MOLINA G,2 - 3,183,ESP,3:03,Blocked,0
Action shot,5.0,3,5,3,ITA,2.0,MOLINA G,3 - 3,176,ESP,2:56,Goal,1
5m shot,5.0,3,5,3,ITA,2.0,MOLINA G,3 - 3,73,ESP,1:13,Blocked,0
Extra player shot,8.0,3,5,3,ITA,4.0,ESPANOL A,3 - 3,87,ESP,1:27,Blocked,0
Action shot,7.0,3,5,3,ITA,4.0,FIGARI N,3 - 3,57,ITA,0:57,Saved,0
5m shot,6.0,3,5,3,ITA,4.0,MINGUELL M,3 - 3,42,ESP,0:42,Saved,0
Action shot,10.0,3,5,3,ITA,2.0,FIORENTINI D,3 - 3,5,ITA,0:05,Post,0
Penalty shot,4.0,3,5,4,ITA,3.0,FIGLIOLI P,3 - 4,462,ITA,7:42,Goal,1
Counter attack,9.0,3,5,4,ITA,3.0,PRESCIUTTI C,3 - 4,425,ITA,7:05,Saved,0
Extra player shot,6.0,3,5,4,ITA,3.0,MINGUELL M,3 - 4,386,ESP,6:26,Saved,0
Action shot,12.0,3,5,4,ITA,3.0,GARCIA X,3 - 4,378,ESP,6:18,Saved,0
5m shot,4.0,3,5,4,ITA,3.0,FIGLIOLI P,3 - 4,351,ITA,5:51,Post,0
5m shot,6.0,3,5,4,ITA,3.0,FELUGO M,3 - 4,325,ITA,5:25,Saved,0
5m shot,6.0,3,5,4,ITA,3.0,MINGUELL M,3 - 4,301,ESP,5:01,Blocked,0
5m shot,8.0,3,5,4,ITA,3.0,GALLO V,3 - 4,273,ITA,4:33,Saved,0
5m shot,6.0,3,5,4,ITA,3.0,MINGUELL M,3 - 4,248,ESP,4:08,Saved,0
Centre shot,9.0,3,5,4,ITA,3.0,VALLES X,3 - 4,247,ESP,4:07,Missed,0
5m shot,4.0,3,5,4,ITA,3.0,FIGLIOLI P,3 - 4,222,ITA,3:42,Post,0
5m shot,5.0,3,5,4,ITA,3.0,MOLINA G,3 - 4,155,ESP,2:35,Blocked,0
5m shot,6.0,3,5,4,ITA,3.0,FELUGO M,3 - 4,127,ITA,2:07,Blocked,0
Extra player shot,10.0,3,5,4,ITA,3.0,PERRONE F,3 - 4,75,ESP,1:15,Saved,0
Extra player shot,7.0,3,5,4,ITA,3.0,FIGARI N,3 - 4,36,ITA,0:36,Missed,0
Action shot,10.0,3,5,4,ITA,3.0,FIORENTINI D,3 - 4,1,ITA,0:01,Saved,0
