Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,12.0,4,4,5,CAN,4.0,SZILAGYI D,4 - 5,414,HUN,6:54,Post,0
Action shot,3.0,4,4,5,CAN,4.0,ANTAL D,4 - 5,370,HUN,6:10,Missed,0
Action shot,7.0,4,4,5,CAN,4.0,ILLES A,4 - 5,279,HUN,4:39,Saved,0
Action shot,7.0,4,4,5,CAN,4.0,ILLES A,4 - 5,187,HUN,3:07,Saved,0
Extra player shot,4.0,4,4,6,CAN,4.0,WRIGHT E,4 - 6,133,CAN,2:13,Goal,1
Extra player shot,5.0,4,4,6,CAN,4.0,SZUCS G,4 - 6,1,HUN,0:01,Saved,0
Centre shot,7.0,5,0,1,GRE,1.0,ASIMAKI A,0 - 1,435,GRE,7:15,Goal,1
Penalty shot,10.0,5,1,1,GRE,1.0,BUJKA B,1 - 1,414,HUN,6:54,Goal,1
5m shot,3.0,5,1,1,GRE,1.0,DIAMANTOPOULOU V,1 - 1,389,GRE,6:29,Post,0
Extra player shot,2.0,5,1,2,GRE,1.0,TSOUKALA C,1 - 2,326,GRE,5:26,Goal,1
Action shot,12.0,5,1,2,GRE,1.0,SZILAGYI D,1 - 2,301,HUN,5:01,Missed,0
Centre shot,12.0,5,1,3,GRE,1.0,XENAKI E,1 - 3,277,GRE,4:37,Goal,1
Extra player shot,10.0,5,1,3,GRE,1.0,BUJKA B,1 - 3,227,HUN,3:47,Blocked,0
Centre shot,10.0,5,2,3,GRE,1.0,BUJKA B,2 - 3,155,HUN,2:35,Goal,1
Extra player shot,2.0,5,2,4,GRE,1.0,TSOUKALA C,2 - 4,113,GRE,1:53,Goal,1
5m shot,5.0,5,2,4,GRE,1.0,SZUCS G,2 - 4,94,HUN,1:34,Post,0
Action shot,11.0,5,2,4,GRE,1.0,PLEVRITOU E,2 - 4,48,GRE,0:48,Missed,0
Extra player shot,2.0,5,2,4,GRE,1.0,TSOUKALA C,2 - 4,2,GRE,0:02,Saved,0
Action shot,11.0,5,2,4,GRE,2.0,PLEVRITOU E,2 - 4,462,GRE,7:42,Post,0
5m shot,8.0,5,2,4,GRE,2.0,KESZTHELYI R,2 - 4,436,HUN,7:16,Blocked,0
Action shot,8.0,5,2,4,GRE,2.0,KESZTHELYI R,2 - 4,333,HUN,5:33,Blocked,0
Action shot,10.0,5,2,4,GRE,2.0,MANOLIOUDAKI T,2 - 4,304,GRE,5:04,Missed,0
Action shot,12.0,5,2,4,GRE,2.0,SZILAGYI D,2 - 4,287,HUN,4:47,Saved,0
Action shot,2.0,5,2,5,GRE,2.0,TSOUKALA C,2 - 5,258,GRE,4:18,Goal,1
Extra player shot,8.0,5,3,5,GRE,2.0,KESZTHELYI R,3 - 5,221,HUN,3:41,Goal,1
