Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,7.0,1,4,0,JPN,1.0,INABA A,0 - 4,117,JPN,1:57
Steal,4.0,1,4,0,JPN,1.0,GURISATTI G,0 - 4,117,HUN,1:57
Turnover foul,7.0,1,4,0,JPN,1.0,INABA A,0 - 4,90,JPN,1:30
Turnover foul,7.0,1,4,0,JPN,1.0,ILLES A,0 - 4,84,HUN,1:24
Steal,1.0,1,4,0,JPN,1.0,AOKI M,0 - 4,84,JPN,1:24
Centre shot - Blocked,2.0,1,4,0,JPN,1.0,ARIMA Y,0 - 4,78,JPN,1:18
Turnover foul,7.0,1,4,0,JPN,1.0,ILLES A,0 - 4,56,HUN,0:56
20 sec. exclusion in field,4.0,1,4,0,JPN,1.0,GURISATTI G,0 - 4,53,HUN,0:53
Extra player shot - Goal,6.0,1,4,1,JPN,1.0,YAMAMOTO M,1 - 4,44,JPN,0:44
Turnover foul,4.0,1,4,1,JPN,1.0,GURISATTI G,1 - 4,26,HUN,0:26
Action shot - Saved,12.0,1,4,1,JPN,1.0,SUZUKI K,1 - 4,16,JPN,0:16
Time-Out,,1,4,1,JPN,1.0,,1 - 4,14,HUN,0:14
Turnover foul,3.0,1,4,1,JPN,1.0,ANTAL D,1 - 4,1,HUN,0:01
Steal,2.0,1,4,1,JPN,1.0,ARIMA Y,1 - 4,1,JPN,0:01
Starting goalkeeper,1.0,1,4,1,JPN,2.0,AOKI M,1 - 4,480,JPN,8:00
Starting goalkeeper,1.0,1,4,1,JPN,2.0,GANGL E,1 - 4,480,HUN,8:00
Sprint won possession,12.0,1,4,1,JPN,2.0,SZILAGYI D,1 - 4,480,HUN,8:00
Centre shot - Goal,10.0,1,5,1,JPN,2.0,BUJKA B,1 - 5,462,HUN,7:42
Turnover foul,5.0,1,5,1,JPN,2.0,SAKANOUE C,1 - 5,447,JPN,7:27
Steal,1.0,1,5,1,JPN,2.0,GANGL E,1 - 5,447,HUN,7:27
Counter attack - Goal,8.0,1,6,1,JPN,2.0,KESZTHELYI R,1 - 6,437,HUN,7:17
Turnover foul,5.0,1,6,1,JPN,2.0,SAKANOUE C,1 - 6,417,JPN,6:57
Steal,1.0,1,6,1,JPN,2.0,GANGL E,1 - 6,417,HUN,6:57
Centre shot - Saved,12.0,1,6,1,JPN,2.0,SZILAGYI D,1 - 6,403,HUN,6:43
Action shot - Blocked,2.0,1,6,1,JPN,2.0,ARIMA Y,1 - 6,382,JPN,6:22
Centre shot - Saved,10.0,1,6,1,JPN,2.0,BUJKA B,1 - 6,353,HUN,5:53
20 sec. exclusion in centre,6.0,1,6,1,JPN,2.0,TAKACS O,1 - 6,328,HUN,5:28
Turnover foul,,1,,JPN,JPN,3.0,MAGARIYAMA S,JPN,13,4,0:13
Steal,,1,,HUN,JPN,3.0,KESZTHELYI R,HUN,13,8,0:13
Time-Out,,1,,HUN,JPN,3.0,,HUN,13,,0:13
Starting goalkeeper,,1,,JPN,JPN,4.0,AOKI M,JPN,480,1,8:00
Starting goalkeeper,,1,,HUN,JPN,4.0,KASO O,HUN,480,13,8:00
Sprint won possession,,1,,HUN,JPN,4.0,SZILAGYI D,HUN,480,12,8:00
Turnover foul,,1,,HUN,JPN,4.0,SZILAGYI D,HUN,451,12,7:31
Steal,,1,,JPN,JPN,4.0,AOKI M,JPN,451,1,7:31
Action shot - Goal,,1,17 JPN,7,JPN,4.0,YAMAMOTO M,7 - 17 JPN,438,6,7:18
20 sec. exclusion in field,,1,,HUN,JPN,4.0,BUJKA B,HUN,426,10,7:06
Action shot - Goal,,1,17 JPN,8,JPN,4.0,INABA A,8 - 17 JPN,404,7,6:44
20 sec. exclusion in centre,,1,,JPN,JPN,4.0,TOKUMOTO M,JPN,374,11,6:14
Extra player shot - Goal,,1,18 HUN,8,JPN,4.0,KESZTHELYI R,8 - 18 HUN,366,8,6:06
Yellow card,,1,,HUN,JPN,4.0,Team Official,HUN,366,,6:06
Turnover foul,,1,,JPN,JPN,4.0,SUZUKI K,JPN,349,12,5:49
Steal,,1,,HUN,JPN,4.0,KESZTHELYI R,HUN,349,8,5:49
Turnover foul,,1,,HUN,JPN,4.0,TOTH I,HUN,327,9,5:27
Steal,,1,,JPN,JPN,4.0,SAKANOUE C,JPN,327,5,5:27
5m shot - Saved,,1,,JPN,JPN,4.0,SAKANOUE C,JPN,302,5,5:02
5m shot - Goal,,1,19 HUN,8,JPN,4.0,TOTH I,8 - 19 HUN,277,9,4:37
Action shot - Goal,,1,19 JPN,9,JPN,4.0,ARIMA Y,9 - 19 JPN,257,2,4:17
Extra player shot - Goal,2.0,1,6,2,JPN,2.0,ARIMA Y,2 - 6,309,JPN,5:09
Centre shot - Goal,2.0,1,7,2,JPN,2.0,CZIGANY D,2 - 7,291,HUN,4:51
20 sec. exclusion in centre,3.0,1,7,2,JPN,2.0,ANTAL D,2 - 7,275,HUN,4:35
Centre shot - Blocked,7.0,1,7,2,JPN,2.0,INABA A,2 - 7,253,JPN,4:13
Centre shot - Goal,10.0,1,8,2,JPN,2.0,BUJKA B,2 - 8,239,HUN,3:59
Turnover foul,8.0,1,8,2,JPN,2.0,NIIZAWA Y,2 - 8,226,JPN,3:46
Steal,1.0,1,8,2,JPN,2.0,GANGL E,2 - 8,226,HUN,3:46
Action shot - Goal,3.0,1,9,2,JPN,2.0,ANTAL D,2 - 9,214,HUN,3:34
Turnover foul,4.0,1,9,2,JPN,2.0,MAGARIYAMA S,2 - 9,187,JPN,3:07
Steal,11.0,1,9,2,JPN,2.0,CSABAI D,2 - 9,187,HUN,3:07
Centre shot - Goal,10.0,1,10,2,JPN,2.0,BUJKA B,2 - 10,176,HUN,2:56
Turnover foul,6.0,1,10,2,JPN,2.0,YAMAMOTO M,2 - 10,160,JPN,2:40
Steal,2.0,1,10,2,JPN,2.0,CZIGANY D,2 - 10,160,HUN,2:40
Turnover foul,2.0,1,10,2,JPN,2.0,CZIGANY D,2 - 10,144,HUN,2:24
Steal,12.0,1,10,2,JPN,2.0,SUZUKI K,2 - 10,144,JPN,2:24
Centre shot - Goal,6.0,1,10,3,JPN,2.0,YAMAMOTO M,3 - 10,136,JPN,2:16
Turnover foul,8.0,1,10,3,JPN,2.0,KESZTHELYI R,3 - 10,108,HUN,1:48
Steal,1.0,1,10,3,JPN,2.0,AOKI M,3 - 10,108,JPN,1:48
Turnover foul,12.0,1,10,3,JPN,2.0,SUZUKI K,3 - 10,95,JPN,1:35
Steal,8.0,1,10,3,JPN,2.0,KESZTHELYI R,3 - 10,95,HUN,1:35
Turnover foul,4.0,1,10,3,JPN,2.0,GURISATTI G,3 - 10,79,HUN,1:19
Steal,4.0,1,10,3,JPN,2.0,MAGARIYAMA S,3 - 10,79,JPN,1:19
Turnover foul,2.0,1,10,3,JPN,2.0,ARIMA Y,3 - 10,63,JPN,1:03
Centre shot - Goal,9.0,1,11,3,JPN,2.0,TOTH I,3 - 11,48,HUN,0:48
Time-Out,,1,11,3,JPN,2.0,,3 - 11,48,JPN,0:48
5m shot - Saved,2.0,1,11,3,JPN,2.0,ARIMA Y,3 - 11,28,JPN,0:28
Time-Out,,1,11,3,JPN,2.0,,3 - 11,26,HUN,0:26
Centre shot - Goal,4.0,1,12,3,JPN,2.0,GURISATTI G,3 - 12,8,HUN,0:08
5m shot - Goal,3.0,1,12,4,JPN,2.0,KAZAMA Y,4 - 12,1,JPN,0:01
5m shot - Saved,2.0,1,12,4,JPN,2.0,CZIGANY D,4 - 12,1,HUN,0:01
Starting goalkeeper,1.0,1,12,4,JPN,3.0,AOKI M,4 - 12,480,JPN,8:00
Starting goalkeeper,13.0,1,12,4,JPN,3.0,KASO O,4 - 12,480,HUN,8:00
Sprint won possession,12.0,1,12,4,JPN,3.0,SZILAGYI D,4 - 12,480,HUN,8:00
Turnover foul,8.0,1,12,4,JPN,3.0,KESZTHELYI R,4 - 12,453,HUN,7:33
Steal,1.0,1,12,4,JPN,3.0,AOKI M,4 - 12,453,JPN,7:33
Turnover foul,7.0,1,12,4,JPN,3.0,INABA A,4 - 12,440,JPN,7:20
Steal,12.0,1,12,4,JPN,3.0,SZILAGYI D,4 - 12,440,HUN,7:20
Centre shot - Goal,2.0,1,12,5,JPN,3.0,ARIMA Y,5 - 12,408,JPN,6:48
Turnover foul,3.0,1,12,5,JPN,3.0,ANTAL D,5 - 12,380,HUN,6:20
Centre shot - Goal,3.0,1,13,5,JPN,3.0,ANTAL D,5 - 13,360,HUN,6:00
Turnover foul,7.0,1,13,5,JPN,3.0,INABA A,5 - 13,343,JPN,5:43
Steal,5.0,1,13,5,JPN,3.0,SZUCS G,5 - 13,343,HUN,5:43
Turnover foul,5.0,1,13,5,JPN,3.0,SZUCS G,5 - 13,325,HUN,5:25
Steal,5.0,1,13,5,JPN,3.0,SAKANOUE C,5 - 13,325,JPN,5:25
Turnover foul,10.0,1,13,5,JPN,3.0,NORO M,5 - 13,310,JPN,5:10
Steal,13.0,1,13,5,JPN,3.0,KASO O,5 - 13,310,HUN,5:10
Turnover foul,10.0,1,13,5,JPN,3.0,BUJKA B,5 - 13,298,HUN,4:58
Turnover foul,2.0,1,13,5,JPN,3.0,ARIMA Y,5 - 13,292,JPN,4:52
Steal,13.0,1,13,5,JPN,3.0,KASO O,5 - 13,292,HUN,4:52
Counter attack - Goal,8.0,1,14,5,JPN,3.0,KESZTHELYI R,5 - 14,270,HUN,4:30
Centre shot - Goal,9.0,1,15,5,JPN,3.0,TOTH I,5 - 15,244,HUN,4:04
Centre shot - Saved,10.0,1,15,5,JPN,3.0,NORO M,5 - 15,225,JPN,3:45
Action shot - Post,8.0,1,15,5,JPN,3.0,KESZTHELYI R,5 - 15,199,HUN,3:19
Centre shot - Goal,6.0,1,15,6,JPN,3.0,YAMAMOTO M,6 - 15,169,JPN,2:49
Centre shot - Goal,4.0,1,16,6,JPN,3.0,GURISATTI G,6 - 16,142,HUN,2:22
Action shot - Post,5.0,1,16,6,JPN,3.0,SZUCS G,6 - 16,86,HUN,1:26
Action shot - Post,2.0,1,16,6,JPN,3.0,ARIMA Y,6 - 16,74,JPN,1:14
Action shot - Goal,8.0,1,17,6,JPN,3.0,KESZTHELYI R,6 - 17,53,HUN,0:53
Turnover foul,5.0,1,17,6,JPN,3.0,SAKANOUE C,6 - 17,37,JPN,0:37
Steal,13.0,1,17,6,JPN,3.0,KASO O,6 - 17,37,HUN,0:37
Action shot - Saved,4.0,1,17,6,JPN,3.0,GURISATTI G,6 - 17,27,HUN,0:27
Action shot - Missed,9.0,1,17,6,JPN,4.0,TOTH I,6 - 17,243,HUN,4:03
Turnover foul,6.0,1,17,6,JPN,4.0,YAMAMOTO M,6 - 17,222,JPN,3:42
Steal,4.0,1,17,6,JPN,4.0,GURISATTI G,6 - 17,222,HUN,3:42
Action shot - Post,8.0,1,17,6,JPN,4.0,KESZTHELYI R,6 - 17,210,HUN,3:30
Centre shot - Saved,6.0,1,17,6,JPN,4.0,YAMAMOTO M,6 - 17,195,JPN,3:15
Turnover foul,2.0,1,17,6,JPN,4.0,CZIGANY D,6 - 17,166,HUN,2:46
Steal,7.0,1,17,6,JPN,4.0,INABA A,6 - 17,166,JPN,2:46
Turnover foul,6.0,1,17,6,JPN,4.0,YAMAMOTO M,6 - 17,156,JPN,2:36
Steal,7.0,1,17,6,JPN,4.0,ILLES A,6 - 17,156,HUN,2:36
Action shot - Post,8.0,1,17,6,JPN,4.0,KESZTHELYI R,6 - 17,130,HUN,2:10
5m shot - Goal,2.0,1,19,10,JPN,4.0,ARIMA Y,10 - 19,113,JPN,1:53
Action shot - Post,8.0,1,19,10,JPN,4.0,KESZTHELYI R,10 - 19,84,HUN,1:24
Centre shot - Goal,9.0,1,20,10,JPN,4.0,TOTH I,10 - 20,83,HUN,1:23
Turnover foul,5.0,1,20,10,JPN,4.0,SAKANOUE C,10 - 20,72,JPN,1:12
Steal,13.0,1,20,10,JPN,4.0,KASO O,10 - 20,72,HUN,1:12
Action shot - Saved,9.0,1,20,10,JPN,4.0,HOSOYA K,10 - 20,21,JPN,0:21
Time-Out,,1,20,10,JPN,4.0,,10 - 20,21,HUN,0:21
Turnover foul,5.0,1,20,10,JPN,4.0,SZUCS G,10 - 20,16,HUN,0:16
20 sec. exclusion in field,8.0,1,20,10,JPN,4.0,KESZTHELYI R,10 - 20,5,HUN,0:05
Time-Out,,1,20,10,JPN,4.0,,10 - 20,5,JPN,0:05
Extra player shot - Goal,7.0,1,20,11,JPN,4.0,INABA A,11 - 20,1,JPN,0:01
Starting goalkeeper,1.0,2,0,0,FRA,1.0,COUNIL L,0 - 0,480,FRA,8:00
Starting goalkeeper,13.0,2,0,0,FRA,1.0,KASO O,0 - 0,480,HUN,8:00
Sprint won possession,12.0,2,0,0,FRA,1.0,SZILAGYI D,0 - 0,480,HUN,8:00
Action shot - Goal,8.0,2,1,0,FRA,1.0,KESZTHELYI R,0 - 1,452,HUN,7:32
5m shot - Saved,7.0,2,1,0,FRA,1.0,VALVERDE C,0 - 1,423,FRA,7:03
20 sec. exclusion in centre,9.0,2,1,0,FRA,1.0,TOTH I,0 - 1,409,HUN,6:49
Extra player shot - Blocked,7.0,2,1,0,FRA,1.0,VALVERDE C,0 - 1,393,FRA,6:33
Action shot - Goal,8.0,2,2,0,FRA,1.0,KESZTHELYI R,0 - 2,371,HUN,6:11
Turnover foul,12.0,2,2,0,FRA,1.0,DAULE A,0 - 2,345,FRA,5:45
Steal,12.0,2,2,0,FRA,1.0,SZILAGYI D,0 - 2,345,HUN,5:45
20 sec. exclusion in centre,6.0,2,2,0,FRA,1.0,MAHIEU G,0 - 2,329,FRA,5:29
Extra player shot - Goal,6.0,2,3,0,FRA,1.0,TAKACS O,0 - 3,317,HUN,5:17
Action shot - Saved,12.0,2,3,0,FRA,1.0,DAULE A,0 - 3,286,FRA,4:46
Action shot - Goal,3.0,2,4,0,FRA,1.0,ANTAL D,0 - 4,270,HUN,4:30
Time-Out,,2,4,0,FRA,1.0,,0 - 4,270,FRA,4:30
Turnover foul,5.0,2,4,0,FRA,1.0,GUILLET L,0 - 4,242,FRA,4:02
Steal,12.0,2,4,0,FRA,1.0,SZILAGYI D,0 - 4,242,HUN,4:02
5m shot - Goal,8.0,2,5,0,FRA,1.0,KESZTHELYI R,0 - 5,218,HUN,3:38
Turnover foul,12.0,2,5,0,FRA,1.0,DAULE A,0 - 5,203,FRA,3:23
Steal,12.0,2,5,0,FRA,1.0,SZILAGYI D,0 - 5,203,HUN,3:23
20 sec. exclusion in field,12.0,2,5,0,FRA,1.0,DAULE A,0 - 5,196,FRA,3:16
Extra player shot - Goal,9.0,2,6,0,FRA,1.0,TOTH I,0 - 6,181,HUN,3:01
Turnover foul,5.0,2,6,0,FRA,1.0,GUILLET L,0 - 6,155,FRA,2:35
Steal,6.0,2,6,0,FRA,1.0,TAKACS O,0 - 6,155,HUN,2:35
20 sec. exclusion in field,2.0,2,6,0,FRA,1.0,MILLOT E,0 - 6,135,FRA,2:15
Extra player shot - Post,5.0,2,6,0,FRA,1.0,SZUCS G,0 - 6,128,HUN,2:08
20 sec. exclusion in field,7.0,2,6,0,FRA,1.0,VALVERDE C,0 - 6,91,FRA,1:31
Turnover foul,5.0,2,6,0,FRA,1.0,SZUCS G,0 - 6,83,HUN,1:23
Steal,5.0,2,6,0,FRA,1.0,GUILLET L,0 - 6,83,FRA,1:23
5m shot - Missed,5.0,2,6,0,FRA,1.0,GUILLET L,0 - 6,58,FRA,0:58
Centre shot - Goal,12.0,2,7,0,FRA,1.0,SZILAGYI D,0 - 7,31,HUN,0:31
20 sec. exclusion in field,3.0,2,7,0,FRA,1.0,ANTAL D,0 - 7,20,HUN,0:20
Extra player shot - Saved,5.0,2,7,0,FRA,1.0,GUILLET L,0 - 7,2,FRA,0:02
Starting goalkeeper,1.0,2,7,0,FRA,2.0,COUNIL L,0 - 7,480,FRA,8:00
Starting goalkeeper,13.0,2,7,0,FRA,2.0,KASO O,0 - 7,480,HUN,8:00
Sprint won possession,12.0,2,7,0,FRA,2.0,DAULE A,0 - 7,480,FRA,8:00
Penalty foul,10.0,2,7,0,FRA,2.0,BUJKA B,0 - 7,453,HUN,7:33
Penalty shot - Goal,2.0,2,7,1,FRA,2.0,MILLOT E,1 - 7,453,FRA,7:33
Turnover foul,8.0,2,7,1,FRA,2.0,KESZTHELYI R,1 - 7,429,HUN,7:09
Turnover foul,2.0,2,7,1,FRA,2.0,MILLOT E,1 - 7,405,FRA,6:45
20 sec. exclusion in field,5.0,2,7,1,FRA,2.0,GUILLET L,1 - 7,393,FRA,6:33
Extra player shot - Goal,7.0,2,8,1,FRA,2.0,ILLES A,1 - 8,379,HUN,6:19
Turnover foul,12.0,2,8,1,FRA,2.0,DAULE A,1 - 8,362,FRA,6:02
Steal,4.0,2,8,1,FRA,2.0,GURISATTI G,1 - 8,362,HUN,6:02
Turnover foul,7.0,2,8,1,FRA,2.0,ILLES A,1 - 8,348,HUN,5:48
Steal,1.0,2,8,1,FRA,2.0,COUNIL L,1 - 8,348,FRA,5:48
Action shot - Post,9.0,2,8,1,FRA,2.0,SACRE A,1 - 8,318,FRA,5:18
Action shot - Goal,2.0,2,9,1,FRA,2.0,CZIGANY D,1 - 9,288,HUN,4:48
20 sec. exclusion in field,2.0,2,9,1,FRA,2.0,CZIGANY D,1 - 9,271,HUN,4:31
Extra player shot - Goal,4.0,2,9,2,FRA,2.0,SACRE A,2 - 9,268,FRA,4:28
20 sec. exclusion in centre,6.0,2,9,2,FRA,2.0,MAHIEU G,2 - 9,250,FRA,4:10
Extra player shot - Goal,11.0,2,10,2,FRA,2.0,CSABAI D,2 - 10,241,HUN,4:01
Centre shot - Saved,12.0,2,10,2,FRA,2.0,DAULE A,2 - 10,213,FRA,3:33
5m shot - Saved,11.0,2,10,2,FRA,2.0,CSABAI D,2 - 10,185,HUN,3:05
20 sec. exclusion in centre,11.0,2,10,2,FRA,2.0,BARBIEUX M,2 - 10,173,FRA,2:53
Extra player shot - Goal,10.0,2,11,2,FRA,2.0,BUJKA B,2 - 11,163,HUN,2:43
Turnover foul,9.0,2,11,2,FRA,2.0,SACRE A,2 - 11,137,FRA,2:17
Steal,4.0,2,11,2,FRA,2.0,GURISATTI G,2 - 11,137,HUN,2:17
Centre shot - Missed,7.0,2,11,2,FRA,2.0,ILLES A,2 - 11,118,HUN,1:58
5m shot - Post,3.0,2,11,2,FRA,2.0,BACHELIER L,2 - 11,93,FRA,1:33
Centre shot - Goal,10.0,2,12,2,FRA,2.0,BUJKA B,2 - 12,73,HUN,1:13
5m shot - Saved,7.0,2,12,2,FRA,4.0,VALVERDE C,2 - 12,140,FRA,2:20
Turnover foul,12.0,2,12,2,FRA,4.0,DAULE A,2 - 12,130,FRA,2:10
Steal,1.0,2,12,2,FRA,4.0,GANGL E,2 - 12,130,HUN,2:10
5m shot - Post,11.0,2,12,2,FRA,4.0,CSABAI D,2 - 12,116,HUN,1:56
Penalty foul,9.0,2,12,2,FRA,4.0,TOTH I,2 - 12,92,HUN,1:32
Penalty shot - Saved,5.0,2,12,2,FRA,4.0,GUILLET L,2 - 12,92,FRA,1:32
5m shot - Goal,8.0,2,22,5,FRA,4.0,KESZTHELYI R,5 - 22,76,HUN,1:16
Turnover foul,6.0,2,22,5,FRA,2.0,MAHIEU G,5 - 22,57,FRA,0:57
Steal,5.0,2,22,5,FRA,2.0,SZUCS G,5 - 22,57,HUN,0:57
Counter attack - Goal,2.0,2,13,2,FRA,2.0,CZIGANY D,2 - 13,49,HUN,0:49
Turnover foul,11.0,2,13,2,FRA,2.0,BARBIEUX M,2 - 13,34,FRA,0:34
Action shot - Goal,4.0,2,14,2,FRA,2.0,GURISATTI G,2 - 14,8,HUN,0:08
5m shot - Saved,2.0,2,14,2,FRA,2.0,MILLOT E,2 - 14,1,FRA,0:01
Starting goalkeeper,13.0,2,14,2,FRA,3.0,DERENTY L,2 - 14,480,FRA,8:00
Starting goalkeeper,1.0,2,14,2,FRA,3.0,GANGL E,2 - 14,480,HUN,8:00
Sprint won possession,12.0,2,14,2,FRA,3.0,SZILAGYI D,2 - 14,480,HUN,8:00
5m shot - Post,8.0,2,14,2,FRA,3.0,KESZTHELYI R,2 - 14,454,HUN,7:34
Centre shot - Goal,9.0,2,15,2,FRA,3.0,TOTH I,2 - 15,438,HUN,7:18
Turnover foul,6.0,2,15,2,FRA,3.0,MAHIEU G,2 - 15,412,FRA,6:52
Steal,5.0,2,15,2,FRA,3.0,SZUCS G,2 - 15,412,HUN,6:52
Turnover foul,8.0,2,15,2,FRA,3.0,KESZTHELYI R,2 - 15,397,HUN,6:37
Steal,5.0,2,15,2,FRA,3.0,GUILLET L,2 - 15,397,FRA,6:37
Action shot - Saved,2.0,2,15,2,FRA,3.0,MILLOT E,2 - 15,374,FRA,6:14
20 sec. exclusion in field,5.0,2,15,2,FRA,3.0,GUILLET L,2 - 15,366,FRA,6:06
Extra player shot - Goal,6.0,2,16,2,FRA,3.0,TAKACS O,2 - 16,351,HUN,5:51
20 sec. exclusion in centre,9.0,2,16,2,FRA,3.0,TOTH I,2 - 16,338,HUN,5:38
20 sec. exclusion in centre,8.0,2,16,2,FRA,3.0,KESZTHELYI R,2 - 16,325,HUN,5:25
Extra player shot - Goal,9.0,2,16,3,FRA,3.0,SACRE A,3 - 16,316,FRA,5:16
20 sec. exclusion in centre,11.0,2,16,3,FRA,3.0,BARBIEUX M,3 - 16,297,FRA,4:57
Action shot - Goal,12.0,2,17,3,FRA,3.0,SZILAGYI D,3 - 17,275,HUN,4:35
Centre shot - Goal,3.0,2,17,4,FRA,3.0,BACHELIER L,4 - 17,254,FRA,4:14
Turnover foul,10.0,2,17,4,FRA,3.0,BUJKA B,4 - 17,224,HUN,3:44
Turnover foul,12.0,2,17,4,FRA,3.0,SZILAGYI D,4 - 17,182,HUN,3:02
Steal,3.0,2,17,4,FRA,3.0,BACHELIER L,4 - 17,182,FRA,3:02
Turnover foul,3.0,2,17,4,FRA,3.0,BACHELIER L,4 - 17,155,FRA,2:35
Steal,5.0,2,17,4,FRA,3.0,SZUCS G,4 - 17,155,HUN,2:35
Centre shot - Saved,3.0,2,17,4,FRA,3.0,ANTAL D,4 - 17,137,HUN,2:17
Action shot - Goal,5.0,2,18,4,FRA,3.0,SZUCS G,4 - 18,116,HUN,1:56
Turnover foul,3.0,2,18,4,FRA,3.0,BACHELIER L,4 - 18,85,FRA,1:25
Steal,3.0,2,18,4,FRA,3.0,ANTAL D,4 - 18,85,HUN,1:25
Action shot - Goal,10.0,2,19,4,FRA,3.0,BUJKA B,4 - 19,70,HUN,1:10
Turnover foul,7.0,2,19,4,FRA,3.0,VALVERDE C,4 - 19,50,FRA,0:50
Steal,3.0,2,19,4,FRA,3.0,ANTAL D,4 - 19,50,HUN,0:50
20 sec. exclusion in centre,7.0,2,19,4,FRA,3.0,VALVERDE C,4 - 19,34,FRA,0:34
Action shot - Goal,3.0,2,20,4,FRA,3.0,ANTAL D,4 - 20,30,HUN,0:30
20 sec. exclusion in field,5.0,2,20,4,FRA,3.0,SZUCS G,4 - 20,16,HUN,0:16
Extra player shot - Goal,2.0,2,20,5,FRA,3.0,MILLOT E,5 - 20,2,FRA,0:02
Starting goalkeeper,13.0,2,20,5,FRA,4.0,DERENTY L,5 - 20,480,FRA,8:00
Starting goalkeeper,1.0,2,20,5,FRA,4.0,GANGL E,5 - 20,480,HUN,8:00
Sprint won possession,12.0,2,20,5,FRA,4.0,DAULE A,5 - 20,480,FRA,8:00
Turnover foul,12.0,2,20,5,FRA,4.0,DAULE A,5 - 20,466,FRA,7:46
Steal,7.0,2,20,5,FRA,4.0,ILLES A,5 - 20,466,HUN,7:46
Action shot - Goal,10.0,2,21,5,FRA,4.0,BUJKA B,5 - 21,453,HUN,7:33
20 sec. exclusion in field,2.0,2,21,5,FRA,4.0,CZIGANY D,5 - 21,432,HUN,7:12
Extra player shot - Post,2.0,2,21,5,FRA,4.0,MILLOT E,5 - 21,413,FRA,6:53
Action shot - Saved,11.0,2,21,5,FRA,4.0,CSABAI D,5 - 21,386,HUN,6:26
20 sec. exclusion in field,7.0,2,21,5,FRA,4.0,ILLES A,5 - 21,368,HUN,6:08
Extra player shot - Saved,12.0,2,21,5,FRA,4.0,DAULE A,5 - 21,351,FRA,5:51
