Team 1,Team 2
RUS,UZB
AUS,NZL
CHN,RSA
USA,GRE
CAN,GBR
HUN,BRA
ITA,KAZ
ESP,NED
RSA,NZL
AUS,CHN
GBR,GRE
USA,CAN
KAZ,BRA
HUN,ITA
UZB,NED
ESP,RUS
USA,GBR
CAN,GRE
HUN,KAZ
ITA,BRA
RUS,NED
AUS,RSA
CHN,NZL
ESP,UZB
RUS,RSA
ESP,NZL
AUS,UZB
CHN,NED
USA,BRA
CAN,KAZ
HUN,GBR
ITA,GRE
RUS,CAN
AUS,GRE
ESP,USA
NED,HUN
CAN,GRE
USA,NED
RUS,AUS
ESP,HUN
CAN,NED
GRE,USA
RUS,HUN
AUS,ESP
